scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,1877.0,27.37,SUCCESS,3.0
simple,101,1571.0,31.48,SUCCESS,2.0
simple,102,1546.0,29.88,SUCCESS,1.0
simple,103,1542.0,29.12,SUCCESS,2.0
simple,104,1745.0,28.01,SUCCESS,5.0
simple,105,1967.0,25.18,SUCCESS,4.0
simple,106,1583.0,30.43,SUCCESS,1.0
simple,107,1950.0,26.22,SUCCESS,5.0
simple,108,1567.0,30.41,SUCCESS,3.0
simple,109,1545.0,31.31,SUCCESS,1.0
simple,110,1968.0,24.68,SUCCESS,5.0
simple,111,1929.0,25.25,SUCCESS,5.0
simple,112,1577.0,28.28,SUCCESS,3.0
simple,113,1578.0,31.45,SUCCESS,3.0
simple,114,1565.0,29.89,SUCCESS,3.0
simple,115,1555.0,29.6,SUCCESS,1.0
simple,116,1858.0,26.0,SUCCESS,4.0
simple,117,1588.0,32.38,SUCCESS,1.0
simple,118,1765.0,27.82,SUCCESS,4.0
simple,119,1546.0,30.51,SUCCESS,1.0
simple,120,1560.0,31.33,SUCCESS,2.0
simple,121,3100.0,21.65,SUCCESS,4.0
simple,122,1780.0,27.54,SUCCESS,3.0
simple,123,1543.0,30.87,SUCCESS,1.0
simple,124,1929.0,26.39,SUCCESS,5.0
simple,125,1546.0,29.87,SUCCESS,1.0
simple,126,2167.0,23.73,SUCCESS,4.0
simple,127,1665.0,27.33,SUCCESS,3.0
simple,128,2325.0,22.96,SUCCESS,4.0
simple,129,1896.0,25.4,SUCCESS,4.0
simple,130,1747.0,27.83,SUCCESS,4.0
simple,131,1819.0,26.02,SUCCESS,5.0
simple,132,2246.0,23.04,SUCCESS,5.0
simple,133,2828.0,23.28,SUCCESS,5.0
simple,134,2628.0,22.71,SUCCESS,5.0
simple,135,1594.0,30.11,SUCCESS,2.0
simple,136,1516.0,30.49,SUCCESS,2.0
simple,137,1687.0,28.63,SUCCESS,3.0
simple,138,1849.0,25.28,SUCCESS,5.0
simple,139,2566.0,22.81,SUCCESS,4.0
simple,140,1962.0,27.04,SUCCESS,2.0
simple,141,1990.0,25.68,SUCCESS,5.0
simple,142,1588.0,30.43,SUCCESS,3.0
simple,143,1554.0,29.68,SUCCESS,3.0
simple,144,1909.0,27.46,SUCCESS,4.0
simple,145,2167.0,24.68,SUCCESS,3.0
simple,146,2312.0,24.68,SUCCESS,5.0
simple,147,1883.0,26.05,SUCCESS,5.0
simple,148,1516.0,27.18,SUCCESS,1.0
simple,149,1592.0,29.9,SUCCESS,4.0
simple,150,1786.0,27.42,SUCCESS,3.0
simple,151,1947.0,25.78,SUCCESS,2.0
simple,152,1870.0,26.63,SUCCESS,3.0
simple,153,,,SIM_ERRORSimulation still running after step limit,
simple,154,1900.0,26.97,SUCCESS,5.0
simple,155,1538.0,29.06,SUCCESS,2.0
simple,156,1850.0,25.28,SUCCESS,2.0
simple,157,2304.0,23.07,SUCCESS,5.0
simple,158,1547.0,29.88,SUCCESS,2.0
simple,159,1695.0,28.95,SUCCESS,2.0
simple,160,1981.0,24.62,SUCCESS,4.0
simple,161,1833.0,25.14,SUCCESS,4.0
simple,162,3090.0,25.56,SUCCESS,5.0
simple,163,1566.0,30.44,SUCCESS,1.0
simple,164,1906.0,25.68,SUCCESS,5.0
simple,165,1509.0,30.3,SUCCESS,1.0
simple,166,1951.0,25.32,SUCCESS,4.0
simple,167,1554.0,32.0,SUCCESS,3.0
simple,168,1577.0,30.5,SUCCESS,2.0
simple,169,1547.0,30.19,SUCCESS,1.0
simple,170,1587.0,29.43,SUCCESS,1.0
simple,171,1826.0,25.56,SUCCESS,3.0
simple,172,1584.0,30.74,SUCCESS,4.0
simple,173,1561.0,28.76,SUCCESS,3.0
simple,174,1759.0,26.24,SUCCESS,3.0
simple,175,1530.0,29.72,SUCCESS,1.0
simple,176,1960.0,26.01,SUCCESS,5.0
simple,177,1662.0,30.88,SUCCESS,4.0
simple,178,1562.0,30.81,SUCCESS,2.0
simple,179,1760.0,28.55,SUCCESS,5.0
simple,180,1594.0,30.02,SUCCESS,4.0
simple,181,1966.0,24.89,SUCCESS,4.0
simple,182,1746.0,27.81,SUCCESS,4.0
simple,183,1585.0,29.73,SUCCESS,2.0
simple,184,1558.0,28.35,SUCCESS,1.0
simple,185,1575.0,29.75,SUCCESS,2.0
simple,186,1662.0,26.65,SUCCESS,4.0
simple,187,2277.0,23.42,SUCCESS,4.0
simple,188,1537.0,28.11,SUCCESS,1.0
simple,189,2501.0,22.1,SUCCESS,4.0
simple,190,1565.0,28.58,SUCCESS,3.0
simple,191,1548.0,29.26,SUCCESS,3.0
simple,192,1575.0,31.11,SUCCESS,5.0
simple,193,1561.0,28.68,SUCCESS,3.0
simple,194,2967.0,21.75,SUCCESS,5.0
simple,195,1895.0,25.42,SUCCESS,4.0
simple,196,1688.0,28.2,SUCCESS,4.0
simple,197,1620.0,29.21,SUCCESS,4.0
simple,198,1882.0,26.32,SUCCESS,2.0
simple,199,1690.0,28.71,SUCCESS,3.0
heft,100,1576.0,29.27,SUCCESS,2.0
heft,101,1756.0,25.88,SUCCESS,4.0
heft,102,1597.0,29.3,SUCCESS,4.0
heft,103,1845.0,26.92,SUCCESS,4.0
heft,104,1543.0,28.71,SUCCESS,1.0
heft,105,1758.0,25.54,SUCCESS,2.0
heft,106,2240.0,23.09,SUCCESS,5.0
heft,107,1548.0,29.65,SUCCESS,3.0
heft,108,1753.0,26.24,SUCCESS,5.0
heft,109,1559.0,29.81,SUCCESS,2.0
heft,110,1550.0,31.87,SUCCESS,1.0
heft,111,1660.0,28.15,SUCCESS,2.0
heft,112,1535.0,28.01,SUCCESS,1.0
heft,113,1903.0,24.82,SUCCESS,5.0
heft,114,1532.0,30.97,SUCCESS,1.0
heft,115,1571.0,28.98,SUCCESS,2.0
heft,116,1533.0,30.2,SUCCESS,1.0
heft,117,1695.0,29.79,SUCCESS,3.0
heft,118,1814.0,25.88,SUCCESS,5.0
heft,119,1605.0,28.32,SUCCESS,5.0
heft,120,1785.0,26.43,SUCCESS,4.0
heft,121,1941.0,24.43,SUCCESS,1.0
heft,122,2036.0,25.61,SUCCESS,4.0
heft,123,1933.0,25.22,SUCCESS,5.0
heft,124,1540.0,29.48,SUCCESS,1.0
heft,125,1564.0,29.52,SUCCESS,2.0
heft,126,1525.0,28.89,SUCCESS,1.0
heft,127,1685.0,27.92,SUCCESS,4.0
heft,128,1545.0,29.39,SUCCESS,2.0
heft,129,1645.0,27.28,SUCCESS,2.0
heft,130,1499.0,28.69,SUCCESS,1.0
heft,131,1547.0,30.09,SUCCESS,2.0
heft,132,1512.0,29.75,SUCCESS,1.0
heft,133,1867.0,25.31,SUCCESS,3.0
heft,134,1587.0,29.27,SUCCESS,2.0
heft,135,1525.0,30.02,SUCCESS,1.0
heft,136,2078.0,25.49,SUCCESS,4.0
heft,137,1786.0,25.28,SUCCESS,4.0
heft,138,1813.0,26.53,SUCCESS,4.0
heft,139,1635.0,28.53,SUCCESS,2.0
heft,140,2065.0,23.81,SUCCESS,4.0
heft,141,1508.0,29.64,SUCCESS,1.0
heft,142,1877.0,25.92,SUCCESS,4.0
heft,143,1542.0,29.78,SUCCESS,1.0
heft,144,1544.0,28.93,SUCCESS,1.0
heft,145,2101.0,22.3,SUCCESS,2.0
heft,146,1540.0,28.83,SUCCESS,2.0
heft,147,1527.0,29.52,SUCCESS,1.0
heft,148,1960.0,25.24,SUCCESS,2.0
heft,149,1565.0,30.43,SUCCESS,3.0
heft,150,2407.0,27.77,SUCCESS,5.0
heft,151,1968.0,23.89,SUCCESS,3.0
heft,152,1553.0,28.41,SUCCESS,1.0
heft,153,1600.0,28.28,SUCCESS,1.0
heft,154,1563.0,28.57,SUCCESS,2.0
heft,155,1750.0,27.3,SUCCESS,5.0
heft,156,1560.0,29.5,SUCCESS,1.0
heft,157,1596.0,29.59,SUCCESS,1.0
heft,158,1725.0,26.43,SUCCESS,4.0
heft,159,2838.0,29.05,SUCCESS,4.0
heft,160,1768.0,25.51,SUCCESS,3.0
heft,161,2352.0,23.97,SUCCESS,5.0
heft,162,1749.0,26.07,SUCCESS,2.0
heft,163,,,SIM_ERRORSimulation still running after step limit,
heft,164,1676.0,27.04,SUCCESS,4.0
heft,165,1716.0,24.9,SUCCESS,4.0
heft,166,1573.0,30.53,SUCCESS,1.0
heft,167,1560.0,29.84,SUCCESS,4.0
heft,168,1542.0,28.18,SUCCESS,1.0
heft,169,1889.0,25.75,SUCCESS,5.0
heft,170,1733.0,28.84,SUCCESS,4.0
heft,171,1762.0,28.83,SUCCESS,2.0
heft,172,1546.0,30.09,SUCCESS,2.0
heft,173,1550.0,30.0,SUCCESS,2.0
heft,174,1543.0,29.49,SUCCESS,2.0
heft,175,1619.0,30.65,SUCCESS,4.0
heft,176,1552.0,32.59,SUCCESS,1.0
heft,177,1846.0,27.19,SUCCESS,5.0
heft,178,1545.0,30.79,SUCCESS,1.0
heft,179,1570.0,29.47,SUCCESS,4.0
heft,180,1567.0,28.8,SUCCESS,1.0
heft,181,1581.0,29.08,SUCCESS,3.0
heft,182,1537.0,30.04,SUCCESS,3.0
heft,183,1592.0,30.97,SUCCESS,3.0
heft,184,2549.0,22.33,SUCCESS,5.0
heft,185,1899.0,25.01,SUCCESS,4.0
heft,186,1533.0,29.76,SUCCESS,2.0
heft,187,1694.0,26.65,SUCCESS,3.0
heft,188,1612.0,30.26,SUCCESS,5.0
heft,189,3100.0,23.49,SUCCESS,5.0
heft,190,1587.0,30.53,SUCCESS,4.0
heft,191,1522.0,29.14,SUCCESS,2.0
heft,192,1532.0,29.49,SUCCESS,2.0
heft,193,1557.0,30.46,SUCCESS,2.0
heft,194,1955.0,25.1,SUCCESS,1.0
heft,195,1558.0,28.61,SUCCESS,2.0
heft,196,2041.0,24.27,SUCCESS,5.0
heft,197,1551.0,32.21,SUCCESS,2.0
