scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,564,46.85,SUCCESS,4.0
simple,101,566,42.89,SUCCESS,5.0
simple,102,527,40.8,SUCCESS,1.0
simple,103,523,42.11,SUCCESS,1.0
simple,104,586,41.34,SUCCESS,5.0
simple,105,523,45.79,SUCCESS,1.0
simple,106,552,44.02,SUCCESS,4.0
simple,107,522,42.72,SUCCESS,1.0
simple,108,516,44.57,SUCCESS,1.0
simple,109,542,44.83,SUCCESS,3.0
simple,110,577,44.54,SUCCESS,4.0
simple,111,551,41.56,SUCCESS,4.0
simple,112,532,41.02,SUCCESS,1.0
simple,113,536,44.73,SUCCESS,1.0
simple,114,543,41.07,SUCCESS,2.0
simple,115,585,43.42,SUCCESS,4.0
simple,116,555,43.47,SUCCESS,4.0
simple,117,541,41.5,SUCCESS,3.0
simple,118,531,37.95,SUCCESS,1.0
simple,119,542,46.77,SUCCESS,5.0
simple,120,548,46.17,SUCCESS,3.0
simple,121,690,28.84,SUCCESS,4.0
simple,122,570,43.03,SUCCESS,4.0
simple,123,555,45.63,SUCCESS,2.0
simple,124,544,45.22,SUCCESS,4.0
simple,125,526,44.68,SUCCESS,1.0
simple,126,560,44.46,SUCCESS,4.0
simple,127,529,44.19,SUCCESS,3.0
simple,128,552,42.16,SUCCESS,4.0
simple,129,523,40.25,SUCCESS,2.0
simple,130,535,40.7,SUCCESS,3.0
simple,131,565,42.21,SUCCESS,4.0
simple,132,532,43.23,SUCCESS,2.0
simple,133,522,42.48,SUCCESS,1.0
simple,134,575,45.43,SUCCESS,4.0
simple,135,568,42.69,SUCCESS,4.0
simple,136,608,30.35,SUCCESS,4.0
simple,137,571,46.02,SUCCESS,5.0
simple,138,551,43.1,SUCCESS,3.0
simple,139,564,45.17,SUCCESS,5.0
simple,140,553,43.63,SUCCESS,3.0
simple,141,528,43.61,SUCCESS,1.0
simple,142,531,43.69,SUCCESS,2.0
simple,143,521,43.14,SUCCESS,1.0
simple,144,586,43.17,SUCCESS,4.0
simple,145,519,41.09,SUCCESS,1.0
simple,146,546,40.98,SUCCESS,4.0
simple,147,605,30.37,SUCCESS,5.0
simple,148,567,46.03,SUCCESS,3.0
simple,149,525,42.95,SUCCESS,3.0
simple,150,561,40.24,SUCCESS,5.0
simple,151,537,40.22,SUCCESS,1.0
simple,152,558,44.18,SUCCESS,4.0
simple,153,504,44.35,SUCCESS,1.0
simple,154,515,43.4,SUCCESS,1.0
simple,155,536,40.9,SUCCESS,2.0
simple,156,577,43.37,SUCCESS,5.0
simple,157,574,43.21,SUCCESS,5.0
simple,158,595,39.66,SUCCESS,5.0
simple,159,551,42.83,SUCCESS,2.0
simple,160,584,45.29,SUCCESS,4.0
simple,161,538,44.89,SUCCESS,2.0
simple,162,588,45.49,SUCCESS,3.0
simple,163,549,44.31,SUCCESS,3.0
simple,164,571,42.12,SUCCESS,2.0
simple,165,585,44.53,SUCCESS,5.0
simple,166,630,30.75,SUCCESS,5.0
simple,167,533,40.9,SUCCESS,2.0
simple,168,560,44.2,SUCCESS,3.0
simple,169,538,42.57,SUCCESS,2.0
simple,170,540,43.19,SUCCESS,1.0
simple,171,574,45.51,SUCCESS,5.0
simple,172,568,34.29,SUCCESS,5.0
simple,173,550,43.86,SUCCESS,4.0
simple,174,552,43.07,SUCCESS,2.0
simple,175,508,43.95,SUCCESS,1.0
simple,176,545,43.76,SUCCESS,1.0
simple,177,521,42.47,SUCCESS,3.0
simple,178,515,43.5,SUCCESS,1.0
simple,179,568,41.02,SUCCESS,5.0
simple,180,548,44.94,SUCCESS,2.0
simple,181,525,43.76,SUCCESS,1.0
simple,182,571,42.82,SUCCESS,5.0
simple,183,539,44.94,SUCCESS,1.0
simple,184,542,39.39,SUCCESS,1.0
simple,185,574,44.56,SUCCESS,5.0
simple,186,533,41.28,SUCCESS,3.0
simple,187,525,40.81,SUCCESS,1.0
simple,188,537,45.48,SUCCESS,4.0
simple,189,546,44.46,SUCCESS,3.0
simple,190,558,39.7,SUCCESS,3.0
simple,191,547,42.92,SUCCESS,3.0
simple,192,525,42.86,SUCCESS,1.0
simple,193,562,46.4,SUCCESS,3.0
simple,194,509,44.6,SUCCESS,1.0
simple,195,561,43.36,SUCCESS,2.0
simple,196,548,42.61,SUCCESS,4.0
simple,197,543,47.56,SUCCESS,3.0
simple,198,543,43.05,SUCCESS,4.0
simple,199,527,45.07,SUCCESS,1.0
heft,100,547,44.61,SUCCESS,2.0
heft,101,509,42.53,SUCCESS,2.0
heft,102,544,40.85,SUCCESS,3.0
heft,103,540,42.78,SUCCESS,2.0
heft,104,576,41.93,SUCCESS,4.0
heft,105,567,45.06,SUCCESS,5.0
heft,106,564,44.73,SUCCESS,5.0
heft,107,530,41.18,SUCCESS,2.0
heft,108,559,43.02,SUCCESS,5.0
heft,109,528,41.67,SUCCESS,2.0
heft,110,546,43.22,SUCCESS,1.0
heft,111,535,41.17,SUCCESS,1.0
heft,112,544,43.89,SUCCESS,2.0
heft,113,543,44.48,SUCCESS,2.0
heft,114,547,42.73,SUCCESS,3.0
heft,115,544,42.69,SUCCESS,1.0
heft,116,585,45.98,SUCCESS,5.0
heft,117,528,39.35,SUCCESS,1.0
heft,118,539,41.23,SUCCESS,2.0
heft,119,532,43.52,SUCCESS,4.0
heft,120,546,42.77,SUCCESS,2.0
heft,121,677,28.4,SUCCESS,3.0
heft,122,513,45.22,SUCCESS,2.0
heft,123,519,44.03,SUCCESS,1.0
heft,124,521,42.61,SUCCESS,1.0
heft,125,542,43.08,SUCCESS,2.0
heft,126,526,45.15,SUCCESS,1.0
heft,127,543,41.48,SUCCESS,4.0
heft,128,539,40.86,SUCCESS,2.0
heft,129,554,45.08,SUCCESS,4.0
heft,130,559,43.87,SUCCESS,5.0
heft,131,531,44.68,SUCCESS,1.0
heft,132,535,41.03,SUCCESS,3.0
heft,133,568,41.77,SUCCESS,5.0
heft,134,581,41.7,SUCCESS,5.0
heft,135,560,41.61,SUCCESS,3.0
heft,136,626,32.71,SUCCESS,5.0
heft,137,567,43.43,SUCCESS,4.0
heft,138,555,42.16,SUCCESS,4.0
heft,139,544,47.56,SUCCESS,3.0
heft,140,553,44.35,SUCCESS,3.0
heft,141,558,45.34,SUCCESS,5.0
heft,142,549,43.53,SUCCESS,4.0
heft,143,538,44.52,SUCCESS,3.0
heft,144,611,31.71,SUCCESS,5.0
heft,145,525,42.43,SUCCESS,3.0
heft,146,530,40.14,SUCCESS,2.0
heft,147,531,42.37,SUCCESS,2.0
heft,148,628,32.36,SUCCESS,5.0
heft,149,545,42.75,SUCCESS,5.0
heft,150,551,45.05,SUCCESS,4.0
heft,151,561,44.43,SUCCESS,3.0
heft,152,527,44.21,SUCCESS,2.0
heft,153,543,42.91,SUCCESS,4.0
heft,154,544,40.76,SUCCESS,5.0
heft,155,536,42.54,SUCCESS,2.0
heft,156,518,42.52,SUCCESS,1.0
heft,157,565,43.54,SUCCESS,4.0
heft,158,569,43.15,SUCCESS,4.0
heft,159,528,45.6,SUCCESS,1.0
heft,160,590,43.26,SUCCESS,5.0
heft,161,519,42.0,SUCCESS,1.0
heft,162,573,41.23,SUCCESS,2.0
heft,163,530,44.62,SUCCESS,1.0
heft,164,552,43.12,SUCCESS,1.0
heft,165,516,43.22,SUCCESS,1.0
heft,166,555,42.16,SUCCESS,3.0
heft,167,546,44.05,SUCCESS,3.0
heft,168,580,44.66,SUCCESS,5.0
heft,169,546,41.9,SUCCESS,3.0
heft,170,575,41.3,SUCCESS,4.0
heft,171,526,42.78,SUCCESS,1.0
heft,172,544,44.81,SUCCESS,4.0
heft,173,569,42.93,SUCCESS,5.0
heft,174,569,40.73,SUCCESS,4.0
heft,175,536,42.68,SUCCESS,4.0
heft,176,547,42.96,SUCCESS,2.0
heft,177,519,40.46,SUCCESS,2.0
heft,178,519,40.85,SUCCESS,2.0
heft,179,565,40.97,SUCCESS,4.0
heft,180,546,42.45,SUCCESS,1.0
heft,181,535,41.45,SUCCESS,2.0
heft,182,564,46.32,SUCCESS,3.0
heft,183,543,40.93,SUCCESS,4.0
heft,184,558,38.89,SUCCESS,2.0
heft,185,535,41.07,SUCCESS,2.0
heft,186,527,43.55,SUCCESS,2.0
heft,187,535,43.5,SUCCESS,3.0
heft,188,528,43.18,SUCCESS,2.0
heft,189,572,42.0,SUCCESS,5.0
heft,190,541,42.33,SUCCESS,1.0
heft,191,552,42.98,SUCCESS,5.0
heft,192,527,43.31,SUCCESS,3.0
heft,193,645,35.04,SUCCESS,5.0
heft,194,554,35.69,SUCCESS,2.0
heft,195,616,34.46,SUCCESS,5.0
heft,196,549,43.94,SUCCESS,5.0
heft,197,546,47.99,SUCCESS,4.0
heft,198,591,32.57,SUCCESS,5.0
heft,199,585,45.34,SUCCESS,5.0
dls,100,591,47.5,SUCCESS,5.0
dls,101,531,43.22,SUCCESS,4.0
dls,102,569,44.24,SUCCESS,4.0
dls,103,565,41.28,SUCCESS,5.0
dls,104,538,40.66,SUCCESS,1.0
dls,105,554,46.16,SUCCESS,4.0
dls,106,537,43.11,SUCCESS,3.0
dls,107,538,46.61,SUCCESS,3.0
dls,108,544,45.08,SUCCESS,4.0
dls,109,525,40.29,SUCCESS,1.0
dls,110,578,42.95,SUCCESS,5.0
dls,111,569,44.07,SUCCESS,5.0
dls,112,550,44.55,SUCCESS,4.0
dls,113,573,35.34,SUCCESS,5.0
dls,114,539,41.37,SUCCESS,1.0
dls,115,660,28.56,SUCCESS,5.0
dls,116,536,45.2,SUCCESS,2.0
dls,117,544,45.63,SUCCESS,4.0
dls,118,562,44.88,SUCCESS,4.0
dls,119,516,41.52,SUCCESS,1.0
dls,120,576,46.4,SUCCESS,5.0
dls,121,697,28.98,SUCCESS,5.0
dls,122,579,45.85,SUCCESS,5.0
dls,123,569,46.18,SUCCESS,5.0
dls,124,542,44.42,SUCCESS,2.0
dls,125,546,42.22,SUCCESS,3.0
dls,126,538,41.91,SUCCESS,2.0
dls,127,517,42.55,SUCCESS,2.0
dls,128,545,43.99,SUCCESS,3.0
dls,129,568,37.68,SUCCESS,5.0
dls,130,530,44.2,SUCCESS,2.0
dls,131,583,35.51,SUCCESS,5.0
dls,132,587,33.73,SUCCESS,5.0
dls,133,554,47.2,SUCCESS,4.0
dls,134,551,41.74,SUCCESS,1.0
dls,135,578,47.45,SUCCESS,5.0
dls,136,531,44.49,SUCCESS,2.0
dls,137,541,43.72,SUCCESS,3.0
dls,138,560,45.54,SUCCESS,5.0
dls,139,559,33.45,SUCCESS,4.0
dls,140,506,42.74,SUCCESS,1.0
dls,141,532,42.48,SUCCESS,3.0
dls,142,554,46.48,SUCCESS,5.0
dls,143,562,46.31,SUCCESS,5.0
dls,144,551,42.33,SUCCESS,1.0
dls,145,551,39.79,SUCCESS,4.0
dls,146,527,43.41,SUCCESS,1.0
dls,147,528,44.84,SUCCESS,1.0
dls,148,536,45.62,SUCCESS,1.0
dls,149,535,44.44,SUCCESS,4.0
dls,150,548,45.94,SUCCESS,3.0
dls,151,540,38.94,SUCCESS,2.0
dls,152,525,42.29,SUCCESS,1.0
dls,153,560,47.46,SUCCESS,5.0
dls,154,524,42.03,SUCCESS,3.0
dls,155,562,46.98,SUCCESS,4.0
dls,156,548,46.99,SUCCESS,3.0
dls,157,544,41.41,SUCCESS,2.0
dls,158,541,42.19,SUCCESS,2.0
dls,159,558,47.58,SUCCESS,3.0
dls,160,564,45.66,SUCCESS,3.0
dls,161,550,38.82,SUCCESS,3.0
dls,162,589,35.57,SUCCESS,4.0
dls,163,568,45.82,SUCCESS,4.0
dls,164,588,44.64,SUCCESS,4.0
dls,165,533,46.58,SUCCESS,3.0
dls,166,567,45.63,SUCCESS,4.0
dls,167,559,43.69,SUCCESS,5.0
dls,168,529,44.66,SUCCESS,2.0
dls,169,547,44.42,SUCCESS,4.0
dls,170,586,47.7,SUCCESS,5.0
dls,171,544,45.54,SUCCESS,2.0
dls,172,542,40.36,SUCCESS,3.0
dls,173,540,41.76,SUCCESS,2.0
dls,174,522,42.1,SUCCESS,1.0
dls,175,533,43.95,SUCCESS,3.0
dls,176,553,43.85,SUCCESS,4.0
dls,177,543,44.94,SUCCESS,4.0
dls,178,542,47.74,SUCCESS,4.0
dls,179,549,41.62,SUCCESS,1.0
dls,180,556,46.09,SUCCESS,4.0
dls,181,548,44.02,SUCCESS,4.0
dls,182,548,47.54,SUCCESS,1.0
dls,183,540,46.81,SUCCESS,2.0
dls,184,620,31.65,SUCCESS,5.0
dls,185,539,43.83,SUCCESS,3.0
dls,186,533,44.14,SUCCESS,3.0
dls,187,530,44.81,SUCCESS,2.0
dls,188,520,42.98,SUCCESS,1.0
dls,189,548,46.03,SUCCESS,4.0
dls,190,575,43.26,SUCCESS,5.0
