scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,1289,38.21,SUCCESS,4.0
simple,101,1441,38.1,SUCCESS,4.0
simple,102,1401,37.74,SUCCESS,5.0
simple,103,1443,37.8,SUCCESS,1.0
simple,104,1379,36.49,SUCCESS,5.0
simple,105,1427,36.63,SUCCESS,1.0
simple,106,1417,36.68,SUCCESS,1.0
simple,107,1476,38.35,SUCCESS,5.0
simple,108,1430,36.29,SUCCESS,4.0
simple,109,1339,39.56,SUCCESS,4.0
simple,110,1343,39.43,SUCCESS,4.0
simple,111,1385,38.54,SUCCESS,2.0
simple,112,1382,39.15,SUCCESS,4.0
simple,113,1581,37.51,SUCCESS,4.0
simple,114,1406,38.96,SUCCESS,2.0
simple,115,1187,40.44,SUCCESS,5.0
simple,116,1247,37.37,SUCCESS,1.0
simple,117,1410,36.28,SUCCESS,1.0
simple,118,1481,38.86,SUCCESS,5.0
simple,119,1424,38.82,SUCCESS,4.0
simple,120,1341,38.63,SUCCESS,2.0
simple,121,1402,38.09,SUCCESS,3.0
simple,122,1456,36.95,SUCCESS,4.0
simple,123,1436,39.55,SUCCESS,5.0
simple,124,1259,40.09,SUCCESS,4.0
simple,125,1375,38.05,SUCCESS,5.0
simple,126,1448,37.83,SUCCESS,1.0
simple,127,1156,36.35,SUCCESS,1.0
simple,128,1811,27.31,SUCCESS,5.0
simple,129,1220,37.7,SUCCESS,3.0
simple,130,1367,38.22,SUCCESS,3.0
simple,131,1439,32.85,SUCCESS,1.0
simple,132,1417,37.74,SUCCESS,4.0
simple,133,1627,34.94,SUCCESS,5.0
simple,134,1366,40.81,SUCCESS,5.0
simple,135,1387,37.11,SUCCESS,5.0
simple,136,1329,39.99,SUCCESS,2.0
simple,137,1434,38.53,SUCCESS,3.0
simple,138,1439,35.72,SUCCESS,1.0
simple,139,1412,36.86,SUCCESS,3.0
simple,140,1439,38.95,SUCCESS,5.0
simple,141,1373,38.6,SUCCESS,2.0
simple,142,1571,34.44,SUCCESS,3.0
simple,143,1319,38.17,SUCCESS,5.0
simple,144,2183,26.23,SUCCESS,5.0
simple,145,1720,28.98,SUCCESS,5.0
simple,146,1496,37.32,SUCCESS,5.0
simple,147,1255,39.18,SUCCESS,2.0
simple,148,1564,29.22,SUCCESS,4.0
simple,149,1444,39.18,SUCCESS,5.0
simple,150,1510,37.72,SUCCESS,3.0
simple,151,1660,30.47,SUCCESS,1.0
simple,152,1560,32.08,SUCCESS,3.0
simple,153,1675,30.76,SUCCESS,5.0
simple,154,1506,37.6,SUCCESS,5.0
simple,155,1819,27.75,SUCCESS,4.0
simple,156,1388,35.52,SUCCESS,2.0
simple,157,1515,31.93,SUCCESS,4.0
simple,158,1339,39.99,SUCCESS,5.0
simple,159,1350,37.89,SUCCESS,5.0
simple,160,1392,37.61,SUCCESS,3.0
simple,161,1387,40.61,SUCCESS,5.0
simple,162,1457,37.18,SUCCESS,3.0
simple,163,1661,30.49,SUCCESS,4.0
simple,164,1465,38.82,SUCCESS,5.0
simple,165,1411,37.53,SUCCESS,2.0
simple,166,1547,30.37,SUCCESS,4.0
simple,167,1276,38.85,SUCCESS,2.0
simple,168,1489,35.81,SUCCESS,5.0
simple,169,1483,37.36,SUCCESS,1.0
simple,170,1394,36.12,SUCCESS,2.0
simple,171,1340,39.68,SUCCESS,5.0
simple,172,1453,36.79,SUCCESS,5.0
simple,173,1623,29.78,SUCCESS,5.0
simple,174,1413,37.56,SUCCESS,1.0
simple,175,1519,38.94,SUCCESS,5.0
simple,176,1413,37.12,SUCCESS,2.0
simple,177,1404,37.64,SUCCESS,5.0
simple,178,1335,37.64,SUCCESS,5.0
simple,179,1341,39.69,SUCCESS,4.0
simple,180,1309,40.78,SUCCESS,5.0
simple,181,1540,35.41,SUCCESS,5.0
simple,182,1451,39.28,SUCCESS,5.0
simple,183,1284,39.21,SUCCESS,5.0
simple,184,1428,34.24,SUCCESS,4.0
simple,185,1790,29.36,SUCCESS,3.0
simple,186,1377,40.98,SUCCESS,1.0
simple,187,1577,37.57,SUCCESS,3.0
simple,188,1350,38.44,SUCCESS,4.0
simple,189,1245,39.82,SUCCESS,2.0
simple,190,1495,37.71,SUCCESS,4.0
simple,191,1720,30.67,SUCCESS,5.0
simple,192,1286,39.62,SUCCESS,4.0
simple,193,1564,38.03,SUCCESS,4.0
simple,194,1534,36.28,SUCCESS,2.0
simple,195,1520,36.89,SUCCESS,4.0
simple,196,1248,40.85,SUCCESS,5.0
simple,197,1300,39.6,SUCCESS,5.0
simple,198,1223,38.06,SUCCESS,4.0
simple,199,1454,37.31,SUCCESS,5.0
heft,100,1328,38.61,SUCCESS,5.0
heft,101,1427,38.28,SUCCESS,3.0
heft,102,1368,36.29,SUCCESS,2.0
heft,103,1469,37.05,SUCCESS,4.0
heft,104,1377,38.82,SUCCESS,4.0
heft,105,1479,35.92,SUCCESS,4.0
heft,106,1486,37.43,SUCCESS,5.0
heft,107,1430,36.75,SUCCESS,1.0
heft,108,1435,36.66,SUCCESS,5.0
heft,109,1341,40.18,SUCCESS,5.0
heft,110,1356,39.77,SUCCESS,5.0
heft,111,1356,37.08,SUCCESS,1.0
heft,112,1487,29.81,SUCCESS,5.0
heft,113,1588,34.59,SUCCESS,5.0
heft,114,1412,37.55,SUCCESS,3.0
heft,115,1174,39.08,SUCCESS,4.0
heft,116,1266,39.24,SUCCESS,5.0
heft,117,1429,34.83,SUCCESS,4.0
heft,118,1453,38.76,SUCCESS,4.0
heft,119,1354,38.37,SUCCESS,3.0
heft,120,1403,38.76,SUCCESS,5.0
heft,121,1412,36.83,SUCCESS,4.0
heft,122,1472,37.64,SUCCESS,5.0
heft,123,1359,36.02,SUCCESS,3.0
heft,124,1279,39.95,SUCCESS,5.0
heft,125,1351,35.31,SUCCESS,3.0
heft,126,1449,36.78,SUCCESS,2.0
heft,127,1221,37.59,SUCCESS,5.0
heft,128,1413,35.0,SUCCESS,1.0
heft,129,1236,37.18,SUCCESS,4.0
heft,130,1369,35.94,SUCCESS,4.0
heft,131,1459,32.03,SUCCESS,2.0
heft,132,1432,37.88,SUCCESS,5.0
heft,133,1461,37.65,SUCCESS,3.0
heft,134,1315,37.89,SUCCESS,1.0
heft,135,1377,38.09,SUCCESS,3.0
heft,136,1350,39.46,SUCCESS,5.0
heft,137,1467,36.33,SUCCESS,4.0
heft,138,1653,30.81,SUCCESS,5.0
heft,139,1639,31.41,SUCCESS,5.0
heft,140,1433,37.46,SUCCESS,4.0
heft,141,1355,36.55,SUCCESS,1.0
heft,142,1623,36.51,SUCCESS,5.0
heft,143,1283,35.6,SUCCESS,2.0
heft,144,1788,29.78,SUCCESS,4.0
heft,145,1690,28.14,SUCCESS,2.0
heft,146,1430,34.55,SUCCESS,2.0
heft,147,1265,36.98,SUCCESS,3.0
heft,148,1564,28.8,SUCCESS,4.0
heft,149,1412,39.41,SUCCESS,4.0
heft,150,1470,38.1,SUCCESS,2.0
heft,151,1663,30.32,SUCCESS,2.0
heft,152,1611,31.91,SUCCESS,5.0
heft,153,1668,28.85,SUCCESS,4.0
