scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,1417.0,33.73,SUCCESS,1.0
simple,101,1921.0,30.47,SUCCESS,4.0
simple,102,,,SIM_ERRORSimulation still running after step limit,
simple,103,1690.0,33.65,SUCCESS,2.0
simple,104,1569.0,33.51,SUCCESS,1.0
simple,105,1690.0,34.26,SUCCESS,2.0
simple,106,,,SIM_ERRORSimulation still running after step limit,
simple,107,2149.0,28.41,SUCCESS,4.0
simple,108,1758.0,31.2,SUCCESS,2.0
simple,109,1703.0,31.81,SUCCESS,4.0
simple,110,1494.0,34.91,SUCCESS,3.0
simple,111,1765.0,30.03,SUCCESS,4.0
simple,112,1821.0,30.11,SUCCESS,4.0
simple,113,2260.0,29.1,SUCCESS,3.0
simple,114,1549.0,32.31,SUCCESS,1.0
simple,115,1470.0,30.09,SUCCESS,4.0
simple,116,1426.0,34.77,SUCCESS,2.0
simple,117,1679.0,34.75,SUCCESS,2.0
simple,118,2752.0,24.86,SUCCESS,4.0
simple,119,1537.0,35.69,SUCCESS,2.0
simple,120,1714.0,30.59,SUCCESS,4.0
simple,121,1908.0,30.12,SUCCESS,4.0
simple,122,2064.0,27.27,SUCCESS,5.0
simple,123,1870.0,29.22,SUCCESS,4.0
simple,124,1668.0,30.5,SUCCESS,5.0
simple,125,1778.0,32.58,SUCCESS,3.0
simple,126,2111.0,26.66,SUCCESS,4.0
simple,127,1371.0,33.48,SUCCESS,1.0
simple,128,1645.0,31.88,SUCCESS,2.0
simple,129,1651.0,30.42,SUCCESS,4.0
simple,130,1958.0,27.59,SUCCESS,4.0
simple,131,1612.0,31.51,SUCCESS,2.0
simple,132,1991.0,27.02,SUCCESS,4.0
simple,133,1727.0,34.28,SUCCESS,3.0
simple,134,1499.0,33.96,SUCCESS,1.0
simple,135,2465.0,24.97,SUCCESS,5.0
simple,136,1716.0,28.12,SUCCESS,5.0
simple,137,2674.0,23.35,SUCCESS,5.0
simple,138,1975.0,29.16,SUCCESS,4.0
simple,139,1610.0,33.71,SUCCESS,3.0
simple,140,1775.0,31.62,SUCCESS,2.0
simple,141,1616.0,36.23,SUCCESS,2.0
simple,142,3126.0,24.21,SUCCESS,5.0
simple,143,1451.0,31.17,SUCCESS,1.0
simple,144,,,SIM_ERRORSimulation still running after step limit,
simple,145,1959.0,30.47,SUCCESS,3.0
simple,146,1753.0,32.96,SUCCESS,3.0
simple,147,2102.0,24.73,SUCCESS,5.0
simple,148,1551.0,37.99,SUCCESS,5.0
simple,149,1572.0,34.21,SUCCESS,2.0
simple,150,1722.0,32.29,SUCCESS,5.0
simple,151,2480.0,26.62,SUCCESS,5.0
simple,152,,,SIM_ERRORSimulation still running after step limit,
simple,153,1881.0,29.88,SUCCESS,3.0
simple,154,2117.0,27.95,SUCCESS,4.0
simple,155,1714.0,32.82,SUCCESS,1.0
simple,156,1919.0,29.35,SUCCESS,3.0
simple,157,1580.0,34.19,SUCCESS,1.0
simple,158,1527.0,34.15,SUCCESS,1.0
simple,159,1552.0,35.36,SUCCESS,3.0
simple,160,1999.0,28.49,SUCCESS,5.0
simple,161,1538.0,36.0,SUCCESS,2.0
simple,162,2079.0,28.19,SUCCESS,5.0
simple,163,2323.0,26.29,SUCCESS,4.0
simple,164,1582.0,34.92,SUCCESS,1.0
simple,165,1651.0,34.45,SUCCESS,1.0
simple,166,1584.0,32.7,SUCCESS,1.0
simple,167,1737.0,28.76,SUCCESS,5.0
simple,168,1923.0,28.82,SUCCESS,4.0
simple,169,1712.0,34.83,SUCCESS,1.0
simple,170,1805.0,31.26,SUCCESS,4.0
simple,171,1531.0,35.88,SUCCESS,4.0
simple,172,1681.0,30.93,SUCCESS,5.0
