scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,2404.0,25.98,SUCCESS,3.0
simple,101,2211.0,29.48,SUCCESS,1.0
simple,102,2183.0,26.98,SUCCESS,1.0
simple,103,3770.0,23.82,SUCCESS,5.0
simple,104,,,SIM_ERRORSimulation still running after step limit,
simple,105,2539.0,26.23,SUCCESS,4.0
simple,106,2768.0,24.96,SUCCESS,2.0
simple,107,2237.0,28.08,SUCCESS,1.0
simple,108,2636.0,26.02,SUCCESS,3.0
simple,109,2504.0,26.29,SUCCESS,3.0
simple,110,3397.0,23.59,SUCCESS,4.0
simple,111,3143.0,24.55,SUCCESS,5.0
simple,112,3229.0,25.29,SUCCESS,4.0
simple,113,3637.0,24.09,SUCCESS,4.0
simple,114,2622.0,26.59,SUCCESS,3.0
simple,115,2139.0,28.6,SUCCESS,1.0
simple,116,2762.0,25.78,SUCCESS,4.0
simple,117,2240.0,29.0,SUCCESS,2.0
simple,118,2280.0,27.25,SUCCESS,2.0
simple,119,3328.0,23.4,SUCCESS,3.0
simple,120,2720.0,25.62,SUCCESS,3.0
simple,121,3372.0,23.48,SUCCESS,4.0
simple,122,2689.0,26.33,SUCCESS,2.0
simple,123,2314.0,28.99,SUCCESS,4.0
simple,124,2162.0,28.09,SUCCESS,2.0
simple,125,2491.0,25.73,SUCCESS,4.0
simple,126,,,SIM_ERRORSimulation still running after step limit,
simple,127,2295.0,26.47,SUCCESS,1.0
simple,128,2788.0,25.97,SUCCESS,3.0
simple,129,2670.0,25.66,SUCCESS,3.0
simple,130,2492.0,26.77,SUCCESS,3.0
simple,131,2506.0,27.27,SUCCESS,4.0
simple,132,2346.0,27.05,SUCCESS,4.0
simple,133,3122.0,24.28,SUCCESS,5.0
simple,134,3159.0,25.05,SUCCESS,4.0
simple,135,4377.0,26.5,SUCCESS,5.0
simple,136,3221.0,23.86,SUCCESS,4.0
simple,137,2197.0,28.63,SUCCESS,3.0
simple,138,2611.0,25.7,SUCCESS,4.0
simple,139,3699.0,24.24,SUCCESS,3.0
simple,140,2316.0,27.71,SUCCESS,2.0
simple,141,2365.0,26.87,SUCCESS,2.0
simple,142,2737.0,25.99,SUCCESS,3.0
simple,143,2186.0,28.74,SUCCESS,3.0
simple,144,2497.0,27.3,SUCCESS,1.0
simple,145,2181.0,28.69,SUCCESS,1.0
simple,146,3843.0,22.89,SUCCESS,4.0
simple,147,2282.0,27.62,SUCCESS,1.0
simple,148,2573.0,27.42,SUCCESS,1.0
simple,149,2613.0,25.65,SUCCESS,4.0
simple,150,2517.0,25.94,SUCCESS,3.0
simple,151,2836.0,24.47,SUCCESS,5.0
simple,152,2236.0,27.67,SUCCESS,2.0
simple,153,3194.0,24.72,SUCCESS,3.0
simple,154,2764.0,25.62,SUCCESS,3.0
simple,155,2773.0,26.13,SUCCESS,2.0
simple,156,3182.0,23.25,SUCCESS,3.0
simple,157,3036.0,24.85,SUCCESS,3.0
simple,158,2826.0,25.88,SUCCESS,4.0
simple,159,3742.0,23.39,SUCCESS,3.0
simple,160,2408.0,26.9,SUCCESS,1.0
simple,161,2587.0,25.85,SUCCESS,3.0
simple,162,2559.0,25.63,SUCCESS,3.0
simple,163,2605.0,26.92,SUCCESS,2.0
simple,164,2267.0,30.26,SUCCESS,4.0
simple,165,4543.0,29.24,SUCCESS,4.0
simple,166,2166.0,29.41,SUCCESS,1.0
simple,167,3206.0,25.24,SUCCESS,5.0
simple,168,2274.0,30.79,SUCCESS,3.0
simple,169,2714.0,26.74,SUCCESS,3.0
simple,170,2657.0,25.16,SUCCESS,3.0
simple,171,2250.0,29.04,SUCCESS,4.0
simple,172,2178.0,28.73,SUCCESS,2.0
simple,173,2201.0,29.92,SUCCESS,1.0
simple,174,2796.0,27.0,SUCCESS,3.0
simple,175,2503.0,26.42,SUCCESS,2.0
simple,176,2663.0,26.6,SUCCESS,2.0
simple,177,2253.0,30.36,SUCCESS,2.0
simple,178,,,SIM_ERRORSimulation still running after step limit,
simple,179,2568.0,25.55,SUCCESS,4.0
simple,180,2251.0,26.29,SUCCESS,5.0
simple,181,2241.0,29.61,SUCCESS,2.0
simple,182,3651.0,24.99,SUCCESS,4.0
simple,183,2212.0,28.65,SUCCESS,1.0
simple,184,,,SIM_ERRORSimulation still running after step limit,
simple,185,2203.0,28.53,SUCCESS,2.0
simple,186,4153.0,22.97,SUCCESS,5.0
simple,187,2639.0,26.05,SUCCESS,4.0
simple,188,2158.0,28.65,SUCCESS,2.0
simple,189,2188.0,27.67,SUCCESS,1.0
simple,190,2361.0,28.44,SUCCESS,1.0
simple,191,2893.0,25.41,SUCCESS,4.0
simple,192,2185.0,27.68,SUCCESS,3.0
simple,193,2499.0,25.53,SUCCESS,3.0
simple,194,4055.0,23.09,SUCCESS,4.0
simple,195,2528.0,24.4,SUCCESS,3.0
simple,196,2449.0,27.46,SUCCESS,4.0
simple,197,2107.0,27.59,SUCCESS,1.0
simple,198,2246.0,26.65,SUCCESS,2.0
simple,199,2572.0,26.31,SUCCESS,3.0
heft,100,2550.0,25.43,SUCCESS,4.0
heft,101,,,SIM_ERRORSimulation still running after step limit,
heft,102,2554.0,25.41,SUCCESS,4.0
heft,103,2131.0,27.66,SUCCESS,1.0
heft,104,2519.0,24.9,SUCCESS,1.0
heft,105,2128.0,27.55,SUCCESS,2.0
heft,106,3696.0,22.2,SUCCESS,4.0
heft,107,2363.0,26.03,SUCCESS,3.0
heft,108,3227.0,23.04,SUCCESS,5.0
heft,109,2446.0,26.29,SUCCESS,1.0
heft,110,,,SIM_ERRORSimulation still running after step limit,
heft,111,2545.0,25.83,SUCCESS,4.0
heft,112,2516.0,25.5,SUCCESS,3.0
heft,113,,,SIM_ERRORSimulation still running after step limit,
heft,114,3152.0,24.68,SUCCESS,5.0
heft,115,2514.0,25.35,SUCCESS,3.0
heft,116,2357.0,26.68,SUCCESS,3.0
heft,117,2901.0,25.5,SUCCESS,4.0
heft,118,2318.0,26.08,SUCCESS,3.0
heft,119,4057.0,27.61,SUCCESS,5.0
heft,120,3037.0,24.09,SUCCESS,4.0
heft,121,2146.0,26.41,SUCCESS,2.0
heft,122,2762.0,26.89,SUCCESS,3.0
heft,123,3503.0,25.26,SUCCESS,5.0
heft,124,2075.0,28.06,SUCCESS,1.0
heft,125,2667.0,25.28,SUCCESS,5.0
heft,126,2087.0,27.48,SUCCESS,1.0
heft,127,2928.0,24.21,SUCCESS,5.0
heft,128,,,SIM_ERRORSimulation still running after step limit,
heft,129,3023.0,24.25,SUCCESS,4.0
heft,130,2494.0,25.57,SUCCESS,4.0
heft,131,2465.0,25.83,SUCCESS,3.0
heft,132,2052.0,28.4,SUCCESS,1.0
heft,133,2140.0,27.64,SUCCESS,1.0
heft,134,3571.0,23.03,SUCCESS,5.0
heft,135,2739.0,25.66,SUCCESS,4.0
heft,136,3784.0,25.01,SUCCESS,5.0
heft,137,2062.0,28.95,SUCCESS,1.0
heft,138,2424.0,24.17,SUCCESS,1.0
heft,139,2817.0,24.76,SUCCESS,2.0
heft,140,3104.0,23.32,SUCCESS,3.0
heft,141,2261.0,26.86,SUCCESS,1.0
heft,142,2849.0,23.95,SUCCESS,4.0
heft,143,2110.0,27.87,SUCCESS,1.0
heft,144,5025.0,28.19,SUCCESS,4.0
heft,145,3890.0,23.21,SUCCESS,4.0
heft,146,,,SIM_ERRORSimulation still running after step limit,
heft,147,2688.0,25.63,SUCCESS,3.0
heft,148,2852.0,23.83,SUCCESS,2.0
heft,149,2098.0,28.03,SUCCESS,1.0
heft,150,2174.0,28.36,SUCCESS,1.0
heft,151,2144.0,27.75,SUCCESS,2.0
heft,152,2201.0,26.77,SUCCESS,1.0
heft,153,,,SIM_ERRORSimulation still running after step limit,
heft,154,2504.0,26.27,SUCCESS,1.0
heft,155,2153.0,26.0,SUCCESS,1.0
heft,156,3820.0,21.35,SUCCESS,4.0
heft,157,2819.0,23.8,SUCCESS,2.0
heft,158,2339.0,26.26,SUCCESS,3.0
heft,159,2295.0,26.69,SUCCESS,2.0
heft,160,,,SIM_ERRORSimulation still running after step limit,
heft,161,2428.0,25.65,SUCCESS,2.0
heft,162,3983.0,22.41,SUCCESS,4.0
heft,163,2781.0,24.64,SUCCESS,4.0
heft,164,2161.0,28.63,SUCCESS,1.0
heft,165,2576.0,25.04,SUCCESS,2.0
heft,166,,,SIM_ERRORSimulation still running after step limit,
heft,167,2433.0,26.32,SUCCESS,1.0
heft,168,2562.0,26.48,SUCCESS,4.0
heft,169,2746.0,25.57,SUCCESS,4.0
heft,170,3632.0,23.07,SUCCESS,5.0
heft,171,2151.0,27.73,SUCCESS,2.0
heft,172,2113.0,27.85,SUCCESS,1.0
heft,173,2991.0,23.94,SUCCESS,4.0
heft,174,2754.0,24.61,SUCCESS,2.0
heft,175,3641.0,22.5,SUCCESS,4.0
heft,176,2542.0,24.99,SUCCESS,1.0
heft,177,,,SIM_ERRORSimulation still running after step limit,
heft,178,2732.0,25.38,SUCCESS,2.0
heft,179,2386.0,26.34,SUCCESS,3.0
heft,180,2024.0,27.87,SUCCESS,1.0
heft,181,2196.0,28.31,SUCCESS,1.0
heft,182,,,SIM_ERRORSimulation still running after step limit,
heft,183,2851.0,25.18,SUCCESS,4.0
heft,184,2121.0,28.94,SUCCESS,2.0
heft,185,2530.0,25.78,SUCCESS,3.0
heft,186,2299.0,26.48,SUCCESS,2.0
heft,187,2231.0,28.14,SUCCESS,1.0
heft,188,2076.0,27.49,SUCCESS,1.0
heft,189,,,SIM_ERRORSimulation still running after step limit,
heft,190,2676.0,25.9,SUCCESS,3.0
heft,191,2709.0,26.35,SUCCESS,2.0
heft,192,2732.0,25.34,SUCCESS,5.0
heft,193,2204.0,28.2,SUCCESS,1.0
heft,194,2314.0,28.0,SUCCESS,1.0
heft,195,2096.0,27.61,SUCCESS,1.0
heft,196,2080.0,27.3,SUCCESS,1.0
heft,197,3649.0,27.53,SUCCESS,5.0
heft,198,2313.0,27.52,SUCCESS,3.0
heft,199,,,SIM_ERRORSimulation still running after step limit,
dls,100,2571.0,25.28,SUCCESS,5.0
dls,101,2771.0,25.78,SUCCESS,4.0
dls,102,2402.0,26.9,SUCCESS,3.0
dls,103,2851.0,24.97,SUCCESS,3.0
dls,104,2627.0,25.76,SUCCESS,2.0
dls,105,2708.0,25.34,SUCCESS,5.0
dls,106,3815.0,23.38,SUCCESS,5.0
dls,107,2243.0,29.46,SUCCESS,2.0
dls,108,3081.0,24.2,SUCCESS,4.0
dls,109,2451.0,27.15,SUCCESS,2.0
dls,110,2237.0,28.92,SUCCESS,1.0
dls,111,2236.0,28.5,SUCCESS,3.0
dls,112,2384.0,26.16,SUCCESS,2.0
dls,113,2670.0,26.21,SUCCESS,2.0
dls,114,2167.0,29.46,SUCCESS,2.0
dls,115,2170.0,27.42,SUCCESS,2.0
dls,116,,,SIM_ERRORSimulation still running after step limit,
dls,117,2610.0,27.25,SUCCESS,3.0
dls,118,3113.0,23.93,SUCCESS,5.0
dls,119,3196.0,24.41,SUCCESS,2.0
dls,120,2202.0,28.51,SUCCESS,2.0
dls,121,2226.0,28.89,SUCCESS,3.0
dls,122,2326.0,28.48,SUCCESS,1.0
dls,123,2184.0,30.04,SUCCESS,3.0
dls,124,2925.0,25.14,SUCCESS,4.0
dls,125,2457.0,27.82,SUCCESS,3.0
dls,126,2823.0,24.54,SUCCESS,2.0
dls,127,2671.0,25.39,SUCCESS,4.0
dls,128,2855.0,26.77,SUCCESS,4.0
dls,129,3231.0,23.49,SUCCESS,5.0
dls,130,2210.0,30.06,SUCCESS,2.0
dls,131,2195.0,30.05,SUCCESS,2.0
dls,132,2117.0,28.66,SUCCESS,2.0
dls,133,2164.0,28.02,SUCCESS,2.0
dls,134,2556.0,26.12,SUCCESS,1.0
dls,135,2276.0,28.26,SUCCESS,2.0
dls,136,2840.0,26.74,SUCCESS,3.0
dls,137,3333.0,23.15,SUCCESS,4.0
dls,138,2502.0,27.13,SUCCESS,3.0
dls,139,2630.0,27.03,SUCCESS,1.0
dls,140,3400.0,23.74,SUCCESS,4.0
dls,141,3385.0,23.9,SUCCESS,4.0
dls,142,2202.0,28.45,SUCCESS,1.0
dls,143,2212.0,28.19,SUCCESS,4.0
dls,144,3468.0,25.58,SUCCESS,3.0
dls,145,2600.0,25.42,SUCCESS,2.0
dls,146,2753.0,25.21,SUCCESS,1.0
dls,147,2737.0,26.74,SUCCESS,4.0
dls,148,4900.0,27.35,SUCCESS,3.0
dls,149,2163.0,30.1,SUCCESS,2.0
dls,150,2765.0,26.26,SUCCESS,5.0
dls,151,2665.0,25.47,SUCCESS,4.0
dls,152,2253.0,29.44,SUCCESS,3.0
dls,153,2349.0,27.63,SUCCESS,1.0
dls,154,2585.0,27.35,SUCCESS,2.0
dls,155,,,SIM_ERRORSimulation still running after step limit,
dls,156,2587.0,24.52,SUCCESS,1.0
dls,157,3760.0,22.83,SUCCESS,4.0
dls,158,2967.0,24.38,SUCCESS,5.0
dls,159,,,SIM_ERRORSimulation still running after step limit,
dls,160,3843.0,23.3,SUCCESS,3.0
dls,161,3893.0,22.85,SUCCESS,4.0
dls,162,2417.0,27.54,SUCCESS,2.0
dls,163,2844.0,26.14,SUCCESS,5.0
dls,164,2245.0,29.94,SUCCESS,3.0
dls,165,2651.0,26.1,SUCCESS,3.0
dls,166,3262.0,24.2,SUCCESS,3.0
dls,167,2469.0,26.88,SUCCESS,3.0
dls,168,2957.0,25.26,SUCCESS,5.0
dls,169,4046.0,22.83,SUCCESS,5.0
dls,170,2813.0,24.23,SUCCESS,4.0
dls,171,3736.0,23.74,SUCCESS,5.0
dls,172,2944.0,25.45,SUCCESS,5.0
dls,173,2760.0,25.42,SUCCESS,2.0
dls,174,3484.0,23.77,SUCCESS,4.0
dls,175,2541.0,26.38,SUCCESS,3.0
dls,176,,,SIM_ERRORSimulation still running after step limit,
dls,177,2340.0,28.47,SUCCESS,3.0
dls,178,2355.0,28.05,SUCCESS,1.0
dls,179,2229.0,30.98,SUCCESS,2.0
dls,180,2198.0,28.66,SUCCESS,4.0
dls,181,3684.0,24.56,SUCCESS,5.0
dls,182,2846.0,25.41,SUCCESS,1.0
dls,183,2263.0,29.08,SUCCESS,2.0
dls,184,2680.0,26.28,SUCCESS,3.0
