scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,2867.0,34.24,SUCCESS,1.0
simple,101,2956.0,34.04,SUCCESS,4.0
simple,102,4178.0,35.79,SUCCESS,4.0
simple,103,3811.0,30.88,SUCCESS,3.0
simple,104,4928.0,29.84,SUCCESS,2.0
simple,105,2886.0,35.65,SUCCESS,3.0
simple,106,2985.0,34.41,SUCCESS,1.0
simple,107,2872.0,35.53,SUCCESS,1.0
simple,108,3658.0,31.38,SUCCESS,3.0
simple,109,2901.0,34.07,SUCCESS,4.0
simple,110,4442.0,30.49,SUCCESS,3.0
simple,111,3523.0,31.25,SUCCESS,3.0
simple,112,2881.0,34.91,SUCCESS,3.0
simple,113,3142.0,33.65,SUCCESS,2.0
simple,114,4529.0,28.7,SUCCESS,3.0
simple,115,2821.0,35.94,SUCCESS,1.0
simple,116,2945.0,34.19,SUCCESS,2.0
simple,117,3410.0,31.52,SUCCESS,2.0
simple,118,3932.0,32.12,SUCCESS,4.0
simple,119,,,SIM_ERRORSimulation still running after step limit,
simple,120,4165.0,29.48,SUCCESS,5.0
simple,121,2733.0,35.88,SUCCESS,2.0
simple,122,3564.0,33.65,SUCCESS,2.0
simple,123,2952.0,34.78,SUCCESS,1.0
simple,124,2804.0,33.56,SUCCESS,1.0
simple,125,3115.0,32.82,SUCCESS,3.0
simple,126,4444.0,30.66,SUCCESS,4.0
simple,127,2913.0,34.92,SUCCESS,1.0
simple,128,4561.0,31.38,SUCCESS,2.0
simple,129,,,SIM_ERRORSimulation still running after step limit,
simple,130,3252.0,32.15,SUCCESS,4.0
simple,131,,,SIM_ERRORSimulation still running after step limit,
simple,132,3838.0,31.02,SUCCESS,5.0
simple,133,4011.0,31.14,SUCCESS,3.0
simple,134,2946.0,35.17,SUCCESS,2.0
simple,135,2932.0,32.98,SUCCESS,1.0
simple,136,3142.0,34.88,SUCCESS,2.0
simple,137,2833.0,35.56,SUCCESS,1.0
simple,138,2855.0,34.71,SUCCESS,2.0
simple,139,,,SIM_ERRORSimulation still running after step limit,
simple,140,2693.0,33.27,SUCCESS,1.0
simple,141,4012.0,29.58,SUCCESS,4.0
simple,142,,,SIM_ERRORSimulation still running after step limit,
simple,143,3439.0,32.22,SUCCESS,3.0
simple,144,4731.0,29.44,SUCCESS,3.0
simple,145,,,SIM_ERRORSimulation still running after step limit,
simple,146,4233.0,30.26,SUCCESS,1.0
simple,147,4151.0,31.45,SUCCESS,3.0
simple,148,4512.0,29.91,SUCCESS,4.0
simple,149,3852.0,32.38,SUCCESS,4.0
simple,150,,,SIM_ERRORSimulation still running after step limit,
simple,151,4137.0,31.98,SUCCESS,3.0
simple,152,3573.0,31.79,SUCCESS,4.0
simple,153,,,SIM_ERRORSimulation still running after step limit,
simple,154,2951.0,34.99,SUCCESS,1.0
simple,155,3329.0,32.5,SUCCESS,2.0
simple,156,,,SIM_ERRORSimulation still running after step limit,
simple,157,2996.0,33.41,SUCCESS,2.0
simple,158,2956.0,34.47,SUCCESS,4.0
simple,159,2910.0,35.37,SUCCESS,1.0
simple,160,,,SIM_ERRORSimulation still running after step limit,
simple,161,,,SIM_ERRORSimulation still running after step limit,
simple,162,2854.0,34.23,SUCCESS,3.0
simple,163,,,SIM_ERRORSimulation still running after step limit,
simple,164,2998.0,35.12,SUCCESS,2.0
simple,165,3819.0,30.77,SUCCESS,4.0
simple,166,2883.0,33.7,SUCCESS,2.0
simple,167,2956.0,33.3,SUCCESS,2.0
simple,168,2889.0,33.67,SUCCESS,2.0
simple,169,2974.0,36.29,SUCCESS,2.0
simple,170,3949.0,31.43,SUCCESS,4.0
simple,171,2874.0,33.89,SUCCESS,1.0
simple,172,4429.0,34.2,SUCCESS,4.0
simple,173,4469.0,30.22,SUCCESS,2.0
simple,174,,,SIM_ERRORSimulation still running after step limit,
simple,175,2887.0,35.41,SUCCESS,2.0
simple,176,4003.0,31.68,SUCCESS,5.0
simple,177,4306.0,30.0,SUCCESS,2.0
simple,178,3113.0,33.22,SUCCESS,2.0
simple,179,3778.0,31.75,SUCCESS,4.0
simple,180,2929.0,34.0,SUCCESS,3.0
simple,181,3020.0,34.81,SUCCESS,2.0
simple,182,2929.0,35.87,SUCCESS,3.0
simple,183,2951.0,34.44,SUCCESS,4.0
simple,184,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
simple,185,2913.0,34.75,SUCCESS,1.0
simple,186,2939.0,35.43,SUCCESS,3.0
simple,187,2954.0,34.62,SUCCESS,2.0
simple,188,2906.0,34.22,SUCCESS,2.0
simple,189,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
simple,190,2928.0,32.91,SUCCESS,3.0
simple,191,2931.0,34.12,SUCCESS,2.0
