scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,2599.0,27.42,SUCCESS,5.0
simple,101,2220.0,32.75,SUCCESS,1.0
simple,102,2578.0,26.71,SUCCESS,2.0
simple,103,2280.0,31.96,SUCCESS,4.0
simple,104,3805.0,24.24,SUCCESS,4.0
simple,105,3120.0,26.5,SUCCESS,5.0
simple,106,2751.0,28.47,SUCCESS,2.0
simple,107,2336.0,30.8,SUCCESS,2.0
simple,108,3265.0,23.94,SUCCESS,5.0
simple,109,2479.0,30.61,SUCCESS,2.0
simple,110,2343.0,29.43,SUCCESS,4.0
simple,111,3436.0,24.67,SUCCESS,4.0
simple,112,2130.0,32.23,SUCCESS,1.0
simple,113,2283.0,31.59,SUCCESS,2.0
simple,114,3003.0,26.86,SUCCESS,5.0
simple,115,2305.0,30.31,SUCCESS,2.0
simple,116,,,SIM_ERRORSimulation still running after step limit,
simple,117,2393.0,30.8,SUCCESS,2.0
simple,118,2272.0,33.13,SUCCESS,1.0
simple,119,2478.0,28.58,SUCCESS,3.0
simple,120,2354.0,30.17,SUCCESS,3.0
simple,121,3162.0,26.04,SUCCESS,5.0
simple,122,2396.0,32.47,SUCCESS,2.0
simple,123,3419.0,25.65,SUCCESS,5.0
simple,124,2194.0,34.67,SUCCESS,3.0
simple,125,2183.0,32.23,SUCCESS,2.0
simple,126,2189.0,32.58,SUCCESS,1.0
simple,127,2194.0,32.09,SUCCESS,1.0
simple,128,2792.0,28.19,SUCCESS,2.0
simple,129,2659.0,27.89,SUCCESS,3.0
simple,130,,,SIM_ERRORSimulation still running after step limit,
simple,131,2835.0,26.17,SUCCESS,4.0
simple,132,2722.0,27.29,SUCCESS,5.0
simple,133,2234.0,33.94,SUCCESS,1.0
simple,134,2241.0,32.2,SUCCESS,1.0
simple,135,2257.0,31.62,SUCCESS,1.0
simple,136,2405.0,31.92,SUCCESS,4.0
simple,137,2416.0,28.84,SUCCESS,4.0
simple,138,2789.0,26.46,SUCCESS,5.0
simple,139,2883.0,28.15,SUCCESS,4.0
simple,140,2111.0,33.47,SUCCESS,3.0
simple,141,2324.0,30.09,SUCCESS,2.0
simple,142,3405.0,24.87,SUCCESS,4.0
simple,143,4167.0,22.95,SUCCESS,5.0
simple,144,3033.0,26.83,SUCCESS,5.0
simple,145,2242.0,31.32,SUCCESS,2.0
simple,146,2825.0,26.29,SUCCESS,2.0
simple,147,2263.0,31.51,SUCCESS,2.0
simple,148,3068.0,24.76,SUCCESS,4.0
simple,149,2763.0,26.96,SUCCESS,3.0
simple,150,2364.0,30.02,SUCCESS,2.0
simple,151,2766.0,27.09,SUCCESS,3.0
simple,152,2667.0,27.34,SUCCESS,5.0
simple,153,,,SIM_ERRORSimulation still running after step limit,
simple,154,2447.0,29.5,SUCCESS,2.0
simple,155,2729.0,27.5,SUCCESS,2.0
simple,156,2185.0,32.62,SUCCESS,1.0
simple,157,3802.0,24.53,SUCCESS,3.0
simple,158,2292.0,31.44,SUCCESS,4.0
simple,159,2964.0,26.23,SUCCESS,4.0
simple,160,2258.0,32.81,SUCCESS,2.0
simple,161,2962.0,26.46,SUCCESS,3.0
simple,162,2716.0,26.99,SUCCESS,4.0
simple,163,2842.0,27.26,SUCCESS,4.0
simple,164,2295.0,32.58,SUCCESS,1.0
simple,165,2744.0,27.93,SUCCESS,3.0
simple,166,,,SIM_ERRORSimulation still running after step limit,
simple,167,2472.0,29.76,SUCCESS,3.0
simple,168,2920.0,27.29,SUCCESS,5.0
simple,169,2211.0,32.11,SUCCESS,2.0
simple,170,2106.0,32.66,SUCCESS,2.0
simple,171,2170.0,33.08,SUCCESS,2.0
simple,172,2607.0,28.39,SUCCESS,4.0
simple,173,2720.0,26.47,SUCCESS,3.0
simple,174,2890.0,27.3,SUCCESS,4.0
simple,175,2517.0,28.84,SUCCESS,4.0
simple,176,2244.0,31.39,SUCCESS,2.0
simple,177,2526.0,28.3,SUCCESS,1.0
simple,178,3101.0,25.17,SUCCESS,3.0
simple,179,2190.0,32.87,SUCCESS,1.0
simple,180,2127.0,32.82,SUCCESS,1.0
simple,181,,,SIM_ERRORSimulation still running after step limit,
simple,182,2243.0,32.47,SUCCESS,3.0
simple,183,2264.0,32.88,SUCCESS,1.0
simple,184,2572.0,30.07,SUCCESS,3.0
simple,185,2694.0,28.41,SUCCESS,3.0
simple,186,2259.0,32.82,SUCCESS,2.0
simple,187,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
simple,188,2302.0,29.34,SUCCESS,3.0
simple,189,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
simple,190,3042.0,27.06,SUCCESS,5.0
simple,191,3339.0,25.53,SUCCESS,5.0
simple,192,2198.0,30.98,SUCCESS,2.0
simple,193,2381.0,31.6,SUCCESS,2.0
simple,194,2265.0,31.84,SUCCESS,2.0
simple,195,2639.0,28.62,SUCCESS,4.0
simple,196,3388.0,26.11,SUCCESS,5.0
simple,197,2587.0,28.32,SUCCESS,3.0
simple,198,3401.0,23.72,SUCCESS,5.0
simple,199,2173.0,30.51,SUCCESS,2.0
heft,100,2173.0,31.3,SUCCESS,2.0
heft,101,2717.0,26.13,SUCCESS,3.0
heft,102,4081.0,23.0,SUCCESS,5.0
heft,103,3371.0,25.47,SUCCESS,5.0
heft,104,2728.0,26.81,SUCCESS,2.0
heft,105,2112.0,30.85,SUCCESS,1.0
heft,106,2814.0,28.12,SUCCESS,4.0
heft,107,2336.0,31.06,SUCCESS,2.0
heft,108,2449.0,29.61,SUCCESS,4.0
heft,109,2214.0,32.53,SUCCESS,1.0
heft,110,2262.0,31.55,SUCCESS,3.0
heft,111,,,SIM_ERRORSimulation still running after step limit,
heft,112,2447.0,28.9,SUCCESS,3.0
heft,113,2757.0,25.98,SUCCESS,3.0
heft,114,2255.0,33.53,SUCCESS,1.0
heft,115,2199.0,33.98,SUCCESS,1.0
heft,116,3688.0,24.14,SUCCESS,3.0
heft,117,2832.0,26.32,SUCCESS,5.0
heft,118,2697.0,26.16,SUCCESS,3.0
heft,119,2594.0,28.63,SUCCESS,4.0
heft,120,2206.0,32.89,SUCCESS,2.0
heft,121,1988.0,31.72,SUCCESS,1.0
heft,122,2637.0,27.86,SUCCESS,3.0
heft,123,2917.0,29.37,SUCCESS,2.0
heft,124,2125.0,32.91,SUCCESS,1.0
heft,125,2131.0,31.82,SUCCESS,1.0
heft,126,2293.0,30.92,SUCCESS,2.0
heft,127,2271.0,29.79,SUCCESS,2.0
heft,128,2836.0,26.81,SUCCESS,3.0
heft,129,3381.0,24.67,SUCCESS,5.0
heft,130,3642.0,23.83,SUCCESS,4.0
heft,131,2540.0,29.13,SUCCESS,2.0
heft,132,2102.0,32.92,SUCCESS,1.0
heft,133,2291.0,32.68,SUCCESS,2.0
heft,134,2256.0,34.34,SUCCESS,2.0
heft,135,2265.0,32.19,SUCCESS,2.0
heft,136,2316.0,32.23,SUCCESS,1.0
heft,137,,,SIM_ERRORSimulation still running after step limit,
heft,138,2580.0,27.52,SUCCESS,3.0
heft,139,2238.0,32.51,SUCCESS,2.0
heft,140,2543.0,28.09,SUCCESS,5.0
heft,141,2192.0,31.63,SUCCESS,1.0
heft,142,2207.0,33.44,SUCCESS,1.0
heft,143,2589.0,29.7,SUCCESS,4.0
heft,144,2855.0,26.63,SUCCESS,4.0
heft,145,4053.0,22.86,SUCCESS,5.0
heft,146,3271.0,25.61,SUCCESS,4.0
heft,147,2209.0,32.08,SUCCESS,1.0
heft,148,2908.0,27.6,SUCCESS,3.0
