scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,762.0,37.43,SUCCESS,2.0
simple,101,753.0,32.44,SUCCESS,2.0
simple,102,841.0,35.08,SUCCESS,4.0
simple,103,1144.0,28.85,SUCCESS,5.0
simple,104,836.0,32.39,SUCCESS,3.0
simple,105,898.0,32.54,SUCCESS,3.0
simple,106,825.0,36.12,SUCCESS,1.0
simple,107,970.0,32.65,SUCCESS,2.0
simple,108,920.0,30.33,SUCCESS,4.0
simple,109,734.0,37.53,SUCCESS,1.0
simple,110,773.0,29.24,SUCCESS,5.0
simple,111,718.0,34.75,SUCCESS,1.0
simple,112,790.0,35.89,SUCCESS,4.0
simple,113,965.0,33.83,SUCCESS,4.0
simple,114,914.0,33.32,SUCCESS,2.0
simple,115,695.0,36.83,SUCCESS,1.0
simple,116,755.0,34.01,SUCCESS,1.0
simple,117,930.0,34.6,SUCCESS,4.0
simple,118,811.0,35.39,SUCCESS,2.0
simple,119,802.0,32.67,SUCCESS,1.0
simple,120,847.0,36.98,SUCCESS,3.0
simple,121,873.0,31.33,SUCCESS,2.0
simple,122,1097.0,29.01,SUCCESS,5.0
simple,123,807.0,35.72,SUCCESS,2.0
simple,124,734.0,36.07,SUCCESS,5.0
simple,125,845.0,37.22,SUCCESS,4.0
simple,126,934.0,36.78,SUCCESS,2.0
simple,127,653.0,34.84,SUCCESS,3.0
simple,128,1123.0,27.96,SUCCESS,5.0
simple,129,670.0,34.25,SUCCESS,1.0
simple,130,1065.0,28.78,SUCCESS,5.0
simple,131,753.0,35.66,SUCCESS,5.0
simple,132,849.0,35.66,SUCCESS,4.0
simple,133,904.0,30.37,SUCCESS,2.0
simple,134,997.0,26.71,SUCCESS,4.0
simple,135,1042.0,26.75,SUCCESS,5.0
simple,136,780.0,34.81,SUCCESS,1.0
simple,137,790.0,40.41,SUCCESS,3.0
simple,138,837.0,31.54,SUCCESS,3.0
simple,139,754.0,32.66,SUCCESS,1.0
simple,140,786.0,34.89,SUCCESS,1.0
simple,141,730.0,38.63,SUCCESS,1.0
simple,142,1125.0,27.78,SUCCESS,4.0
simple,143,699.0,37.16,SUCCESS,3.0
simple,144,825.0,34.91,SUCCESS,5.0
simple,145,1044.0,28.93,SUCCESS,5.0
simple,146,1349.0,27.67,SUCCESS,4.0
simple,147,751.0,34.99,SUCCESS,1.0
simple,148,774.0,32.59,SUCCESS,1.0
simple,149,835.0,34.22,SUCCESS,1.0
simple,150,992.0,33.67,SUCCESS,5.0
simple,151,983.0,26.58,SUCCESS,5.0
simple,152,821.0,36.85,SUCCESS,2.0
simple,153,933.0,29.13,SUCCESS,4.0
simple,154,853.0,35.2,SUCCESS,2.0
simple,155,924.0,36.39,SUCCESS,5.0
simple,156,853.0,34.7,SUCCESS,2.0
simple,157,999.0,28.33,SUCCESS,3.0
simple,158,681.0,35.83,SUCCESS,2.0
simple,159,844.0,37.47,SUCCESS,3.0
simple,160,815.0,36.5,SUCCESS,3.0
simple,161,724.0,33.11,SUCCESS,1.0
simple,162,822.0,32.39,SUCCESS,2.0
simple,163,842.0,32.78,SUCCESS,4.0
simple,164,905.0,35.5,SUCCESS,2.0
simple,165,822.0,35.71,SUCCESS,1.0
simple,166,908.0,33.89,SUCCESS,3.0
simple,167,646.0,33.44,SUCCESS,1.0
simple,168,831.0,35.29,SUCCESS,4.0
simple,169,1083.0,29.36,SUCCESS,5.0
simple,170,947.0,30.39,SUCCESS,2.0
simple,171,836.0,27.63,SUCCESS,4.0
simple,172,1103.0,26.81,SUCCESS,5.0
simple,173,820.0,33.78,SUCCESS,1.0
simple,174,886.0,29.85,SUCCESS,5.0
simple,175,918.0,37.04,SUCCESS,1.0
simple,176,866.0,34.61,SUCCESS,5.0
simple,177,897.0,36.62,SUCCESS,1.0
simple,178,787.0,32.75,SUCCESS,2.0
simple,179,731.0,35.19,SUCCESS,5.0
simple,180,772.0,35.65,SUCCESS,4.0
simple,181,826.0,36.74,SUCCESS,4.0
simple,182,734.0,38.56,SUCCESS,1.0
simple,183,707.0,37.27,SUCCESS,4.0
simple,184,830.0,35.09,SUCCESS,2.0
simple,185,902.0,31.87,SUCCESS,4.0
simple,186,786.0,37.4,SUCCESS,2.0
simple,187,918.0,33.47,SUCCESS,2.0
simple,188,1017.0,28.49,SUCCESS,4.0
simple,189,756.0,37.57,SUCCESS,4.0
simple,190,924.0,32.03,SUCCESS,5.0
simple,191,989.0,31.93,SUCCESS,4.0
simple,192,740.0,39.22,SUCCESS,5.0
simple,193,1105.0,27.01,SUCCESS,5.0
simple,194,1043.0,28.79,SUCCESS,3.0
simple,195,808.0,33.85,SUCCESS,4.0
simple,196,673.0,37.3,SUCCESS,2.0
simple,197,713.0,36.15,SUCCESS,5.0
simple,198,654.0,33.37,SUCCESS,1.0
simple,199,967.0,29.73,SUCCESS,3.0
heft,100,724.0,34.19,SUCCESS,1.0
heft,101,776.0,34.02,SUCCESS,3.0
heft,102,837.0,33.96,SUCCESS,3.0
heft,103,1048.0,29.48,SUCCESS,4.0
heft,104,827.0,32.16,SUCCESS,1.0
heft,105,1017.0,26.97,SUCCESS,5.0
heft,106,918.0,30.12,SUCCESS,3.0
heft,107,988.0,30.82,SUCCESS,3.0
heft,108,971.0,29.02,SUCCESS,5.0
heft,109,930.0,29.01,SUCCESS,5.0
heft,110,695.0,38.2,SUCCESS,4.0
heft,111,733.0,32.37,SUCCESS,5.0
heft,112,772.0,38.76,SUCCESS,3.0
heft,113,917.0,32.93,SUCCESS,3.0
heft,114,927.0,34.98,SUCCESS,4.0
heft,115,715.0,35.52,SUCCESS,3.0
heft,116,784.0,35.91,SUCCESS,3.0
heft,117,935.0,34.63,SUCCESS,5.0
heft,118,805.0,34.63,SUCCESS,1.0
heft,119,1055.0,26.0,SUCCESS,5.0
heft,120,805.0,33.42,SUCCESS,1.0
heft,121,998.0,27.88,SUCCESS,4.0
heft,122,866.0,33.4,SUCCESS,2.0
heft,123,982.0,29.48,SUCCESS,4.0
heft,124,696.0,28.88,SUCCESS,3.0
heft,125,813.0,35.61,SUCCESS,3.0
heft,126,879.0,33.99,SUCCESS,1.0
heft,127,639.0,33.37,SUCCESS,2.0
heft,128,965.0,33.96,SUCCESS,3.0
heft,129,994.0,22.76,SUCCESS,5.0
heft,130,888.0,34.83,SUCCESS,4.0
heft,131,712.0,31.6,SUCCESS,2.0
heft,132,881.0,32.29,SUCCESS,5.0
heft,133,897.0,29.88,SUCCESS,1.0
heft,134,,,SIM_ERRORSimulation still running after step limit,
heft,135,879.0,28.44,SUCCESS,4.0
heft,136,780.0,27.98,SUCCESS,1.0
heft,137,842.0,34.41,SUCCESS,5.0
heft,138,849.0,33.07,SUCCESS,4.0
heft,139,765.0,35.56,SUCCESS,2.0
heft,140,808.0,33.08,SUCCESS,2.0
heft,141,910.0,33.16,SUCCESS,5.0
heft,142,917.0,30.83,SUCCESS,2.0
heft,143,657.0,35.58,SUCCESS,1.0
heft,144,784.0,34.79,SUCCESS,3.0
heft,145,861.0,34.79,SUCCESS,1.0
heft,146,1184.0,26.96,SUCCESS,3.0
heft,147,757.0,34.87,SUCCESS,2.0
heft,148,830.0,34.22,SUCCESS,3.0
heft,149,1007.0,29.25,SUCCESS,4.0
heft,150,889.0,35.38,SUCCESS,2.0
heft,151,878.0,28.5,SUCCESS,2.0
heft,152,855.0,32.11,SUCCESS,4.0
heft,153,834.0,32.28,SUCCESS,1.0
heft,154,1010.0,28.76,SUCCESS,5.0
heft,155,908.0,32.79,SUCCESS,3.0
heft,156,966.0,26.58,SUCCESS,4.0
heft,157,921.0,30.67,SUCCESS,2.0
heft,158,655.0,33.09,SUCCESS,1.0
heft,159,949.0,33.4,SUCCESS,4.0
heft,160,907.0,30.29,SUCCESS,5.0
heft,161,746.0,33.48,SUCCESS,2.0
heft,162,860.0,33.66,SUCCESS,4.0
heft,163,790.0,33.45,SUCCESS,1.0
heft,164,1042.0,28.0,SUCCESS,4.0
heft,165,829.0,34.86,SUCCESS,2.0
heft,166,850.0,31.79,SUCCESS,2.0
heft,167,673.0,39.9,SUCCESS,2.0
heft,168,821.0,30.72,SUCCESS,2.0
heft,169,916.0,35.29,SUCCESS,2.0
heft,170,961.0,30.15,SUCCESS,3.0
heft,171,768.0,29.49,SUCCESS,3.0
heft,172,840.0,31.99,SUCCESS,1.0
heft,173,840.0,37.23,SUCCESS,2.0
heft,174,838.0,30.7,SUCCESS,4.0
heft,175,942.0,32.11,SUCCESS,2.0
heft,176,803.0,32.47,SUCCESS,1.0
heft,177,1052.0,28.47,SUCCESS,5.0
heft,178,791.0,32.24,SUCCESS,3.0
heft,179,722.0,34.83,SUCCESS,4.0
heft,180,791.0,34.01,SUCCESS,5.0
heft,181,795.0,33.84,SUCCESS,2.0
heft,182,867.0,30.85,SUCCESS,5.0
heft,183,693.0,34.24,SUCCESS,2.0
heft,184,1259.0,24.6,SUCCESS,5.0
heft,185,889.0,34.08,SUCCESS,3.0
heft,186,783.0,34.58,SUCCESS,1.0
heft,187,1119.0,27.64,SUCCESS,4.0
heft,188,1062.0,27.82,SUCCESS,5.0
heft,189,843.0,32.92,SUCCESS,5.0
heft,190,881.0,33.54,SUCCESS,3.0
heft,191,876.0,33.56,SUCCESS,2.0
heft,192,727.0,35.35,SUCCESS,4.0
heft,193,918.0,35.16,SUCCESS,3.0
heft,194,908.0,29.52,SUCCESS,1.0
heft,195,786.0,30.73,SUCCESS,3.0
heft,196,677.0,35.38,SUCCESS,3.0
heft,197,680.0,33.93,SUCCESS,1.0
heft,198,811.0,27.84,SUCCESS,4.0
heft,199,778.0,34.74,SUCCESS,2.0
dls,100,787.0,30.94,SUCCESS,3.0
dls,101,943.0,27.73,SUCCESS,5.0
dls,102,821.0,37.82,SUCCESS,2.0
dls,103,913.0,32.94,SUCCESS,2.0
dls,104,828.0,33.06,SUCCESS,2.0
dls,105,900.0,36.31,SUCCESS,4.0
dls,106,893.0,31.13,SUCCESS,2.0
dls,107,1508.0,26.66,SUCCESS,4.0
dls,108,818.0,33.86,SUCCESS,2.0
dls,109,764.0,38.25,SUCCESS,2.0
dls,110,685.0,36.82,SUCCESS,1.0
dls,111,728.0,36.44,SUCCESS,3.0
dls,112,770.0,36.72,SUCCESS,2.0
dls,113,915.0,34.15,SUCCESS,2.0
dls,114,1069.0,27.74,SUCCESS,5.0
dls,115,699.0,38.2,SUCCESS,2.0
dls,116,907.0,29.38,SUCCESS,5.0
dls,117,924.0,33.58,SUCCESS,3.0
dls,118,925.0,30.76,SUCCESS,3.0
dls,119,803.0,37.05,SUCCESS,2.0
dls,120,817.0,35.83,SUCCESS,2.0
dls,121,1150.0,25.76,SUCCESS,5.0
dls,122,903.0,36.27,SUCCESS,3.0
