scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,4220.0,23.0,SUCCESS,5.0
simple,101,2255.0,32.36,SUCCESS,2.0
simple,102,4250.0,23.16,SUCCESS,5.0
simple,103,2522.0,28.89,SUCCESS,1.0
simple,104,2706.0,27.48,SUCCESS,5.0
simple,105,2623.0,28.38,SUCCESS,5.0
simple,106,3595.0,24.06,SUCCESS,5.0
simple,107,2475.0,28.35,SUCCESS,3.0
simple,108,3884.0,24.68,SUCCESS,5.0
simple,109,2277.0,31.16,SUCCESS,3.0
simple,110,2211.0,31.54,SUCCESS,1.0
simple,111,2462.0,28.01,SUCCESS,4.0
simple,112,2216.0,30.84,SUCCESS,1.0
simple,113,2224.0,30.79,SUCCESS,1.0
simple,114,2792.0,28.67,SUCCESS,3.0
simple,115,3246.0,25.06,SUCCESS,3.0
simple,116,2606.0,28.27,SUCCESS,4.0
simple,117,2254.0,32.58,SUCCESS,3.0
simple,118,2513.0,28.93,SUCCESS,3.0
simple,119,2288.0,32.12,SUCCESS,3.0
simple,120,3319.0,25.27,SUCCESS,5.0
simple,121,3634.0,24.29,SUCCESS,4.0
simple,122,2293.0,32.52,SUCCESS,2.0
simple,123,2289.0,33.11,SUCCESS,1.0
simple,124,2304.0,32.91,SUCCESS,1.0
simple,125,2864.0,27.27,SUCCESS,5.0
simple,126,2316.0,32.83,SUCCESS,5.0
simple,127,2546.0,28.06,SUCCESS,4.0
simple,128,3811.0,23.88,SUCCESS,5.0
simple,129,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
simple,130,2370.0,31.58,SUCCESS,4.0
simple,131,2822.0,26.97,SUCCESS,4.0
simple,132,,,SIM_ERRORSimulation still running after step limit,
simple,133,2278.0,31.57,SUCCESS,2.0
simple,134,,,SIM_ERRORSimulation still running after step limit,
simple,135,3312.0,25.39,SUCCESS,4.0
simple,136,3084.0,26.83,SUCCESS,4.0
simple,137,2987.0,26.5,SUCCESS,3.0
simple,138,2714.0,28.75,SUCCESS,3.0
simple,139,2265.0,31.84,SUCCESS,1.0
simple,140,,,SIM_ERRORSimulation still running after step limit,
simple,141,2243.0,31.91,SUCCESS,1.0
simple,142,3626.0,24.8,SUCCESS,4.0
simple,143,2469.0,28.38,SUCCESS,3.0
simple,144,2812.0,26.31,SUCCESS,2.0
simple,145,2274.0,31.46,SUCCESS,2.0
simple,146,2986.0,26.61,SUCCESS,5.0
simple,147,2316.0,31.5,SUCCESS,3.0
simple,148,2992.0,26.9,SUCCESS,5.0
simple,149,2456.0,29.63,SUCCESS,2.0
simple,150,2372.0,31.84,SUCCESS,2.0
simple,151,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
simple,152,,,SIM_ERRORSimulation still running after step limit,
simple,153,,,SIM_ERRORSimulation still running after step limit,
simple,154,2654.0,27.38,SUCCESS,2.0
simple,155,2282.0,32.6,SUCCESS,1.0
simple,156,3125.0,26.31,SUCCESS,4.0
simple,157,2673.0,27.98,SUCCESS,2.0
simple,158,2345.0,30.8,SUCCESS,3.0
simple,159,2790.0,26.64,SUCCESS,4.0
simple,160,2511.0,27.79,SUCCESS,4.0
simple,161,3402.0,25.24,SUCCESS,4.0
simple,162,4435.0,22.22,SUCCESS,4.0
simple,163,2754.0,26.71,SUCCESS,4.0
simple,164,2381.0,31.18,SUCCESS,4.0
simple,165,2694.0,27.56,SUCCESS,3.0
simple,166,3140.0,25.4,SUCCESS,4.0
simple,167,2285.0,33.18,SUCCESS,1.0
simple,168,3428.0,25.4,SUCCESS,4.0
simple,169,2390.0,30.31,SUCCESS,4.0
simple,170,3360.0,24.87,SUCCESS,3.0
simple,171,2519.0,29.8,SUCCESS,2.0
simple,172,2330.0,31.16,SUCCESS,3.0
simple,173,2423.0,29.93,SUCCESS,2.0
simple,174,,,SIM_ERRORSimulation still running after step limit,
simple,175,2680.0,28.54,SUCCESS,3.0
simple,176,2287.0,30.53,SUCCESS,1.0
simple,177,2448.0,30.14,SUCCESS,3.0
simple,178,2328.0,31.54,SUCCESS,1.0
simple,179,2377.0,29.71,SUCCESS,1.0
simple,180,2267.0,31.59,SUCCESS,2.0
simple,181,2237.0,32.24,SUCCESS,2.0
simple,182,3148.0,25.98,SUCCESS,5.0
simple,183,2343.0,31.38,SUCCESS,2.0
simple,184,2754.0,27.01,SUCCESS,4.0
simple,185,2748.0,27.43,SUCCESS,5.0
simple,186,2244.0,30.75,SUCCESS,1.0
simple,187,,,SIM_ERRORSimulation still running after step limit,
simple,188,2393.0,29.81,SUCCESS,1.0
simple,189,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
simple,190,3386.0,25.21,SUCCESS,5.0
simple,191,2516.0,29.87,SUCCESS,2.0
simple,192,2784.0,27.46,SUCCESS,4.0
simple,193,2346.0,31.28,SUCCESS,2.0
