scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,1442.0,27.81,SUCCESS,5.0
simple,101,1493.0,26.37,SUCCESS,5.0
simple,102,1221.0,31.31,SUCCESS,3.0
simple,103,1215.0,31.73,SUCCESS,4.0
simple,104,1154.0,30.81,SUCCESS,1.0
simple,105,1424.0,27.62,SUCCESS,3.0
simple,106,1453.0,27.32,SUCCESS,5.0
simple,107,1199.0,30.71,SUCCESS,3.0
simple,108,1176.0,31.87,SUCCESS,2.0
simple,109,1413.0,26.91,SUCCESS,4.0
simple,110,1194.0,31.62,SUCCESS,2.0
simple,111,1185.0,31.2,SUCCESS,3.0
simple,112,1553.0,25.4,SUCCESS,3.0
simple,113,1506.0,26.46,SUCCESS,4.0
simple,114,1697.0,25.34,SUCCESS,5.0
simple,115,1314.0,31.87,SUCCESS,4.0
simple,116,1484.0,27.51,SUCCESS,4.0
simple,117,1447.0,27.52,SUCCESS,4.0
simple,118,1864.0,24.4,SUCCESS,5.0
simple,119,1164.0,30.67,SUCCESS,1.0
simple,120,1332.0,29.17,SUCCESS,5.0
simple,121,1858.0,24.73,SUCCESS,5.0
simple,122,1180.0,31.36,SUCCESS,1.0
simple,123,1196.0,32.69,SUCCESS,2.0
simple,124,1344.0,29.19,SUCCESS,1.0
simple,125,1194.0,32.62,SUCCESS,4.0
simple,126,1460.0,26.28,SUCCESS,2.0
simple,127,1168.0,30.2,SUCCESS,2.0
simple,128,1174.0,31.71,SUCCESS,2.0
simple,129,1203.0,31.9,SUCCESS,2.0
simple,130,1198.0,31.39,SUCCESS,1.0
simple,131,1261.0,30.1,SUCCESS,4.0
simple,132,1464.0,28.4,SUCCESS,3.0
simple,133,1366.0,29.43,SUCCESS,5.0
simple,134,1587.0,26.84,SUCCESS,5.0
simple,135,1232.0,33.64,SUCCESS,4.0
simple,136,1181.0,32.39,SUCCESS,2.0
simple,137,1196.0,30.96,SUCCESS,3.0
simple,138,1179.0,31.62,SUCCESS,1.0
simple,139,1250.0,32.62,SUCCESS,3.0
simple,140,1135.0,31.08,SUCCESS,1.0
simple,141,1163.0,31.75,SUCCESS,4.0
simple,142,1207.0,32.75,SUCCESS,2.0
