scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,857,46.24,SUCCESS,2.0
simple,101,837,45.04,SUCCESS,1.0
simple,102,867,44.87,SUCCESS,5.0
simple,103,822,43.46,SUCCESS,1.0
simple,104,810,43.89,SUCCESS,2.0
simple,105,857,45.65,SUCCESS,4.0
simple,106,917,36.37,SUCCESS,2.0
simple,107,856,43.57,SUCCESS,3.0
simple,108,872,45.56,SUCCESS,4.0
simple,109,860,41.42,SUCCESS,3.0
simple,110,838,45.11,SUCCESS,1.0
simple,111,850,46.82,SUCCESS,2.0
simple,112,867,46.19,SUCCESS,4.0
simple,113,879,48.15,SUCCESS,5.0
simple,114,861,47.36,SUCCESS,3.0
simple,115,809,42.99,SUCCESS,1.0
simple,116,980,30.48,SUCCESS,4.0
simple,117,864,46.56,SUCCESS,3.0
simple,118,802,45.95,SUCCESS,4.0
simple,119,913,49.01,SUCCESS,5.0
simple,120,888,46.06,SUCCESS,4.0
simple,121,1305,23.45,SUCCESS,4.0
simple,122,876,49.49,SUCCESS,4.0
simple,123,837,44.53,SUCCESS,1.0
simple,124,851,42.71,SUCCESS,1.0
simple,125,832,43.81,SUCCESS,2.0
simple,126,863,47.13,SUCCESS,1.0
simple,127,801,42.54,SUCCESS,1.0
simple,128,901,41.84,SUCCESS,4.0
simple,129,927,48.6,SUCCESS,3.0
simple,130,802,41.74,SUCCESS,1.0
simple,131,888,46.88,SUCCESS,4.0
simple,132,834,43.85,SUCCESS,2.0
simple,133,849,46.02,SUCCESS,1.0
simple,134,985,31.09,SUCCESS,5.0
simple,135,888,38.09,SUCCESS,4.0
simple,136,951,31.05,SUCCESS,4.0
simple,137,1022,34.74,SUCCESS,5.0
simple,138,865,45.98,SUCCESS,3.0
simple,139,861,45.64,SUCCESS,3.0
simple,140,837,45.91,SUCCESS,1.0
simple,141,866,46.25,SUCCESS,2.0
simple,142,820,43.51,SUCCESS,3.0
simple,143,867,45.04,SUCCESS,5.0
simple,144,1227,35.43,SUCCESS,5.0
simple,145,832,45.61,SUCCESS,3.0
simple,146,863,45.77,SUCCESS,4.0
simple,147,854,44.15,SUCCESS,3.0
simple,148,849,45.26,SUCCESS,3.0
simple,149,876,38.1,SUCCESS,4.0
simple,150,908,48.6,SUCCESS,5.0
simple,151,858,45.54,SUCCESS,4.0
simple,152,888,47.18,SUCCESS,3.0
simple,153,877,45.95,SUCCESS,4.0
simple,154,880,46.16,SUCCESS,4.0
simple,155,903,49.61,SUCCESS,3.0
simple,156,858,44.73,SUCCESS,3.0
simple,157,863,45.94,SUCCESS,2.0
simple,158,882,44.84,SUCCESS,3.0
simple,159,961,39.0,SUCCESS,5.0
simple,160,887,43.57,SUCCESS,4.0
simple,161,867,47.09,SUCCESS,3.0
simple,162,867,45.21,SUCCESS,2.0
simple,163,850,37.74,SUCCESS,2.0
