scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,870.0,26.72,SUCCESS,5.0
simple,101,775.0,31.23,SUCCESS,4.0
simple,102,768.0,29.98,SUCCESS,2.0
simple,103,854.0,27.34,SUCCESS,4.0
simple,104,796.0,30.62,SUCCESS,3.0
simple,105,794.0,30.89,SUCCESS,4.0
simple,106,782.0,33.57,SUCCESS,3.0
simple,107,784.0,30.61,SUCCESS,2.0
simple,108,788.0,31.38,SUCCESS,5.0
simple,109,758.0,31.73,SUCCESS,1.0
simple,110,786.0,30.28,SUCCESS,3.0
simple,111,937.0,24.81,SUCCESS,5.0
simple,112,772.0,31.77,SUCCESS,2.0
simple,113,747.0,31.53,SUCCESS,2.0
simple,114,764.0,30.79,SUCCESS,3.0
simple,115,767.0,29.47,SUCCESS,3.0
simple,116,771.0,32.49,SUCCESS,2.0
simple,117,745.0,29.6,SUCCESS,2.0
simple,118,1057.0,24.83,SUCCESS,5.0
simple,119,755.0,29.77,SUCCESS,1.0
simple,120,774.0,30.94,SUCCESS,3.0
simple,121,769.0,28.9,SUCCESS,2.0
simple,122,789.0,32.76,SUCCESS,4.0
simple,123,937.0,26.65,SUCCESS,5.0
simple,124,867.0,29.21,SUCCESS,4.0
simple,125,837.0,28.35,SUCCESS,4.0
simple,126,802.0,30.83,SUCCESS,3.0
simple,127,837.0,28.88,SUCCESS,4.0
simple,128,751.0,28.73,SUCCESS,2.0
simple,129,934.0,27.6,SUCCESS,4.0
simple,130,805.0,31.12,SUCCESS,5.0
simple,131,795.0,32.67,SUCCESS,5.0
simple,132,793.0,31.05,SUCCESS,2.0
simple,133,821.0,27.95,SUCCESS,2.0
simple,134,734.0,30.11,SUCCESS,1.0
simple,135,846.0,29.28,SUCCESS,5.0
simple,136,771.0,28.02,SUCCESS,4.0
simple,137,769.0,31.6,SUCCESS,3.0
simple,138,799.0,26.66,SUCCESS,4.0
simple,139,780.0,32.47,SUCCESS,2.0
simple,140,940.0,26.78,SUCCESS,5.0
simple,141,808.0,30.79,SUCCESS,2.0
simple,142,919.0,25.79,SUCCESS,4.0
simple,143,804.0,28.98,SUCCESS,4.0
simple,144,780.0,32.69,SUCCESS,5.0
simple,145,794.0,32.56,SUCCESS,3.0
simple,146,934.0,25.46,SUCCESS,5.0
simple,147,779.0,31.68,SUCCESS,1.0
simple,148,769.0,29.58,SUCCESS,1.0
simple,149,766.0,31.33,SUCCESS,3.0
simple,150,749.0,28.17,SUCCESS,2.0
simple,151,782.0,32.35,SUCCESS,3.0
simple,152,959.0,28.47,SUCCESS,5.0
simple,153,770.0,31.4,SUCCESS,2.0
simple,154,765.0,28.01,SUCCESS,3.0
simple,155,899.0,27.75,SUCCESS,3.0
simple,156,988.0,24.42,SUCCESS,5.0
simple,157,790.0,31.33,SUCCESS,5.0
simple,158,925.0,27.05,SUCCESS,5.0
simple,159,800.0,33.44,SUCCESS,3.0
simple,160,783.0,30.78,SUCCESS,4.0
simple,161,778.0,29.02,SUCCESS,1.0
simple,162,797.0,29.55,SUCCESS,4.0
simple,163,843.0,29.6,SUCCESS,3.0
simple,164,798.0,30.73,SUCCESS,1.0
simple,165,919.0,25.14,SUCCESS,5.0
simple,166,880.0,26.62,SUCCESS,4.0
simple,167,754.0,32.29,SUCCESS,1.0
simple,168,768.0,33.85,SUCCESS,4.0
simple,169,795.0,29.78,SUCCESS,4.0
simple,170,822.0,27.89,SUCCESS,5.0
simple,171,737.0,30.39,SUCCESS,1.0
simple,172,745.0,29.97,SUCCESS,3.0
simple,173,787.0,32.91,SUCCESS,4.0
simple,174,842.0,28.12,SUCCESS,4.0
simple,175,765.0,31.37,SUCCESS,4.0
simple,176,764.0,30.4,SUCCESS,2.0
simple,177,787.0,29.38,SUCCESS,2.0
simple,178,828.0,30.77,SUCCESS,4.0
simple,179,795.0,29.53,SUCCESS,5.0
simple,180,789.0,27.25,SUCCESS,3.0
simple,181,880.0,25.88,SUCCESS,4.0
simple,182,798.0,30.29,SUCCESS,4.0
simple,183,791.0,33.25,SUCCESS,4.0
simple,184,794.0,32.75,SUCCESS,3.0
simple,185,780.0,31.35,SUCCESS,3.0
simple,186,798.0,31.48,SUCCESS,4.0
simple,187,789.0,33.05,SUCCESS,4.0
simple,188,759.0,31.79,SUCCESS,4.0
simple,189,776.0,30.25,SUCCESS,1.0
simple,190,771.0,29.67,SUCCESS,2.0
simple,191,768.0,31.22,SUCCESS,2.0
simple,192,781.0,29.26,SUCCESS,4.0
simple,193,1021.0,23.07,SUCCESS,5.0
simple,194,795.0,29.37,SUCCESS,5.0
simple,195,757.0,30.61,SUCCESS,1.0
simple,196,766.0,31.53,SUCCESS,3.0
simple,197,780.0,31.79,SUCCESS,4.0
simple,198,756.0,31.71,SUCCESS,1.0
simple,199,913.0,27.88,SUCCESS,4.0
heft,100,763.0,30.47,SUCCESS,1.0
heft,101,767.0,31.58,SUCCESS,3.0
heft,102,759.0,28.52,SUCCESS,1.0
heft,103,759.0,29.45,SUCCESS,3.0
heft,104,850.0,27.59,SUCCESS,5.0
heft,105,768.0,29.26,SUCCESS,2.0
heft,106,783.0,31.74,SUCCESS,4.0
heft,107,1083.0,23.41,SUCCESS,5.0
heft,108,759.0,29.94,SUCCESS,1.0
heft,109,875.0,25.71,SUCCESS,4.0
heft,110,823.0,27.55,SUCCESS,5.0
heft,111,759.0,28.99,SUCCESS,1.0
heft,112,779.0,30.1,SUCCESS,4.0
heft,113,793.0,28.72,SUCCESS,3.0
heft,114,791.0,29.93,SUCCESS,5.0
heft,115,863.0,27.26,SUCCESS,5.0
heft,116,772.0,29.76,SUCCESS,3.0
heft,117,769.0,32.38,SUCCESS,4.0
heft,118,764.0,28.99,SUCCESS,2.0
heft,119,786.0,31.68,SUCCESS,3.0
heft,120,873.0,29.78,SUCCESS,4.0
heft,121,981.0,24.01,SUCCESS,4.0
heft,122,772.0,31.7,SUCCESS,3.0
heft,123,747.0,28.98,SUCCESS,1.0
heft,124,793.0,28.72,SUCCESS,2.0
heft,125,770.0,33.05,SUCCESS,3.0
heft,126,957.0,24.16,SUCCESS,5.0
heft,127,914.0,25.16,SUCCESS,5.0
heft,128,758.0,30.94,SUCCESS,3.0
heft,129,872.0,27.12,SUCCESS,1.0
heft,130,755.0,27.78,SUCCESS,1.0
heft,131,779.0,29.08,SUCCESS,3.0
heft,132,816.0,27.33,SUCCESS,4.0
heft,133,881.0,29.28,SUCCESS,4.0
heft,134,798.0,30.58,SUCCESS,5.0
heft,135,772.0,31.19,SUCCESS,3.0
heft,136,731.0,28.52,SUCCESS,1.0
heft,137,780.0,30.64,SUCCESS,4.0
heft,138,737.0,33.51,SUCCESS,1.0
heft,139,737.0,28.97,SUCCESS,1.0
heft,140,788.0,32.65,SUCCESS,3.0
heft,141,760.0,31.12,SUCCESS,1.0
