scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,224,50.45,SUCCESS,1.0
simple,101,211,47.04,SUCCESS,1.0
simple,102,216,48.5,SUCCESS,1.0
simple,103,210,49.52,SUCCESS,2.0
simple,104,231,47.84,SUCCESS,5.0
simple,105,227,46.15,SUCCESS,3.0
simple,106,225,49.78,SUCCESS,3.0
simple,107,236,48.83,SUCCESS,4.0
simple,108,211,46.45,SUCCESS,1.0
simple,109,231,44.37,SUCCESS,4.0
simple,110,212,50.0,SUCCESS,4.0
simple,111,219,48.63,SUCCESS,1.0
simple,112,216,50.81,SUCCESS,2.0
simple,113,219,50.91,SUCCESS,2.0
simple,114,206,46.24,SUCCESS,1.0
simple,115,242,47.73,SUCCESS,2.0
simple,116,207,44.2,SUCCESS,1.0
simple,117,213,47.89,SUCCESS,2.0
simple,118,210,47.86,SUCCESS,1.0
simple,119,214,47.78,SUCCESS,1.0
simple,120,211,45.97,SUCCESS,1.0
simple,121,224,42.08,SUCCESS,4.0
simple,122,214,51.4,SUCCESS,3.0
simple,123,219,50.46,SUCCESS,1.0
simple,124,210,49.76,SUCCESS,3.0
simple,125,206,50.49,SUCCESS,1.0
simple,126,216,47.57,SUCCESS,3.0
simple,127,222,47.86,SUCCESS,2.0
simple,128,203,50.12,SUCCESS,1.0
simple,129,199,48.49,SUCCESS,1.0
simple,130,251,55.18,SUCCESS,5.0
simple,131,211,49.17,SUCCESS,3.0
simple,132,212,45.4,SUCCESS,4.0
simple,133,218,46.67,SUCCESS,4.0
simple,134,210,47.86,SUCCESS,1.0
simple,135,214,47.66,SUCCESS,4.0
simple,136,204,50.12,SUCCESS,1.0
simple,137,224,48.66,SUCCESS,4.0
simple,138,218,48.17,SUCCESS,1.0
simple,139,210,47.74,SUCCESS,1.0
simple,140,199,44.22,SUCCESS,1.0
simple,141,223,45.07,SUCCESS,2.0
simple,142,222,48.65,SUCCESS,4.0
simple,143,224,52.34,SUCCESS,5.0
simple,144,210,50.71,SUCCESS,3.0
simple,145,213,50.23,SUCCESS,3.0
simple,146,215,49.07,SUCCESS,1.0
simple,147,213,46.13,SUCCESS,1.0
simple,148,293,31.57,SUCCESS,5.0
simple,149,236,49.47,SUCCESS,5.0
simple,150,214,47.43,SUCCESS,2.0
simple,151,223,48.88,SUCCESS,1.0
simple,152,232,48.49,SUCCESS,5.0
simple,153,215,48.37,SUCCESS,4.0
simple,154,208,48.2,SUCCESS,1.0
simple,155,235,41.49,SUCCESS,5.0
simple,156,236,50.42,SUCCESS,5.0
simple,157,217,50.58,SUCCESS,1.0
simple,158,212,48.23,SUCCESS,1.0
simple,159,229,49.13,SUCCESS,5.0
simple,160,221,46.72,SUCCESS,2.0
simple,161,219,47.49,SUCCESS,3.0
simple,162,216,47.57,SUCCESS,4.0
simple,163,222,49.77,SUCCESS,1.0
simple,164,227,47.25,SUCCESS,3.0
simple,165,212,48.82,SUCCESS,3.0
simple,166,224,49.89,SUCCESS,3.0
simple,167,209,48.21,SUCCESS,1.0
simple,168,221,45.14,SUCCESS,2.0
simple,169,222,46.28,SUCCESS,1.0
simple,170,219,47.83,SUCCESS,5.0
simple,171,218,49.08,SUCCESS,3.0
simple,172,220,49.77,SUCCESS,4.0
simple,173,224,49.0,SUCCESS,2.0
simple,174,231,53.46,SUCCESS,5.0
simple,175,240,54.37,SUCCESS,4.0
simple,176,216,48.38,SUCCESS,3.0
simple,177,223,50.22,SUCCESS,2.0
simple,178,238,50.95,SUCCESS,2.0
simple,179,216,46.53,SUCCESS,4.0
simple,180,248,49.19,SUCCESS,5.0
simple,181,202,47.28,SUCCESS,1.0
simple,182,201,47.39,SUCCESS,1.0
simple,183,222,51.46,SUCCESS,4.0
simple,184,225,42.33,SUCCESS,5.0
simple,185,242,50.83,SUCCESS,5.0
simple,186,212,46.82,SUCCESS,1.0
simple,187,221,49.66,SUCCESS,1.0
simple,188,197,48.1,SUCCESS,1.0
simple,189,217,49.31,SUCCESS,3.0
simple,190,219,47.26,SUCCESS,3.0
simple,191,231,44.91,SUCCESS,2.0
simple,192,217,49.31,SUCCESS,2.0
simple,193,219,48.4,SUCCESS,4.0
simple,194,221,39.25,SUCCESS,2.0
simple,195,219,47.26,SUCCESS,1.0
simple,196,218,49.54,SUCCESS,4.0
simple,197,223,49.44,SUCCESS,3.0
simple,198,230,47.93,SUCCESS,3.0
simple,199,204,50.37,SUCCESS,2.0
heft,100,228,51.97,SUCCESS,2.0
