scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,1811.0,28.46,SUCCESS,4.0
simple,101,1947.0,28.42,SUCCESS,5.0
simple,102,1791.0,28.75,SUCCESS,5.0
simple,103,1747.0,34.07,SUCCESS,3.0
simple,104,1612.0,34.85,SUCCESS,2.0
simple,105,2572.0,24.59,SUCCESS,5.0
simple,106,1741.0,33.85,SUCCESS,5.0
simple,107,2914.0,27.43,SUCCESS,5.0
simple,108,1650.0,33.15,SUCCESS,4.0
simple,109,1591.0,33.66,SUCCESS,3.0
simple,110,1861.0,28.67,SUCCESS,4.0
simple,111,1832.0,29.59,SUCCESS,4.0
simple,112,1888.0,28.38,SUCCESS,4.0
simple,113,1964.0,29.61,SUCCESS,3.0
simple,114,1658.0,31.2,SUCCESS,3.0
simple,115,1352.0,35.13,SUCCESS,4.0
simple,116,1378.0,32.86,SUCCESS,1.0
simple,117,1670.0,33.82,SUCCESS,1.0
simple,118,1990.0,28.83,SUCCESS,4.0
simple,119,1687.0,31.0,SUCCESS,1.0
simple,120,1603.0,35.12,SUCCESS,2.0
simple,121,1650.0,32.74,SUCCESS,2.0
simple,122,1728.0,34.04,SUCCESS,4.0
simple,123,1923.0,27.93,SUCCESS,3.0
simple,124,1504.0,32.8,SUCCESS,4.0
simple,125,1611.0,32.29,SUCCESS,4.0
simple,126,2612.0,26.61,SUCCESS,2.0
simple,127,1378.0,32.11,SUCCESS,2.0
simple,128,2124.0,26.27,SUCCESS,2.0
simple,129,1810.0,24.89,SUCCESS,5.0
simple,130,1527.0,32.55,SUCCESS,1.0
simple,131,,,SIM_ERRORSimulation still running after step limit,
simple,132,2039.0,26.92,SUCCESS,4.0
simple,133,1699.0,33.06,SUCCESS,1.0
simple,134,2614.0,24.59,SUCCESS,5.0
simple,135,1611.0,34.37,SUCCESS,3.0
simple,136,2014.0,26.46,SUCCESS,5.0
simple,137,1648.0,35.82,SUCCESS,1.0
simple,138,1966.0,27.49,SUCCESS,3.0
simple,139,1970.0,28.41,SUCCESS,2.0
simple,140,1619.0,34.64,SUCCESS,2.0
simple,141,1610.0,36.46,SUCCESS,1.0
simple,142,,,SIM_ERRORSimulation still running after step limit,
simple,143,1787.0,28.16,SUCCESS,3.0
simple,144,1957.0,29.47,SUCCESS,2.0
simple,145,1717.0,32.64,SUCCESS,4.0
simple,146,2519.0,24.41,SUCCESS,5.0
simple,147,1763.0,28.28,SUCCESS,4.0
simple,148,1838.0,26.66,SUCCESS,4.0
simple,149,1697.0,30.98,SUCCESS,2.0
simple,150,1684.0,34.37,SUCCESS,1.0
simple,151,1697.0,32.62,SUCCESS,1.0
simple,152,1860.0,27.97,SUCCESS,2.0
simple,153,2098.0,26.41,SUCCESS,3.0
simple,154,1919.0,29.82,SUCCESS,5.0
simple,155,3355.0,22.42,SUCCESS,4.0
simple,156,1976.0,26.57,SUCCESS,5.0
simple,157,1854.0,29.1,SUCCESS,5.0
simple,158,1543.0,34.9,SUCCESS,2.0
simple,159,1565.0,33.47,SUCCESS,4.0
simple,160,2573.0,25.35,SUCCESS,4.0
simple,161,2379.0,22.98,SUCCESS,5.0
simple,162,2264.0,25.2,SUCCESS,5.0
simple,163,,,SIM_ERRORSimulation still running after step limit,
simple,164,1762.0,31.87,SUCCESS,3.0
simple,165,1690.0,33.08,SUCCESS,2.0
simple,166,2585.0,23.83,SUCCESS,3.0
simple,167,1549.0,33.72,SUCCESS,3.0
simple,168,1669.0,29.7,SUCCESS,2.0
simple,169,1756.0,33.3,SUCCESS,3.0
simple,170,1698.0,32.8,SUCCESS,1.0
simple,171,1568.0,33.23,SUCCESS,5.0
simple,172,,,SIM_ERRORSimulation still running after step limit,
simple,173,2800.0,22.14,SUCCESS,4.0
simple,174,1949.0,29.58,SUCCESS,4.0
simple,175,1721.0,34.62,SUCCESS,1.0
simple,176,2017.0,28.58,SUCCESS,3.0
simple,177,2017.0,25.3,SUCCESS,5.0
