scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,2536.0,30.21,SUCCESS,3.0
simple,101,2468.0,34.04,SUCCESS,1.0
simple,102,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
simple,103,2955.0,27.39,SUCCESS,2.0
simple,104,2999.0,26.68,SUCCESS,3.0
simple,105,2489.0,32.53,SUCCESS,2.0
simple,106,2883.0,28.63,SUCCESS,2.0
simple,107,3157.0,27.11,SUCCESS,4.0
simple,108,2534.0,32.23,SUCCESS,5.0
simple,109,2612.0,30.22,SUCCESS,2.0
simple,110,2275.0,33.37,SUCCESS,3.0
simple,111,3060.0,25.95,SUCCESS,4.0
simple,112,4052.0,22.08,SUCCESS,4.0
simple,113,2945.0,29.81,SUCCESS,3.0
simple,114,3046.0,28.5,SUCCESS,3.0
simple,115,2298.0,34.55,SUCCESS,4.0
simple,116,3114.0,26.73,SUCCESS,5.0
simple,117,2904.0,28.59,SUCCESS,2.0
simple,118,3252.0,27.53,SUCCESS,4.0
simple,119,3301.0,26.53,SUCCESS,4.0
simple,120,2593.0,28.48,SUCCESS,3.0
simple,121,2909.0,27.64,SUCCESS,2.0
simple,122,3018.0,28.07,SUCCESS,3.0
simple,123,2845.0,28.14,SUCCESS,3.0
simple,124,2727.0,29.37,SUCCESS,4.0
simple,125,2744.0,29.54,SUCCESS,2.0
simple,126,3032.0,26.62,SUCCESS,2.0
simple,127,3190.0,26.17,SUCCESS,5.0
simple,128,4362.0,23.56,SUCCESS,4.0
simple,129,4597.0,21.83,SUCCESS,3.0
simple,130,2848.0,30.21,SUCCESS,3.0
simple,131,4141.0,23.55,SUCCESS,4.0
simple,132,3060.0,26.1,SUCCESS,5.0
simple,133,4522.0,22.52,SUCCESS,5.0
simple,134,2829.0,29.01,SUCCESS,4.0
simple,135,2631.0,29.26,SUCCESS,3.0
simple,136,2411.0,35.83,SUCCESS,3.0
simple,137,4338.0,24.73,SUCCESS,4.0
simple,138,2514.0,33.98,SUCCESS,1.0
simple,139,2792.0,27.31,SUCCESS,5.0
simple,140,2530.0,34.77,SUCCESS,3.0
simple,141,2459.0,33.95,SUCCESS,1.0
simple,142,2758.0,31.24,SUCCESS,1.0
simple,143,2331.0,33.08,SUCCESS,1.0
simple,144,4448.0,26.4,SUCCESS,3.0
simple,145,3597.0,23.59,SUCCESS,5.0
simple,146,3118.0,26.39,SUCCESS,2.0
simple,147,3033.0,27.26,SUCCESS,4.0
simple,148,,,SIM_ERRORSimulation still running after step limit,
simple,149,2655.0,30.18,SUCCESS,3.0
simple,150,2729.0,29.16,SUCCESS,1.0
simple,151,3525.0,25.6,SUCCESS,1.0
simple,152,2980.0,26.94,SUCCESS,1.0
simple,153,2346.0,34.48,SUCCESS,1.0
simple,154,3662.0,26.36,SUCCESS,4.0
simple,155,3018.0,27.55,SUCCESS,3.0
simple,156,4911.0,26.49,SUCCESS,5.0
simple,157,3156.0,25.71,SUCCESS,3.0
simple,158,2910.0,26.46,SUCCESS,4.0
simple,159,2846.0,26.48,SUCCESS,4.0
simple,160,2617.0,31.64,SUCCESS,1.0
simple,161,2452.0,32.31,SUCCESS,2.0
simple,162,3393.0,25.38,SUCCESS,5.0
simple,163,4715.0,23.22,SUCCESS,4.0
simple,164,3012.0,26.11,SUCCESS,3.0
simple,165,2680.0,29.45,SUCCESS,2.0
simple,166,,,SIM_ERRORSimulation still running after step limit,
simple,167,2649.0,29.19,SUCCESS,3.0
simple,168,2530.0,32.82,SUCCESS,1.0
simple,169,2467.0,32.0,SUCCESS,2.0
simple,170,3245.0,24.99,SUCCESS,3.0
simple,171,2450.0,32.32,SUCCESS,1.0
simple,172,2521.0,32.76,SUCCESS,1.0
simple,173,2368.0,34.22,SUCCESS,1.0
simple,174,2530.0,31.59,SUCCESS,1.0
simple,175,3632.0,26.26,SUCCESS,4.0
simple,176,6909.0,22.8,SUCCESS,5.0
simple,177,2451.0,31.26,SUCCESS,4.0
simple,178,2402.0,32.46,SUCCESS,2.0
simple,179,2332.0,34.2,SUCCESS,2.0
