scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,12456.0,33.38,SUCCESS,4.0
simple,101,,,SIM_ERRORSimulation still running after step limit,
simple,102,,,SIM_ERRORSimulation still running after step limit,
simple,103,9593.0,41.66,SUCCESS,1.0
simple,104,,,SIM_ERRORSimulation still running after step limit,
simple,105,16770.0,27.65,SUCCESS,1.0
simple,106,,,SIM_ERRORSimulation still running after step limit,
simple,107,,,SIM_ERRORSimulation still running after step limit,
simple,108,,,SIM_ERRORSimulation still running after step limit,
simple,109,9936.0,32.35,SUCCESS,1.0
simple,110,,,SIM_ERRORSimulation still running after step limit,
simple,111,,,SIM_ERRORSimulation still running after step limit,
simple,112,,,SIM_ERRORSimulation still running after step limit,
simple,113,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
simple,114,10251.0,32.37,SUCCESS,2.0
simple,115,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
simple,116,16989.0,39.77,SUCCESS,4.0
simple,117,12922.0,28.79,SUCCESS,2.0
simple,118,10477.0,28.58,SUCCESS,1.0
simple,119,,,SIM_ERRORSimulation still running after step limit,
simple,120,9455.0,37.45,SUCCESS,2.0
simple,121,10307.0,31.88,SUCCESS,2.0
simple,122,,,SIM_ERRORSimulation still running after step limit,
simple,123,15586.0,29.65,SUCCESS,4.0
simple,124,,,SIM_ERRORSimulation still running after step limit,
simple,125,10118.0,28.69,SUCCESS,1.0
simple,126,19442.0,34.12,SUCCESS,3.0
simple,127,9964.0,28.91,SUCCESS,4.0
simple,128,10439.0,28.68,SUCCESS,2.0
simple,129,18065.0,29.91,SUCCESS,2.0
simple,130,14701.0,30.37,SUCCESS,2.0
simple,131,,,SIM_ERRORSimulation still running after step limit,
simple,132,,,SIM_ERRORSimulation still running after step limit,
simple,133,,,SIM_ERRORSimulation still running after step limit,
simple,134,9997.0,32.63,SUCCESS,2.0
simple,135,,,SIM_ERRORSimulation still running after step limit,
simple,136,14128.0,35.75,SUCCESS,1.0
simple,137,16674.0,28.85,SUCCESS,2.0
simple,138,9936.0,30.22,SUCCESS,1.0
simple,139,,,SIM_ERRORSimulation still running after step limit,
simple,140,10470.0,29.33,SUCCESS,1.0
simple,141,,,SIM_ERRORSimulation still running after step limit,
simple,142,,,SIM_ERRORSimulation still running after step limit,
simple,143,14105.0,31.86,SUCCESS,2.0
simple,144,12524.0,28.9,SUCCESS,4.0
simple,145,14799.0,31.74,SUCCESS,3.0
simple,146,,,SIM_ERRORSimulation still running after step limit,
simple,147,18623.0,30.31,SUCCESS,4.0
simple,148,9827.0,32.02,SUCCESS,1.0
simple,149,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
simple,150,,,SIM_ERRORSimulation still running after step limit,
simple,151,,,SIM_ERRORSimulation still running after step limit,
simple,152,,,SIM_ERRORSimulation still running after step limit,
simple,153,12666.0,34.49,SUCCESS,3.0
simple,154,12606.0,31.31,SUCCESS,2.0
simple,155,,,SIM_ERRORSimulation still running after step limit,
simple,156,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
simple,157,,,SIM_ERRORSimulation still running after step limit,
simple,158,15313.0,31.17,SUCCESS,1.0
simple,159,,,SIM_ERRORSimulation still running after step limit,
simple,160,,,SIM_ERRORSimulation still running after step limit,
simple,161,9255.0,40.3,SUCCESS,2.0
simple,162,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
simple,163,,,SIM_ERRORSimulation still running after step limit,
simple,164,,,SIM_ERRORSimulation still running after step limit,
simple,165,,,SIM_ERRORSimulation still running after step limit,
simple,166,9544.0,31.37,SUCCESS,4.0
simple,167,,,SIM_ERRORSimulation still running after step limit,
simple,168,,,SIM_ERRORSimulation still running after step limit,
simple,169,,,SIM_ERRORSimulation still running after step limit,
simple,170,16469.0,31.07,SUCCESS,3.0
simple,171,,,SIM_ERRORSimulation still running after step limit,
simple,172,10327.0,29.71,SUCCESS,1.0
simple,173,9133.0,35.56,SUCCESS,1.0
simple,174,,,SIM_ERRORSimulation still running after step limit,
simple,175,10168.0,36.55,SUCCESS,1.0
simple,176,,,SIM_ERRORSimulation still running after step limit,
simple,177,,,SIM_ERRORSimulation still running after step limit,
simple,178,14146.0,28.34,SUCCESS,2.0
simple,179,,,SIM_ERRORSimulation still running after step limit,
simple,180,,,SIM_ERRORSimulation still running after step limit,
simple,181,18784.0,34.74,SUCCESS,4.0
simple,182,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
simple,183,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
simple,184,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
simple,185,,,SIM_ERRORSimulation still running after step limit,
simple,186,9041.0,37.87,SUCCESS,2.0
simple,187,,,SIM_ERRORSimulation still running after step limit,
simple,188,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
simple,189,,,SIM_ERRORSimulation still running after step limit,
simple,190,9575.0,30.79,SUCCESS,2.0
simple,191,11170.0,28.16,SUCCESS,1.0
simple,192,11736.0,28.74,SUCCESS,2.0
simple,193,11408.0,34.14,SUCCESS,1.0
simple,194,,,SIM_ERRORSimulation still running after step limit,
simple,195,19516.0,36.11,SUCCESS,4.0
simple,196,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
simple,197,14612.0,31.08,SUCCESS,2.0
simple,198,,,SIM_ERRORSimulation still running after step limit,
simple,199,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
heft,100,,,SIM_ERRORSimulation still running after step limit,
heft,101,,,SIM_ERRORSimulation still running after step limit,
heft,102,10299.0,30.46,SUCCESS,2.0
heft,103,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
heft,104,18253.0,33.89,SUCCESS,1.0
heft,105,,,SIM_ERRORSimulation still running after step limit,
heft,106,,,SIM_ERRORSimulation still running after step limit,
heft,107,18833.0,34.0,SUCCESS,2.0
heft,108,,,SIM_ERRORSimulation still running after step limit,
heft,109,,,SIM_ERRORSimulation still running after step limit,
heft,110,18303.0,27.2,SUCCESS,2.0
heft,111,9777.0,39.07,SUCCESS,2.0
heft,112,12274.0,33.32,SUCCESS,3.0
heft,113,,,SIM_ERRORSimulation still running after step limit,
heft,114,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
heft,115,13390.0,29.67,SUCCESS,1.0
heft,116,14621.0,33.29,SUCCESS,3.0
heft,117,9173.0,38.14,SUCCESS,1.0
heft,118,16948.0,24.46,SUCCESS,2.0
heft,119,18297.0,36.16,SUCCESS,2.0
heft,120,17332.0,31.64,SUCCESS,3.0
heft,121,10409.0,31.62,SUCCESS,3.0
heft,122,,,SIM_ERRORSimulation still running after step limit,
heft,123,10341.0,32.94,SUCCESS,3.0
heft,124,,,SIM_ERRORSimulation still running after step limit,
heft,125,,,SIM_ERRORSimulation still running after step limit,
heft,126,,,SIM_ERRORSimulation still running after step limit,
heft,127,9525.0,34.02,SUCCESS,3.0
heft,128,,,SIM_ERRORSimulation still running after step limit,
heft,129,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
heft,130,8920.0,38.48,SUCCESS,1.0
heft,131,,,SIM_ERRORSimulation still running after step limit,
heft,132,,,SIM_ERRORSimulation still running after step limit,
heft,133,,,SIM_ERRORSimulation still running after step limit,
heft,134,,,SIM_ERRORSimulation still running after step limit,
heft,135,10423.0,31.37,SUCCESS,2.0
heft,136,,,SIM_ERRORSimulation still running after step limit,
heft,137,,,SIM_ERRORSimulation still running after step limit,
heft,138,,,SIM_ERRORSimulation still running after step limit,
heft,139,,,SIM_ERRORSimulation still running after step limit,
heft,140,,,SIM_ERRORSimulation still running after step limit,
heft,141,,,SIM_ERRORSimulation still running after step limit,
heft,142,,,SIM_ERRORSimulation still running after step limit,
heft,143,,,SIM_ERRORSimulation still running after step limit,
heft,144,10127.0,29.88,SUCCESS,2.0
heft,145,10071.0,30.46,SUCCESS,2.0
heft,146,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
heft,147,12187.0,27.59,SUCCESS,2.0
heft,148,,,SIM_ERRORSimulation still running after step limit,
heft,149,13630.0,24.35,SUCCESS,1.0
heft,150,15239.0,27.79,SUCCESS,2.0
heft,151,,,SIM_ERRORSimulation still running after step limit,
heft,152,,,SIM_ERRORSimulation still running after step limit,
heft,153,10888.0,31.82,SUCCESS,2.0
heft,154,9307.0,40.64,SUCCESS,1.0
heft,155,,,SIM_ERRORSimulation still running after step limit,
heft,156,,,SIM_ERRORSimulation still running after step limit,
heft,157,,,SIM_ERRORSimulation still running after step limit,
heft,158,,,SIM_ERRORSimulation still running after step limit,
heft,159,,,SIM_ERRORSimulation still running after step limit,
heft,160,,,SIM_ERRORSimulation still running after step limit,
heft,161,,,SIM_ERRORSimulation still running after step limit,
heft,162,10247.0,30.74,SUCCESS,1.0
heft,163,,,SIM_ERRORSimulation still running after step limit,
heft,164,15519.0,31.56,SUCCESS,3.0
heft,165,,,SIM_ERRORSimulation still running after step limit,
heft,166,8770.0,39.87,SUCCESS,2.0
heft,167,,,SIM_ERRORSimulation still running after step limit,
heft,168,10352.0,32.47,SUCCESS,2.0
heft,169,,,SIM_ERRORSimulation still running after step limit,
heft,170,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
heft,171,14353.0,34.31,SUCCESS,2.0
heft,172,,,SIM_ERRORSimulation still running after step limit,
heft,173,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
heft,174,,,SIM_ERRORSimulation still running after step limit,
heft,175,,,SIM_ERRORSimulation still running after step limit,
heft,176,8918.0,40.32,SUCCESS,1.0
heft,177,11886.0,29.16,SUCCESS,2.0
heft,178,13686.0,30.46,SUCCESS,1.0
heft,179,15663.0,30.08,SUCCESS,2.0
heft,180,10226.0,34.17,SUCCESS,1.0
heft,181,,,SIM_ERRORSimulation still running after step limit,
heft,182,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
heft,183,,,SIM_ERRORSimulation still running after step limit,
heft,184,,,SIM_ERRORSimulation still running after step limit,
heft,185,,,SIM_ERRORSimulation still running after step limit,
heft,186,8793.0,41.78,SUCCESS,1.0
heft,187,14712.0,32.91,SUCCESS,2.0
heft,188,10846.0,30.72,SUCCESS,1.0
heft,189,,,SIM_ERRORSimulation still running after step limit,
heft,190,9334.0,37.72,SUCCESS,1.0
heft,191,12168.0,31.8,SUCCESS,2.0
