scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,,,SIM_ERRORSimulation still running after step limit,
simple,101,2511.0,27.33,SUCCESS,2.0
simple,102,3455.0,21.52,SUCCESS,2.0
simple,103,2497.0,24.76,SUCCESS,1.0
simple,104,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
simple,105,2185.0,27.53,SUCCESS,1.0
simple,106,3610.0,23.07,SUCCESS,2.0
simple,107,2234.0,28.7,SUCCESS,1.0
simple,108,3550.0,21.75,SUCCESS,3.0
simple,109,2489.0,25.33,SUCCESS,2.0
simple,110,2981.0,24.66,SUCCESS,2.0
simple,111,4107.0,20.82,SUCCESS,5.0
simple,112,2996.0,23.63,SUCCESS,1.0
simple,113,2921.0,25.17,SUCCESS,3.0
simple,114,2564.0,25.99,SUCCESS,3.0
simple,115,2765.0,25.67,SUCCESS,3.0
simple,116,3797.0,22.58,SUCCESS,5.0
simple,117,4811.0,23.54,SUCCESS,5.0
simple,118,2976.0,24.78,SUCCESS,4.0
simple,119,3244.0,23.12,SUCCESS,5.0
simple,120,,,SIM_ERRORSimulation still running after step limit,
simple,121,4405.0,23.57,SUCCESS,5.0
simple,122,2307.0,28.02,SUCCESS,1.0
simple,123,3089.0,24.25,SUCCESS,4.0
simple,124,4034.0,21.67,SUCCESS,5.0
simple,125,2810.0,24.96,SUCCESS,3.0
simple,126,2873.0,24.98,SUCCESS,3.0
simple,127,3492.0,21.82,SUCCESS,2.0
simple,128,,,SIM_ERRORSimulation still running after step limit,
simple,129,,,SIM_ERRORSimulation still running after step limit,
simple,130,2249.0,28.23,SUCCESS,1.0
simple,131,2251.0,27.42,SUCCESS,3.0
simple,132,2367.0,26.54,SUCCESS,3.0
simple,133,2309.0,27.27,SUCCESS,1.0
simple,134,2664.0,24.78,SUCCESS,2.0
simple,135,2749.0,24.15,SUCCESS,3.0
simple,136,,,SIM_ERRORSimulation still running after step limit,
simple,137,2673.0,24.61,SUCCESS,2.0
simple,138,2731.0,24.05,SUCCESS,3.0
simple,139,4008.0,21.6,SUCCESS,3.0
simple,140,2697.0,23.87,SUCCESS,4.0
simple,141,3043.0,24.38,SUCCESS,4.0
simple,142,4225.0,21.77,SUCCESS,5.0
simple,143,2867.0,24.73,SUCCESS,3.0
simple,144,2427.0,26.96,SUCCESS,1.0
simple,145,,,SIM_ERRORSimulation still running after step limit,
simple,146,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
simple,147,3840.0,22.19,SUCCESS,4.0
simple,148,3817.0,21.52,SUCCESS,3.0
simple,149,2237.0,28.3,SUCCESS,1.0
simple,150,3226.0,22.92,SUCCESS,2.0
simple,151,2249.0,28.42,SUCCESS,1.0
simple,152,,,SIM_ERRORSimulation still running after step limit,
simple,153,3579.0,23.2,SUCCESS,3.0
simple,154,2471.0,25.36,SUCCESS,2.0
simple,155,2266.0,27.41,SUCCESS,2.0
simple,156,2843.0,23.65,SUCCESS,2.0
simple,157,2393.0,26.14,SUCCESS,1.0
simple,158,2502.0,25.46,SUCCESS,2.0
simple,159,2426.0,26.43,SUCCESS,1.0
simple,160,3077.0,23.59,SUCCESS,3.0
simple,161,,,SIM_ERRORSimulation still running after step limit,
simple,162,2207.0,27.29,SUCCESS,2.0
simple,163,,,SIM_ERRORSimulation still running after step limit,
simple,164,2236.0,28.38,SUCCESS,1.0
simple,165,3150.0,23.52,SUCCESS,3.0
simple,166,3575.0,22.38,SUCCESS,2.0
simple,167,2953.0,24.38,SUCCESS,3.0
simple,168,2719.0,24.99,SUCCESS,2.0
simple,169,,,SIM_ERRORSimulation still running after step limit,
simple,170,2765.0,25.16,SUCCESS,4.0
simple,171,2210.0,28.65,SUCCESS,1.0
simple,172,4416.0,21.75,SUCCESS,4.0
simple,173,2994.0,24.12,SUCCESS,2.0
simple,174,,,SIM_ERRORSimulation still running after step limit,
simple,175,3883.0,22.07,SUCCESS,4.0
simple,176,2791.0,23.61,SUCCESS,2.0
simple,177,2242.0,28.7,SUCCESS,1.0
simple,178,,,SIM_ERRORSimulation still running after step limit,
simple,179,2261.0,28.73,SUCCESS,3.0
simple,180,2998.0,23.21,SUCCESS,2.0
simple,181,2964.0,24.57,SUCCESS,3.0
simple,182,,,SIM_ERRORSimulation still running after step limit,
simple,183,,,SIM_ERRORSimulation still running after step limit,
simple,184,2699.0,25.44,SUCCESS,1.0
simple,185,,,SIM_ERRORSimulation still running after step limit,
simple,186,2880.0,25.66,SUCCESS,3.0
simple,187,2286.0,28.2,SUCCESS,2.0
simple,188,2643.0,26.16,SUCCESS,2.0
simple,189,,,SIM_ERRORSimulation still running after step limit,
simple,190,2360.0,26.54,SUCCESS,4.0
simple,191,4477.0,21.1,SUCCESS,3.0
simple,192,2202.0,27.17,SUCCESS,2.0
simple,193,2522.0,25.74,SUCCESS,2.0
simple,194,2275.0,27.67,SUCCESS,3.0
simple,195,2246.0,25.97,SUCCESS,1.0
simple,196,3188.0,23.61,SUCCESS,2.0
simple,197,2178.0,27.63,SUCCESS,1.0
simple,198,3716.0,24.69,SUCCESS,5.0
simple,199,3057.0,23.92,SUCCESS,4.0
heft,100,4116.0,20.79,SUCCESS,3.0
heft,101,2197.0,27.58,SUCCESS,1.0
heft,102,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
heft,103,,,SIM_ERRORSimulation still running after step limit,
heft,104,,,SIM_ERRORSimulation still running after step limit,
heft,105,,,SIM_ERRORSimulation still running after step limit,
heft,106,,,SIM_ERRORSimulation still running after step limit,
heft,107,2420.0,24.6,SUCCESS,3.0
heft,108,2438.0,25.28,SUCCESS,1.0
heft,109,2619.0,24.24,SUCCESS,4.0
heft,110,2470.0,25.44,SUCCESS,1.0
heft,111,2130.0,25.94,SUCCESS,1.0
heft,112,,,SIM_ERRORSimulation still running after step limit,
heft,113,2189.0,26.85,SUCCESS,1.0
heft,114,2763.0,24.93,SUCCESS,4.0
heft,115,2430.0,24.93,SUCCESS,1.0
heft,116,3479.0,23.76,SUCCESS,3.0
heft,117,2612.0,24.66,SUCCESS,1.0
heft,118,3573.0,22.62,SUCCESS,5.0
heft,119,2754.0,25.53,SUCCESS,2.0
heft,120,2817.0,24.14,SUCCESS,3.0
heft,121,2504.0,25.56,SUCCESS,2.0
heft,122,2915.0,24.25,SUCCESS,2.0
heft,123,2942.0,24.47,SUCCESS,3.0
heft,124,2328.0,25.69,SUCCESS,2.0
heft,125,2298.0,26.54,SUCCESS,1.0
heft,126,,,SIM_ERRORSimulation still running after step limit,
heft,127,,,SIM_ERRORSimulation still running after step limit,
heft,128,,,SIM_ERRORSimulation still running after step limit,
heft,129,2804.0,23.17,SUCCESS,2.0
heft,130,3657.0,23.41,SUCCESS,5.0
heft,131,2239.0,25.64,SUCCESS,2.0
heft,132,2012.0,26.49,SUCCESS,1.0
heft,133,3515.0,22.71,SUCCESS,2.0
heft,134,,,SIM_ERRORSimulation still running after step limit,
heft,135,,,SIM_ERRORSimulation still running after step limit,
heft,136,6687.0,23.12,SUCCESS,4.0
heft,137,2544.0,25.33,SUCCESS,1.0
heft,138,3267.0,22.24,SUCCESS,4.0
heft,139,2673.0,23.84,SUCCESS,1.0
heft,140,2656.0,23.53,SUCCESS,3.0
heft,141,2448.0,24.85,SUCCESS,2.0
heft,142,3606.0,22.58,SUCCESS,4.0
heft,143,3584.0,22.35,SUCCESS,4.0
heft,144,4474.0,25.98,SUCCESS,4.0
heft,145,,,SIM_ERRORSimulation still running after step limit,
heft,146,3618.0,25.82,SUCCESS,1.0
heft,147,4197.0,21.06,SUCCESS,5.0
heft,148,3225.0,23.18,SUCCESS,2.0
heft,149,2310.0,26.03,SUCCESS,2.0
heft,150,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
heft,151,3353.0,24.39,SUCCESS,4.0
heft,152,2646.0,24.55,SUCCESS,1.0
heft,153,2913.0,23.46,SUCCESS,2.0
heft,154,2157.0,26.94,SUCCESS,1.0
heft,155,2237.0,25.3,SUCCESS,1.0
heft,156,,,SIM_ERRORSimulation still running after step limit,
heft,157,,,SIM_ERRORSimulation still running after step limit,
heft,158,2593.0,23.78,SUCCESS,3.0
heft,159,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
heft,160,2502.0,25.35,SUCCESS,1.0
heft,161,3201.0,24.58,SUCCESS,2.0
heft,162,2222.0,25.36,SUCCESS,3.0
heft,163,2441.0,25.4,SUCCESS,1.0
heft,164,,,SIM_ERRORSimulation still running after step limit,
heft,165,2623.0,23.26,SUCCESS,1.0
heft,166,2246.0,26.76,SUCCESS,1.0
heft,167,2582.0,23.74,SUCCESS,2.0
heft,168,2234.0,26.11,SUCCESS,1.0
heft,169,2669.0,25.58,SUCCESS,2.0
heft,170,2214.0,25.09,SUCCESS,1.0
heft,171,2463.0,25.15,SUCCESS,2.0
heft,172,2651.0,24.16,SUCCESS,2.0
heft,173,,,SIM_ERRORSimulation still running after step limit,
heft,174,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
heft,175,2149.0,26.24,SUCCESS,1.0
heft,176,,,SIM_ERRORSimulation still running after step limit,
heft,177,2687.0,22.29,SUCCESS,3.0
heft,178,2407.0,26.49,SUCCESS,2.0
heft,179,3374.0,23.76,SUCCESS,4.0
heft,180,,,SIM_ERRORSimulation still running after step limit,
heft,181,2433.0,24.3,SUCCESS,1.0
heft,182,2871.0,24.76,SUCCESS,4.0
heft,183,2169.0,27.32,SUCCESS,1.0
heft,184,,,SIM_ERRORSimulation still running after step limit,
heft,185,2796.0,25.42,SUCCESS,2.0
heft,186,2766.0,23.95,SUCCESS,2.0
heft,187,3230.0,23.69,SUCCESS,4.0
heft,188,,,SIM_ERRORSimulation still running after step limit,
heft,189,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
heft,190,2330.0,26.59,SUCCESS,3.0
heft,191,4687.0,24.6,SUCCESS,4.0
heft,192,,,SIM_ERRORSimulation still running after step limit,
heft,193,,,SIM_ERRORSimulation still running after step limit,
heft,194,2196.0,27.2,SUCCESS,2.0
heft,195,4178.0,24.55,SUCCESS,4.0
heft,196,,,SIM_ERRORSimulation still running after step limit,
heft,197,2879.0,26.94,SUCCESS,3.0
heft,198,2696.0,23.3,SUCCESS,2.0
heft,199,,,SIM_ERRORSimulation still running after step limit,
dls,100,2673.0,25.3,SUCCESS,1.0
dls,101,3330.0,24.56,SUCCESS,3.0
dls,102,2580.0,26.6,SUCCESS,1.0
dls,103,2964.0,24.66,SUCCESS,2.0
dls,104,3351.0,24.39,SUCCESS,1.0
dls,105,2844.0,25.6,SUCCESS,4.0
dls,106,3345.0,23.0,SUCCESS,1.0
dls,107,2377.0,26.74,SUCCESS,2.0
dls,108,2538.0,25.34,SUCCESS,2.0
dls,109,2543.0,26.31,SUCCESS,3.0
dls,110,4159.0,23.71,SUCCESS,3.0
dls,111,2887.0,24.44,SUCCESS,3.0
dls,112,3660.0,22.47,SUCCESS,3.0
dls,113,,,SIM_ERRORSimulation still running after step limit,
dls,114,2222.0,29.58,SUCCESS,2.0
dls,115,3108.0,24.49,SUCCESS,4.0
dls,116,2481.0,27.78,SUCCESS,2.0
dls,117,4389.0,22.08,SUCCESS,4.0
dls,118,2560.0,27.04,SUCCESS,2.0
dls,119,2554.0,26.02,SUCCESS,1.0
dls,120,2438.0,25.96,SUCCESS,2.0
dls,121,2365.0,26.99,SUCCESS,1.0
dls,122,2934.0,25.9,SUCCESS,3.0
dls,123,2477.0,26.13,SUCCESS,1.0
dls,124,2221.0,29.23,SUCCESS,1.0
dls,125,3221.0,26.01,SUCCESS,5.0
dls,126,2379.0,27.19,SUCCESS,2.0
dls,127,,,SIM_ERRORSimulation still running after step limit,
dls,128,,,SIM_ERRORSimulation still running after step limit,
dls,129,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
dls,130,2600.0,26.83,SUCCESS,4.0
dls,131,2818.0,25.35,SUCCESS,4.0
dls,132,2139.0,28.66,SUCCESS,2.0
dls,133,,,SIM_ERRORSimulation still running after step limit,
dls,134,2971.0,24.04,SUCCESS,3.0
dls,135,2281.0,28.11,SUCCESS,1.0
dls,136,3056.0,24.47,SUCCESS,2.0
dls,137,,,SIM_ERRORSimulation still running after step limit,
dls,138,2191.0,27.35,SUCCESS,1.0
dls,139,,,SIM_ERRORSimulation still running after step limit,
dls,140,,,SIM_ERRORSimulation still running after step limit,
dls,141,,,SIM_ERRORSimulation still running after step limit,
dls,142,2766.0,24.49,SUCCESS,3.0
dls,143,3664.0,23.69,SUCCESS,5.0
dls,144,3389.0,24.79,SUCCESS,3.0
dls,145,,,SIM_ERRORSimulation still running after step limit,
dls,146,,,SIM_ERRORSimulation still running after step limit,
dls,147,2281.0,29.29,SUCCESS,1.0
dls,148,2828.0,25.33,SUCCESS,1.0
dls,149,3299.0,23.61,SUCCESS,4.0
dls,150,,,SIM_ERRORSimulation still running after step limit,
dls,151,,,SIM_ERRORSimulation still running after step limit,
dls,152,3205.0,22.59,SUCCESS,2.0
dls,153,,,SIM_ERRORSimulation still running after step limit,
dls,154,2553.0,26.67,SUCCESS,3.0
dls,155,,,SIM_ERRORSimulation still running after step limit,
dls,156,2538.0,25.69,SUCCESS,1.0
dls,157,2978.0,24.02,SUCCESS,3.0
dls,158,3609.0,22.64,SUCCESS,4.0
dls,159,2701.0,25.34,SUCCESS,2.0
dls,160,4305.0,20.52,SUCCESS,4.0
dls,161,,,SIM_ERRORSimulation still running after step limit,
dls,162,2608.0,26.5,SUCCESS,4.0
dls,163,,,SIM_ERRORSimulation still running after step limit,
dls,164,,,SIM_ERRORSimulation still running after step limit,
dls,165,2979.0,24.99,SUCCESS,2.0
dls,166,4395.0,21.93,SUCCESS,3.0
dls,167,,,SIM_ERRORSimulation still running after step limit,
dls,168,,,SIM_ERRORSimulation still running after step limit,
dls,169,3965.0,22.41,SUCCESS,3.0
dls,170,2562.0,24.45,SUCCESS,3.0
dls,171,2986.0,24.82,SUCCESS,3.0
dls,172,2608.0,25.41,SUCCESS,1.0
dls,173,2881.0,24.47,SUCCESS,1.0
dls,174,3360.0,22.89,SUCCESS,1.0
dls,175,2296.0,27.47,SUCCESS,2.0
dls,176,4612.0,21.89,SUCCESS,4.0
dls,177,2921.0,24.6,SUCCESS,4.0
dls,178,3515.0,23.63,SUCCESS,3.0
dls,179,2227.0,27.82,SUCCESS,2.0
dls,180,,,SIM_ERRORSimulation still running after step limit,
dls,181,2494.0,29.16,SUCCESS,2.0
dls,182,2634.0,26.25,SUCCESS,3.0
dls,183,2831.0,24.58,SUCCESS,4.0
dls,184,4006.0,26.52,SUCCESS,2.0
dls,185,2329.0,28.03,SUCCESS,1.0
dls,186,,,SIM_ERRORSimulation still running after step limit,
dls,187,2342.0,28.07,SUCCESS,3.0
dls,188,2647.0,25.14,SUCCESS,3.0
dls,189,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
dls,190,2280.0,28.16,SUCCESS,2.0
dls,191,2248.0,28.8,SUCCESS,1.0
dls,192,,,SIM_ERRORSimulation still running after step limit,
dls,193,2730.0,24.84,SUCCESS,3.0
dls,194,3166.0,25.16,SUCCESS,5.0
dls,195,3752.0,21.66,SUCCESS,3.0
dls,196,,,SIM_ERRORSimulation still running after step limit,
dls,197,2763.0,25.33,SUCCESS,2.0
dls,198,2750.0,24.82,SUCCESS,3.0
dls,199,2980.0,24.75,SUCCESS,3.0
heft-dls,100,2804.0,24.55,SUCCESS,2.0
heft-dls,101,3815.0,22.43,SUCCESS,4.0
heft-dls,102,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
heft-dls,103,3793.0,23.56,SUCCESS,3.0
heft-dls,104,,,SIM_ERRORSimulation still running after step limit,
heft-dls,105,2352.0,25.54,SUCCESS,2.0
heft-dls,106,,,SIM_ERRORSimulation still running after step limit,
heft-dls,107,3073.0,23.39,SUCCESS,5.0
heft-dls,108,,,SIM_ERRORSimulation still running after step limit,
heft-dls,109,2142.0,26.54,SUCCESS,1.0
heft-dls,110,4759.0,28.2,SUCCESS,4.0
heft-dls,111,3748.0,21.65,SUCCESS,4.0
heft-dls,112,3061.0,23.57,SUCCESS,2.0
heft-dls,113,2694.0,25.65,SUCCESS,2.0
heft-dls,114,3776.0,23.27,SUCCESS,5.0
heft-dls,115,4047.0,22.92,SUCCESS,5.0
heft-dls,116,2167.0,27.46,SUCCESS,1.0
heft-dls,117,2763.0,24.26,SUCCESS,2.0
heft-dls,118,2458.0,25.47,SUCCESS,1.0
heft-dls,119,3092.0,22.51,SUCCESS,4.0
heft-dls,120,,,SIM_ERRORSimulation still running after step limit,
heft-dls,121,3140.0,23.3,SUCCESS,3.0
heft-dls,122,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
heft-dls,123,2685.0,24.88,SUCCESS,2.0
heft-dls,124,3426.0,22.9,SUCCESS,3.0
heft-dls,125,2430.0,25.22,SUCCESS,2.0
heft-dls,126,4070.0,21.82,SUCCESS,4.0
heft-dls,127,4749.0,25.62,SUCCESS,3.0
heft-dls,128,4652.0,21.68,SUCCESS,1.0
heft-dls,129,2651.0,26.34,SUCCESS,1.0
heft-dls,130,2265.0,25.62,SUCCESS,2.0
heft-dls,131,2162.0,28.27,SUCCESS,1.0
heft-dls,132,2738.0,26.01,SUCCESS,5.0
heft-dls,133,3901.0,21.56,SUCCESS,3.0
heft-dls,134,2181.0,27.8,SUCCESS,1.0
heft-dls,135,4030.0,25.47,SUCCESS,4.0
heft-dls,136,2312.0,27.1,SUCCESS,1.0
heft-dls,137,,,SIM_ERRORSimulation still running after step limit,
heft-dls,138,2246.0,25.55,SUCCESS,2.0
heft-dls,139,2765.0,24.59,SUCCESS,2.0
heft-dls,140,2569.0,24.57,SUCCESS,2.0
heft-dls,141,2103.0,26.91,SUCCESS,1.0
heft-dls,142,2322.0,25.28,SUCCESS,1.0
heft-dls,143,2506.0,24.42,SUCCESS,1.0
heft-dls,144,,,SIM_ERRORSimulation still running after step limit,
heft-dls,145,2179.0,26.92,SUCCESS,1.0
heft-dls,146,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
heft-dls,147,2500.0,25.97,SUCCESS,2.0
heft-dls,148,4000.0,23.72,SUCCESS,4.0
heft-dls,149,2759.0,23.21,SUCCESS,3.0
heft-dls,150,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
heft-dls,151,2839.0,24.18,SUCCESS,2.0
heft-dls,152,3218.0,23.53,SUCCESS,3.0
heft-dls,153,2659.0,25.49,SUCCESS,1.0
heft-dls,154,4377.0,22.5,SUCCESS,4.0
heft-dls,155,,,SIM_ERRORSimulation still running after step limit,
heft-dls,156,4565.0,23.86,SUCCESS,3.0
heft-dls,157,2810.0,24.07,SUCCESS,2.0
heft-dls,158,,,SIM_ERRORSimulation still running after step limit,
heft-dls,159,3812.0,22.7,SUCCESS,3.0
heft-dls,160,,,SIM_ERRORSimulation still running after step limit,
heft-dls,161,2569.0,24.29,SUCCESS,1.0
heft-dls,162,2765.0,24.58,SUCCESS,5.0
heft-dls,163,3371.0,23.1,SUCCESS,2.0
heft-dls,164,,,SIM_ERRORSimulation still running after step limit,
heft-dls,165,4391.0,22.35,SUCCESS,5.0
heft-dls,166,,,SIM_ERRORSimulation still running after step limit,
