scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,2190.0,31.26,SUCCESS,1.0
simple,101,2296.0,32.84,SUCCESS,2.0
simple,102,3427.0,25.22,SUCCESS,4.0
simple,103,2354.0,32.01,SUCCESS,3.0
simple,104,2606.0,27.4,SUCCESS,3.0
simple,105,2646.0,29.68,SUCCESS,5.0
simple,106,2293.0,30.57,SUCCESS,1.0
simple,107,,,SIM_ERRORSimulation still running after step limit,
simple,108,,,SIM_ERRORSimulation still running after step limit,
simple,109,,,SIM_ERRORSimulation still running after step limit,
simple,110,2322.0,31.02,SUCCESS,1.0
simple,111,2257.0,33.46,SUCCESS,2.0
simple,112,2410.0,31.23,SUCCESS,4.0
simple,113,2813.0,28.02,SUCCESS,4.0
simple,114,2990.0,26.55,SUCCESS,5.0
simple,115,2816.0,26.84,SUCCESS,5.0
simple,116,2315.0,30.81,SUCCESS,3.0
simple,117,,,SIM_ERRORSimulation still running after step limit,
simple,118,2414.0,30.58,SUCCESS,2.0
simple,119,3557.0,24.15,SUCCESS,4.0
simple,120,2820.0,26.94,SUCCESS,3.0
simple,121,2188.0,32.36,SUCCESS,4.0
simple,122,2901.0,26.97,SUCCESS,4.0
simple,123,2934.0,26.58,SUCCESS,4.0
simple,124,2663.0,28.61,SUCCESS,5.0
simple,125,2256.0,28.87,SUCCESS,3.0
simple,126,2915.0,27.07,SUCCESS,5.0
simple,127,3149.0,25.71,SUCCESS,5.0
simple,128,4166.0,24.17,SUCCESS,3.0
simple,129,3892.0,23.61,SUCCESS,5.0
simple,130,2325.0,31.17,SUCCESS,3.0
simple,131,3580.0,24.41,SUCCESS,5.0
simple,132,2149.0,32.56,SUCCESS,1.0
simple,133,2697.0,27.64,SUCCESS,5.0
simple,134,2529.0,29.07,SUCCESS,4.0
simple,135,2286.0,31.43,SUCCESS,2.0
simple,136,2588.0,30.22,SUCCESS,2.0
simple,137,2679.0,27.55,SUCCESS,3.0
simple,138,2201.0,31.77,SUCCESS,1.0
simple,139,4255.0,23.4,SUCCESS,5.0
simple,140,2481.0,29.08,SUCCESS,4.0
simple,141,2300.0,31.99,SUCCESS,2.0
simple,142,2816.0,27.71,SUCCESS,4.0
simple,143,2565.0,30.14,SUCCESS,4.0
simple,144,2546.0,30.13,SUCCESS,3.0
simple,145,2257.0,31.9,SUCCESS,1.0
simple,146,3082.0,26.76,SUCCESS,2.0
simple,147,4049.0,23.9,SUCCESS,4.0
simple,148,2260.0,31.53,SUCCESS,1.0
simple,149,2870.0,25.75,SUCCESS,5.0
simple,150,2404.0,29.62,SUCCESS,3.0
simple,151,2867.0,27.55,SUCCESS,3.0
simple,152,,,SIM_ERRORSimulation still running after step limit,
simple,153,3275.0,26.31,SUCCESS,5.0
simple,154,3355.0,25.59,SUCCESS,5.0
simple,155,2442.0,30.98,SUCCESS,2.0
simple,156,2228.0,32.17,SUCCESS,1.0
simple,157,3974.0,23.65,SUCCESS,5.0
simple,158,2477.0,29.4,SUCCESS,2.0
simple,159,2690.0,27.9,SUCCESS,2.0
simple,160,2366.0,31.16,SUCCESS,2.0
simple,161,4093.0,22.95,SUCCESS,5.0
simple,162,2267.0,32.39,SUCCESS,3.0
simple,163,2850.0,27.4,SUCCESS,4.0
simple,164,3332.0,25.48,SUCCESS,5.0
simple,165,3756.0,24.65,SUCCESS,4.0
simple,166,2618.0,27.95,SUCCESS,1.0
simple,167,3510.0,24.91,SUCCESS,5.0
simple,168,2653.0,28.45,SUCCESS,3.0
simple,169,2323.0,32.35,SUCCESS,3.0
simple,170,2161.0,31.12,SUCCESS,1.0
simple,171,4084.0,23.13,SUCCESS,5.0
simple,172,2279.0,31.38,SUCCESS,1.0
simple,173,4123.0,23.37,SUCCESS,5.0
simple,174,,,SIM_ERRORSimulation still running after step limit,
simple,175,2286.0,33.78,SUCCESS,3.0
simple,176,2887.0,26.48,SUCCESS,3.0
simple,177,2407.0,31.11,SUCCESS,4.0
simple,178,,,SIM_ERRORSimulation still running after step limit,
simple,179,2286.0,31.45,SUCCESS,2.0
simple,180,2230.0,32.25,SUCCESS,1.0
simple,181,,,SIM_ERRORSimulation still running after step limit,
simple,182,2456.0,29.62,SUCCESS,4.0
simple,183,2699.0,27.58,SUCCESS,3.0
simple,184,3850.0,24.9,SUCCESS,4.0
simple,185,2267.0,33.68,SUCCESS,2.0
simple,186,2251.0,31.22,SUCCESS,1.0
simple,187,2277.0,32.13,SUCCESS,1.0
simple,188,2682.0,28.37,SUCCESS,4.0
simple,189,,,SIM_ERRORSimulation still running after step limit,
simple,190,2959.0,27.27,SUCCESS,4.0
simple,191,4747.0,27.66,SUCCESS,5.0
simple,192,2511.0,30.59,SUCCESS,4.0
simple,193,2314.0,31.55,SUCCESS,1.0
simple,194,2332.0,32.17,SUCCESS,1.0
simple,195,2772.0,25.78,SUCCESS,4.0
simple,196,2225.0,32.28,SUCCESS,1.0
simple,197,2209.0,30.31,SUCCESS,2.0
simple,198,3491.0,23.85,SUCCESS,5.0
simple,199,2304.0,32.51,SUCCESS,2.0
heft,100,2558.0,28.39,SUCCESS,3.0
heft,101,,,SIM_ERRORSimulation still running after step limit,
heft,102,2283.0,33.44,SUCCESS,3.0
heft,103,2343.0,32.43,SUCCESS,2.0
heft,104,2405.0,30.04,SUCCESS,2.0
heft,105,2232.0,32.52,SUCCESS,3.0
heft,106,,,SIM_ERRORSimulation still running after step limit,
heft,107,2311.0,29.79,SUCCESS,3.0
heft,108,3497.0,24.47,SUCCESS,4.0
