scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,7673.0,29.13,SUCCESS,5.0
simple,101,5307.0,30.47,SUCCESS,1.0
simple,102,13097.0,37.41,SUCCESS,5.0
simple,103,5265.0,33.79,SUCCESS,1.0
simple,104,6962.0,31.98,SUCCESS,3.0
simple,105,5188.0,32.18,SUCCESS,5.0
simple,106,,,SIM_ERRORSimulation still running after step limit,
simple,107,5626.0,29.66,SUCCESS,3.0
simple,108,4408.0,40.18,SUCCESS,1.0
simple,109,7694.0,35.82,SUCCESS,4.0
simple,110,4663.0,37.53,SUCCESS,4.0
simple,111,9703.0,38.28,SUCCESS,4.0
simple,112,4539.0,42.59,SUCCESS,1.0
simple,113,5118.0,31.53,SUCCESS,3.0
simple,114,4394.0,42.46,SUCCESS,1.0
simple,115,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
simple,116,,,SIM_ERRORSimulation still running after step limit,
simple,117,4637.0,37.17,SUCCESS,3.0
simple,118,4596.0,38.81,SUCCESS,2.0
simple,119,8519.0,38.56,SUCCESS,5.0
simple,120,4272.0,43.38,SUCCESS,2.0
simple,121,4431.0,43.3,SUCCESS,2.0
simple,122,5560.0,28.93,SUCCESS,3.0
simple,123,6977.0,28.98,SUCCESS,5.0
simple,124,5061.0,38.64,SUCCESS,3.0
simple,125,12782.0,38.17,SUCCESS,5.0
simple,126,4970.0,32.92,SUCCESS,3.0
simple,127,7702.0,36.26,SUCCESS,4.0
simple,128,13131.0,34.0,SUCCESS,3.0
simple,129,5065.0,32.78,SUCCESS,2.0
simple,130,4421.0,35.61,SUCCESS,4.0
simple,131,5084.0,29.91,SUCCESS,3.0
simple,132,4264.0,42.92,SUCCESS,2.0
simple,133,5947.0,27.69,SUCCESS,5.0
simple,134,,,SIM_ERRORSimulation still running after step limit,
simple,135,5394.0,29.86,SUCCESS,4.0
simple,136,6420.0,33.06,SUCCESS,4.0
simple,137,4535.0,44.2,SUCCESS,2.0
simple,138,5636.0,29.43,SUCCESS,3.0
simple,139,4375.0,38.77,SUCCESS,3.0
simple,140,5534.0,33.53,SUCCESS,3.0
simple,141,6092.0,33.18,SUCCESS,3.0
simple,142,4491.0,41.39,SUCCESS,2.0
simple,143,4823.0,38.46,SUCCESS,2.0
simple,144,,,SIM_ERRORSimulation still running after step limit,
simple,145,5484.0,26.95,SUCCESS,4.0
simple,146,6810.0,26.63,SUCCESS,4.0
simple,147,5208.0,30.14,SUCCESS,5.0
simple,148,8697.0,32.03,SUCCESS,4.0
simple,149,6018.0,30.69,SUCCESS,4.0
simple,150,4469.0,39.39,SUCCESS,3.0
simple,151,5064.0,32.7,SUCCESS,2.0
simple,152,6922.0,27.87,SUCCESS,3.0
simple,153,,,SIM_ERRORSimulation still running after step limit,
simple,154,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
simple,155,6255.0,26.45,SUCCESS,4.0
simple,156,4332.0,41.75,SUCCESS,1.0
simple,157,,,SIM_ERRORSimulation still running after step limit,
simple,158,4813.0,29.32,SUCCESS,1.0
simple,159,4665.0,35.81,SUCCESS,4.0
simple,160,6420.0,29.26,SUCCESS,4.0
simple,161,4937.0,32.34,SUCCESS,3.0
simple,162,8944.0,27.38,SUCCESS,4.0
simple,163,9016.0,29.3,SUCCESS,4.0
simple,164,12301.0,38.94,SUCCESS,5.0
simple,165,6521.0,30.56,SUCCESS,4.0
simple,166,5695.0,32.9,SUCCESS,3.0
simple,167,,,SIM_ERRORSimulation still running after step limit,
simple,168,,,SIM_ERRORSimulation still running after step limit,
simple,169,5188.0,29.19,SUCCESS,2.0
simple,170,4484.0,44.2,SUCCESS,2.0
simple,171,5894.0,38.59,SUCCESS,5.0
simple,172,4912.0,31.72,SUCCESS,4.0
simple,173,4736.0,32.52,SUCCESS,3.0
simple,174,,,SIM_ERRORSimulation still running after step limit,
simple,175,4451.0,34.74,SUCCESS,2.0
simple,176,4631.0,38.46,SUCCESS,3.0
simple,177,11459.0,31.9,SUCCESS,4.0
simple,178,4889.0,36.0,SUCCESS,1.0
simple,179,4951.0,32.05,SUCCESS,3.0
simple,180,9581.0,30.84,SUCCESS,4.0
simple,181,4896.0,38.85,SUCCESS,2.0
simple,182,4167.0,42.84,SUCCESS,2.0
simple,183,5059.0,29.49,SUCCESS,2.0
simple,184,4117.0,43.3,SUCCESS,1.0
simple,185,11434.0,34.48,SUCCESS,5.0
simple,186,4327.0,42.55,SUCCESS,2.0
simple,187,13024.0,34.73,SUCCESS,3.0
simple,188,5013.0,31.93,SUCCESS,2.0
simple,189,,,SIM_ERRORSimulation still running after step limit,
simple,190,4454.0,38.63,SUCCESS,1.0
simple,191,4395.0,42.17,SUCCESS,1.0
simple,192,4587.0,44.21,SUCCESS,2.0
simple,193,4260.0,43.26,SUCCESS,1.0
simple,194,4804.0,37.63,SUCCESS,1.0
simple,195,4921.0,32.95,SUCCESS,2.0
simple,196,4902.0,34.25,SUCCESS,2.0
simple,197,5068.0,29.17,SUCCESS,3.0
simple,198,5913.0,28.53,SUCCESS,3.0
simple,199,4605.0,39.8,SUCCESS,2.0
heft,100,4948.0,31.3,SUCCESS,4.0
heft,101,,,SIM_ERRORSimulation still running after step limit,
heft,102,5106.0,35.3,SUCCESS,3.0
heft,103,5557.0,28.91,SUCCESS,5.0
heft,104,4152.0,42.85,SUCCESS,1.0
heft,105,4666.0,42.91,SUCCESS,4.0
heft,106,6065.0,31.98,SUCCESS,3.0
heft,107,,,SIM_ERRORSimulation still running after step limit,
