scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,1893.0,32.88,SUCCESS,3.0
simple,101,2298.0,29.03,SUCCESS,3.0
simple,102,1960.0,31.76,SUCCESS,2.0
simple,103,2181.0,29.63,SUCCESS,4.0
simple,104,3796.0,19.38,SUCCESS,2.0
simple,105,2320.0,25.59,SUCCESS,4.0
simple,106,2714.0,24.22,SUCCESS,3.0
simple,107,1967.0,34.92,SUCCESS,2.0
simple,108,2563.0,24.55,SUCCESS,3.0
simple,109,1873.0,33.82,SUCCESS,1.0
simple,110,2097.0,28.79,SUCCESS,5.0
simple,111,2276.0,27.76,SUCCESS,4.0
simple,112,2017.0,31.47,SUCCESS,2.0
simple,113,2476.0,25.36,SUCCESS,4.0
simple,114,,,SIM_ERRORSimulation still running after step limit,
simple,115,1928.0,32.37,SUCCESS,2.0
simple,116,2284.0,27.45,SUCCESS,4.0
simple,117,2120.0,31.55,SUCCESS,1.0
simple,118,2317.0,26.45,SUCCESS,4.0
simple,119,2266.0,27.75,SUCCESS,3.0
simple,120,2142.0,27.38,SUCCESS,3.0
simple,121,2092.0,30.2,SUCCESS,3.0
simple,122,2281.0,28.58,SUCCESS,1.0
simple,123,1918.0,34.58,SUCCESS,1.0
simple,124,1937.0,35.51,SUCCESS,2.0
simple,125,1992.0,30.74,SUCCESS,5.0
simple,126,2223.0,25.38,SUCCESS,3.0
simple,127,2029.0,29.55,SUCCESS,2.0
simple,128,2569.0,24.38,SUCCESS,3.0
simple,129,1897.0,32.64,SUCCESS,1.0
simple,130,1930.0,32.24,SUCCESS,1.0
simple,131,2173.0,29.78,SUCCESS,4.0
simple,132,2173.0,26.95,SUCCESS,5.0
simple,133,2447.0,26.46,SUCCESS,5.0
simple,134,2389.0,25.0,SUCCESS,4.0
simple,135,2845.0,21.41,SUCCESS,3.0
simple,136,2094.0,33.72,SUCCESS,1.0
simple,137,2555.0,23.23,SUCCESS,5.0
simple,138,2151.0,28.12,SUCCESS,2.0
simple,139,,,SIM_ERRORSimulation still running after step limit,
simple,140,1830.0,34.94,SUCCESS,1.0
simple,141,2257.0,28.15,SUCCESS,5.0
simple,142,2206.0,29.01,SUCCESS,3.0
simple,143,2023.0,31.09,SUCCESS,3.0
simple,144,2290.0,28.26,SUCCESS,3.0
simple,145,2472.0,25.19,SUCCESS,5.0
simple,146,2843.0,22.99,SUCCESS,4.0
simple,147,3149.0,22.41,SUCCESS,5.0
simple,148,2227.0,30.27,SUCCESS,2.0
simple,149,1993.0,35.02,SUCCESS,2.0
simple,150,2241.0,28.59,SUCCESS,1.0
simple,151,1985.0,31.54,SUCCESS,4.0
simple,152,1928.0,33.36,SUCCESS,2.0
simple,153,2050.0,29.62,SUCCESS,1.0
simple,154,2125.0,29.95,SUCCESS,2.0
simple,155,2036.0,30.55,SUCCESS,3.0
simple,156,3494.0,19.83,SUCCESS,4.0
simple,157,3185.0,21.16,SUCCESS,5.0
simple,158,2068.0,30.3,SUCCESS,3.0
simple,159,2091.0,30.19,SUCCESS,3.0
simple,160,2576.0,25.81,SUCCESS,4.0
simple,161,1863.0,33.76,SUCCESS,3.0
simple,162,2679.0,22.7,SUCCESS,5.0
simple,163,1938.0,32.7,SUCCESS,1.0
simple,164,3965.0,21.48,SUCCESS,5.0
simple,165,2175.0,28.56,SUCCESS,2.0
simple,166,2543.0,24.25,SUCCESS,2.0
simple,167,2266.0,25.6,SUCCESS,3.0
simple,168,2600.0,25.74,SUCCESS,5.0
simple,169,1995.0,34.28,SUCCESS,2.0
simple,170,1811.0,31.15,SUCCESS,1.0
simple,171,3889.0,19.81,SUCCESS,5.0
simple,172,2334.0,26.15,SUCCESS,4.0
simple,173,2438.0,25.0,SUCCESS,4.0
simple,174,2634.0,24.59,SUCCESS,3.0
simple,175,2786.0,22.84,SUCCESS,4.0
simple,176,3310.0,22.28,SUCCESS,4.0
simple,177,2473.0,26.28,SUCCESS,5.0
simple,178,,,SIM_ERRORSimulation still running after step limit,
simple,179,2375.0,25.51,SUCCESS,4.0
simple,180,2661.0,22.65,SUCCESS,5.0
simple,181,1946.0,33.63,SUCCESS,2.0
simple,182,2011.0,32.84,SUCCESS,4.0
simple,183,2239.0,26.34,SUCCESS,4.0
simple,184,3503.0,20.91,SUCCESS,5.0
simple,185,2280.0,28.44,SUCCESS,3.0
simple,186,2233.0,26.23,SUCCESS,4.0
simple,187,2470.0,25.16,SUCCESS,5.0
simple,188,2578.0,24.15,SUCCESS,3.0
simple,189,2031.0,31.77,SUCCESS,1.0
simple,190,2100.0,30.13,SUCCESS,4.0
simple,191,1916.0,33.44,SUCCESS,1.0
simple,192,2130.0,29.05,SUCCESS,3.0
simple,193,2273.0,28.63,SUCCESS,2.0
simple,194,1894.0,31.77,SUCCESS,1.0
simple,195,2206.0,29.27,SUCCESS,5.0
simple,196,2172.0,26.85,SUCCESS,5.0
simple,197,2070.0,28.46,SUCCESS,4.0
simple,198,1886.0,32.51,SUCCESS,1.0
simple,199,1914.0,31.6,SUCCESS,2.0
heft,100,2593.0,22.94,SUCCESS,5.0
heft,101,2092.0,32.11,SUCCESS,1.0
heft,102,2050.0,29.4,SUCCESS,4.0
heft,103,1975.0,31.79,SUCCESS,2.0
heft,104,,,SIM_ERRORSimulation still running after step limit,
heft,105,2162.0,27.88,SUCCESS,3.0
heft,106,1945.0,31.38,SUCCESS,1.0
heft,107,2037.0,29.43,SUCCESS,3.0
heft,108,2627.0,22.84,SUCCESS,4.0
heft,109,2211.0,27.1,SUCCESS,5.0
heft,110,1942.0,31.73,SUCCESS,1.0
heft,111,2769.0,23.64,SUCCESS,5.0
heft,112,1895.0,33.96,SUCCESS,1.0
heft,113,2728.0,23.17,SUCCESS,5.0
heft,114,1932.0,32.59,SUCCESS,1.0
heft,115,3717.0,23.77,SUCCESS,5.0
heft,116,2124.0,30.51,SUCCESS,2.0
heft,117,3177.0,21.56,SUCCESS,4.0
heft,118,2051.0,29.38,SUCCESS,2.0
heft,119,1886.0,31.53,SUCCESS,1.0
heft,120,3932.0,23.93,SUCCESS,5.0
heft,121,2139.0,26.51,SUCCESS,5.0
heft,122,2954.0,22.71,SUCCESS,3.0
heft,123,2383.0,26.77,SUCCESS,5.0
heft,124,2059.0,34.12,SUCCESS,3.0
heft,125,1884.0,31.57,SUCCESS,1.0
heft,126,2279.0,26.7,SUCCESS,4.0
heft,127,1899.0,33.4,SUCCESS,1.0
heft,128,2278.0,25.66,SUCCESS,1.0
heft,129,2394.0,24.34,SUCCESS,4.0
heft,130,2011.0,29.74,SUCCESS,3.0
heft,131,1918.0,33.18,SUCCESS,1.0
heft,132,1887.0,34.35,SUCCESS,3.0
heft,133,1928.0,32.86,SUCCESS,1.0
heft,134,3614.0,20.34,SUCCESS,5.0
heft,135,2144.0,30.14,SUCCESS,1.0
heft,136,2407.0,25.48,SUCCESS,3.0
heft,137,2037.0,28.78,SUCCESS,2.0
heft,138,2207.0,26.61,SUCCESS,3.0
heft,139,2529.0,23.65,SUCCESS,3.0
heft,140,1866.0,36.8,SUCCESS,3.0
heft,141,1944.0,33.37,SUCCESS,1.0
heft,142,1886.0,34.01,SUCCESS,1.0
heft,143,2751.0,22.42,SUCCESS,5.0
heft,144,1968.0,32.43,SUCCESS,1.0
heft,145,2278.0,25.54,SUCCESS,4.0
heft,146,2789.0,22.11,SUCCESS,3.0
heft,147,2191.0,28.85,SUCCESS,2.0
heft,148,1944.0,32.75,SUCCESS,1.0
heft,149,2472.0,24.0,SUCCESS,4.0
heft,150,2532.0,25.87,SUCCESS,3.0
heft,151,2235.0,27.22,SUCCESS,5.0
heft,152,2024.0,35.09,SUCCESS,4.0
heft,153,2233.0,29.01,SUCCESS,2.0
heft,154,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
heft,155,3955.0,19.16,SUCCESS,5.0
heft,156,5482.0,22.17,SUCCESS,5.0
heft,157,2250.0,27.75,SUCCESS,2.0
heft,158,2088.0,29.13,SUCCESS,4.0
heft,159,1963.0,34.97,SUCCESS,2.0
heft,160,2743.0,25.4,SUCCESS,5.0
heft,161,2700.0,24.19,SUCCESS,5.0
heft,162,1969.0,35.97,SUCCESS,2.0
heft,163,2319.0,26.44,SUCCESS,3.0
heft,164,2090.0,32.27,SUCCESS,3.0
heft,165,4418.0,23.15,SUCCESS,5.0
heft,166,2548.0,25.35,SUCCESS,3.0
heft,167,2141.0,29.56,SUCCESS,2.0
heft,168,2173.0,27.61,SUCCESS,2.0
heft,169,2503.0,24.08,SUCCESS,4.0
heft,170,2046.0,28.16,SUCCESS,4.0
heft,171,2649.0,24.67,SUCCESS,4.0
heft,172,2496.0,26.07,SUCCESS,5.0
