scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,837.0,29.84,SUCCESS,5.0
simple,101,765.0,36.37,SUCCESS,2.0
simple,102,973.0,28.01,SUCCESS,4.0
simple,103,1126.0,28.93,SUCCESS,5.0
simple,104,836.0,31.31,SUCCESS,5.0
simple,105,900.0,32.11,SUCCESS,4.0
simple,106,789.0,32.92,SUCCESS,1.0
simple,107,981.0,34.05,SUCCESS,2.0
simple,108,771.0,33.59,SUCCESS,1.0
simple,109,733.0,35.3,SUCCESS,1.0
simple,110,683.0,36.86,SUCCESS,2.0
simple,111,712.0,31.88,SUCCESS,1.0
simple,112,756.0,33.63,SUCCESS,5.0
simple,113,945.0,37.54,SUCCESS,3.0
simple,114,1023.0,30.67,SUCCESS,5.0
simple,115,725.0,37.03,SUCCESS,5.0
simple,116,772.0,34.55,SUCCESS,1.0
simple,117,919.0,32.54,SUCCESS,4.0
simple,118,786.0,35.15,SUCCESS,2.0
simple,119,787.0,34.78,SUCCESS,2.0
simple,120,890.0,30.14,SUCCESS,2.0
simple,121,829.0,32.96,SUCCESS,1.0
simple,122,1081.0,29.58,SUCCESS,4.0
simple,123,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf4. Simulation cannot proceed.,
simple,124,708.0,34.89,SUCCESS,2.0
simple,125,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf4. Simulation cannot proceed.,
simple,126,1026.0,30.65,SUCCESS,4.0
simple,127,630.0,32.34,SUCCESS,3.0
simple,128,1059.0,27.29,SUCCESS,3.0
simple,129,785.0,26.15,SUCCESS,5.0
simple,130,978.0,29.42,SUCCESS,4.0
simple,131,828.0,33.57,SUCCESS,3.0
simple,132,766.0,35.61,SUCCESS,3.0
simple,133,1200.0,27.75,SUCCESS,4.0
simple,134,834.0,35.28,SUCCESS,3.0
simple,135,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,136,748.0,36.97,SUCCESS,1.0
simple,137,816.0,39.25,SUCCESS,3.0
simple,138,847.0,35.39,SUCCESS,2.0
simple,139,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,140,914.0,33.21,SUCCESS,5.0
simple,141,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,142,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,143,711.0,37.45,SUCCESS,2.0
simple,144,779.0,31.16,SUCCESS,3.0
simple,145,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking shelf4. Simulation cannot proceed.,
simple,146,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,147,776.0,32.7,SUCCESS,4.0
simple,148,,,BLOCKED_BY_FAULTrobot3 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,149,853.0,32.53,SUCCESS,3.0
simple,150,897.0,34.5,SUCCESS,1.0
simple,151,926.0,27.13,SUCCESS,4.0
simple,152,1011.0,29.35,SUCCESS,4.0
simple,153,853.0,33.44,SUCCESS,4.0
simple,154,846.0,33.75,SUCCESS,4.0
simple,155,901.0,34.38,SUCCESS,1.0
simple,156,1067.0,27.79,SUCCESS,5.0
simple,157,915.0,29.97,SUCCESS,2.0
simple,158,875.0,28.09,SUCCESS,5.0
simple,159,853.0,36.34,SUCCESS,3.0
simple,160,800.0,35.19,SUCCESS,1.0
simple,161,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf4. Simulation cannot proceed.,
simple,162,813.0,32.84,SUCCESS,1.0
simple,163,1132.0,28.16,SUCCESS,5.0
simple,164,903.0,34.3,SUCCESS,2.0
simple,165,867.0,36.04,SUCCESS,5.0
simple,166,1018.0,29.3,SUCCESS,3.0
simple,167,791.0,33.0,SUCCESS,5.0
simple,168,843.0,33.9,SUCCESS,4.0
simple,169,987.0,32.4,SUCCESS,5.0
simple,170,887.0,37.26,SUCCESS,4.0
simple,171,778.0,36.18,SUCCESS,4.0
simple,172,858.0,32.6,SUCCESS,1.0
simple,173,794.0,33.66,SUCCESS,1.0
simple,174,902.0,27.55,SUCCESS,5.0
simple,175,894.0,34.0,SUCCESS,2.0
simple,176,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,177,905.0,36.82,SUCCESS,2.0
simple,178,872.0,29.64,SUCCESS,4.0
simple,179,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,180,771.0,34.89,SUCCESS,2.0
simple,181,845.0,35.47,SUCCESS,4.0
simple,182,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,183,768.0,31.15,SUCCESS,3.0
simple,184,813.0,35.39,SUCCESS,4.0
simple,185,920.0,33.86,SUCCESS,5.0
simple,186,798.0,37.31,SUCCESS,3.0
simple,187,1158.0,26.92,SUCCESS,3.0
simple,188,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,189,778.0,31.62,SUCCESS,4.0
simple,190,863.0,33.46,SUCCESS,2.0
simple,191,966.0,33.13,SUCCESS,3.0
simple,192,910.0,29.29,SUCCESS,3.0
simple,193,906.0,36.53,SUCCESS,2.0
simple,194,921.0,31.19,SUCCESS,4.0
simple,195,794.0,33.94,SUCCESS,4.0
simple,196,758.0,35.55,SUCCESS,3.0
simple,197,760.0,32.89,SUCCESS,4.0
simple,198,648.0,34.26,SUCCESS,1.0
simple,199,922.0,29.58,SUCCESS,3.0
heft,100,821.0,26.4,SUCCESS,4.0
heft,101,774.0,34.5,SUCCESS,4.0
heft,102,855.0,33.86,SUCCESS,3.0
heft,103,1116.0,27.89,SUCCESS,4.0
heft,104,771.0,32.17,SUCCESS,1.0
heft,105,882.0,32.37,SUCCESS,3.0
heft,106,798.0,34.15,SUCCESS,2.0
heft,107,944.0,33.13,SUCCESS,1.0
heft,108,801.0,33.93,SUCCESS,2.0
heft,109,788.0,30.68,SUCCESS,5.0
heft,110,705.0,35.28,SUCCESS,3.0
heft,111,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking shelf2. Simulation cannot proceed.,
heft,112,752.0,31.91,SUCCESS,3.0
heft,113,927.0,33.95,SUCCESS,2.0
heft,114,913.0,31.27,SUCCESS,2.0
heft,115,712.0,34.41,SUCCESS,2.0
heft,116,872.0,31.42,SUCCESS,5.0
heft,117,1055.0,27.37,SUCCESS,5.0
heft,118,936.0,28.74,SUCCESS,5.0
heft,119,770.0,34.32,SUCCESS,1.0
heft,120,911.0,31.45,SUCCESS,3.0
heft,121,829.0,30.19,SUCCESS,1.0
heft,122,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
heft,123,1383.0,23.63,SUCCESS,4.0
heft,124,716.0,33.83,SUCCESS,3.0
heft,125,925.0,32.03,SUCCESS,3.0
heft,126,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
heft,127,629.0,33.86,SUCCESS,2.0
heft,128,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal0. Simulation cannot proceed.,
heft,129,766.0,26.24,SUCCESS,4.0
heft,130,878.0,35.45,SUCCESS,3.0
heft,131,722.0,33.38,SUCCESS,2.0
heft,132,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf4. Simulation cannot proceed.,
heft,133,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf2. Simulation cannot proceed.,
heft,134,795.0,35.19,SUCCESS,1.0
heft,135,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
