scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,606,46.96,SUCCESS,5.0
simple,101,602,44.49,SUCCESS,5.0
simple,102,694,47.49,SUCCESS,5.0
simple,103,689,43.08,SUCCESS,2.0
simple,104,596,41.21,SUCCESS,1.0
simple,105,670,42.6,SUCCESS,2.0
simple,106,640,45.44,SUCCESS,2.0
simple,107,731,40.9,SUCCESS,2.0
simple,108,645,46.05,SUCCESS,3.0
simple,109,622,49.23,SUCCESS,4.0
simple,110,561,50.45,SUCCESS,3.0
simple,111,615,49.98,SUCCESS,5.0
simple,112,614,46.61,SUCCESS,3.0
simple,113,755,45.32,SUCCESS,5.0
simple,114,739,45.03,SUCCESS,5.0
simple,115,617,53.65,SUCCESS,5.0
simple,116,615,45.43,SUCCESS,2.0
simple,117,686,42.89,SUCCESS,2.0
simple,118,676,52.75,SUCCESS,4.0
simple,119,637,46.84,SUCCESS,3.0
simple,120,674,48.16,SUCCESS,4.0
simple,121,618,41.78,SUCCESS,1.0
simple,122,728,44.59,SUCCESS,5.0
simple,123,667,47.14,SUCCESS,5.0
simple,124,559,46.12,SUCCESS,2.0
simple,125,656,46.62,SUCCESS,4.0
simple,126,720,47.39,SUCCESS,4.0
simple,127,517,48.67,SUCCESS,3.0
simple,128,729,41.51,SUCCESS,5.0
simple,129,556,48.74,SUCCESS,5.0
simple,130,664,46.33,SUCCESS,4.0
simple,131,569,43.44,SUCCESS,3.0
simple,132,652,48.01,SUCCESS,5.0
simple,133,700,43.4,SUCCESS,1.0
simple,134,660,50.0,SUCCESS,5.0
simple,135,605,42.55,SUCCESS,3.0
simple,136,674,51.39,SUCCESS,5.0
simple,137,659,51.23,SUCCESS,4.0
simple,138,683,47.47,SUCCESS,5.0
simple,139,580,43.97,SUCCESS,4.0
simple,140,672,50.39,SUCCESS,5.0
simple,141,595,47.7,SUCCESS,5.0
simple,142,711,45.63,SUCCESS,4.0
simple,143,534,49.96,SUCCESS,1.0
simple,144,626,42.2,SUCCESS,5.0
simple,145,684,46.61,SUCCESS,4.0
simple,146,709,42.85,SUCCESS,5.0
simple,147,609,46.34,SUCCESS,2.0
simple,148,620,46.23,SUCCESS,1.0
simple,149,677,44.11,SUCCESS,5.0
simple,150,733,46.74,SUCCESS,4.0
simple,151,632,44.94,SUCCESS,5.0
simple,152,703,51.92,SUCCESS,4.0
simple,153,659,44.89,SUCCESS,4.0
simple,154,655,46.41,SUCCESS,3.0
simple,155,748,48.66,SUCCESS,4.0
simple,156,656,44.05,SUCCESS,5.0
simple,157,686,43.21,SUCCESS,4.0
simple,158,575,44.42,SUCCESS,5.0
simple,159,678,47.58,SUCCESS,4.0
simple,160,679,48.07,SUCCESS,5.0
simple,161,629,48.33,SUCCESS,5.0
simple,162,692,48.84,SUCCESS,5.0
simple,163,666,43.84,SUCCESS,5.0
simple,164,691,44.25,SUCCESS,1.0
simple,165,665,48.87,SUCCESS,3.0
simple,166,618,39.32,SUCCESS,1.0
simple,167,541,49.87,SUCCESS,1.0
simple,168,674,48.1,SUCCESS,3.0
simple,169,705,46.64,SUCCESS,1.0
simple,170,673,44.78,SUCCESS,4.0
simple,171,603,43.08,SUCCESS,5.0
simple,172,690,43.68,SUCCESS,4.0
simple,173,667,48.19,SUCCESS,1.0
simple,174,571,47.92,SUCCESS,4.0
simple,175,756,48.31,SUCCESS,5.0
simple,176,661,45.57,SUCCESS,2.0
simple,177,735,48.22,SUCCESS,4.0
simple,178,622,44.66,SUCCESS,4.0
simple,179,607,53.74,SUCCESS,5.0
simple,180,608,44.47,SUCCESS,4.0
simple,181,689,50.74,SUCCESS,5.0
simple,182,617,49.69,SUCCESS,5.0
simple,183,570,48.91,SUCCESS,3.0
simple,184,624,45.19,SUCCESS,4.0
simple,185,704,44.83,SUCCESS,4.0
simple,186,686,50.32,SUCCESS,2.0
simple,187,738,41.95,SUCCESS,5.0
simple,188,690,48.23,SUCCESS,3.0
simple,189,599,47.55,SUCCESS,4.0
simple,190,702,46.35,SUCCESS,5.0
simple,191,686,48.37,SUCCESS,1.0
simple,192,580,46.93,SUCCESS,4.0
simple,193,705,46.21,SUCCESS,1.0
simple,194,732,45.3,SUCCESS,5.0
simple,195,618,48.12,SUCCESS,1.0
simple,196,548,50.18,SUCCESS,4.0
simple,197,547,45.05,SUCCESS,1.0
simple,198,543,47.0,SUCCESS,1.0
simple,199,664,48.89,SUCCESS,5.0
heft,100,562,45.02,SUCCESS,1.0
heft,101,561,42.67,SUCCESS,1.0
heft,102,686,46.79,SUCCESS,4.0
heft,103,713,43.09,SUCCESS,5.0
heft,104,620,41.19,SUCCESS,5.0
heft,105,657,40.33,SUCCESS,1.0
heft,106,659,47.47,SUCCESS,5.0
heft,107,767,39.9,SUCCESS,5.0
heft,108,653,45.48,SUCCESS,4.0
heft,109,646,49.32,SUCCESS,5.0
heft,110,581,51.81,SUCCESS,4.0
heft,111,607,48.3,SUCCESS,4.0
heft,112,595,45.58,SUCCESS,2.0
heft,113,747,44.9,SUCCESS,4.0
heft,114,724,44.53,SUCCESS,4.0
heft,115,594,52.12,SUCCESS,4.0
heft,116,654,47.16,SUCCESS,5.0
heft,117,694,42.1,SUCCESS,3.0
heft,118,677,49.54,SUCCESS,5.0
heft,119,628,44.33,SUCCESS,2.0
heft,120,661,47.41,SUCCESS,3.0
heft,121,647,44.98,SUCCESS,5.0
heft,122,682,41.2,SUCCESS,3.0
heft,123,634,45.3,SUCCESS,4.0
heft,124,571,46.13,SUCCESS,5.0
heft,125,640,44.44,SUCCESS,1.0
heft,126,742,46.9,SUCCESS,5.0
heft,127,550,50.0,SUCCESS,5.0
heft,128,692,39.02,SUCCESS,3.0
heft,129,510,47.45,SUCCESS,1.0
heft,130,694,46.74,SUCCESS,5.0
heft,131,552,41.09,SUCCESS,1.0
heft,132,647,48.56,SUCCESS,4.0
heft,133,761,45.05,SUCCESS,5.0
heft,134,637,45.87,SUCCESS,1.0
heft,135,621,42.54,SUCCESS,5.0
heft,136,661,48.77,SUCCESS,4.0
heft,137,667,50.28,SUCCESS,5.0
heft,138,638,43.67,SUCCESS,1.0
heft,139,597,46.3,SUCCESS,5.0
heft,140,655,49.59,SUCCESS,4.0
heft,141,587,48.55,SUCCESS,4.0
heft,142,738,47.78,SUCCESS,5.0
heft,143,570,50.39,SUCCESS,3.0
heft,144,603,40.46,SUCCESS,1.0
heft,145,680,44.09,SUCCESS,3.0
heft,146,691,43.7,SUCCESS,1.0
heft,147,601,47.15,SUCCESS,1.0
heft,148,632,47.66,SUCCESS,5.0
heft,149,675,45.24,SUCCESS,4.0
heft,150,725,47.37,SUCCESS,3.0
heft,151,613,42.71,SUCCESS,2.0
heft,152,706,52.83,SUCCESS,5.0
heft,153,680,44.18,SUCCESS,5.0
heft,154,641,43.37,SUCCESS,2.0
heft,155,763,48.89,SUCCESS,5.0
heft,156,652,42.27,SUCCESS,4.0
heft,157,695,40.86,SUCCESS,5.0
heft,158,550,43.24,SUCCESS,3.0
heft,159,687,49.87,SUCCESS,5.0
heft,160,666,46.16,SUCCESS,2.0
heft,161,609,46.04,SUCCESS,3.0
heft,162,678,47.02,SUCCESS,1.0
heft,163,655,45.89,SUCCESS,4.0
heft,164,721,44.74,SUCCESS,4.0
heft,165,722,51.33,SUCCESS,5.0
heft,166,663,40.72,SUCCESS,2.0
heft,167,549,51.33,SUCCESS,2.0
heft,168,698,49.31,SUCCESS,5.0
heft,169,721,46.44,SUCCESS,5.0
heft,170,651,43.44,SUCCESS,3.0
heft,171,551,40.04,SUCCESS,1.0
heft,172,697,42.58,SUCCESS,5.0
heft,173,667,47.71,SUCCESS,1.0
heft,174,602,48.67,SUCCESS,5.0
heft,175,740,46.57,SUCCESS,3.0
heft,176,681,45.52,SUCCESS,5.0
heft,177,740,49.81,SUCCESS,5.0
heft,178,627,42.84,SUCCESS,5.0
heft,179,579,52.82,SUCCESS,4.0
heft,180,600,43.3,SUCCESS,3.0
heft,181,680,47.82,SUCCESS,4.0
heft,182,615,52.07,SUCCESS,4.0
heft,183,573,46.98,SUCCESS,4.0
heft,184,652,44.79,SUCCESS,5.0
heft,185,727,45.47,SUCCESS,5.0
heft,186,700,51.71,SUCCESS,5.0
heft,187,730,42.41,SUCCESS,4.0
heft,188,688,47.91,SUCCESS,2.0
heft,189,631,49.45,SUCCESS,5.0
heft,190,696,47.16,SUCCESS,4.0
heft,191,724,48.87,SUCCESS,5.0
heft,192,592,48.51,SUCCESS,5.0
heft,193,720,46.44,SUCCESS,5.0
heft,194,698,43.9,SUCCESS,1.0
heft,195,649,49.65,SUCCESS,3.0
heft,196,577,48.91,SUCCESS,5.0
heft,197,574,46.79,SUCCESS,5.0
heft,198,557,48.94,SUCCESS,2.0
heft,199,653,48.45,SUCCESS,4.0
dls,100,564,45.96,SUCCESS,2.0
dls,101,601,44.73,SUCCESS,4.0
dls,102,673,47.07,SUCCESS,3.0
dls,103,682,42.55,SUCCESS,1.0
dls,104,615,41.3,SUCCESS,4.0
dls,105,670,41.73,SUCCESS,2.0
dls,106,605,46.88,SUCCESS,1.0
dls,107,720,40.61,SUCCESS,1.0
dls,108,654,45.72,SUCCESS,5.0
dls,109,573,46.39,SUCCESS,1.0
dls,110,584,53.15,SUCCESS,5.0
dls,111,606,50.13,SUCCESS,3.0
dls,112,582,47.11,SUCCESS,1.0
dls,113,733,44.37,SUCCESS,3.0
dls,114,691,43.21,SUCCESS,3.0
dls,115,564,51.21,SUCCESS,1.0
dls,116,589,46.08,SUCCESS,1.0
dls,117,675,40.15,SUCCESS,1.0
dls,118,605,49.88,SUCCESS,1.0
dls,119,623,46.61,SUCCESS,1.0
dls,120,677,48.54,SUCCESS,5.0
dls,121,618,43.85,SUCCESS,1.0
dls,122,718,44.04,SUCCESS,4.0
dls,123,621,46.38,SUCCESS,3.0
dls,124,541,48.06,SUCCESS,1.0
dls,125,657,48.61,SUCCESS,5.0
dls,126,686,46.12,SUCCESS,1.0
dls,127,540,49.48,SUCCESS,4.0
dls,128,700,43.43,SUCCESS,4.0
dls,129,544,48.35,SUCCESS,4.0
dls,130,655,47.45,SUCCESS,3.0
dls,131,568,44.44,SUCCESS,2.0
dls,132,614,48.34,SUCCESS,1.0
dls,133,708,45.85,SUCCESS,2.0
dls,134,642,47.94,SUCCESS,2.0
dls,135,618,44.37,SUCCESS,4.0
dls,136,636,50.44,SUCCESS,1.0
dls,137,632,50.35,SUCCESS,1.0
dls,138,643,44.39,SUCCESS,2.0
dls,139,574,46.03,SUCCESS,3.0
dls,140,651,48.45,SUCCESS,3.0
dls,141,559,48.8,SUCCESS,3.0
dls,142,682,44.37,SUCCESS,1.0
dls,143,569,52.51,SUCCESS,2.0
dls,144,603,44.05,SUCCESS,1.0
dls,145,698,46.7,SUCCESS,5.0
dls,146,693,42.05,SUCCESS,2.0
dls,147,621,49.34,SUCCESS,3.0
dls,148,620,46.55,SUCCESS,1.0
dls,149,631,43.3,SUCCESS,1.0
dls,150,751,48.52,SUCCESS,5.0
dls,151,612,45.0,SUCCESS,1.0
dls,152,683,52.68,SUCCESS,1.0
dls,153,628,42.23,SUCCESS,1.0
dls,154,639,45.95,SUCCESS,1.0
dls,155,719,47.98,SUCCESS,1.0
dls,156,648,47.19,SUCCESS,3.0
dls,157,663,43.05,SUCCESS,1.0
dls,158,558,46.74,SUCCESS,4.0
dls,159,657,47.73,SUCCESS,3.0
dls,160,617,44.31,SUCCESS,1.0
dls,161,623,49.02,SUCCESS,4.0
dls,162,683,49.69,SUCCESS,4.0
dls,163,648,44.91,SUCCESS,3.0
dls,164,725,47.06,SUCCESS,5.0
dls,165,667,48.52,SUCCESS,4.0
dls,166,681,41.67,SUCCESS,5.0
dls,167,551,49.91,SUCCESS,3.0
dls,168,677,50.61,SUCCESS,4.0
dls,169,708,48.62,SUCCESS,2.0
dls,170,685,46.51,SUCCESS,5.0
dls,171,585,43.42,SUCCESS,4.0
dls,172,671,42.62,SUCCESS,1.0
dls,173,681,48.87,SUCCESS,5.0
dls,174,559,50.27,SUCCESS,3.0
dls,175,748,48.85,SUCCESS,4.0
dls,176,633,44.14,SUCCESS,1.0
dls,177,708,49.63,SUCCESS,3.0
dls,178,596,43.12,SUCCESS,3.0
dls,179,565,50.05,SUCCESS,3.0
dls,180,621,44.15,SUCCESS,5.0
dls,181,639,49.67,SUCCESS,1.0
dls,182,601,48.99,SUCCESS,3.0
dls,183,577,49.39,SUCCESS,5.0
dls,184,616,42.44,SUCCESS,3.0
dls,185,657,43.41,SUCCESS,1.0
dls,186,661,49.32,SUCCESS,1.0
dls,187,696,42.16,SUCCESS,1.0
dls,188,685,48.26,SUCCESS,1.0
dls,189,582,48.93,SUCCESS,3.0
dls,190,683,44.6,SUCCESS,1.0
dls,191,718,50.03,SUCCESS,4.0
dls,192,563,45.61,SUCCESS,1.0
dls,193,710,44.99,SUCCESS,2.0
dls,194,711,45.01,SUCCESS,4.0
dls,195,628,46.69,SUCCESS,2.0
dls,196,538,50.15,SUCCESS,3.0
dls,197,559,47.41,SUCCESS,4.0
dls,198,560,49.14,SUCCESS,3.0
dls,199,606,45.71,SUCCESS,1.0
heft-dls,100,565,43.58,SUCCESS,3.0
heft-dls,101,586,41.26,SUCCESS,2.0
heft-dls,102,651,45.38,SUCCESS,1.0
heft-dls,103,690,42.61,SUCCESS,3.0
heft-dls,104,596,43.76,SUCCESS,1.0
heft-dls,105,706,42.55,SUCCESS,4.0
heft-dls,106,641,46.74,SUCCESS,3.0
heft-dls,107,734,39.4,SUCCESS,3.0
heft-dls,108,636,44.62,SUCCESS,1.0
heft-dls,109,590,46.75,SUCCESS,2.0
heft-dls,110,550,51.53,SUCCESS,1.0
heft-dls,111,596,50.0,SUCCESS,1.0
heft-dls,112,636,47.96,SUCCESS,4.0
heft-dls,113,721,45.02,SUCCESS,1.0
heft-dls,114,686,42.8,SUCCESS,1.0
heft-dls,115,576,50.9,SUCCESS,2.0
heft-dls,116,615,48.94,SUCCESS,2.0
heft-dls,117,695,44.35,SUCCESS,4.0
heft-dls,118,638,49.12,SUCCESS,2.0
heft-dls,119,641,48.02,SUCCESS,4.0
heft-dls,120,643,46.0,SUCCESS,1.0
heft-dls,121,618,43.56,SUCCESS,1.0
heft-dls,122,668,42.1,SUCCESS,1.0
heft-dls,123,610,47.67,SUCCESS,1.0
heft-dls,124,566,47.67,SUCCESS,3.0
heft-dls,125,641,44.84,SUCCESS,2.0
heft-dls,126,698,43.84,SUCCESS,2.0
heft-dls,127,498,47.75,SUCCESS,1.0
