scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,591.0,46.02,SUCCESS,4.0
simple,101,610.0,44.56,SUCCESS,3.0
simple,102,727.0,36.86,SUCCESS,5.0
simple,103,752.0,38.74,SUCCESS,4.0
simple,104,616.0,43.07,SUCCESS,4.0
simple,105,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,106,661.0,45.08,SUCCESS,3.0
simple,107,755.0,36.11,SUCCESS,4.0
simple,108,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking shelf4. Simulation cannot proceed.,
simple,109,633.0,43.89,SUCCESS,2.0
simple,110,639.0,40.14,SUCCESS,3.0
simple,111,575.0,47.33,SUCCESS,3.0
simple,112,610.0,41.26,SUCCESS,3.0
simple,113,,,SIM_ERRORSimulation still running after step limit,
simple,114,792.0,35.23,SUCCESS,4.0
simple,115,612.0,49.4,SUCCESS,4.0
simple,116,635.0,33.99,SUCCESS,4.0
simple,117,,,SIM_ERRORSimulation still running after step limit,
simple,118,695.0,37.77,SUCCESS,4.0
simple,119,679.0,34.34,SUCCESS,4.0
simple,120,641.0,43.55,SUCCESS,2.0
simple,121,621.0,40.26,SUCCESS,4.0
simple,122,,,SIM_ERRORSimulation still running after step limit,
simple,123,647.0,44.13,SUCCESS,2.0
simple,124,542.0,42.53,SUCCESS,4.0
simple,125,693.0,42.42,SUCCESS,4.0
simple,126,761.0,38.76,SUCCESS,3.0
simple,127,524.0,48.0,SUCCESS,4.0
simple,128,796.0,35.09,SUCCESS,4.0
simple,129,589.0,37.75,SUCCESS,4.0
simple,130,648.0,40.48,SUCCESS,3.0
simple,131,569.0,41.89,SUCCESS,3.0
simple,132,629.0,45.87,SUCCESS,4.0
simple,133,927.0,27.78,SUCCESS,5.0
simple,134,641.0,43.63,SUCCESS,5.0
simple,135,660.0,37.88,SUCCESS,4.0
simple,136,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,137,610.0,43.77,SUCCESS,2.0
simple,138,668.0,45.66,SUCCESS,2.0
simple,139,609.0,44.39,SUCCESS,4.0
simple,140,744.0,37.3,SUCCESS,4.0
simple,141,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,142,714.0,42.97,SUCCESS,3.0
simple,143,576.0,43.78,SUCCESS,4.0
simple,144,611.0,38.98,SUCCESS,4.0
simple,145,858.0,27.82,SUCCESS,5.0
simple,146,749.0,35.11,SUCCESS,4.0
simple,147,691.0,35.84,SUCCESS,5.0
simple,148,617.0,45.6,SUCCESS,1.0
simple,149,672.0,44.54,SUCCESS,3.0
simple,150,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,151,634.0,46.14,SUCCESS,1.0
simple,152,661.0,45.51,SUCCESS,4.0
simple,153,681.0,42.61,SUCCESS,5.0
simple,154,701.0,37.92,SUCCESS,5.0
simple,155,712.0,45.46,SUCCESS,5.0
simple,156,704.0,46.02,SUCCESS,4.0
simple,157,669.0,39.21,SUCCESS,3.0
simple,158,576.0,44.18,SUCCESS,4.0
simple,159,706.0,48.58,SUCCESS,2.0
simple,160,664.0,43.02,SUCCESS,3.0
simple,161,626.0,43.0,SUCCESS,3.0
simple,162,724.0,38.21,SUCCESS,5.0
simple,163,645.0,38.71,SUCCESS,4.0
simple,164,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking shelf2. Simulation cannot proceed.,
simple,165,701.0,38.87,SUCCESS,3.0
simple,166,753.0,34.46,SUCCESS,3.0
simple,167,549.0,45.96,SUCCESS,4.0
simple,168,696.0,47.32,SUCCESS,3.0
simple,169,785.0,37.41,SUCCESS,5.0
simple,170,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf3. Simulation cannot proceed.,
simple,171,895.0,24.02,SUCCESS,4.0
simple,172,737.0,34.22,SUCCESS,4.0
simple,173,692.0,43.79,SUCCESS,5.0
simple,174,599.0,45.58,SUCCESS,4.0
simple,175,739.0,45.02,SUCCESS,2.0
simple,176,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,177,709.0,42.6,SUCCESS,3.0
simple,178,616.0,37.36,SUCCESS,5.0
simple,179,553.0,47.59,SUCCESS,3.0
simple,180,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,181,,,SIM_ERRORSimulation still running after step limit,
simple,182,613.0,48.12,SUCCESS,4.0
simple,183,577.0,44.6,SUCCESS,4.0
simple,184,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf4. Simulation cannot proceed.,
simple,185,693.0,42.4,SUCCESS,3.0
simple,186,652.0,45.32,SUCCESS,4.0
simple,187,743.0,42.6,SUCCESS,4.0
simple,188,682.0,43.65,SUCCESS,4.0
simple,189,607.0,45.85,SUCCESS,3.0
simple,190,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf4. Simulation cannot proceed.,
simple,191,727.0,45.92,SUCCESS,4.0
simple,192,569.0,46.05,SUCCESS,1.0
simple,193,740.0,35.9,SUCCESS,2.0
simple,194,715.0,40.77,SUCCESS,3.0
simple,195,629.0,45.71,SUCCESS,2.0
simple,196,605.0,51.35,SUCCESS,5.0
simple,197,565.0,45.4,SUCCESS,2.0
simple,198,534.0,45.13,SUCCESS,2.0
simple,199,686.0,46.82,SUCCESS,4.0
heft,100,569.0,43.06,SUCCESS,1.0
heft,101,711.0,39.22,SUCCESS,5.0
heft,102,679.0,34.66,SUCCESS,4.0
heft,103,708.0,40.84,SUCCESS,1.0
heft,104,595.0,38.85,SUCCESS,2.0
heft,105,675.0,42.27,SUCCESS,3.0
heft,106,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking shelf4. Simulation cannot proceed.,
heft,107,775.0,40.67,SUCCESS,5.0
heft,108,616.0,41.61,SUCCESS,1.0
heft,109,633.0,46.55,SUCCESS,2.0
heft,110,,,BLOCKED_BY_FAULTrobot3 has critically faulted and is blocking goal1. Simulation cannot proceed.,
heft,111,577.0,44.77,SUCCESS,4.0
heft,112,,,SIM_ERRORSimulation still running after step limit,
heft,113,752.0,36.79,SUCCESS,4.0
heft,114,798.0,34.65,SUCCESS,5.0
heft,115,617.0,50.97,SUCCESS,5.0
heft,116,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf5. Simulation cannot proceed.,
heft,117,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
heft,118,716.0,38.99,SUCCESS,5.0
heft,119,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
heft,120,697.0,33.36,SUCCESS,5.0
heft,121,620.0,42.02,SUCCESS,3.0
heft,122,697.0,41.39,SUCCESS,3.0
heft,123,636.0,43.55,SUCCESS,1.0
heft,124,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf4. Simulation cannot proceed.,
heft,125,740.0,38.2,SUCCESS,5.0
heft,126,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
heft,127,505.0,46.44,SUCCESS,3.0
heft,128,682.0,40.1,SUCCESS,2.0
heft,129,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
heft,130,789.0,31.54,SUCCESS,5.0
heft,131,559.0,41.77,SUCCESS,1.0
heft,132,656.0,47.87,SUCCESS,5.0
heft,133,742.0,37.96,SUCCESS,4.0
heft,134,603.0,42.84,SUCCESS,2.0
heft,135,644.0,42.88,SUCCESS,3.0
heft,136,613.0,44.64,SUCCESS,1.0
heft,137,622.0,44.59,SUCCESS,4.0
heft,138,675.0,41.23,SUCCESS,3.0
heft,139,625.0,45.81,SUCCESS,5.0
heft,140,821.0,31.1,SUCCESS,5.0
heft,141,598.0,49.47,SUCCESS,3.0
heft,142,771.0,34.67,SUCCESS,5.0
heft,143,605.0,41.1,SUCCESS,5.0
heft,144,602.0,41.58,SUCCESS,3.0
heft,145,667.0,41.8,SUCCESS,3.0
heft,146,755.0,35.47,SUCCESS,5.0
heft,147,654.0,37.84,SUCCESS,4.0
heft,148,618.0,45.55,SUCCESS,2.0
heft,149,965.0,29.08,SUCCESS,5.0
heft,150,716.0,44.09,SUCCESS,3.0
heft,151,661.0,34.19,SUCCESS,4.0
heft,152,642.0,45.74,SUCCESS,3.0
heft,153,679.0,43.84,SUCCESS,4.0
heft,154,679.0,47.25,SUCCESS,3.0
heft,155,670.0,41.54,SUCCESS,3.0
heft,156,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal1. Simulation cannot proceed.,
heft,157,719.0,45.46,SUCCESS,5.0
heft,158,585.0,46.72,SUCCESS,5.0
heft,159,745.0,37.74,SUCCESS,5.0
heft,160,669.0,40.21,SUCCESS,4.0
heft,161,589.0,43.92,SUCCESS,1.0
heft,162,690.0,47.49,SUCCESS,4.0
heft,163,648.0,42.93,SUCCESS,5.0
heft,164,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal1. Simulation cannot proceed.,
heft,165,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.,
heft,166,761.0,31.34,SUCCESS,4.0
heft,167,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf2. Simulation cannot proceed.,
heft,168,715.0,42.52,SUCCESS,5.0
heft,169,710.0,41.67,SUCCESS,4.0
heft,170,638.0,41.61,SUCCESS,2.0
heft,171,,,SIM_ERRORSimulation still running after step limit,
heft,172,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.,
heft,173,676.0,37.15,SUCCESS,2.0
heft,174,641.0,37.81,SUCCESS,5.0
heft,175,743.0,44.77,SUCCESS,3.0
heft,176,663.0,39.84,SUCCESS,3.0
heft,177,718.0,38.44,SUCCESS,4.0
heft,178,603.0,39.25,SUCCESS,4.0
heft,179,556.0,49.04,SUCCESS,5.0
heft,180,607.0,41.19,SUCCESS,4.0
heft,181,769.0,37.0,SUCCESS,4.0
heft,182,605.0,45.1,SUCCESS,3.0
heft,183,600.0,39.67,SUCCESS,5.0
heft,184,678.0,33.46,SUCCESS,4.0
heft,185,699.0,38.03,SUCCESS,4.0
heft,186,648.0,45.63,SUCCESS,3.0
heft,187,768.0,43.92,SUCCESS,5.0
heft,188,707.0,34.72,SUCCESS,5.0
heft,189,630.0,47.96,SUCCESS,4.0
heft,190,670.0,44.68,SUCCESS,1.0
