scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,898.0,53.38,SUCCESS,4.0
simple,101,921.0,50.14,SUCCESS,4.0
simple,102,968.0,52.79,SUCCESS,5.0
simple,103,942.0,49.58,SUCCESS,1.0
simple,104,998.0,54.51,SUCCESS,5.0
simple,105,893.0,49.4,SUCCESS,4.0
simple,106,1043.0,52.59,SUCCESS,5.0
simple,107,975.0,49.26,SUCCESS,4.0
simple,108,986.0,48.83,SUCCESS,4.0
simple,109,917.0,53.73,SUCCESS,4.0
simple,110,855.0,57.76,SUCCESS,4.0
simple,111,957.0,51.88,SUCCESS,4.0
simple,112,931.0,51.49,SUCCESS,5.0
simple,113,975.0,44.89,SUCCESS,3.0
simple,114,1018.0,53.55,SUCCESS,5.0
simple,115,881.0,47.01,SUCCESS,5.0
simple,116,889.0,52.79,SUCCESS,5.0
simple,117,910.0,52.99,SUCCESS,4.0
simple,118,969.0,53.66,SUCCESS,4.0
simple,119,959.0,51.58,SUCCESS,5.0
simple,120,1029.0,55.7,SUCCESS,4.0
simple,121,918.0,52.4,SUCCESS,4.0
simple,122,1086.0,53.27,SUCCESS,5.0
simple,123,934.0,49.96,SUCCESS,4.0
simple,124,854.0,56.03,SUCCESS,4.0
simple,125,952.0,54.69,SUCCESS,2.0
simple,126,969.0,48.71,SUCCESS,4.0
simple,127,829.0,54.04,SUCCESS,5.0
simple,128,1080.0,50.4,SUCCESS,3.0
simple,129,868.0,52.67,SUCCESS,5.0
simple,130,850.0,49.31,SUCCESS,3.0
simple,131,862.0,49.17,SUCCESS,5.0
simple,132,936.0,39.8,SUCCESS,4.0
simple,133,992.0,53.51,SUCCESS,3.0
simple,134,902.0,53.64,SUCCESS,4.0
simple,135,924.0,52.72,SUCCESS,5.0
simple,136,985.0,55.72,SUCCESS,5.0
simple,137,961.0,51.96,SUCCESS,4.0
simple,138,927.0,50.22,SUCCESS,3.0
simple,139,892.0,51.31,SUCCESS,4.0
simple,140,948.0,55.84,SUCCESS,4.0
simple,141,933.0,56.13,SUCCESS,4.0
simple,142,1112.0,50.27,SUCCESS,5.0
simple,143,857.0,51.91,SUCCESS,4.0
simple,144,965.0,36.75,SUCCESS,4.0
simple,145,927.0,51.53,SUCCESS,5.0
simple,146,1055.0,45.07,SUCCESS,5.0
simple,147,909.0,54.36,SUCCESS,4.0
simple,148,931.0,39.01,SUCCESS,2.0
simple,149,903.0,49.7,SUCCESS,1.0
simple,150,991.0,51.63,SUCCESS,4.0
simple,151,941.0,50.32,SUCCESS,3.0
simple,152,968.0,54.99,SUCCESS,4.0
simple,153,969.0,51.53,SUCCESS,4.0
simple,154,977.0,50.87,SUCCESS,5.0
simple,155,1045.0,50.05,SUCCESS,5.0
simple,156,1004.0,50.51,SUCCESS,5.0
simple,157,902.0,49.3,SUCCESS,3.0
simple,158,907.0,53.77,SUCCESS,5.0
simple,159,983.0,53.8,SUCCESS,5.0
simple,160,1023.0,54.2,SUCCESS,4.0
simple,161,1010.0,54.54,SUCCESS,4.0
simple,162,1024.0,40.9,SUCCESS,5.0
simple,163,993.0,48.81,SUCCESS,5.0
simple,164,925.0,41.71,SUCCESS,2.0
simple,165,992.0,52.5,SUCCESS,4.0
simple,166,972.0,47.02,SUCCESS,4.0
simple,167,842.0,54.16,SUCCESS,3.0
simple,168,914.0,51.22,SUCCESS,1.0
simple,169,1013.0,48.75,SUCCESS,5.0
simple,170,984.0,50.44,SUCCESS,5.0
simple,171,1018.0,54.44,SUCCESS,5.0
simple,172,939.0,47.71,SUCCESS,4.0
simple,173,1055.0,54.14,SUCCESS,5.0
simple,174,,,SIM_ERRORSimulation still running after step limit,
simple,175,1104.0,53.49,SUCCESS,5.0
simple,176,935.0,49.8,SUCCESS,5.0
simple,177,1024.0,52.38,SUCCESS,5.0
simple,178,880.0,50.19,SUCCESS,3.0
simple,179,883.0,54.87,SUCCESS,4.0
simple,180,891.0,53.78,SUCCESS,4.0
simple,181,1013.0,52.14,SUCCESS,4.0
simple,182,992.0,54.25,SUCCESS,4.0
simple,183,892.0,54.54,SUCCESS,4.0
simple,184,990.0,53.2,SUCCESS,5.0
simple,185,968.0,48.73,SUCCESS,4.0
simple,186,922.0,52.71,SUCCESS,4.0
simple,187,1013.0,48.21,SUCCESS,1.0
simple,188,922.0,53.31,SUCCESS,5.0
simple,189,857.0,56.46,SUCCESS,1.0
simple,190,970.0,51.12,SUCCESS,4.0
simple,191,932.0,53.11,SUCCESS,4.0
simple,192,941.0,55.42,SUCCESS,5.0
simple,193,1066.0,52.39,SUCCESS,5.0
simple,194,1041.0,49.73,SUCCESS,4.0
simple,195,1026.0,54.5,SUCCESS,4.0
simple,196,909.0,50.84,SUCCESS,4.0
simple,197,893.0,54.31,SUCCESS,5.0
simple,198,882.0,53.8,SUCCESS,4.0
simple,199,953.0,51.56,SUCCESS,5.0
heft,100,926.0,53.78,SUCCESS,5.0
heft,101,926.0,48.76,SUCCESS,5.0
heft,102,942.0,53.59,SUCCESS,4.0
heft,103,1001.0,50.8,SUCCESS,5.0
heft,104,944.0,44.63,SUCCESS,4.0
heft,105,909.0,50.53,SUCCESS,5.0
heft,106,1033.0,52.53,SUCCESS,4.0
heft,107,1022.0,48.37,SUCCESS,5.0
heft,108,1001.0,42.59,SUCCESS,5.0
heft,109,928.0,51.81,SUCCESS,5.0
heft,110,870.0,56.63,SUCCESS,5.0
heft,111,997.0,54.1,SUCCESS,5.0
heft,112,927.0,43.06,SUCCESS,4.0
heft,113,1003.0,48.52,SUCCESS,5.0
heft,114,1012.0,53.52,SUCCESS,4.0
heft,115,861.0,58.23,SUCCESS,4.0
heft,116,863.0,52.63,SUCCESS,4.0
heft,117,944.0,53.55,SUCCESS,5.0
heft,118,970.0,54.21,SUCCESS,5.0
heft,119,934.0,51.95,SUCCESS,4.0
heft,120,,,SIM_ERRORSimulation still running after step limit,
heft,121,938.0,50.98,SUCCESS,5.0
heft,122,1074.0,53.12,SUCCESS,4.0
heft,123,973.0,51.11,SUCCESS,5.0
heft,124,880.0,55.51,SUCCESS,5.0
heft,125,1009.0,56.61,SUCCESS,5.0
heft,126,1004.0,51.51,SUCCESS,5.0
heft,127,799.0,52.02,SUCCESS,4.0
heft,128,1051.0,50.41,SUCCESS,2.0
heft,129,815.0,51.41,SUCCESS,2.0
heft,130,906.0,54.99,SUCCESS,5.0
heft,131,854.0,48.85,SUCCESS,2.0
heft,132,976.0,55.09,SUCCESS,5.0
heft,133,1052.0,55.4,SUCCESS,4.0
heft,134,931.0,55.73,SUCCESS,5.0
heft,135,908.0,52.48,SUCCESS,4.0
heft,136,971.0,57.33,SUCCESS,4.0
heft,137,982.0,52.51,SUCCESS,5.0
heft,138,950.0,44.74,SUCCESS,5.0
heft,139,948.0,52.99,SUCCESS,5.0
heft,140,960.0,55.21,SUCCESS,5.0
heft,141,987.0,58.11,SUCCESS,5.0
