scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,1120,36.74,SUCCESS,5.0
simple,101,1171,39.5,SUCCESS,5.0
simple,102,1124,37.1,SUCCESS,4.0
simple,103,1140,38.07,SUCCESS,4.0
simple,104,1126,37.61,SUCCESS,5.0
simple,105,1170,39.76,SUCCESS,5.0
simple,106,1180,40.28,SUCCESS,5.0
simple,107,1113,35.4,SUCCESS,5.0
simple,108,1137,38.21,SUCCESS,5.0
simple,109,1139,37.38,SUCCESS,5.0
simple,110,1126,36.88,SUCCESS,5.0
simple,111,1122,36.19,SUCCESS,3.0
simple,112,1119,36.68,SUCCESS,4.0
simple,113,1116,38.37,SUCCESS,5.0
simple,114,1119,37.87,SUCCESS,5.0
simple,115,1104,35.8,SUCCESS,5.0
simple,116,1162,38.77,SUCCESS,5.0
simple,117,1121,36.53,SUCCESS,5.0
simple,118,1149,39.38,SUCCESS,5.0
simple,119,1123,36.18,SUCCESS,5.0
simple,120,1124,37.03,SUCCESS,4.0
simple,121,1114,37.54,SUCCESS,5.0
simple,122,1106,35.49,SUCCESS,3.0
simple,123,1122,36.03,SUCCESS,5.0
simple,124,1124,36.37,SUCCESS,5.0
simple,125,1115,37.29,SUCCESS,4.0
simple,126,1117,37.44,SUCCESS,5.0
simple,127,1130,38.56,SUCCESS,4.0
simple,128,1119,35.88,SUCCESS,5.0
simple,129,1116,38.22,SUCCESS,4.0
simple,130,1104,36.39,SUCCESS,5.0
simple,131,1133,37.91,SUCCESS,5.0
simple,132,1189,41.48,SUCCESS,5.0
simple,133,1111,35.62,SUCCESS,5.0
simple,134,1115,35.78,SUCCESS,4.0
simple,135,1179,40.61,SUCCESS,5.0
simple,136,1125,37.53,SUCCESS,4.0
simple,137,1140,39.06,SUCCESS,5.0
simple,138,1136,38.93,SUCCESS,5.0
simple,139,1118,37.32,SUCCESS,4.0
simple,140,1168,40.39,SUCCESS,5.0
simple,141,1115,36.1,SUCCESS,5.0
simple,142,1131,37.33,SUCCESS,5.0
simple,143,1115,37.15,SUCCESS,5.0
simple,144,1158,38.77,SUCCESS,5.0
simple,145,1158,39.38,SUCCESS,5.0
simple,146,1099,34.55,SUCCESS,4.0
simple,147,1116,37.01,SUCCESS,5.0
simple,148,1118,38.51,SUCCESS,5.0
simple,149,1115,37.94,SUCCESS,4.0
simple,150,1141,39.0,SUCCESS,5.0
simple,151,1181,38.97,SUCCESS,5.0
simple,152,1191,40.51,SUCCESS,5.0
simple,153,1106,35.8,SUCCESS,4.0
simple,154,1103,36.45,SUCCESS,3.0
simple,155,1095,35.18,SUCCESS,4.0
simple,156,1142,39.1,SUCCESS,5.0
simple,157,1137,38.96,SUCCESS,5.0
simple,158,1185,40.63,SUCCESS,5.0
simple,159,1128,37.59,SUCCESS,5.0
simple,160,1138,37.7,SUCCESS,5.0
simple,161,1121,36.37,SUCCESS,4.0
simple,162,1142,38.9,SUCCESS,5.0
simple,163,1121,37.89,SUCCESS,4.0
simple,164,1136,38.18,SUCCESS,4.0
simple,165,1144,39.36,SUCCESS,5.0
simple,166,1136,39.35,SUCCESS,4.0
simple,167,1146,37.83,SUCCESS,5.0
simple,168,1177,39.76,SUCCESS,5.0
simple,169,1112,35.34,SUCCESS,5.0
simple,170,1133,38.61,SUCCESS,5.0
simple,171,1132,37.57,SUCCESS,5.0
simple,172,1127,38.22,SUCCESS,5.0
simple,173,1100,35.52,SUCCESS,4.0
simple,174,1093,36.57,SUCCESS,5.0
simple,175,1126,37.01,SUCCESS,5.0
simple,176,1120,37.75,SUCCESS,5.0
simple,177,1079,35.4,SUCCESS,3.0
simple,178,1127,36.18,SUCCESS,5.0
simple,179,1132,37.39,SUCCESS,5.0
simple,180,1127,37.53,SUCCESS,5.0
simple,181,1129,38.18,SUCCESS,4.0
simple,182,1160,39.44,SUCCESS,5.0
simple,183,1113,37.24,SUCCESS,5.0
simple,184,1169,39.78,SUCCESS,5.0
simple,185,1109,36.05,SUCCESS,4.0
simple,186,1147,36.66,SUCCESS,5.0
simple,187,1107,37.13,SUCCESS,5.0
simple,188,1147,38.32,SUCCESS,5.0
simple,189,1127,38.31,SUCCESS,4.0
simple,190,1127,37.02,SUCCESS,5.0
simple,191,1152,39.04,SUCCESS,5.0
simple,192,1108,36.76,SUCCESS,5.0
simple,193,1109,36.56,SUCCESS,4.0
simple,194,1192,41.09,SUCCESS,5.0
simple,195,1068,34.13,SUCCESS,1.0
simple,196,1084,35.12,SUCCESS,4.0
simple,197,1140,39.06,SUCCESS,4.0
simple,198,1124,36.43,SUCCESS,5.0
simple,199,1137,36.9,SUCCESS,5.0
heft,100,1104,36.32,SUCCESS,3.0
heft,101,1099,35.3,SUCCESS,3.0
heft,102,1082,35.35,SUCCESS,3.0
heft,103,1078,34.65,SUCCESS,1.0
heft,104,1100,35.82,SUCCESS,3.0
heft,105,1064,35.97,SUCCESS,3.0
heft,106,1121,35.17,SUCCESS,3.0
heft,107,1080,34.65,SUCCESS,1.0
heft,108,1095,36.14,SUCCESS,3.0
heft,109,1091,36.16,SUCCESS,1.0
heft,110,1103,34.81,SUCCESS,3.0
heft,111,1140,35.42,SUCCESS,4.0
heft,112,1086,34.55,SUCCESS,1.0
heft,113,1091,34.1,SUCCESS,4.0
heft,114,1081,34.2,SUCCESS,1.0
heft,115,1059,33.83,SUCCESS,1.0
heft,116,1079,34.04,SUCCESS,1.0
heft,117,1084,35.29,SUCCESS,3.0
heft,118,1076,36.01,SUCCESS,1.0
heft,119,1084,35.42,SUCCESS,3.0
heft,120,1084,35.33,SUCCESS,3.0
heft,121,1088,35.2,SUCCESS,3.0
heft,122,1148,36.65,SUCCESS,5.0
heft,123,1069,34.73,SUCCESS,1.0
heft,124,1104,36.53,SUCCESS,4.0
heft,125,1091,34.9,SUCCESS,3.0
heft,126,1078,36.15,SUCCESS,1.0
heft,127,1067,34.58,SUCCESS,1.0
heft,128,1097,34.71,SUCCESS,4.0
heft,129,1125,35.11,SUCCESS,5.0
heft,130,1096,35.1,SUCCESS,4.0
heft,131,1105,35.48,SUCCESS,3.0
heft,132,1083,34.81,SUCCESS,1.0
heft,133,1085,35.18,SUCCESS,1.0
heft,134,1105,35.5,SUCCESS,3.0
heft,135,1085,34.19,SUCCESS,1.0
heft,136,1092,35.94,SUCCESS,1.0
heft,137,1063,34.31,SUCCESS,1.0
heft,138,1119,36.26,SUCCESS,4.0
heft,139,1066,33.7,SUCCESS,1.0
heft,140,1084,34.64,SUCCESS,1.0
heft,141,1083,35.99,SUCCESS,3.0
heft,142,1060,35.19,SUCCESS,1.0
heft,143,1081,35.04,SUCCESS,3.0
heft,144,1098,34.93,SUCCESS,3.0
heft,145,1110,34.37,SUCCESS,3.0
heft,146,1103,35.65,SUCCESS,5.0
heft,147,1063,35.07,SUCCESS,1.0
heft,148,1102,35.91,SUCCESS,4.0
heft,149,1101,35.76,SUCCESS,3.0
heft,150,1068,33.78,SUCCESS,1.0
heft,151,1084,34.43,SUCCESS,1.0
heft,152,1099,35.69,SUCCESS,3.0
heft,153,1114,34.31,SUCCESS,5.0
heft,154,1117,35.56,SUCCESS,5.0
heft,155,1083,35.57,SUCCESS,3.0
heft,156,1100,35.39,SUCCESS,3.0
heft,157,1106,36.17,SUCCESS,4.0
heft,158,1118,34.64,SUCCESS,3.0
heft,159,1095,33.63,SUCCESS,1.0
heft,160,1120,36.09,SUCCESS,3.0
heft,161,1129,35.96,SUCCESS,5.0
heft,162,1062,34.6,SUCCESS,3.0
heft,163,1075,33.4,SUCCESS,1.0
heft,164,1130,37.57,SUCCESS,3.0
heft,165,1122,36.16,SUCCESS,4.0
heft,166,1087,33.79,SUCCESS,3.0
heft,167,1096,35.06,SUCCESS,3.0
heft,168,1136,35.15,SUCCESS,3.0
