scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,649,31.74,SUCCESS,2.0
simple,101,676,31.32,SUCCESS,5.0
simple,102,648,30.67,SUCCESS,2.0
simple,103,650,32.27,SUCCESS,2.0
simple,104,657,30.94,SUCCESS,4.0
simple,105,659,31.22,SUCCESS,4.0
simple,106,657,31.93,SUCCESS,5.0
simple,107,670,31.19,SUCCESS,2.0
simple,108,652,32.09,SUCCESS,5.0
simple,109,662,28.93,SUCCESS,1.0
simple,110,661,31.54,SUCCESS,2.0
simple,111,656,31.1,SUCCESS,3.0
simple,112,636,29.83,SUCCESS,2.0
simple,113,651,30.65,SUCCESS,4.0
simple,114,652,31.48,SUCCESS,2.0
simple,115,652,30.79,SUCCESS,4.0
simple,116,649,28.97,SUCCESS,2.0
simple,117,673,31.2,SUCCESS,5.0
simple,118,651,31.49,SUCCESS,2.0
simple,119,662,30.89,SUCCESS,2.0
simple,120,661,31.16,SUCCESS,2.0
simple,121,650,31.46,SUCCESS,4.0
simple,122,659,30.96,SUCCESS,5.0
simple,123,651,32.8,SUCCESS,4.0
simple,124,653,28.91,SUCCESS,4.0
simple,125,662,29.61,SUCCESS,4.0
simple,126,657,30.44,SUCCESS,4.0
simple,127,654,31.0,SUCCESS,3.0
simple,128,662,30.25,SUCCESS,2.0
simple,129,654,31.19,SUCCESS,5.0
simple,130,676,29.88,SUCCESS,5.0
simple,131,648,29.63,SUCCESS,1.0
simple,132,668,32.45,SUCCESS,5.0
simple,133,658,31.04,SUCCESS,5.0
simple,134,659,31.15,SUCCESS,3.0
simple,135,662,32.55,SUCCESS,2.0
simple,136,648,32.68,SUCCESS,3.0
simple,137,655,30.08,SUCCESS,2.0
simple,138,657,31.09,SUCCESS,4.0
simple,139,655,30.92,SUCCESS,4.0
simple,140,663,30.2,SUCCESS,4.0
simple,141,638,29.86,SUCCESS,1.0
simple,142,640,30.9,SUCCESS,1.0
simple,143,640,30.66,SUCCESS,3.0
simple,144,653,31.43,SUCCESS,5.0
simple,145,657,33.9,SUCCESS,1.0
simple,146,647,31.41,SUCCESS,1.0
simple,147,639,30.52,SUCCESS,1.0
simple,148,648,31.4,SUCCESS,3.0
simple,149,657,32.57,SUCCESS,4.0
simple,150,648,30.9,SUCCESS,2.0
simple,151,661,32.45,SUCCESS,2.0
simple,152,652,31.67,SUCCESS,3.0
simple,153,660,32.12,SUCCESS,5.0
simple,154,650,32.54,SUCCESS,2.0
simple,155,647,29.87,SUCCESS,1.0
simple,156,648,29.75,SUCCESS,2.0
simple,157,667,29.72,SUCCESS,5.0
simple,158,668,31.03,SUCCESS,5.0
simple,159,659,29.36,SUCCESS,4.0
simple,160,667,32.31,SUCCESS,5.0
simple,161,645,30.12,SUCCESS,1.0
simple,162,655,31.22,SUCCESS,2.0
simple,163,651,31.64,SUCCESS,2.0
simple,164,664,29.89,SUCCESS,4.0
simple,165,662,31.12,SUCCESS,5.0
simple,166,641,30.58,SUCCESS,2.0
simple,167,644,32.22,SUCCESS,4.0
simple,168,666,31.94,SUCCESS,4.0
simple,169,653,29.86,SUCCESS,2.0
simple,170,653,30.7,SUCCESS,4.0
simple,171,652,31.63,SUCCESS,1.0
simple,172,671,31.07,SUCCESS,5.0
simple,173,661,32.56,SUCCESS,4.0
simple,174,662,32.44,SUCCESS,5.0
simple,175,657,28.54,SUCCESS,5.0
simple,176,667,31.63,SUCCESS,5.0
simple,177,648,32.33,SUCCESS,2.0
simple,178,653,30.09,SUCCESS,4.0
simple,179,665,30.83,SUCCESS,4.0
simple,180,637,30.18,SUCCESS,1.0
simple,181,644,30.43,SUCCESS,3.0
simple,182,649,30.47,SUCCESS,2.0
simple,183,654,29.78,SUCCESS,5.0
simple,184,667,31.11,SUCCESS,5.0
simple,185,648,31.67,SUCCESS,2.0
