scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,1969.0,37.6,SUCCESS,4.0
simple,101,1874.0,43.65,SUCCESS,3.0
simple,102,1808.0,43.14,SUCCESS,3.0
simple,103,1857.0,46.14,SUCCESS,3.0
simple,104,1870.0,44.63,SUCCESS,4.0
simple,105,1977.0,36.95,SUCCESS,4.0
simple,106,2248.0,33.29,SUCCESS,5.0
simple,107,1804.0,44.47,SUCCESS,2.0
simple,108,1862.0,41.66,SUCCESS,4.0
simple,109,1823.0,45.87,SUCCESS,4.0
simple,110,1859.0,44.03,SUCCESS,4.0
simple,111,1798.0,42.92,SUCCESS,2.0
simple,112,1856.0,45.1,SUCCESS,3.0
simple,113,1932.0,41.07,SUCCESS,5.0
simple,114,1850.0,44.34,SUCCESS,4.0
simple,115,2130.0,32.02,SUCCESS,4.0
simple,116,1863.0,46.11,SUCCESS,3.0
simple,117,2002.0,33.5,SUCCESS,4.0
simple,118,1946.0,34.64,SUCCESS,2.0
simple,119,1833.0,43.88,SUCCESS,3.0
simple,120,2490.0,34.64,SUCCESS,3.0
simple,121,2138.0,29.55,SUCCESS,5.0
simple,122,1825.0,44.64,SUCCESS,2.0
simple,123,1834.0,44.57,SUCCESS,3.0
simple,124,1856.0,45.19,SUCCESS,5.0
simple,125,1795.0,45.07,SUCCESS,2.0
simple,126,1844.0,44.27,SUCCESS,5.0
simple,127,1856.0,44.4,SUCCESS,4.0
simple,128,2142.0,34.55,SUCCESS,4.0
simple,129,2111.0,31.41,SUCCESS,3.0
simple,130,1799.0,43.89,SUCCESS,5.0
simple,131,2132.0,30.86,SUCCESS,5.0
simple,132,1768.0,43.24,SUCCESS,1.0
simple,133,1850.0,44.53,SUCCESS,2.0
simple,134,1857.0,42.35,SUCCESS,2.0
simple,135,1793.0,44.26,SUCCESS,5.0
simple,136,2140.0,31.27,SUCCESS,3.0
simple,137,,,SIM_ERRORSimulation still running after step limit,
simple,138,1858.0,45.51,SUCCESS,1.0
simple,139,1791.0,44.29,SUCCESS,1.0
simple,140,1860.0,46.16,SUCCESS,5.0
simple,141,1798.0,45.01,SUCCESS,2.0
simple,142,3779.0,34.35,SUCCESS,5.0
simple,143,1777.0,42.16,SUCCESS,2.0
simple,144,1967.0,38.55,SUCCESS,4.0
simple,145,2286.0,31.38,SUCCESS,5.0
simple,146,1803.0,42.6,SUCCESS,3.0
simple,147,2076.0,31.03,SUCCESS,4.0
simple,148,2905.0,25.48,SUCCESS,5.0
simple,149,2079.0,31.05,SUCCESS,5.0
simple,150,1960.0,35.48,SUCCESS,2.0
simple,151,1798.0,44.08,SUCCESS,1.0
simple,152,2156.0,32.62,SUCCESS,4.0
simple,153,1844.0,44.67,SUCCESS,1.0
simple,154,1949.0,39.02,SUCCESS,3.0
simple,155,1897.0,46.8,SUCCESS,3.0
simple,156,2031.0,33.9,SUCCESS,4.0
simple,157,2030.0,37.01,SUCCESS,3.0
simple,158,1786.0,44.92,SUCCESS,2.0
simple,159,1810.0,43.48,SUCCESS,1.0
simple,160,1845.0,43.73,SUCCESS,4.0
simple,161,2122.0,34.44,SUCCESS,2.0
simple,162,,,SIM_ERRORSimulation still running after step limit,
simple,163,3557.0,29.88,SUCCESS,5.0
simple,164,1827.0,43.2,SUCCESS,4.0
simple,165,,,SIM_ERRORSimulation still running after step limit,
simple,166,2110.0,29.31,SUCCESS,4.0
simple,167,1797.0,44.84,SUCCESS,2.0
simple,168,1798.0,43.97,SUCCESS,1.0
simple,169,1926.0,46.25,SUCCESS,5.0
simple,170,2565.0,29.51,SUCCESS,5.0
simple,171,1799.0,43.55,SUCCESS,2.0
simple,172,1838.0,47.24,SUCCESS,3.0
simple,173,1985.0,35.93,SUCCESS,4.0
simple,174,1804.0,44.93,SUCCESS,2.0
simple,175,3740.0,37.76,SUCCESS,5.0
simple,176,1856.0,46.17,SUCCESS,1.0
simple,177,1976.0,42.31,SUCCESS,5.0
simple,178,1858.0,40.78,SUCCESS,4.0
simple,179,1956.0,36.11,SUCCESS,5.0
simple,180,2297.0,31.87,SUCCESS,5.0
simple,181,1836.0,43.82,SUCCESS,2.0
simple,182,1796.0,44.04,SUCCESS,3.0
simple,183,1924.0,37.11,SUCCESS,4.0
simple,184,1832.0,42.51,SUCCESS,4.0
simple,185,1981.0,34.54,SUCCESS,2.0
simple,186,1845.0,44.61,SUCCESS,3.0
simple,187,1846.0,44.5,SUCCESS,4.0
simple,188,1779.0,45.87,SUCCESS,3.0
simple,189,2152.0,32.13,SUCCESS,3.0
simple,190,1924.0,36.25,SUCCESS,4.0
simple,191,,,SIM_ERRORSimulation still running after step limit,
simple,192,1696.0,43.54,SUCCESS,1.0
simple,193,1854.0,46.09,SUCCESS,2.0
simple,194,2082.0,30.16,SUCCESS,5.0
simple,195,1989.0,37.23,SUCCESS,5.0
simple,196,1993.0,32.18,SUCCESS,4.0
simple,197,1884.0,38.16,SUCCESS,2.0
simple,198,2614.0,27.01,SUCCESS,5.0
simple,199,2581.0,26.64,SUCCESS,5.0
heft,100,1785.0,43.38,SUCCESS,3.0
heft,101,1996.0,32.93,SUCCESS,4.0
heft,102,1878.0,40.5,SUCCESS,4.0
heft,103,2026.0,35.27,SUCCESS,5.0
heft,104,1920.0,37.47,SUCCESS,5.0
heft,105,2040.0,33.8,SUCCESS,5.0
heft,106,1869.0,36.36,SUCCESS,2.0
heft,107,1814.0,45.29,SUCCESS,3.0
heft,108,2357.0,32.93,SUCCESS,5.0
heft,109,1821.0,46.4,SUCCESS,3.0
heft,110,2049.0,32.27,SUCCESS,5.0
heft,111,1868.0,45.81,SUCCESS,4.0
heft,112,1891.0,35.42,SUCCESS,4.0
heft,113,1856.0,46.07,SUCCESS,4.0
heft,114,1784.0,44.32,SUCCESS,3.0
heft,115,1932.0,36.59,SUCCESS,1.0
heft,116,2063.0,32.95,SUCCESS,4.0
heft,117,1816.0,43.96,SUCCESS,3.0
heft,118,2030.0,32.41,SUCCESS,5.0
heft,119,1853.0,44.89,SUCCESS,4.0
heft,120,1848.0,43.74,SUCCESS,2.0
heft,121,2124.0,28.33,SUCCESS,4.0
heft,122,1842.0,45.14,SUCCESS,3.0
heft,123,2881.0,36.77,SUCCESS,5.0
heft,124,1830.0,46.34,SUCCESS,2.0
heft,125,1825.0,42.84,SUCCESS,3.0
heft,126,1823.0,43.5,SUCCESS,4.0
heft,127,1888.0,40.0,SUCCESS,5.0
heft,128,1913.0,36.81,SUCCESS,2.0
heft,129,3712.0,30.17,SUCCESS,5.0
heft,130,1780.0,44.49,SUCCESS,3.0
heft,131,1829.0,41.27,SUCCESS,4.0
heft,132,1831.0,44.77,SUCCESS,2.0
heft,133,1883.0,41.82,SUCCESS,3.0
heft,134,2128.0,30.62,SUCCESS,4.0
heft,135,1778.0,41.41,SUCCESS,4.0
heft,136,3584.0,31.69,SUCCESS,5.0
heft,137,2068.0,30.54,SUCCESS,4.0
heft,138,1923.0,41.84,SUCCESS,3.0
heft,139,1828.0,44.46,SUCCESS,2.0
heft,140,1840.0,44.71,SUCCESS,4.0
