scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,657,33.03,SUCCESS,4.0
simple,101,661,34.98,SUCCESS,2.0
simple,102,662,33.23,SUCCESS,4.0
simple,103,665,32.52,SUCCESS,4.0
simple,104,659,31.87,SUCCESS,4.0
simple,105,653,33.54,SUCCESS,2.0
simple,106,644,31.72,SUCCESS,2.0
simple,107,665,34.06,SUCCESS,5.0
simple,108,651,33.18,SUCCESS,3.0
simple,109,681,31.28,SUCCESS,5.0
simple,110,656,32.96,SUCCESS,3.0
simple,111,659,33.54,SUCCESS,3.0
simple,112,641,34.17,SUCCESS,3.0
simple,113,661,34.76,SUCCESS,4.0
simple,114,677,35.01,SUCCESS,5.0
simple,115,649,34.48,SUCCESS,3.0
simple,116,649,30.82,SUCCESS,2.0
simple,117,694,34.4,SUCCESS,5.0
simple,118,663,35.29,SUCCESS,4.0
simple,119,678,31.49,SUCCESS,5.0
simple,120,642,34.5,SUCCESS,1.0
simple,121,668,35.1,SUCCESS,5.0
simple,122,678,35.47,SUCCESS,4.0
simple,123,664,33.92,SUCCESS,5.0
simple,124,642,31.74,SUCCESS,2.0
simple,125,659,34.67,SUCCESS,4.0
simple,126,684,34.14,SUCCESS,5.0
simple,127,668,33.08,SUCCESS,5.0
simple,128,661,32.87,SUCCESS,4.0
simple,129,646,33.55,SUCCESS,4.0
simple,130,627,31.06,SUCCESS,1.0
simple,131,660,33.03,SUCCESS,4.0
simple,132,642,30.84,SUCCESS,2.0
simple,133,666,31.49,SUCCESS,4.0
simple,134,654,31.69,SUCCESS,4.0
simple,135,655,32.6,SUCCESS,1.0
simple,136,657,33.75,SUCCESS,5.0
simple,137,676,33.76,SUCCESS,5.0
simple,138,666,35.14,SUCCESS,5.0
simple,139,662,31.46,SUCCESS,4.0
simple,140,655,35.46,SUCCESS,2.0
simple,141,647,33.85,SUCCESS,4.0
simple,142,667,35.46,SUCCESS,5.0
simple,143,621,33.09,SUCCESS,1.0
simple,144,661,32.53,SUCCESS,3.0
simple,145,634,32.81,SUCCESS,1.0
simple,146,642,33.18,SUCCESS,3.0
simple,147,651,34.06,SUCCESS,4.0
simple,148,657,34.44,SUCCESS,4.0
simple,149,662,32.74,SUCCESS,5.0
simple,150,664,32.87,SUCCESS,5.0
simple,151,674,33.61,SUCCESS,4.0
simple,152,659,35.2,SUCCESS,3.0
simple,153,643,32.15,SUCCESS,1.0
simple,154,660,34.05,SUCCESS,2.0
simple,155,643,32.31,SUCCESS,3.0
simple,156,673,32.95,SUCCESS,4.0
simple,157,665,34.36,SUCCESS,5.0
simple,158,666,34.42,SUCCESS,5.0
simple,159,660,34.2,SUCCESS,4.0
simple,160,662,31.65,SUCCESS,3.0
simple,161,675,32.41,SUCCESS,4.0
simple,162,651,34.49,SUCCESS,1.0
simple,163,684,33.19,SUCCESS,5.0
simple,164,644,31.29,SUCCESS,2.0
simple,165,651,30.84,SUCCESS,5.0
simple,166,659,33.42,SUCCESS,5.0
simple,167,660,31.4,SUCCESS,2.0
simple,168,658,34.08,SUCCESS,4.0
simple,169,655,32.6,SUCCESS,4.0
simple,170,665,32.86,SUCCESS,3.0
simple,171,623,31.94,SUCCESS,1.0
simple,172,668,32.97,SUCCESS,5.0
simple,173,644,33.35,SUCCESS,2.0
simple,174,662,32.48,SUCCESS,5.0
simple,175,659,32.78,SUCCESS,5.0
simple,176,645,30.78,SUCCESS,3.0
simple,177,643,33.13,SUCCESS,3.0
simple,178,648,32.95,SUCCESS,3.0
simple,179,647,32.65,SUCCESS,2.0
simple,180,677,35.38,SUCCESS,5.0
simple,181,657,33.11,SUCCESS,1.0
simple,182,641,32.25,SUCCESS,2.0
simple,183,691,34.91,SUCCESS,5.0
simple,184,615,33.94,SUCCESS,1.0
simple,185,646,32.62,SUCCESS,2.0
simple,186,682,32.44,SUCCESS,5.0
simple,187,654,33.18,SUCCESS,1.0
simple,188,641,31.12,SUCCESS,3.0
simple,189,666,32.73,SUCCESS,4.0
simple,190,650,33.35,SUCCESS,1.0
simple,191,652,32.71,SUCCESS,4.0
simple,192,651,32.91,SUCCESS,1.0
simple,193,658,34.84,SUCCESS,4.0
simple,194,651,32.76,SUCCESS,4.0
simple,195,637,33.36,SUCCESS,1.0
simple,196,669,34.38,SUCCESS,4.0
simple,197,657,33.26,SUCCESS,4.0
simple,198,675,33.22,SUCCESS,5.0
simple,199,652,32.63,SUCCESS,4.0
heft,100,646,32.04,SUCCESS,3.0
heft,101,642,33.49,SUCCESS,1.0
heft,102,646,31.93,SUCCESS,3.0
heft,103,653,33.19,SUCCESS,1.0
