scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,330,52.58,SUCCESS,4.0
simple,101,331,54.08,SUCCESS,3.0
simple,102,334,53.59,SUCCESS,3.0
simple,103,335,53.43,SUCCESS,3.0
simple,104,336,53.87,SUCCESS,4.0
simple,105,320,52.34,SUCCESS,1.0
simple,106,319,51.65,SUCCESS,1.0
simple,107,333,55.33,SUCCESS,3.0
simple,108,321,52.8,SUCCESS,4.0
simple,109,320,53.28,SUCCESS,3.0
simple,110,326,52.38,SUCCESS,4.0
simple,111,327,52.45,SUCCESS,3.0
simple,112,310,52.34,SUCCESS,3.0
simple,113,316,53.24,SUCCESS,4.0
simple,114,333,52.7,SUCCESS,5.0
simple,115,328,52.97,SUCCESS,4.0
simple,116,332,54.07,SUCCESS,4.0
simple,117,307,51.87,SUCCESS,1.0
simple,118,337,54.45,SUCCESS,4.0
simple,119,328,53.12,SUCCESS,4.0
simple,120,312,52.0,SUCCESS,3.0
simple,121,346,54.48,SUCCESS,4.0
simple,122,317,51.97,SUCCESS,2.0
simple,123,346,55.71,SUCCESS,5.0
simple,124,319,52.59,SUCCESS,4.0
simple,125,318,53.22,SUCCESS,4.0
simple,126,311,52.89,SUCCESS,1.0
simple,127,334,53.74,SUCCESS,4.0
simple,128,316,53.24,SUCCESS,3.0
simple,129,333,55.26,SUCCESS,2.0
simple,130,322,52.72,SUCCESS,3.0
simple,131,322,52.95,SUCCESS,4.0
simple,132,332,54.07,SUCCESS,4.0
simple,133,326,52.91,SUCCESS,5.0
simple,134,311,52.41,SUCCESS,3.0
simple,135,317,51.42,SUCCESS,3.0
simple,136,340,53.97,SUCCESS,4.0
simple,137,326,51.46,SUCCESS,4.0
simple,138,334,52.32,SUCCESS,4.0
simple,139,344,56.03,SUCCESS,4.0
simple,140,332,54.07,SUCCESS,2.0
simple,141,317,51.81,SUCCESS,4.0
simple,142,318,53.3,SUCCESS,3.0
simple,143,319,52.59,SUCCESS,3.0
simple,144,335,53.43,SUCCESS,5.0
simple,145,340,53.97,SUCCESS,4.0
simple,146,309,51.86,SUCCESS,2.0
simple,147,319,52.04,SUCCESS,3.0
simple,148,345,54.42,SUCCESS,5.0
simple,149,336,53.87,SUCCESS,5.0
simple,150,327,52.75,SUCCESS,4.0
simple,151,327,54.51,SUCCESS,3.0
simple,152,335,54.48,SUCCESS,3.0
simple,153,307,51.87,SUCCESS,1.0
