scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,1250,39.8,SUCCESS,1.0
simple,101,1433,38.99,SUCCESS,5.0
simple,102,1316,36.04,SUCCESS,1.0
simple,103,1447,38.61,SUCCESS,4.0
simple,104,1361,39.14,SUCCESS,4.0
simple,105,1435,37.91,SUCCESS,4.0
simple,106,1391,38.43,SUCCESS,1.0
simple,107,1430,37.66,SUCCESS,2.0
simple,108,1377,37.06,SUCCESS,1.0
simple,109,1316,40.65,SUCCESS,1.0
simple,110,1252,38.42,SUCCESS,1.0
simple,111,1391,39.63,SUCCESS,5.0
simple,112,1318,38.41,SUCCESS,3.0
simple,113,1491,36.94,SUCCESS,1.0
simple,114,1349,37.66,SUCCESS,1.0
simple,115,1126,41.61,SUCCESS,4.0
simple,116,1212,39.46,SUCCESS,1.0
simple,117,1438,38.46,SUCCESS,3.0
simple,118,1421,40.64,SUCCESS,3.0
simple,119,1352,40.05,SUCCESS,5.0
simple,120,1352,39.89,SUCCESS,2.0
simple,121,1410,38.88,SUCCESS,5.0
simple,122,1401,37.99,SUCCESS,1.0
simple,123,1368,38.78,SUCCESS,4.0
simple,124,1238,39.54,SUCCESS,4.0
simple,125,1367,39.41,SUCCESS,4.0
simple,126,1456,39.8,SUCCESS,5.0
simple,127,1178,39.58,SUCCESS,2.0
simple,128,1418,36.44,SUCCESS,2.0
simple,129,1258,38.87,SUCCESS,5.0
simple,130,1300,37.33,SUCCESS,2.0
simple,131,1318,38.77,SUCCESS,4.0
simple,132,1403,39.42,SUCCESS,3.0
simple,133,1454,38.67,SUCCESS,2.0
simple,134,1325,39.08,SUCCESS,4.0
simple,135,1367,37.89,SUCCESS,5.0
simple,136,1327,39.68,SUCCESS,5.0
simple,137,1432,39.96,SUCCESS,5.0
simple,138,1375,37.58,SUCCESS,3.0
simple,139,1386,36.33,SUCCESS,4.0
simple,140,1407,40.37,SUCCESS,4.0
simple,141,1352,40.4,SUCCESS,1.0
simple,142,1603,36.77,SUCCESS,3.0
simple,143,1297,37.86,SUCCESS,3.0
