scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,742.0,33.09,SUCCESS,2.0
simple,101,858.0,28.23,SUCCESS,5.0
simple,102,880.0,35.06,SUCCESS,4.0
simple,103,1076.0,26.65,SUCCESS,4.0
simple,104,815.0,28.28,SUCCESS,5.0
simple,105,895.0,32.88,SUCCESS,3.0
simple,106,1175.0,27.17,SUCCESS,4.0
simple,107,1043.0,28.98,SUCCESS,4.0
simple,108,835.0,34.49,SUCCESS,4.0
simple,109,770.0,35.49,SUCCESS,4.0
simple,110,664.0,35.09,SUCCESS,1.0
simple,111,710.0,31.02,SUCCESS,2.0
simple,112,748.0,33.39,SUCCESS,3.0
simple,113,949.0,33.3,SUCCESS,5.0
simple,114,900.0,32.39,SUCCESS,3.0
simple,115,725.0,37.14,SUCCESS,3.0
simple,116,937.0,28.28,SUCCESS,4.0
simple,117,970.0,35.08,SUCCESS,2.0
simple,118,827.0,35.04,SUCCESS,5.0
simple,119,791.0,33.53,SUCCESS,4.0
simple,120,825.0,32.3,SUCCESS,3.0
simple,121,816.0,31.04,SUCCESS,4.0
simple,122,1062.0,28.04,SUCCESS,4.0
simple,123,794.0,33.44,SUCCESS,2.0
simple,124,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf2. Simulation cannot proceed.,
simple,125,826.0,35.93,SUCCESS,3.0
simple,126,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,127,673.0,35.74,SUCCESS,3.0
simple,128,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,129,654.0,31.04,SUCCESS,1.0
simple,130,1117.0,26.25,SUCCESS,5.0
simple,131,730.0,28.73,SUCCESS,3.0
simple,132,769.0,34.95,SUCCESS,3.0
simple,133,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,134,829.0,34.44,SUCCESS,2.0
simple,135,793.0,31.4,SUCCESS,2.0
simple,136,765.0,33.01,SUCCESS,3.0
simple,137,726.0,35.57,SUCCESS,1.0
simple,138,869.0,30.52,SUCCESS,4.0
simple,139,1149.0,23.52,SUCCESS,5.0
simple,140,948.0,32.75,SUCCESS,2.0
simple,141,756.0,36.34,SUCCESS,4.0
simple,142,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.,
