scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,,,SIM_ERRORSimulation still running after step limit,
simple,101,1173.0,44.2,SUCCESS,4.0
simple,102,1276.0,44.98,SUCCESS,4.0
simple,103,1430.0,46.96,SUCCESS,5.0
simple,104,1263.0,42.99,SUCCESS,4.0
simple,105,1371.0,46.46,SUCCESS,4.0
simple,106,1223.0,45.95,SUCCESS,4.0
simple,107,1545.0,47.12,SUCCESS,5.0
simple,108,1258.0,46.03,SUCCESS,5.0
simple,109,1154.0,45.49,SUCCESS,5.0
simple,110,1008.0,43.2,SUCCESS,1.0
simple,111,1104.0,44.52,SUCCESS,2.0
simple,112,1180.0,45.08,SUCCESS,5.0
simple,113,1414.0,45.97,SUCCESS,4.0
simple,114,1385.0,46.86,SUCCESS,1.0
simple,115,1056.0,44.51,SUCCESS,5.0
simple,116,1161.0,43.5,SUCCESS,3.0
simple,117,1362.0,46.04,SUCCESS,4.0
simple,118,1208.0,47.6,SUCCESS,4.0
simple,119,1216.0,44.9,SUCCESS,4.0
simple,120,1263.0,46.28,SUCCESS,1.0
simple,121,1211.0,45.33,SUCCESS,4.0
simple,122,1374.0,46.94,SUCCESS,4.0
simple,123,1227.0,44.82,SUCCESS,1.0
simple,124,1057.0,44.18,SUCCESS,4.0
simple,125,1258.0,42.41,SUCCESS,4.0
simple,126,1363.0,46.22,SUCCESS,4.0
simple,127,976.0,43.8,SUCCESS,4.0
simple,128,1433.0,46.27,SUCCESS,2.0
simple,129,1025.0,45.76,SUCCESS,5.0
simple,130,1281.0,44.26,SUCCESS,4.0
simple,131,1122.0,42.83,SUCCESS,1.0
simple,132,1178.0,43.55,SUCCESS,4.0
simple,133,1420.0,45.28,SUCCESS,4.0
simple,134,1221.0,43.98,SUCCESS,4.0
simple,135,1222.0,44.07,SUCCESS,5.0
simple,136,1182.0,46.11,SUCCESS,2.0
simple,137,1182.0,44.75,SUCCESS,5.0
simple,138,1245.0,45.1,SUCCESS,4.0
simple,139,1167.0,43.96,SUCCESS,4.0
simple,140,,,SIM_ERRORSimulation still running after step limit,
simple,141,1103.0,42.97,SUCCESS,5.0
simple,142,1401.0,46.54,SUCCESS,4.0
simple,143,1022.0,43.93,SUCCESS,1.0
simple,144,1183.0,47.34,SUCCESS,4.0
simple,145,1324.0,47.36,SUCCESS,5.0
simple,146,1400.0,46.93,SUCCESS,5.0
simple,147,1185.0,43.38,SUCCESS,4.0
simple,148,1236.0,43.77,SUCCESS,4.0
simple,149,1336.0,46.93,SUCCESS,5.0
simple,150,1379.0,45.11,SUCCESS,4.0
simple,151,1223.0,43.42,SUCCESS,1.0
simple,152,1220.0,45.74,SUCCESS,4.0
simple,153,1293.0,43.0,SUCCESS,4.0
simple,154,1283.0,44.04,SUCCESS,4.0
simple,155,1390.0,44.39,SUCCESS,5.0
simple,156,1296.0,45.99,SUCCESS,5.0
simple,157,1352.0,46.82,SUCCESS,5.0
simple,158,1109.0,43.19,SUCCESS,4.0
simple,159,1255.0,45.82,SUCCESS,2.0
simple,160,1257.0,47.81,SUCCESS,2.0
simple,161,1180.0,45.68,SUCCESS,5.0
simple,162,1290.0,46.82,SUCCESS,5.0
simple,163,1293.0,45.78,SUCCESS,5.0
simple,164,1335.0,46.33,SUCCESS,4.0
simple,165,1262.0,46.43,SUCCESS,1.0
simple,166,1337.0,45.92,SUCCESS,1.0
simple,167,1005.0,42.89,SUCCESS,2.0
simple,168,1254.0,48.17,SUCCESS,1.0
simple,169,1362.0,45.3,SUCCESS,4.0
simple,170,1289.0,44.61,SUCCESS,5.0
simple,171,1182.0,45.05,SUCCESS,4.0
simple,172,1341.0,46.12,SUCCESS,4.0
simple,173,1233.0,45.74,SUCCESS,5.0
simple,174,1100.0,46.14,SUCCESS,4.0
simple,175,1402.0,47.25,SUCCESS,4.0
simple,176,1306.0,46.02,SUCCESS,4.0
simple,177,,,SIM_ERRORSimulation still running after step limit,
simple,178,1180.0,45.17,SUCCESS,2.0
simple,179,,,SIM_ERRORSimulation still running after step limit,
simple,180,1191.0,46.47,SUCCESS,4.0
simple,181,1236.0,46.04,SUCCESS,5.0
simple,182,1089.0,41.87,SUCCESS,4.0
simple,183,1085.0,45.67,SUCCESS,4.0
simple,184,1229.0,45.85,SUCCESS,3.0
simple,185,1342.0,45.45,SUCCESS,5.0
simple,186,1226.0,46.29,SUCCESS,4.0
simple,187,1432.0,47.52,SUCCESS,1.0
simple,188,1260.0,45.48,SUCCESS,4.0
simple,189,1112.0,45.5,SUCCESS,5.0
simple,190,1339.0,45.18,SUCCESS,5.0
simple,191,1327.0,46.57,SUCCESS,4.0
simple,192,1104.0,44.29,SUCCESS,5.0
simple,193,1364.0,45.45,SUCCESS,5.0
simple,194,1409.0,47.41,SUCCESS,1.0
simple,195,,,SIM_ERRORSimulation still running after step limit,
simple,196,1027.0,44.5,SUCCESS,4.0
simple,197,1098.0,42.53,SUCCESS,5.0
simple,198,1021.0,44.47,SUCCESS,4.0
simple,199,1206.0,46.1,SUCCESS,2.0
heft,100,1121.0,43.44,SUCCESS,1.0
heft,101,1143.0,43.26,SUCCESS,1.0
heft,102,1250.0,45.64,SUCCESS,3.0
heft,103,1408.0,45.06,SUCCESS,4.0
heft,104,1248.0,45.63,SUCCESS,3.0
heft,105,1348.0,44.36,SUCCESS,3.0
heft,106,1212.0,43.65,SUCCESS,1.0
heft,107,1506.0,46.58,SUCCESS,3.0
heft,108,1225.0,44.12,SUCCESS,3.0
heft,109,1093.0,42.82,SUCCESS,1.0
heft,110,1008.0,42.41,SUCCESS,1.0
heft,111,1103.0,44.15,SUCCESS,1.0
heft,112,1112.0,43.08,SUCCESS,3.0
heft,113,1372.0,42.49,SUCCESS,1.0
heft,114,1385.0,45.78,SUCCESS,1.0
heft,115,1026.0,43.62,SUCCESS,1.0
heft,116,1168.0,44.48,SUCCESS,5.0
heft,117,1353.0,45.05,SUCCESS,1.0
heft,118,1180.0,45.68,SUCCESS,1.0
heft,119,1200.0,46.08,SUCCESS,1.0
heft,120,1274.0,43.76,SUCCESS,2.0
heft,121,1203.0,43.64,SUCCESS,3.0
heft,122,1367.0,46.01,SUCCESS,3.0
heft,123,1233.0,45.54,SUCCESS,4.0
heft,124,1033.0,45.21,SUCCESS,1.0
heft,125,1248.0,44.43,SUCCESS,3.0
heft,126,1315.0,46.5,SUCCESS,3.0
heft,127,956.0,39.96,SUCCESS,1.0
heft,128,1432.0,45.91,SUCCESS,1.0
heft,129,1004.0,44.47,SUCCESS,3.0
heft,130,1264.0,42.8,SUCCESS,3.0
heft,131,,,SIM_ERRORSimulation still running after step limit,
heft,132,1170.0,44.32,SUCCESS,3.0
heft,133,1398.0,45.57,SUCCESS,1.0
heft,134,1184.0,42.57,SUCCESS,1.0
heft,135,1212.0,43.69,SUCCESS,3.0
heft,136,1154.0,43.41,SUCCESS,1.0
heft,137,1155.0,41.95,SUCCESS,1.0
heft,138,1192.0,42.53,SUCCESS,1.0
heft,139,1165.0,43.61,SUCCESS,3.0
heft,140,1207.0,43.29,SUCCESS,1.0
heft,141,1071.0,43.7,SUCCESS,1.0
heft,142,1384.0,45.01,SUCCESS,3.0
heft,143,1033.0,43.61,SUCCESS,2.0
heft,144,1177.0,43.29,SUCCESS,3.0
heft,145,1301.0,44.77,SUCCESS,1.0
heft,146,1375.0,45.53,SUCCESS,1.0
heft,147,1160.0,44.4,SUCCESS,1.0
heft,148,1180.0,43.73,SUCCESS,1.0
heft,149,1311.0,45.61,SUCCESS,3.0
heft,150,1317.0,43.05,SUCCESS,1.0
heft,151,1224.0,45.14,SUCCESS,4.0
heft,152,1163.0,43.08,SUCCESS,1.0
heft,153,1262.0,45.29,SUCCESS,1.0
heft,154,1245.0,44.5,SUCCESS,1.0
heft,155,1353.0,44.05,SUCCESS,3.0
heft,156,1252.0,43.89,SUCCESS,3.0
heft,157,1334.0,43.14,SUCCESS,3.0
heft,158,,,SIM_ERRORSimulation still running after step limit,
heft,159,1268.0,45.19,SUCCESS,3.0
heft,160,1269.0,43.7,SUCCESS,5.0
heft,161,1164.0,45.23,SUCCESS,2.0
heft,162,1237.0,43.41,SUCCESS,1.0
heft,163,1283.0,43.41,SUCCESS,3.0
heft,164,1310.0,45.0,SUCCESS,1.0
heft,165,1281.0,45.39,SUCCESS,3.0
heft,166,1343.0,44.19,SUCCESS,4.0
heft,167,,,SIM_ERRORSimulation still running after step limit,
heft,168,1261.0,44.77,SUCCESS,3.0
heft,169,1345.0,45.72,SUCCESS,1.0
heft,170,1257.0,46.22,SUCCESS,1.0
heft,171,1145.0,46.2,SUCCESS,3.0
heft,172,1308.0,43.27,SUCCESS,1.0
heft,173,1201.0,43.88,SUCCESS,1.0
heft,174,1092.0,44.37,SUCCESS,3.0
heft,175,1366.0,43.48,SUCCESS,1.0
heft,176,1276.0,43.5,SUCCESS,1.0
heft,177,,,SIM_ERRORSimulation still running after step limit,
heft,178,1167.0,45.5,SUCCESS,1.0
heft,179,995.0,43.47,SUCCESS,1.0
heft,180,1171.0,44.28,SUCCESS,1.0
heft,181,1211.0,44.01,SUCCESS,1.0
heft,182,1052.0,42.97,SUCCESS,1.0
heft,183,1040.0,42.88,SUCCESS,1.0
heft,184,1226.0,46.0,SUCCESS,2.0
heft,185,1292.0,44.16,SUCCESS,1.0
heft,186,1173.0,43.65,SUCCESS,1.0
heft,187,1447.0,46.03,SUCCESS,2.0
heft,188,1232.0,45.82,SUCCESS,1.0
heft,189,1082.0,44.18,SUCCESS,1.0
heft,190,1325.0,43.7,SUCCESS,4.0
heft,191,1307.0,45.87,SUCCESS,1.0
heft,192,1082.0,42.65,SUCCESS,3.0
heft,193,1327.0,45.59,SUCCESS,3.0
heft,194,1428.0,45.97,SUCCESS,2.0
heft,195,1161.0,43.63,SUCCESS,1.0
heft,196,998.0,45.79,SUCCESS,3.0
heft,197,1075.0,43.02,SUCCESS,3.0
heft,198,1003.0,45.36,SUCCESS,1.0
heft,199,1169.0,44.05,SUCCESS,1.0
dls,100,1141.0,46.28,SUCCESS,4.0
dls,101,1173.0,47.06,SUCCESS,4.0
dls,102,1282.0,46.41,SUCCESS,5.0
dls,103,1401.0,45.82,SUCCESS,3.0
dls,104,1265.0,44.23,SUCCESS,5.0
dls,105,1376.0,46.29,SUCCESS,5.0
dls,106,1228.0,45.64,SUCCESS,5.0
dls,107,1535.0,47.2,SUCCESS,4.0
dls,108,1249.0,46.32,SUCCESS,4.0
dls,109,1146.0,46.34,SUCCESS,4.0
dls,110,1033.0,44.05,SUCCESS,5.0
dls,111,1127.0,43.43,SUCCESS,5.0
dls,112,1150.0,45.96,SUCCESS,4.0
dls,113,1446.0,46.72,SUCCESS,5.0
dls,114,1397.0,46.6,SUCCESS,3.0
dls,115,1054.0,45.26,SUCCESS,4.0
dls,116,1161.0,43.58,SUCCESS,3.0
dls,117,1382.0,47.61,SUCCESS,5.0
dls,118,1209.0,47.44,SUCCESS,5.0
dls,119,1220.0,45.82,SUCCESS,5.0
dls,120,1276.0,47.61,SUCCESS,3.0
dls,121,1231.0,44.88,SUCCESS,5.0
dls,122,1376.0,46.58,SUCCESS,5.0
dls,123,1234.0,44.12,SUCCESS,5.0
dls,124,,,SIM_ERRORSimulation still running after step limit,
dls,125,1272.0,44.18,SUCCESS,5.0
dls,126,1364.0,46.96,SUCCESS,5.0
dls,127,1003.0,44.17,SUCCESS,5.0
dls,128,1472.0,47.15,SUCCESS,5.0
dls,129,1021.0,45.98,SUCCESS,4.0
dls,130,1301.0,44.66,SUCCESS,5.0
dls,131,1148.0,44.77,SUCCESS,2.0
dls,132,1179.0,44.15,SUCCESS,5.0
dls,133,1422.0,45.22,SUCCESS,5.0
dls,134,1227.0,45.72,SUCCESS,5.0
dls,135,1220.0,44.8,SUCCESS,4.0
dls,136,1200.0,46.08,SUCCESS,3.0
dls,137,1175.0,44.6,SUCCESS,2.0
dls,138,1260.0,43.85,SUCCESS,5.0
dls,139,1186.0,42.41,SUCCESS,5.0
dls,140,1252.0,44.65,SUCCESS,4.0
dls,141,1093.0,45.38,SUCCESS,4.0
dls,142,1411.0,47.77,SUCCESS,5.0
dls,143,1033.0,45.89,SUCCESS,2.0
dls,144,1187.0,47.3,SUCCESS,5.0
dls,145,1306.0,45.6,SUCCESS,4.0
dls,146,1399.0,47.0,SUCCESS,4.0
dls,147,1195.0,44.64,SUCCESS,5.0
dls,148,1245.0,45.18,SUCCESS,5.0
dls,149,1322.0,47.35,SUCCESS,4.0
dls,150,1393.0,45.73,SUCCESS,5.0
dls,151,1225.0,43.8,SUCCESS,5.0
dls,152,1236.0,46.68,SUCCESS,5.0
dls,153,1321.0,46.03,SUCCESS,5.0
dls,154,1318.0,47.19,SUCCESS,5.0
dls,155,1380.0,45.4,SUCCESS,4.0
dls,156,1286.0,45.26,SUCCESS,4.0
dls,157,1351.0,47.0,SUCCESS,4.0
dls,158,1095.0,43.84,SUCCESS,3.0
dls,159,1240.0,44.92,SUCCESS,1.0
dls,160,1256.0,47.77,SUCCESS,1.0
dls,161,1160.0,45.6,SUCCESS,1.0
dls,162,1255.0,46.49,SUCCESS,2.0
dls,163,1288.0,45.3,SUCCESS,4.0
dls,164,1348.0,46.7,SUCCESS,5.0
dls,165,1262.0,46.51,SUCCESS,1.0
dls,166,1366.0,46.93,SUCCESS,5.0
dls,167,1004.0,42.88,SUCCESS,1.0
dls,168,1254.0,48.25,SUCCESS,1.0
dls,169,1367.0,46.16,SUCCESS,5.0
dls,170,1288.0,46.23,SUCCESS,4.0
dls,171,1192.0,45.6,SUCCESS,5.0
dls,172,1342.0,47.76,SUCCESS,5.0
dls,173,1231.0,45.69,SUCCESS,4.0
dls,174,1104.0,45.61,SUCCESS,5.0
dls,175,1407.0,48.86,SUCCESS,5.0
dls,176,1327.0,45.7,SUCCESS,5.0
dls,177,1358.0,46.72,SUCCESS,3.0
dls,178,1205.0,45.35,SUCCESS,5.0
dls,179,,,SIM_ERRORSimulation still running after step limit,
dls,180,1195.0,47.11,SUCCESS,5.0
dls,181,1222.0,46.56,SUCCESS,4.0
dls,182,1094.0,44.42,SUCCESS,5.0
dls,183,1089.0,45.45,SUCCESS,5.0
dls,184,1212.0,45.42,SUCCESS,1.0
dls,185,1333.0,47.75,SUCCESS,4.0
dls,186,1227.0,47.43,SUCCESS,5.0
dls,187,1469.0,45.58,SUCCESS,5.0
dls,188,1267.0,45.19,SUCCESS,5.0
dls,189,1111.0,45.32,SUCCESS,4.0
dls,190,1322.0,46.67,SUCCESS,3.0
dls,191,1332.0,47.6,SUCCESS,5.0
dls,192,1102.0,45.42,SUCCESS,4.0
dls,193,1361.0,45.74,SUCCESS,4.0
dls,194,1439.0,47.26,SUCCESS,5.0
dls,195,,,SIM_ERRORSimulation still running after step limit,
dls,196,1029.0,45.0,SUCCESS,5.0
dls,197,1092.0,42.4,SUCCESS,4.0
dls,198,1021.0,44.56,SUCCESS,4.0
dls,199,1220.0,46.48,SUCCESS,5.0
heft-dls,100,1122.0,43.67,SUCCESS,2.0
heft-dls,101,1157.0,45.25,SUCCESS,2.0
heft-dls,102,1244.0,45.22,SUCCESS,1.0
heft-dls,103,1383.0,44.72,SUCCESS,1.0
heft-dls,104,1244.0,46.78,SUCCESS,1.0
heft-dls,105,1332.0,43.32,SUCCESS,1.0
heft-dls,106,1212.0,43.85,SUCCESS,1.0
heft-dls,107,1498.0,45.69,SUCCESS,1.0
heft-dls,108,1207.0,42.75,SUCCESS,1.0
heft-dls,109,1110.0,43.6,SUCCESS,2.0
heft-dls,110,1010.0,44.5,SUCCESS,3.0
heft-dls,111,1121.0,46.16,SUCCESS,3.0
heft-dls,112,1106.0,43.9,SUCCESS,1.0
heft-dls,113,1379.0,42.68,SUCCESS,2.0
heft-dls,114,1397.0,46.67,SUCCESS,3.0
heft-dls,115,1041.0,44.52,SUCCESS,2.0
heft-dls,116,1150.0,44.04,SUCCESS,1.0
heft-dls,117,1355.0,44.54,SUCCESS,2.0
heft-dls,118,1182.0,45.56,SUCCESS,2.0
heft-dls,119,1200.0,46.25,SUCCESS,1.0
heft-dls,120,1288.0,45.92,SUCCESS,4.0
heft-dls,121,1202.0,43.72,SUCCESS,1.0
heft-dls,122,1351.0,45.41,SUCCESS,1.0
heft-dls,123,1230.0,45.16,SUCCESS,2.0
heft-dls,124,1036.0,44.26,SUCCESS,2.0
heft-dls,125,1247.0,44.51,SUCCESS,1.0
heft-dls,126,1311.0,46.72,SUCCESS,1.0
heft-dls,127,975.0,42.87,SUCCESS,2.0
heft-dls,128,1444.0,47.44,SUCCESS,3.0
heft-dls,129,1003.0,44.67,SUCCESS,1.0
heft-dls,130,1251.0,43.01,SUCCESS,1.0
heft-dls,131,,,SIM_ERRORSimulation still running after step limit,
heft-dls,132,1166.0,44.77,SUCCESS,1.0
heft-dls,133,1403.0,46.54,SUCCESS,2.0
heft-dls,134,1193.0,44.84,SUCCESS,2.0
heft-dls,135,1200.0,45.71,SUCCESS,1.0
heft-dls,136,,,SIM_ERRORSimulation still running after step limit,
heft-dls,137,1178.0,44.57,SUCCESS,3.0
heft-dls,138,1211.0,43.68,SUCCESS,2.0
heft-dls,139,1157.0,44.08,SUCCESS,1.0
heft-dls,140,1210.0,44.92,SUCCESS,2.0
heft-dls,141,1074.0,46.32,SUCCESS,2.0
heft-dls,142,1381.0,44.86,SUCCESS,1.0
heft-dls,143,1035.0,44.3,SUCCESS,4.0
heft-dls,144,1176.0,44.56,SUCCESS,1.0
heft-dls,145,1301.0,45.04,SUCCESS,1.0
heft-dls,146,1380.0,45.11,SUCCESS,2.0
heft-dls,147,1165.0,46.01,SUCCESS,2.0
heft-dls,148,1188.0,44.87,SUCCESS,2.0
heft-dls,149,1287.0,45.45,SUCCESS,1.0
heft-dls,150,1348.0,43.58,SUCCESS,2.0
heft-dls,151,1223.0,45.79,SUCCESS,1.0
heft-dls,152,1172.0,43.52,SUCCESS,2.0
heft-dls,153,1273.0,44.42,SUCCESS,2.0
heft-dls,154,1263.0,45.61,SUCCESS,2.0
heft-dls,155,1330.0,44.55,SUCCESS,1.0
heft-dls,156,1247.0,43.5,SUCCESS,1.0
heft-dls,157,1324.0,43.24,SUCCESS,1.0
heft-dls,158,1092.0,43.64,SUCCESS,1.0
heft-dls,159,,,SIM_ERRORSimulation still running after step limit,
heft-dls,160,1262.0,44.41,SUCCESS,3.0
heft-dls,161,1177.0,46.01,SUCCESS,3.0
heft-dls,162,1262.0,43.9,SUCCESS,3.0
heft-dls,163,1278.0,45.5,SUCCESS,1.0
heft-dls,164,1333.0,46.1,SUCCESS,2.0
heft-dls,165,1281.0,45.08,SUCCESS,3.0
heft-dls,166,1340.0,44.07,SUCCESS,2.0
heft-dls,167,,,SIM_ERRORSimulation still running after step limit,
heft-dls,168,1263.0,44.85,SUCCESS,4.0
heft-dls,169,1361.0,45.26,SUCCESS,2.0
heft-dls,170,1257.0,46.78,SUCCESS,1.0
heft-dls,171,1140.0,45.66,SUCCESS,1.0
heft-dls,172,1319.0,44.84,SUCCESS,2.0
heft-dls,173,1203.0,43.02,SUCCESS,2.0
heft-dls,174,1079.0,44.3,SUCCESS,1.0
heft-dls,175,1385.0,45.52,SUCCESS,2.0
heft-dls,176,1280.0,46.95,SUCCESS,2.0
heft-dls,177,1313.0,45.54,SUCCESS,1.0
heft-dls,178,1184.0,46.16,SUCCESS,3.0
heft-dls,179,1012.0,43.43,SUCCESS,2.0
heft-dls,180,1181.0,44.71,SUCCESS,2.0
heft-dls,181,1211.0,44.76,SUCCESS,1.0
heft-dls,182,1060.0,45.66,SUCCESS,2.0
heft-dls,183,1055.0,41.28,SUCCESS,2.0
heft-dls,184,1234.0,46.07,SUCCESS,4.0
heft-dls,185,1332.0,45.12,SUCCESS,2.0
heft-dls,186,1173.0,44.2,SUCCESS,1.0
heft-dls,187,1447.0,46.03,SUCCESS,2.0
heft-dls,188,1238.0,47.01,SUCCESS,2.0
heft-dls,189,1086.0,45.17,SUCCESS,2.0
heft-dls,190,1314.0,43.91,SUCCESS,1.0
heft-dls,191,1311.0,47.1,SUCCESS,2.0
heft-dls,192,1078.0,43.09,SUCCESS,1.0
heft-dls,193,1318.0,45.64,SUCCESS,1.0
heft-dls,194,1437.0,46.45,SUCCESS,3.0
heft-dls,195,1178.0,43.76,SUCCESS,2.0
heft-dls,196,997.0,46.14,SUCCESS,1.0
heft-dls,197,1072.0,43.42,SUCCESS,1.0
heft-dls,198,1019.0,44.85,SUCCESS,2.0
heft-dls,199,1207.0,44.12,SUCCESS,3.0
heft-dls-dyn,100,1122.0,43.67,SUCCESS,2.0
heft-dls-dyn,101,1157.0,45.25,SUCCESS,2.0
heft-dls-dyn,102,1244.0,45.22,SUCCESS,1.0
heft-dls-dyn,103,1383.0,44.72,SUCCESS,1.0
heft-dls-dyn,104,1244.0,46.78,SUCCESS,1.0
heft-dls-dyn,105,1332.0,43.32,SUCCESS,1.0
heft-dls-dyn,106,1212.0,43.85,SUCCESS,1.0
heft-dls-dyn,107,1498.0,45.69,SUCCESS,1.0
