scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,837,26.73,SUCCESS,5.0
simple,101,940,26.84,SUCCESS,1.0
simple,102,939,27.56,SUCCESS,5.0
simple,103,980,24.67,SUCCESS,1.0
simple,104,915,26.56,SUCCESS,3.0
simple,105,889,25.08,SUCCESS,4.0
simple,106,1000,27.32,SUCCESS,5.0
simple,107,1013,25.74,SUCCESS,4.0
simple,108,1008,24.9,SUCCESS,5.0
simple,109,835,27.4,SUCCESS,2.0
simple,110,789,22.72,SUCCESS,1.0
simple,111,921,27.17,SUCCESS,1.0
simple,112,897,28.23,SUCCESS,4.0
simple,113,1052,25.33,SUCCESS,4.0
simple,114,982,28.34,SUCCESS,4.0
simple,115,743,30.38,SUCCESS,5.0
simple,116,823,26.55,SUCCESS,4.0
simple,117,911,28.16,SUCCESS,2.0
simple,118,911,28.35,SUCCESS,4.0
simple,119,916,26.61,SUCCESS,4.0
simple,120,920,27.26,SUCCESS,5.0
simple,121,833,25.3,SUCCESS,1.0
simple,122,1023,28.25,SUCCESS,5.0
simple,123,934,26.26,SUCCESS,4.0
simple,124,834,30.52,SUCCESS,5.0
simple,125,920,27.26,SUCCESS,5.0
simple,126,987,26.44,SUCCESS,4.0
simple,127,784,25.22,SUCCESS,2.0
simple,128,1093,27.81,SUCCESS,4.0
simple,129,828,25.69,SUCCESS,2.0
simple,130,851,25.03,SUCCESS,4.0
simple,131,845,23.49,SUCCESS,1.0
simple,132,888,28.12,SUCCESS,2.0
simple,133,955,28.48,SUCCESS,4.0
simple,134,898,26.7,SUCCESS,4.0
simple,135,895,27.51,SUCCESS,5.0
simple,136,892,25.98,SUCCESS,3.0
simple,137,883,25.99,SUCCESS,4.0
simple,138,918,26.09,SUCCESS,4.0
simple,139,862,25.29,SUCCESS,2.0
simple,140,912,30.43,SUCCESS,5.0
simple,141,837,26.31,SUCCESS,2.0
simple,142,1044,25.62,SUCCESS,1.0
simple,143,830,25.75,SUCCESS,2.0
simple,144,943,29.37,SUCCESS,5.0
simple,145,919,25.54,SUCCESS,4.0
simple,146,973,27.08,SUCCESS,4.0
simple,147,850,24.79,SUCCESS,2.0
simple,148,886,26.19,SUCCESS,4.0
simple,149,963,27.8,SUCCESS,4.0
simple,150,987,28.57,SUCCESS,4.0
simple,151,937,27.08,SUCCESS,4.0
simple,152,887,25.25,SUCCESS,4.0
simple,153,916,26.42,SUCCESS,3.0
simple,154,913,24.73,SUCCESS,2.0
simple,155,1051,25.88,SUCCESS,5.0
simple,156,954,25.84,SUCCESS,2.0
simple,157,893,23.88,SUCCESS,1.0
simple,158,820,24.27,SUCCESS,2.0
simple,159,924,27.71,SUCCESS,4.0
simple,160,954,27.57,SUCCESS,4.0
simple,161,945,28.31,SUCCESS,5.0
simple,162,940,27.1,SUCCESS,2.0
simple,163,997,28.21,SUCCESS,4.0
simple,164,917,28.49,SUCCESS,4.0
simple,165,946,25.29,SUCCESS,2.0
simple,166,1021,25.61,SUCCESS,5.0
simple,167,779,25.96,SUCCESS,2.0
simple,168,894,26.65,SUCCESS,2.0
simple,169,1007,25.82,SUCCESS,5.0
simple,170,988,27.38,SUCCESS,1.0
simple,171,864,26.88,SUCCESS,2.0
simple,172,959,27.24,SUCCESS,5.0
simple,173,970,28.76,SUCCESS,5.0
simple,174,892,27.66,SUCCESS,4.0
simple,175,1057,28.07,SUCCESS,5.0
simple,176,939,26.49,SUCCESS,4.0
simple,177,976,26.05,SUCCESS,2.0
simple,178,900,26.03,SUCCESS,4.0
simple,179,826,27.97,SUCCESS,5.0
simple,180,851,29.35,SUCCESS,4.0
simple,181,971,24.1,SUCCESS,3.0
simple,182,887,25.82,SUCCESS,4.0
simple,183,815,29.6,SUCCESS,2.0
simple,184,931,28.01,SUCCESS,5.0
simple,185,997,26.73,SUCCESS,3.0
simple,186,889,27.0,SUCCESS,4.0
simple,187,1106,28.03,SUCCESS,4.0
simple,188,860,24.77,SUCCESS,2.0
simple,189,793,29.07,SUCCESS,2.0
simple,190,975,25.62,SUCCESS,4.0
