scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,579,28.84,SUCCESS,4.0
simple,101,608,26.89,SUCCESS,2.0
simple,102,599,26.21,SUCCESS,1.0
simple,103,733,29.09,SUCCESS,4.0
simple,104,605,25.21,SUCCESS,1.0
simple,105,689,26.23,SUCCESS,2.0
simple,106,597,24.5,SUCCESS,1.0
simple,107,768,25.78,SUCCESS,1.0
simple,108,663,29.41,SUCCESS,5.0
simple,109,564,27.48,SUCCESS,1.0
simple,110,529,31.52,SUCCESS,1.0
simple,111,568,27.68,SUCCESS,4.0
simple,112,608,28.58,SUCCESS,4.0
simple,113,722,27.53,SUCCESS,4.0
simple,114,683,26.28,SUCCESS,1.0
simple,115,546,28.21,SUCCESS,4.0
simple,116,579,26.51,SUCCESS,1.0
simple,117,702,25.85,SUCCESS,2.0
simple,118,641,27.5,SUCCESS,3.0
simple,119,631,29.87,SUCCESS,4.0
simple,120,648,27.43,SUCCESS,3.0
simple,121,638,26.92,SUCCESS,5.0
simple,122,716,29.05,SUCCESS,5.0
simple,123,626,26.76,SUCCESS,5.0
simple,124,531,25.38,SUCCESS,2.0
simple,125,660,30.19,SUCCESS,5.0
simple,126,744,31.15,SUCCESS,5.0
simple,127,496,28.68,SUCCESS,1.0
simple,128,769,29.32,SUCCESS,5.0
simple,129,506,27.17,SUCCESS,4.0
simple,130,644,27.37,SUCCESS,2.0
simple,131,566,23.01,SUCCESS,2.0
simple,132,605,27.64,SUCCESS,4.0
simple,133,722,28.46,SUCCESS,4.0
simple,134,622,27.13,SUCCESS,2.0
simple,135,654,28.56,SUCCESS,5.0
simple,136,611,25.33,SUCCESS,2.0
simple,137,607,28.34,SUCCESS,4.0
simple,138,664,29.67,SUCCESS,5.0
simple,139,599,26.34,SUCCESS,5.0
simple,140,657,32.84,SUCCESS,5.0
simple,141,542,25.78,SUCCESS,1.0
simple,142,721,28.43,SUCCESS,4.0
simple,143,512,25.68,SUCCESS,2.0
simple,144,639,28.44,SUCCESS,4.0
simple,145,678,26.59,SUCCESS,2.0
simple,146,737,29.85,SUCCESS,5.0
simple,147,592,26.39,SUCCESS,2.0
simple,148,605,28.39,SUCCESS,1.0
simple,149,654,26.76,SUCCESS,1.0
simple,150,693,25.0,SUCCESS,2.0
simple,151,613,25.0,SUCCESS,1.0
simple,152,629,27.62,SUCCESS,5.0
simple,153,672,30.69,SUCCESS,4.0
simple,154,662,26.06,SUCCESS,2.0
simple,155,710,28.56,SUCCESS,5.0
simple,156,650,27.73,SUCCESS,3.0
simple,157,708,27.72,SUCCESS,5.0
simple,158,574,28.88,SUCCESS,3.0
simple,159,638,28.25,SUCCESS,4.0
simple,160,630,24.88,SUCCESS,4.0
simple,161,543,25.18,SUCCESS,1.0
simple,162,652,28.6,SUCCESS,2.0
simple,163,659,25.68,SUCCESS,5.0
simple,164,742,30.53,SUCCESS,5.0
simple,165,678,29.24,SUCCESS,5.0
simple,166,696,26.69,SUCCESS,4.0
simple,167,507,25.49,SUCCESS,1.0
simple,168,647,27.28,SUCCESS,4.0
simple,169,733,30.56,SUCCESS,5.0
simple,170,670,29.03,SUCCESS,5.0
simple,171,601,28.29,SUCCESS,4.0
simple,172,694,26.33,SUCCESS,2.0
simple,173,643,27.37,SUCCESS,5.0
simple,174,544,24.95,SUCCESS,1.0
simple,175,721,27.91,SUCCESS,4.0
simple,176,659,29.48,SUCCESS,5.0
simple,177,696,29.56,SUCCESS,4.0
simple,178,607,27.27,SUCCESS,4.0
simple,179,532,31.58,SUCCESS,3.0
simple,180,633,28.28,SUCCESS,3.0
simple,181,635,26.81,SUCCESS,3.0
simple,182,560,24.38,SUCCESS,3.0
simple,183,548,28.47,SUCCESS,5.0
simple,184,637,25.08,SUCCESS,4.0
simple,185,684,25.84,SUCCESS,4.0
simple,186,629,26.27,SUCCESS,5.0
simple,187,806,33.34,SUCCESS,5.0
simple,188,653,27.45,SUCCESS,4.0
simple,189,559,28.0,SUCCESS,2.0
simple,190,671,26.53,SUCCESS,2.0
simple,191,677,27.95,SUCCESS,4.0
simple,192,569,27.77,SUCCESS,5.0
simple,193,702,25.39,SUCCESS,2.0
simple,194,724,24.93,SUCCESS,4.0
simple,195,600,25.33,SUCCESS,1.0
simple,196,516,29.31,SUCCESS,1.0
simple,197,570,28.03,SUCCESS,2.0
simple,198,525,28.52,SUCCESS,5.0
simple,199,608,26.48,SUCCESS,4.0
heft,100,577,27.08,SUCCESS,1.0
heft,101,583,27.32,SUCCESS,1.0
heft,102,616,25.41,SUCCESS,2.0
heft,103,725,27.9,SUCCESS,1.0
heft,104,619,31.06,SUCCESS,2.0
heft,105,671,29.77,SUCCESS,1.0
heft,106,601,27.37,SUCCESS,2.0
heft,107,794,29.5,SUCCESS,3.0
heft,108,619,27.1,SUCCESS,3.0
heft,109,585,28.33,SUCCESS,4.0
heft,110,533,31.71,SUCCESS,2.0
heft,111,559,29.83,SUCCESS,1.0
heft,112,606,30.2,SUCCESS,3.0
heft,113,699,28.0,SUCCESS,1.0
heft,114,694,28.42,SUCCESS,2.0
heft,115,531,28.48,SUCCESS,1.0
heft,116,605,27.23,SUCCESS,5.0
heft,117,691,26.95,SUCCESS,1.0
heft,118,624,28.25,SUCCESS,1.0
heft,119,612,27.98,SUCCESS,1.0
heft,120,625,28.24,SUCCESS,1.0
heft,121,597,27.39,SUCCESS,1.0
heft,122,700,27.0,SUCCESS,4.0
heft,123,622,27.37,SUCCESS,4.0
heft,124,523,27.29,SUCCESS,1.0
heft,125,616,25.97,SUCCESS,1.0
heft,126,697,29.91,SUCCESS,1.0
heft,127,509,27.85,SUCCESS,2.0
heft,128,693,25.83,SUCCESS,1.0
heft,129,485,27.84,SUCCESS,1.0
heft,130,628,30.45,SUCCESS,1.0
heft,131,553,26.31,SUCCESS,1.0
heft,132,575,27.78,SUCCESS,1.0
heft,133,715,28.39,SUCCESS,3.0
heft,134,615,26.83,SUCCESS,1.0
heft,135,618,27.83,SUCCESS,3.0
heft,136,575,25.7,SUCCESS,1.0
heft,137,590,27.5,SUCCESS,1.0
heft,138,626,29.47,SUCCESS,1.0
heft,139,560,26.56,SUCCESS,1.0
heft,140,601,28.08,SUCCESS,1.0
heft,141,548,26.69,SUCCESS,2.0
heft,142,693,26.73,SUCCESS,3.0
heft,143,489,27.97,SUCCESS,1.0
heft,144,605,26.45,SUCCESS,1.0
heft,145,654,27.48,SUCCESS,1.0
heft,146,700,30.86,SUCCESS,1.0
heft,147,579,27.33,SUCCESS,1.0
heft,148,623,29.7,SUCCESS,5.0
heft,149,676,28.25,SUCCESS,4.0
heft,150,686,26.31,SUCCESS,1.0
heft,151,650,30.92,SUCCESS,5.0
heft,152,620,29.23,SUCCESS,4.0
heft,153,666,26.28,SUCCESS,3.0
heft,154,654,26.15,SUCCESS,1.0
heft,155,694,26.4,SUCCESS,2.0
heft,156,651,31.61,SUCCESS,4.0
heft,157,667,26.05,SUCCESS,3.0
heft,158,575,29.22,SUCCESS,4.0
heft,159,618,26.9,SUCCESS,1.0
heft,160,629,25.08,SUCCESS,3.0
heft,161,563,26.47,SUCCESS,2.0
heft,162,648,27.78,SUCCESS,1.0
heft,163,620,27.14,SUCCESS,1.0
heft,164,684,28.95,SUCCESS,1.0
heft,165,647,29.25,SUCCESS,3.0
heft,166,694,27.99,SUCCESS,3.0
heft,167,529,26.61,SUCCESS,5.0
heft,168,615,27.2,SUCCESS,1.0
heft,169,673,26.75,SUCCESS,1.0
heft,170,648,28.47,SUCCESS,1.0
heft,171,580,27.5,SUCCESS,1.0
heft,172,663,26.96,SUCCESS,1.0
heft,173,618,26.09,SUCCESS,1.0
heft,174,587,30.28,SUCCESS,5.0
heft,175,711,29.5,SUCCESS,3.0
heft,176,621,26.05,SUCCESS,1.0
heft,177,666,28.0,SUCCESS,1.0
heft,178,597,26.84,SUCCESS,1.0
heft,179,511,27.79,SUCCESS,2.0
heft,180,643,28.19,SUCCESS,5.0
heft,181,658,30.43,SUCCESS,5.0
heft,182,532,26.41,SUCCESS,1.0
heft,183,530,28.58,SUCCESS,3.0
heft,184,606,26.36,SUCCESS,1.0
heft,185,679,27.39,SUCCESS,3.0
heft,186,598,25.92,SUCCESS,1.0
heft,187,769,31.44,SUCCESS,3.0
heft,188,655,30.95,SUCCESS,5.0
heft,189,547,25.59,SUCCESS,1.0
heft,190,670,25.0,SUCCESS,1.0
heft,191,658,28.08,SUCCESS,1.0
heft,192,534,27.06,SUCCESS,1.0
heft,193,687,28.82,SUCCESS,1.0
heft,194,703,26.46,SUCCESS,1.0
heft,195,606,28.09,SUCCESS,4.0
heft,196,529,29.06,SUCCESS,2.0
heft,197,554,29.02,SUCCESS,1.0
heft,198,516,28.2,SUCCESS,3.0
heft,199,593,28.71,SUCCESS,1.0
dls,100,592,28.84,SUCCESS,5.0
dls,101,636,28.54,SUCCESS,5.0
dls,102,650,29.46,SUCCESS,5.0
dls,103,764,30.73,SUCCESS,5.0
dls,104,629,29.73,SUCCESS,5.0
dls,105,715,29.06,SUCCESS,5.0
dls,106,648,28.01,SUCCESS,5.0
dls,107,786,26.15,SUCCESS,2.0
dls,108,621,30.39,SUCCESS,4.0
dls,109,606,29.37,SUCCESS,5.0
dls,110,555,32.57,SUCCESS,3.0
dls,111,579,30.57,SUCCESS,5.0
dls,112,630,29.76,SUCCESS,5.0
dls,113,742,27.32,SUCCESS,5.0
dls,114,715,27.34,SUCCESS,3.0
dls,115,551,30.85,SUCCESS,5.0
