scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,3001.0,32.01,SUCCESS,1.0
simple,101,,,SIM_ERRORSimulation still running after step limit,
simple,102,3937.0,28.85,SUCCESS,1.0
simple,103,3198.0,32.97,SUCCESS,4.0
simple,104,3478.0,31.12,SUCCESS,1.0
simple,105,3294.0,32.48,SUCCESS,2.0
simple,106,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking shelf2. Simulation cannot proceed.,
simple,107,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf4. Simulation cannot proceed.,
simple,108,,,BLOCKED_BY_FAULTrobot3 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,109,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,110,3278.0,30.6,SUCCESS,4.0
simple,111,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,112,,,SIM_ERRORSimulation still running after step limit,
simple,113,,,SIM_ERRORSimulation still running after step limit,
simple,114,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,115,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,116,3038.0,32.36,SUCCESS,1.0
simple,117,4102.0,27.72,SUCCESS,4.0
simple,118,7639.0,29.14,SUCCESS,3.0
simple,119,5409.0,27.79,SUCCESS,3.0
simple,120,3043.0,32.28,SUCCESS,1.0
simple,121,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf4. Simulation cannot proceed.,
simple,122,3962.0,26.56,SUCCESS,2.0
simple,123,3335.0,31.84,SUCCESS,1.0
simple,124,5562.0,22.42,SUCCESS,3.0
simple,125,3649.0,28.7,SUCCESS,2.0
simple,126,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
simple,127,,,SIM_ERRORSimulation still running after step limit,
simple,128,3520.0,30.53,SUCCESS,1.0
simple,129,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,130,4661.0,25.32,SUCCESS,3.0
simple,131,3291.0,30.48,SUCCESS,1.0
simple,132,3270.0,32.67,SUCCESS,2.0
simple,133,4322.0,27.74,SUCCESS,4.0
simple,134,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
simple,135,3391.0,29.58,SUCCESS,2.0
simple,136,,,BLOCKED_BY_FAULTrobot3 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,137,,,SIM_ERRORSimulation still running after step limit,
simple,138,4044.0,27.63,SUCCESS,2.0
simple,139,,,SIM_ERRORSimulation still running after step limit,
simple,140,3330.0,31.88,SUCCESS,1.0
simple,141,,,SIM_ERRORSimulation still running after step limit,
simple,142,3609.0,31.86,SUCCESS,1.0
simple,143,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking shelf2. Simulation cannot proceed.,
simple,144,6900.0,20.69,SUCCESS,4.0
simple,145,3239.0,32.28,SUCCESS,1.0
simple,146,,,SIM_ERRORSimulation still running after step limit,
simple,147,5684.0,25.61,SUCCESS,4.0
simple,148,3070.0,33.22,SUCCESS,3.0
simple,149,3821.0,28.59,SUCCESS,2.0
simple,150,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,151,4200.0,26.52,SUCCESS,2.0
simple,152,5356.0,24.23,SUCCESS,5.0
simple,153,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,154,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,155,3277.0,32.51,SUCCESS,3.0
simple,156,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,157,4236.0,28.52,SUCCESS,2.0
simple,158,3195.0,31.77,SUCCESS,1.0
simple,159,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,160,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,161,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf2. Simulation cannot proceed.,
simple,162,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,163,5448.0,25.31,SUCCESS,3.0
simple,164,3669.0,28.07,SUCCESS,2.0
simple,165,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf2. Simulation cannot proceed.,
simple,166,,,SIM_ERRORSimulation still running after step limit,
simple,167,3485.0,29.86,SUCCESS,3.0
simple,168,3496.0,30.89,SUCCESS,2.0
simple,169,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,170,5145.0,23.36,SUCCESS,3.0
simple,171,5082.0,23.11,SUCCESS,4.0
simple,172,,,SIM_ERRORSimulation still running after step limit,
simple,173,3546.0,27.74,SUCCESS,3.0
simple,174,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,175,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,176,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,177,4214.0,25.34,SUCCESS,4.0
simple,178,4312.0,24.98,SUCCESS,2.0
simple,179,3810.0,26.84,SUCCESS,4.0
simple,180,3079.0,32.13,SUCCESS,1.0
simple,181,3677.0,29.53,SUCCESS,2.0
simple,182,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,183,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,184,4351.0,25.44,SUCCESS,3.0
simple,185,3743.0,28.4,SUCCESS,1.0
simple,186,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,187,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf0. Simulation cannot proceed.,
simple,188,,,SIM_ERRORSimulation still running after step limit,
simple,189,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,190,3571.0,31.85,SUCCESS,2.0
simple,191,5700.0,22.64,SUCCESS,4.0
simple,192,3171.0,32.99,SUCCESS,1.0
simple,193,3494.0,32.88,SUCCESS,2.0
simple,194,,,SIM_ERRORSimulation still running after step limit,
simple,195,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,196,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,197,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,198,3059.0,32.75,SUCCESS,2.0
simple,199,3258.0,30.81,SUCCESS,1.0
heft,100,3044.0,33.27,SUCCESS,2.0
heft,101,3622.0,27.77,SUCCESS,2.0
heft,102,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal0. Simulation cannot proceed.,
heft,103,4060.0,26.24,SUCCESS,5.0
heft,104,3864.0,26.7,SUCCESS,2.0
heft,105,3710.0,28.65,SUCCESS,3.0
heft,106,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal0. Simulation cannot proceed.,
heft,107,4262.0,24.22,SUCCESS,3.0
heft,108,3611.0,30.86,SUCCESS,1.0
heft,109,,,SIM_ERRORSimulation still running after step limit,
heft,110,3092.0,31.96,SUCCESS,1.0
heft,111,,,SIM_ERRORSimulation still running after step limit,
heft,112,,,SIM_ERRORSimulation still running after step limit,
heft,113,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
heft,114,5114.0,24.04,SUCCESS,3.0
heft,115,6237.0,21.47,SUCCESS,3.0
heft,116,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.,
heft,117,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
heft,118,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking shelf4. Simulation cannot proceed.,
heft,119,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal1. Simulation cannot proceed.,
heft,120,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal0. Simulation cannot proceed.,
heft,121,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.,
heft,122,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal0. Simulation cannot proceed.,
heft,123,5273.0,22.71,SUCCESS,4.0
heft,124,4081.0,25.36,SUCCESS,2.0
heft,125,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.,
heft,126,,,SIM_ERRORSimulation still running after step limit,
heft,127,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.,
heft,128,,,SIM_ERRORSimulation still running after step limit,
heft,129,3839.0,26.02,SUCCESS,3.0
heft,130,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal1. Simulation cannot proceed.,
heft,131,,,SIM_ERRORSimulation still running after step limit,
heft,132,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal0. Simulation cannot proceed.,
heft,133,4014.0,28.29,SUCCESS,3.0
heft,134,3364.0,31.13,SUCCESS,1.0
heft,135,3166.0,30.22,SUCCESS,1.0
heft,136,3191.0,34.34,SUCCESS,2.0
heft,137,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf2. Simulation cannot proceed.,
heft,138,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal1. Simulation cannot proceed.,
heft,139,,,SIM_ERRORSimulation still running after step limit,
heft,140,3792.0,29.91,SUCCESS,2.0
heft,141,4213.0,27.43,SUCCESS,2.0
heft,142,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf2. Simulation cannot proceed.,
heft,143,3851.0,27.9,SUCCESS,4.0
heft,144,4965.0,23.95,SUCCESS,2.0
heft,145,5236.0,26.89,SUCCESS,2.0
heft,146,4218.0,25.35,SUCCESS,2.0
heft,147,3195.0,31.89,SUCCESS,1.0
heft,148,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
heft,149,4550.0,25.43,SUCCESS,4.0
heft,150,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal1. Simulation cannot proceed.,
heft,151,,,SIM_ERRORSimulation still running after step limit,
heft,152,4948.0,22.87,SUCCESS,4.0
heft,153,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal1. Simulation cannot proceed.,
heft,154,,,SIM_ERRORSimulation still running after step limit,
heft,155,,,SIM_ERRORSimulation still running after step limit,
heft,156,3440.0,33.27,SUCCESS,2.0
heft,157,4312.0,25.64,SUCCESS,3.0
heft,158,3758.0,26.34,SUCCESS,2.0
heft,159,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
heft,160,,,SIM_ERRORSimulation still running after step limit,
heft,161,3551.0,29.38,SUCCESS,1.0
heft,162,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
