scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,3407.0,51.15,SUCCESS,4.0
simple,101,3578.0,51.29,SUCCESS,4.0
simple,102,3687.0,51.98,SUCCESS,4.0
simple,103,3738.0,52.39,SUCCESS,5.0
simple,104,3650.0,52.15,SUCCESS,4.0
simple,105,3733.0,52.85,SUCCESS,5.0
simple,106,3425.0,52.62,SUCCESS,4.0
simple,107,3642.0,52.21,SUCCESS,4.0
simple,108,3674.0,53.15,SUCCESS,4.0
simple,109,3509.0,51.62,SUCCESS,4.0
simple,110,3725.0,54.05,SUCCESS,5.0
simple,111,3596.0,51.05,SUCCESS,4.0
simple,112,3463.0,52.52,SUCCESS,5.0
simple,113,3570.0,48.61,SUCCESS,4.0
simple,114,3730.0,52.86,SUCCESS,5.0
simple,115,3538.0,52.28,SUCCESS,4.0
simple,116,3528.0,52.94,SUCCESS,4.0
simple,117,3709.0,51.43,SUCCESS,4.0
simple,118,3698.0,49.81,SUCCESS,4.0
simple,119,3687.0,53.07,SUCCESS,4.0
simple,120,3466.0,53.52,SUCCESS,4.0
simple,121,3530.0,51.61,SUCCESS,4.0
simple,122,3649.0,52.4,SUCCESS,4.0
simple,123,3708.0,52.31,SUCCESS,4.0
simple,124,,,SIM_ERRORSimulation still running after step limit,
simple,125,3617.0,53.02,SUCCESS,5.0
simple,126,3655.0,51.74,SUCCESS,4.0
simple,127,3551.0,53.07,SUCCESS,5.0
simple,128,3672.0,51.08,SUCCESS,4.0
simple,129,3580.0,51.64,SUCCESS,4.0
simple,130,3471.0,50.97,SUCCESS,4.0
simple,131,3660.0,50.32,SUCCESS,4.0
simple,132,,,SIM_ERRORSimulation still running after step limit,
simple,133,3778.0,51.84,SUCCESS,4.0
simple,134,3527.0,53.45,SUCCESS,4.0
simple,135,3463.0,51.35,SUCCESS,4.0
simple,136,3589.0,52.74,SUCCESS,4.0
simple,137,3761.0,52.9,SUCCESS,3.0
simple,138,3520.0,52.92,SUCCESS,4.0
simple,139,3519.0,51.2,SUCCESS,4.0
simple,140,3718.0,51.98,SUCCESS,4.0
simple,141,3651.0,52.05,SUCCESS,4.0
simple,142,,,SIM_ERRORSimulation still running after step limit,
simple,143,3585.0,51.99,SUCCESS,5.0
simple,144,3730.0,51.88,SUCCESS,5.0
simple,145,3653.0,51.74,SUCCESS,4.0
simple,146,3712.0,53.86,SUCCESS,4.0
simple,147,3639.0,52.87,SUCCESS,4.0
simple,148,3488.0,53.61,SUCCESS,4.0
simple,149,3769.0,51.25,SUCCESS,4.0
simple,150,3611.0,53.34,SUCCESS,5.0
simple,151,3620.0,51.8,SUCCESS,4.0
simple,152,3641.0,53.49,SUCCESS,5.0
simple,153,3556.0,52.36,SUCCESS,4.0
simple,154,3713.0,51.63,SUCCESS,5.0
simple,155,3825.0,53.35,SUCCESS,5.0
simple,156,3634.0,50.48,SUCCESS,4.0
simple,157,3869.0,50.71,SUCCESS,4.0
simple,158,3689.0,52.5,SUCCESS,5.0
simple,159,3555.0,53.53,SUCCESS,3.0
simple,160,3661.0,52.28,SUCCESS,5.0
simple,161,3579.0,52.86,SUCCESS,5.0
simple,162,3680.0,51.59,SUCCESS,4.0
simple,163,3597.0,50.86,SUCCESS,2.0
simple,164,3514.0,53.03,SUCCESS,4.0
simple,165,3582.0,53.43,SUCCESS,4.0
simple,166,3673.0,54.26,SUCCESS,5.0
simple,167,3593.0,52.2,SUCCESS,5.0
simple,168,3602.0,51.22,SUCCESS,4.0
simple,169,3406.0,51.69,SUCCESS,4.0
simple,170,3526.0,51.22,SUCCESS,4.0
simple,171,3789.0,53.65,SUCCESS,5.0
simple,172,3730.0,49.41,SUCCESS,4.0
simple,173,3586.0,54.73,SUCCESS,4.0
simple,174,,,SIM_ERRORSimulation still running after step limit,
simple,175,3711.0,52.22,SUCCESS,4.0
simple,176,3552.0,50.36,SUCCESS,4.0
simple,177,3667.0,53.31,SUCCESS,4.0
simple,178,3602.0,51.48,SUCCESS,4.0
simple,179,3626.0,54.21,SUCCESS,4.0
simple,180,3598.0,54.79,SUCCESS,3.0
simple,181,3499.0,50.46,SUCCESS,4.0
simple,182,3761.0,52.42,SUCCESS,4.0
simple,183,3478.0,53.13,SUCCESS,4.0
simple,184,3499.0,52.18,SUCCESS,4.0
simple,185,3754.0,51.56,SUCCESS,3.0
simple,186,3484.0,51.67,SUCCESS,4.0
simple,187,3700.0,51.95,SUCCESS,4.0
simple,188,3617.0,52.72,SUCCESS,5.0
simple,189,3489.0,54.87,SUCCESS,4.0
simple,190,3789.0,53.72,SUCCESS,5.0
simple,191,3496.0,52.86,SUCCESS,4.0
simple,192,3558.0,53.35,SUCCESS,4.0
simple,193,3768.0,51.42,SUCCESS,4.0
simple,194,3787.0,51.74,SUCCESS,4.0
simple,195,3738.0,51.77,SUCCESS,4.0
simple,196,3410.0,54.98,SUCCESS,5.0
simple,197,3329.0,51.61,SUCCESS,4.0
simple,198,3514.0,53.04,SUCCESS,4.0
simple,199,3582.0,52.7,SUCCESS,5.0
heft,100,3431.0,50.45,SUCCESS,5.0
heft,101,3580.0,51.54,SUCCESS,5.0
heft,102,3823.0,52.93,SUCCESS,5.0
heft,103,3737.0,51.79,SUCCESS,4.0
heft,104,3698.0,52.19,SUCCESS,5.0
heft,105,3647.0,52.12,SUCCESS,4.0
heft,106,3485.0,53.12,SUCCESS,5.0
heft,107,3697.0,52.64,SUCCESS,5.0
heft,108,3730.0,52.95,SUCCESS,5.0
heft,109,3522.0,51.18,SUCCESS,5.0
heft,110,3644.0,53.93,SUCCESS,4.0
heft,111,3674.0,51.46,SUCCESS,5.0
heft,112,3458.0,52.67,SUCCESS,4.0
heft,113,3598.0,48.02,SUCCESS,5.0
heft,114,3644.0,52.27,SUCCESS,4.0
heft,115,3652.0,52.82,SUCCESS,5.0
heft,116,3543.0,52.32,SUCCESS,5.0
heft,117,3730.0,51.26,SUCCESS,5.0
heft,118,3780.0,50.25,SUCCESS,5.0
heft,119,3739.0,53.57,SUCCESS,5.0
heft,120,3474.0,52.37,SUCCESS,5.0
heft,121,3602.0,52.02,SUCCESS,5.0
heft,122,,,SIM_ERRORSimulation still running after step limit,
heft,123,3752.0,52.52,SUCCESS,5.0
heft,124,3778.0,54.57,SUCCESS,4.0
heft,125,3604.0,52.89,SUCCESS,4.0
heft,126,3676.0,52.31,SUCCESS,5.0
heft,127,3457.0,51.52,SUCCESS,4.0
heft,128,3788.0,52.03,SUCCESS,5.0
heft,129,3629.0,51.27,SUCCESS,5.0
heft,130,3580.0,52.27,SUCCESS,5.0
heft,131,3692.0,50.56,SUCCESS,5.0
heft,132,3500.0,51.9,SUCCESS,4.0
heft,133,3800.0,51.66,SUCCESS,5.0
heft,134,3573.0,53.01,SUCCESS,5.0
heft,135,3499.0,51.94,SUCCESS,5.0
heft,136,3688.0,53.83,SUCCESS,5.0
heft,137,3750.0,53.21,SUCCESS,2.0
heft,138,3601.0,53.78,SUCCESS,5.0
heft,139,3528.0,51.59,SUCCESS,5.0
heft,140,3756.0,51.96,SUCCESS,5.0
heft,141,3714.0,53.18,SUCCESS,5.0
heft,142,3844.0,50.74,SUCCESS,4.0
heft,143,3533.0,51.41,SUCCESS,4.0
heft,144,3681.0,51.21,SUCCESS,4.0
heft,145,3757.0,52.6,SUCCESS,5.0
heft,146,3770.0,53.88,SUCCESS,5.0
heft,147,3658.0,53.01,SUCCESS,5.0
heft,148,3513.0,53.41,SUCCESS,5.0
heft,149,3845.0,51.99,SUCCESS,5.0
heft,150,3550.0,52.31,SUCCESS,4.0
heft,151,3710.0,52.41,SUCCESS,5.0
heft,152,3616.0,53.76,SUCCESS,4.0
heft,153,3597.0,52.63,SUCCESS,5.0
heft,154,3653.0,51.0,SUCCESS,4.0
heft,155,3823.0,54.22,SUCCESS,4.0
heft,156,3709.0,51.6,SUCCESS,5.0
heft,157,3914.0,50.87,SUCCESS,5.0
heft,158,3688.0,53.28,SUCCESS,4.0
heft,159,,,SIM_ERRORSimulation still running after step limit,
heft,160,3639.0,51.8,SUCCESS,4.0
heft,161,3560.0,52.9,SUCCESS,4.0
heft,162,3704.0,51.95,SUCCESS,5.0
heft,163,3636.0,51.85,SUCCESS,3.0
heft,164,3618.0,54.27,SUCCESS,5.0
heft,165,3618.0,53.86,SUCCESS,5.0
heft,166,3638.0,54.19,SUCCESS,4.0
heft,167,3584.0,52.75,SUCCESS,4.0
heft,168,3638.0,52.15,SUCCESS,5.0
heft,169,3491.0,52.16,SUCCESS,5.0
heft,170,3586.0,51.56,SUCCESS,5.0
heft,171,3736.0,52.59,SUCCESS,4.0
heft,172,3749.0,49.44,SUCCESS,5.0
heft,173,3587.0,54.96,SUCCESS,5.0
heft,174,3614.0,49.76,SUCCESS,4.0
heft,175,3790.0,52.99,SUCCESS,5.0
heft,176,3678.0,51.15,SUCCESS,5.0
heft,177,3673.0,53.34,SUCCESS,5.0
heft,178,3658.0,51.95,SUCCESS,5.0
heft,179,3644.0,53.76,SUCCESS,5.0
heft,180,3640.0,54.91,SUCCESS,4.0
heft,181,3563.0,50.87,SUCCESS,5.0
heft,182,3808.0,53.27,SUCCESS,5.0
heft,183,3501.0,53.04,SUCCESS,5.0
heft,184,3590.0,53.36,SUCCESS,5.0
heft,185,3748.0,51.47,SUCCESS,2.0
heft,186,3596.0,52.61,SUCCESS,5.0
heft,187,3777.0,51.85,SUCCESS,5.0
heft,188,3586.0,52.77,SUCCESS,4.0
heft,189,3519.0,54.81,SUCCESS,5.0
heft,190,3767.0,54.06,SUCCESS,4.0
heft,191,3515.0,52.74,SUCCESS,5.0
heft,192,3740.0,54.21,SUCCESS,5.0
heft,193,3805.0,51.38,SUCCESS,5.0
heft,194,3889.0,52.69,SUCCESS,5.0
heft,195,3786.0,52.51,SUCCESS,5.0
heft,196,3398.0,55.14,SUCCESS,4.0
heft,197,3413.0,51.79,SUCCESS,5.0
heft,198,3568.0,52.82,SUCCESS,5.0
heft,199,3541.0,52.23,SUCCESS,4.0
dls,100,3300.0,50.32,SUCCESS,1.0
dls,101,3466.0,51.9,SUCCESS,3.0
dls,102,3522.0,51.99,SUCCESS,1.0
dls,103,3560.0,51.36,SUCCESS,1.0
dls,104,3457.0,50.56,SUCCESS,1.0
dls,105,3467.0,51.08,SUCCESS,3.0
dls,106,3264.0,52.39,SUCCESS,3.0
dls,107,3405.0,50.97,SUCCESS,1.0
dls,108,3402.0,53.18,SUCCESS,1.0
dls,109,3379.0,51.12,SUCCESS,3.0
dls,110,3439.0,53.05,SUCCESS,3.0
dls,111,3508.0,51.24,SUCCESS,1.0
dls,112,3225.0,51.43,SUCCESS,1.0
dls,113,3454.0,47.25,SUCCESS,3.0
dls,114,3456.0,51.34,SUCCESS,1.0
dls,115,3368.0,51.31,SUCCESS,1.0
dls,116,3269.0,50.98,SUCCESS,3.0
dls,117,3525.0,49.53,SUCCESS,1.0
dls,118,3515.0,48.99,SUCCESS,1.0
dls,119,3498.0,52.6,SUCCESS,1.0
dls,120,3316.0,51.44,SUCCESS,1.0
dls,121,3368.0,50.56,SUCCESS,1.0
dls,122,3466.0,51.6,SUCCESS,1.0
dls,123,3556.0,51.72,SUCCESS,1.0
dls,124,3478.0,52.99,SUCCESS,1.0
dls,125,3451.0,52.07,SUCCESS,3.0
dls,126,3435.0,50.55,SUCCESS,1.0
dls,127,3345.0,51.6,SUCCESS,3.0
dls,128,3514.0,50.71,SUCCESS,1.0
dls,129,3325.0,50.41,SUCCESS,3.0
dls,130,3311.0,50.23,SUCCESS,1.0
dls,131,3507.0,49.77,SUCCESS,1.0
dls,132,3330.0,50.29,SUCCESS,3.0
dls,133,3590.0,51.04,SUCCESS,3.0
dls,134,3389.0,52.43,SUCCESS,3.0
dls,135,3330.0,50.86,SUCCESS,3.0
dls,136,3465.0,52.72,SUCCESS,3.0
dls,137,3511.0,51.69,SUCCESS,1.0
dls,138,3330.0,52.08,SUCCESS,1.0
dls,139,3287.0,50.37,SUCCESS,1.0
dls,140,3583.0,50.16,SUCCESS,3.0
dls,141,3474.0,51.49,SUCCESS,1.0
dls,142,3565.0,49.48,SUCCESS,1.0
dls,143,3363.0,51.42,SUCCESS,3.0
dls,144,3472.0,50.85,SUCCESS,1.0
dls,145,3480.0,50.96,SUCCESS,3.0
dls,146,3521.0,53.39,SUCCESS,1.0
dls,147,3418.0,52.21,SUCCESS,1.0
dls,148,3279.0,52.14,SUCCESS,1.0
dls,149,3631.0,50.92,SUCCESS,3.0
dls,150,3343.0,52.05,SUCCESS,3.0
dls,151,3487.0,50.66,SUCCESS,3.0
dls,152,3374.0,52.46,SUCCESS,1.0
dls,153,3355.0,52.03,SUCCESS,1.0
dls,154,3548.0,51.37,SUCCESS,3.0
dls,155,3659.0,53.38,SUCCESS,3.0
dls,156,3469.0,50.13,SUCCESS,1.0
dls,157,3672.0,50.63,SUCCESS,3.0
