scheduler,seed,total_steps,avg_wait_pct,status
simple,100,1315,45.27,SUCCESS
simple,101,1378,42.63,SUCCESS
simple,102,1355,42.71,SUCCESS
simple,103,1393,40.4,SUCCESS
simple,104,1338,44.82,SUCCESS
simple,105,1375,40.11,SUCCESS
simple,106,1451,44.0,SUCCESS
simple,107,1434,40.53,SUCCESS
simple,108,1349,40.36,SUCCESS
simple,109,1295,42.93,SUCCESS
simple,110,1309,44.39,SUCCESS
simple,111,1360,43.6,SUCCESS
simple,112,1313,42.78,SUCCESS
simple,113,1432,38.25,SUCCESS
simple,114,1371,40.9,SUCCESS
simple,115,1132,43.64,SUCCESS
simple,116,1253,43.62,SUCCESS
simple,117,1428,41.12,SUCCESS
simple,118,1397,42.9,SUCCESS
simple,119,1353,44.05,SUCCESS
simple,120,1377,44.05,SUCCESS
simple,121,1371,41.32,SUCCESS
simple,122,1386,42.3,SUCCESS
simple,123,1423,45.71,SUCCESS
simple,124,1227,42.97,SUCCESS
simple,125,1331,42.41,SUCCESS
simple,126,1427,41.33,SUCCESS
simple,127,1144,43.09,SUCCESS
simple,128,1373,39.02,SUCCESS
simple,129,1217,43.49,SUCCESS
heft,100,1247,41.84,SUCCESS
heft,101,1324,41.84,SUCCESS
heft,102,1353,44.73,SUCCESS
heft,103,1397,41.07,SUCCESS
heft,104,1346,43.65,SUCCESS
heft,105,1491,44.7,SUCCESS
heft,106,1383,39.97,SUCCESS
heft,107,1384,37.86,SUCCESS
heft,108,1351,40.08,SUCCESS
heft,109,1353,44.4,SUCCESS
heft,110,1358,46.58,SUCCESS
heft,111,1321,41.77,SUCCESS
heft,112,1295,40.29,SUCCESS
heft,113,1446,38.16,SUCCESS
heft,114,1369,41.53,SUCCESS
heft,115,1160,45.6,SUCCESS
heft,116,1279,44.74,SUCCESS
heft,117,1347,39.63,SUCCESS
heft,118,1484,47.29,SUCCESS
heft,119,1359,43.97,SUCCESS
heft,120,1327,42.37,SUCCESS
heft,121,1380,41.18,SUCCESS
heft,122,1348,39.06,SUCCESS
heft,123,1335,42.17,SUCCESS
heft,124,1233,42.6,SUCCESS
heft,125,1369,45.25,SUCCESS
heft,126,1484,44.14,SUCCESS
heft,127,1151,41.03,SUCCESS
heft,128,1379,41.23,SUCCESS
heft,129,1186,40.94,SUCCESS
dls,100,1231,42.08,SUCCESS
dls,101,1313,38.99,SUCCESS
dls,102,1297,40.21,SUCCESS
dls,103,1358,38.55,SUCCESS
dls,104,1281,41.61,SUCCESS
dls,105,1427,41.38,SUCCESS
dls,106,1332,40.69,SUCCESS
dls,107,1377,39.51,SUCCESS
dls,108,1365,41.78,SUCCESS
dls,109,1321,43.53,SUCCESS
dls,110,1238,41.42,SUCCESS
dls,111,1322,40.26,SUCCESS
dls,112,1226,40.78,SUCCESS
dls,113,1409,36.8,SUCCESS
dls,114,1351,42.04,SUCCESS
dls,115,1162,45.4,SUCCESS
dls,116,1218,42.34,SUCCESS
dls,117,1381,39.86,SUCCESS
dls,118,1338,40.53,SUCCESS
dls,119,1319,43.08,SUCCESS
dls,120,1262,39.34,SUCCESS
dls,121,1334,39.86,SUCCESS
dls,122,1334,39.79,SUCCESS
dls,123,1315,42.76,SUCCESS
dls,124,1152,38.8,SUCCESS
dls,125,1348,41.8,SUCCESS
dls,126,1425,41.39,SUCCESS
dls,127,1134,42.66,SUCCESS
dls,128,1327,39.05,SUCCESS
dls,129,1141,38.56,SUCCESS
heft-dls,100,1221,42.04,SUCCESS
heft-dls,101,1325,39.38,SUCCESS
heft-dls,102,1321,43.0,SUCCESS
heft-dls,103,1400,40.89,SUCCESS
heft-dls,104,1267,39.86,SUCCESS
heft-dls,105,1350,38.09,SUCCESS
heft-dls,106,1358,42.25,SUCCESS
heft-dls,107,1395,37.31,SUCCESS
heft-dls,108,1364,40.56,SUCCESS
heft-dls,109,1311,42.16,SUCCESS
heft-dls,110,1301,42.81,SUCCESS
heft-dls,111,1287,38.83,SUCCESS
heft-dls,112,1238,40.17,SUCCESS
heft-dls,113,1304,33.91,SUCCESS
heft-dls,114,1362,42.2,SUCCESS
heft-dls,115,1099,44.61,SUCCESS
heft-dls,116,1173,40.15,SUCCESS
heft-dls,117,1371,39.28,SUCCESS
heft-dls,118,1297,37.88,SUCCESS
heft-dls,119,1311,40.64,SUCCESS
heft-dls,120,1253,39.8,SUCCESS
heft-dls,121,1290,38.97,SUCCESS
heft-dls,122,1313,39.3,SUCCESS
heft-dls,123,1315,40.46,SUCCESS
heft-dls,124,1173,40.17,SUCCESS
heft-dls,125,1313,40.67,SUCCESS
heft-dls,126,1373,40.33,SUCCESS
heft-dls,127,1141,41.76,SUCCESS
heft-dls,128,1373,39.95,SUCCESS
heft-dls,129,1153,40.09,SUCCESS
