scheduler,seed,total_steps,avg_wait_pct,status
simple,100,812,28.36,SUCCESS
simple,101,767,30.64,SUCCESS
simple,102,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.
simple,103,956,30.26,SUCCESS
simple,104,855,30.67,SUCCESS
simple,105,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.
simple,106,829,30.34,SUCCESS
simple,107,992,28.53,SUCCESS
simple,108,812,30.26,SUCCESS
simple,109,782,33.54,SUCCESS
simple,110,689,34.33,SUCCESS
simple,111,714,29.31,SUCCESS
simple,112,754,31.66,SUCCESS
simple,113,941,31.08,SUCCESS
simple,114,993,29.53,SUCCESS
simple,115,717,35.95,SUCCESS
simple,116,1029,27.26,SUCCESS
simple,117,962,32.28,SUCCESS
simple,118,815,32.85,SUCCESS
simple,119,855,36.26,SUCCESS
simple,120,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal1. Simulation cannot proceed.
simple,121,816,30.12,SUCCESS
simple,122,940,32.5,SUCCESS
simple,123,794,33.44,SUCCESS
simple,124,720,35.49,SUCCESS
simple,125,822,33.97,SUCCESS
simple,126,1069,28.95,SUCCESS
simple,127,681,33.66,SUCCESS
simple,128,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.
simple,129,672,33.59,SUCCESS
simple,130,1055,26.92,SUCCESS
simple,131,726,30.61,SUCCESS
simple,132,797,34.03,SUCCESS
simple,133,944,30.91,SUCCESS
simple,134,840,32.2,SUCCESS
simple,135,805,29.01,SUCCESS
simple,136,977,24.18,SUCCESS
simple,137,890,30.53,SUCCESS
simple,138,896,29.49,SUCCESS
simple,139,732,33.47,SUCCESS
simple,140,873,36.37,SUCCESS
simple,141,757,34.02,SUCCESS
simple,142,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal0. Simulation cannot proceed.
simple,143,678,32.71,SUCCESS
simple,144,798,32.3,SUCCESS
simple,145,1055,26.21,SUCCESS
simple,146,1198,23.5,SUCCESS
simple,147,852,30.69,SUCCESS
simple,148,906,30.27,SUCCESS
simple,149,886,32.51,SUCCESS
heft,100,782,34.97,SUCCESS
heft,101,840,29.43,SUCCESS
heft,102,1039,25.79,SUCCESS
heft,103,971,30.87,SUCCESS
heft,104,817,33.38,SUCCESS
heft,105,1006,27.53,SUCCESS
heft,106,1012,25.67,SUCCESS
heft,107,999,30.31,SUCCESS
heft,108,802,31.11,SUCCESS
heft,109,873,31.5,SUCCESS
heft,110,863,28.53,SUCCESS
heft,111,733,29.06,SUCCESS
heft,112,801,34.77,SUCCESS
