scheduler,seed,total_steps,avg_wait_pct,status
simple,100,681,37.92,SUCCESS
simple,101,702,38.28,SUCCESS
simple,102,,,BLOCKED_BY_FAULT
simple,103,846,31.8,SUCCESS
simple,104,662,32.74,SUCCESS
simple,105,785,35.22,SUCCESS
simple,106,791,36.44,SUCCESS
simple,107,925,29.3,SUCCESS
simple,108,718,33.57,SUCCESS
simple,109,719,42.66,SUCCESS
simple,110,646,35.99,SUCCESS
simple,111,642,36.06,SUCCESS
simple,112,687,35.01,SUCCESS
simple,113,811,35.6,SUCCESS
simple,114,889,34.87,SUCCESS
simple,115,732,42.49,SUCCESS
simple,116,698,37.64,SUCCESS
simple,117,831,36.43,SUCCESS
simple,118,746,34.32,SUCCESS
simple,119,1041,25.62,SUCCESS
simple,120,,,SIM_ERROR
simple,121,712,35.6,SUCCESS
simple,122,791,34.64,SUCCESS
simple,123,708,30.26,SUCCESS
simple,124,664,36.86,SUCCESS
simple,125,729,34.77,SUCCESS
simple,126,808,36.11,SUCCESS
simple,127,552,35.05,SUCCESS
simple,128,819,33.46,SUCCESS
simple,129,669,39.61,SUCCESS
heft,100,666,32.7,SUCCESS
heft,101,727,29.78,SUCCESS
heft,102,741,35.39,SUCCESS
heft,103,866,37.24,SUCCESS
heft,104,673,32.36,SUCCESS
heft,105,839,37.28,SUCCESS
heft,106,757,35.77,SUCCESS
heft,107,872,33.31,SUCCESS
heft,108,706,34.38,SUCCESS
heft,109,,,BLOCKED_BY_FAULT
heft,110,660,39.73,SUCCESS
heft,111,639,32.12,SUCCESS
heft,112,674,36.09,SUCCESS
heft,113,1009,26.96,SUCCESS
heft,114,789,33.02,SUCCESS
heft,115,666,39.19,SUCCESS
heft,116,706,36.51,SUCCESS
heft,117,799,34.26,SUCCESS
heft,118,744,35.69,SUCCESS
heft,119,718,38.09,SUCCESS
heft,120,795,40.25,SUCCESS
heft,121,665,32.03,SUCCESS
heft,122,812,35.13,SUCCESS
heft,123,720,35.21,SUCCESS
heft,124,625,32.32,SUCCESS
heft,125,,,BLOCKED_BY_FAULT
heft,126,802,35.13,SUCCESS
heft,127,585,35.47,SUCCESS
heft,128,786,32.44,SUCCESS
heft,129,657,39.27,SUCCESS
dls,100,617,31.44,SUCCESS
dls,101,710,33.59,SUCCESS
dls,102,742,34.16,SUCCESS
dls,103,805,33.29,SUCCESS
dls,104,673,33.77,SUCCESS
dls,105,720,29.72,SUCCESS
dls,106,707,35.04,SUCCESS
dls,107,870,32.07,SUCCESS
dls,108,719,35.26,SUCCESS
dls,109,725,37.38,SUCCESS
dls,110,663,40.23,SUCCESS
dls,111,673,31.95,SUCCESS
dls,112,713,38.01,SUCCESS
dls,113,789,33.65,SUCCESS
dls,114,827,36.0,SUCCESS
dls,115,639,41.51,SUCCESS
dls,116,695,35.14,SUCCESS
dls,117,817,35.16,SUCCESS
dls,118,790,34.91,SUCCESS
dls,119,744,26.75,SUCCESS
dls,120,793,35.81,SUCCESS
dls,121,753,31.01,SUCCESS
dls,122,864,26.53,SUCCESS
dls,123,697,33.0,SUCCESS
dls,124,606,37.42,SUCCESS
dls,125,779,38.35,SUCCESS
dls,126,830,37.08,SUCCESS
dls,127,601,33.78,SUCCESS
dls,128,811,31.66,SUCCESS
dls,129,595,34.96,SUCCESS
heft-dls,100,661,31.24,SUCCESS
heft-dls,101,812,28.45,SUCCESS
heft-dls,102,,,BLOCKED_BY_FAULT
heft-dls,103,,,BLOCKED_BY_FAULT
heft-dls,104,664,35.5,SUCCESS
heft-dls,105,787,30.46,SUCCESS
heft-dls,106,735,37.86,SUCCESS
heft-dls,107,870,31.78,SUCCESS
heft-dls,108,720,33.06,SUCCESS
heft-dls,109,678,33.74,SUCCESS
heft-dls,110,650,36.27,SUCCESS
heft-dls,111,758,27.77,SUCCESS
heft-dls,112,669,34.68,SUCCESS
heft-dls,113,815,33.4,SUCCESS
heft-dls,114,811,33.38,SUCCESS
heft-dls,115,662,38.86,SUCCESS
heft-dls,116,689,33.02,SUCCESS
heft-dls,117,779,32.35,SUCCESS
heft-dls,118,735,34.8,SUCCESS
heft-dls,119,759,30.27,SUCCESS
heft-dls,120,744,32.22,SUCCESS
heft-dls,121,672,33.71,SUCCESS
heft-dls,122,872,27.52,SUCCESS
heft-dls,123,747,36.31,SUCCESS
heft-dls,124,612,36.15,SUCCESS
heft-dls,125,718,33.29,SUCCESS
heft-dls,126,776,33.6,SUCCESS
heft-dls,127,588,35.63,SUCCESS
heft-dls,128,788,31.35,SUCCESS
heft-dls,129,589,35.7,SUCCESS
