scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,742.0,33.09,SUCCESS,2.0
simple,101,858.0,28.23,SUCCESS,5.0
simple,102,880.0,35.06,SUCCESS,4.0
simple,103,1076.0,26.65,SUCCESS,4.0
simple,104,815.0,28.28,SUCCESS,5.0
simple,105,895.0,32.88,SUCCESS,3.0
simple,106,1175.0,27.17,SUCCESS,4.0
simple,107,1043.0,28.98,SUCCESS,4.0
simple,108,835.0,34.49,SUCCESS,4.0
simple,109,770.0,35.49,SUCCESS,4.0
simple,110,664.0,35.09,SUCCESS,1.0
simple,111,710.0,31.02,SUCCESS,2.0
simple,112,748.0,33.39,SUCCESS,3.0
simple,113,949.0,33.3,SUCCESS,5.0
simple,114,900.0,32.39,SUCCESS,3.0
simple,115,725.0,37.14,SUCCESS,3.0
simple,116,937.0,28.28,SUCCESS,4.0
simple,117,970.0,35.08,SUCCESS,2.0
simple,118,827.0,35.04,SUCCESS,5.0
simple,119,791.0,33.53,SUCCESS,4.0
simple,120,825.0,32.3,SUCCESS,3.0
simple,121,816.0,31.04,SUCCESS,4.0
simple,122,1062.0,28.04,SUCCESS,4.0
simple,123,794.0,33.44,SUCCESS,2.0
simple,124,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf2. Simulation cannot proceed.,
simple,125,826.0,35.93,SUCCESS,3.0
simple,126,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,127,673.0,35.74,SUCCESS,3.0
simple,128,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,129,654.0,31.04,SUCCESS,1.0
heft,100,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal1. Simulation cannot proceed.,
heft,101,738.0,31.0,SUCCESS,1.0
heft,102,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal0. Simulation cannot proceed.,
heft,103,1271.0,24.84,SUCCESS,5.0
heft,104,811.0,33.14,SUCCESS,3.0
heft,105,890.0,31.4,SUCCESS,2.0
heft,106,898.0,29.98,SUCCESS,1.0
heft,107,975.0,31.38,SUCCESS,2.0
heft,108,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
heft,109,803.0,34.78,SUCCESS,5.0
heft,110,670.0,36.31,SUCCESS,2.0
heft,111,716.0,34.5,SUCCESS,4.0
