scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,3270.0,26.29,SUCCESS,2.0
simple,101,,,SIM_ERRORSimulation still running after step limit,
simple,102,3139.0,27.64,SUCCESS,3.0
simple,103,,,SIM_ERRORSimulation still running after step limit,
simple,104,,,SIM_ERRORSimulation still running after step limit,
simple,105,2430.0,29.57,SUCCESS,1.0
simple,106,4510.0,23.04,SUCCESS,2.0
simple,107,2560.0,32.55,SUCCESS,1.0
simple,108,2918.0,27.28,SUCCESS,3.0
simple,109,3521.0,24.86,SUCCESS,2.0
simple,110,3455.0,24.59,SUCCESS,2.0
simple,111,,,SIM_ERRORSimulation still running after step limit,
simple,112,3153.0,25.47,SUCCESS,3.0
simple,113,2785.0,27.71,SUCCESS,2.0
simple,114,3180.0,25.64,SUCCESS,2.0
simple,115,4134.0,23.27,SUCCESS,4.0
simple,116,3206.0,25.73,SUCCESS,2.0
simple,117,3169.0,27.3,SUCCESS,2.0
simple,118,4266.0,22.95,SUCCESS,4.0
simple,119,2518.0,28.84,SUCCESS,1.0
simple,120,4247.0,22.71,SUCCESS,4.0
simple,121,2453.0,31.19,SUCCESS,4.0
simple,122,3584.0,24.78,SUCCESS,1.0
simple,123,3378.0,26.52,SUCCESS,3.0
simple,124,2398.0,31.6,SUCCESS,1.0
simple,125,2705.0,27.52,SUCCESS,4.0
simple,126,4977.0,21.69,SUCCESS,5.0
simple,127,,,SIM_ERRORSimulation still running after step limit,
simple,128,,,SIM_ERRORSimulation still running after step limit,
simple,129,4141.0,23.57,SUCCESS,2.0
simple,130,3218.0,26.93,SUCCESS,4.0
simple,131,,,SIM_ERRORSimulation still running after step limit,
simple,132,2443.0,32.18,SUCCESS,2.0
simple,133,2963.0,27.77,SUCCESS,5.0
simple,134,,,SIM_ERRORSimulation still running after step limit,
simple,135,4118.0,22.56,SUCCESS,2.0
simple,136,,,SIM_ERRORSimulation still running after step limit,
simple,137,2383.0,29.93,SUCCESS,1.0
simple,138,,,SIM_ERRORSimulation still running after step limit,
simple,139,,,SIM_ERRORSimulation still running after step limit,
simple,140,3951.0,23.47,SUCCESS,4.0
simple,141,2518.0,29.45,SUCCESS,1.0
simple,142,3153.0,27.06,SUCCESS,1.0
simple,143,3140.0,26.29,SUCCESS,3.0
simple,144,4426.0,23.16,SUCCESS,1.0
simple,145,3904.0,24.67,SUCCESS,3.0
simple,146,4770.0,21.4,SUCCESS,3.0
simple,147,3504.0,25.71,SUCCESS,2.0
simple,148,2529.0,29.23,SUCCESS,2.0
simple,149,3456.0,25.73,SUCCESS,4.0
simple,150,,,SIM_ERRORSimulation still running after step limit,
simple,151,3005.0,26.65,SUCCESS,4.0
simple,152,,,SIM_ERRORSimulation still running after step limit,
simple,153,,,SIM_ERRORSimulation still running after step limit,
simple,154,2607.0,30.83,SUCCESS,2.0
simple,155,4722.0,21.74,SUCCESS,2.0
simple,156,4964.0,21.67,SUCCESS,3.0
simple,157,,,SIM_ERRORSimulation still running after step limit,
simple,158,,,SIM_ERRORSimulation still running after step limit,
simple,159,2775.0,30.32,SUCCESS,3.0
simple,160,2601.0,30.57,SUCCESS,1.0
simple,161,2450.0,31.09,SUCCESS,2.0
simple,162,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
simple,163,3161.0,26.33,SUCCESS,2.0
simple,164,4261.0,22.73,SUCCESS,3.0
simple,165,4544.0,22.84,SUCCESS,4.0
simple,166,3216.0,26.34,SUCCESS,1.0
simple,167,4565.0,22.5,SUCCESS,3.0
simple,168,2588.0,29.59,SUCCESS,2.0
simple,169,3064.0,26.61,SUCCESS,3.0
simple,170,3201.0,25.09,SUCCESS,3.0
simple,171,3922.0,24.45,SUCCESS,2.0
simple,172,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
simple,173,2511.0,30.76,SUCCESS,2.0
simple,174,,,SIM_ERRORSimulation still running after step limit,
simple,175,2456.0,31.8,SUCCESS,1.0
simple,176,,,SIM_ERRORSimulation still running after step limit,
simple,177,2613.0,29.89,SUCCESS,1.0
simple,178,,,SIM_ERRORSimulation still running after step limit,
simple,179,3287.0,24.78,SUCCESS,3.0
simple,180,2597.0,28.47,SUCCESS,1.0
simple,181,,,SIM_ERRORSimulation still running after step limit,
simple,182,3320.0,24.92,SUCCESS,3.0
simple,183,,,SIM_ERRORSimulation still running after step limit,
simple,184,,,SIM_ERRORSimulation still running after step limit,
simple,185,2842.0,27.64,SUCCESS,1.0
simple,186,2698.0,29.13,SUCCESS,2.0
simple,187,,,SIM_ERRORSimulation still running after step limit,
simple,188,2659.0,30.19,SUCCESS,3.0
simple,189,3337.0,25.63,SUCCESS,1.0
simple,190,5381.0,25.36,SUCCESS,4.0
simple,191,2461.0,30.98,SUCCESS,1.0
simple,192,3503.0,25.04,SUCCESS,3.0
simple,193,2547.0,29.9,SUCCESS,3.0
simple,194,2623.0,29.31,SUCCESS,2.0
simple,195,,,SIM_ERRORSimulation still running after step limit,
simple,196,2707.0,27.34,SUCCESS,3.0
simple,197,3176.0,26.97,SUCCESS,4.0
simple,198,3209.0,25.66,SUCCESS,5.0
simple,199,2949.0,28.42,SUCCESS,2.0
heft,100,2920.0,27.71,SUCCESS,1.0
heft,101,,,SIM_ERRORSimulation still running after step limit,
heft,102,4827.0,23.65,SUCCESS,5.0
heft,103,,,SIM_ERRORSimulation still running after step limit,
heft,104,,,SIM_ERRORSimulation still running after step limit,
heft,105,2515.0,32.45,SUCCESS,3.0
heft,106,,,SIM_ERRORSimulation still running after step limit,
heft,107,2832.0,28.54,SUCCESS,2.0
heft,108,2764.0,25.91,SUCCESS,2.0
heft,109,3685.0,24.84,SUCCESS,3.0
heft,110,2570.0,30.36,SUCCESS,1.0
heft,111,3261.0,26.95,SUCCESS,2.0
heft,112,2706.0,28.27,SUCCESS,1.0
heft,113,3931.0,23.12,SUCCESS,3.0
heft,114,,,SIM_ERRORSimulation still running after step limit,
heft,115,5040.0,22.51,SUCCESS,5.0
heft,116,2539.0,31.09,SUCCESS,1.0
heft,117,4179.0,23.6,SUCCESS,4.0
heft,118,4616.0,22.23,SUCCESS,5.0
heft,119,4002.0,24.26,SUCCESS,5.0
heft,120,2481.0,30.3,SUCCESS,1.0
heft,121,2422.0,31.07,SUCCESS,2.0
heft,122,3701.0,23.53,SUCCESS,3.0
heft,123,3257.0,24.98,SUCCESS,2.0
heft,124,2502.0,32.91,SUCCESS,4.0
heft,125,2516.0,30.41,SUCCESS,3.0
heft,126,3414.0,24.55,SUCCESS,3.0
heft,127,,,SIM_ERRORSimulation still running after step limit,
heft,128,2647.0,32.91,SUCCESS,1.0
heft,129,,,SIM_ERRORSimulation still running after step limit,
heft,130,2600.0,32.35,SUCCESS,1.0
heft,131,2809.0,30.57,SUCCESS,2.0
heft,132,3917.0,23.99,SUCCESS,5.0
heft,133,2524.0,32.16,SUCCESS,3.0
heft,134,4625.0,22.55,SUCCESS,3.0
heft,135,3612.0,24.49,SUCCESS,1.0
heft,136,2760.0,30.22,SUCCESS,1.0
heft,137,3912.0,22.81,SUCCESS,4.0
heft,138,3068.0,28.01,SUCCESS,4.0
heft,139,3868.0,25.2,SUCCESS,1.0
heft,140,3145.0,24.71,SUCCESS,2.0
heft,141,3218.0,26.74,SUCCESS,3.0
heft,142,3247.0,26.67,SUCCESS,2.0
heft,143,2473.0,30.65,SUCCESS,1.0
heft,144,,,SIM_ERRORSimulation still running after step limit,
heft,145,,,SIM_ERRORSimulation still running after step limit,
heft,146,3304.0,24.61,SUCCESS,1.0
heft,147,2540.0,30.8,SUCCESS,1.0
heft,148,2546.0,30.86,SUCCESS,3.0
heft,149,2458.0,31.63,SUCCESS,1.0
heft,150,,,SIM_ERRORSimulation still running after step limit,
heft,151,2796.0,27.5,SUCCESS,1.0
heft,152,,,SIM_ERRORSimulation still running after step limit,
heft,153,3823.0,23.5,SUCCESS,1.0
heft,154,2599.0,32.12,SUCCESS,1.0
heft,155,,,SIM_ERRORSimulation still running after step limit,
heft,156,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
heft,157,,,SIM_ERRORSimulation still running after step limit,
heft,158,,,SIM_ERRORSimulation still running after step limit,
heft,159,3300.0,25.65,SUCCESS,4.0
heft,160,,,SIM_ERRORSimulation still running after step limit,
heft,161,2418.0,31.79,SUCCESS,1.0
heft,162,4155.0,23.28,SUCCESS,3.0
heft,163,3110.0,26.7,SUCCESS,1.0
heft,164,3463.0,23.87,SUCCESS,2.0
heft,165,3640.0,23.87,SUCCESS,2.0
heft,166,,,SIM_ERRORSimulation still running after step limit,
heft,167,,,SIM_ERRORSimulation still running after step limit,
heft,168,4637.0,22.54,SUCCESS,4.0
heft,169,2544.0,32.27,SUCCESS,2.0
heft,170,2455.0,28.66,SUCCESS,1.0
heft,171,2528.0,31.88,SUCCESS,1.0
heft,172,3044.0,27.2,SUCCESS,2.0
heft,173,5436.0,24.99,SUCCESS,4.0
heft,174,3633.0,25.15,SUCCESS,3.0
heft,175,2525.0,32.41,SUCCESS,3.0
heft,176,3276.0,25.58,SUCCESS,2.0
heft,177,,,SIM_ERRORSimulation still running after step limit,
heft,178,2649.0,30.2,SUCCESS,2.0
heft,179,2915.0,27.69,SUCCESS,2.0
heft,180,3017.0,27.69,SUCCESS,4.0
heft,181,3374.0,24.71,SUCCESS,1.0
heft,182,,,SIM_ERRORSimulation still running after step limit,
heft,183,2725.0,29.88,SUCCESS,3.0
heft,184,2996.0,25.26,SUCCESS,2.0
heft,185,,,SIM_ERRORSimulation still running after step limit,
heft,186,2510.0,30.53,SUCCESS,1.0
heft,187,3190.0,24.73,SUCCESS,2.0
heft,188,3603.0,24.83,SUCCESS,5.0
heft,189,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
heft,190,2601.0,31.58,SUCCESS,3.0
heft,191,3259.0,25.41,SUCCESS,3.0
heft,192,4840.0,31.03,SUCCESS,5.0
heft,193,2566.0,29.35,SUCCESS,4.0
heft,194,2498.0,30.74,SUCCESS,1.0
heft,195,5114.0,34.37,SUCCESS,3.0
heft,196,2448.0,32.13,SUCCESS,2.0
heft,197,2480.0,31.22,SUCCESS,2.0
heft,198,2540.0,31.13,SUCCESS,3.0
heft,199,2724.0,28.58,SUCCESS,1.0
dls,100,5331.0,26.52,SUCCESS,4.0
dls,101,2645.0,30.36,SUCCESS,2.0
dls,102,3447.0,24.51,SUCCESS,4.0
dls,103,3273.0,26.35,SUCCESS,2.0
dls,104,4510.0,23.33,SUCCESS,2.0
dls,105,3032.0,27.8,SUCCESS,4.0
dls,106,3105.0,27.05,SUCCESS,1.0
dls,107,3701.0,25.59,SUCCESS,4.0
dls,108,,,SIM_ERRORSimulation still running after step limit,
dls,109,,,SIM_ERRORSimulation still running after step limit,
dls,110,4151.0,22.97,SUCCESS,3.0
dls,111,2823.0,28.64,SUCCESS,1.0
dls,112,2871.0,27.09,SUCCESS,2.0
dls,113,4254.0,23.22,SUCCESS,4.0
dls,114,2550.0,31.02,SUCCESS,1.0
dls,115,3541.0,25.44,SUCCESS,3.0
dls,116,,,SIM_ERRORSimulation still running after step limit,
dls,117,3345.0,25.06,SUCCESS,3.0
dls,118,3111.0,26.08,SUCCESS,2.0
dls,119,3125.0,25.31,SUCCESS,3.0
dls,120,3237.0,24.91,SUCCESS,3.0
dls,121,2441.0,30.11,SUCCESS,3.0
dls,122,3669.0,25.47,SUCCESS,2.0
dls,123,3923.0,24.43,SUCCESS,4.0
dls,124,2491.0,31.66,SUCCESS,3.0
dls,125,2486.0,28.96,SUCCESS,2.0
dls,126,2486.0,30.02,SUCCESS,1.0
dls,127,3215.0,25.74,SUCCESS,2.0
dls,128,3321.0,26.6,SUCCESS,2.0
dls,129,3194.0,25.45,SUCCESS,1.0
dls,130,3368.0,25.39,SUCCESS,5.0
dls,131,4803.0,24.47,SUCCESS,4.0
dls,132,3619.0,25.35,SUCCESS,4.0
dls,133,2579.0,31.0,SUCCESS,4.0
dls,134,3255.0,25.31,SUCCESS,1.0
dls,135,4622.0,26.49,SUCCESS,3.0
dls,136,,,SIM_ERRORSimulation still running after step limit,
dls,137,2450.0,31.56,SUCCESS,2.0
dls,138,2499.0,28.82,SUCCESS,2.0
dls,139,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
dls,140,3386.0,24.59,SUCCESS,3.0
dls,141,,,"SIM_ERRORAll robots have critically faulted, unable to continue.",
dls,142,4256.0,23.07,SUCCESS,4.0
dls,143,3395.0,24.4,SUCCESS,4.0
dls,144,4838.0,23.1,SUCCESS,2.0
dls,145,2485.0,30.36,SUCCESS,1.0
dls,146,,,SIM_ERRORSimulation still running after step limit,
dls,147,4055.0,24.19,SUCCESS,4.0
dls,148,4370.0,23.35,SUCCESS,4.0
dls,149,2483.0,30.64,SUCCESS,2.0
dls,150,3546.0,23.96,SUCCESS,1.0
dls,151,3978.0,25.14,SUCCESS,5.0
dls,152,2657.0,30.3,SUCCESS,1.0
