scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,617.0,45.22,SUCCESS,5.0
simple,101,605.0,42.37,SUCCESS,3.0
simple,102,746.0,35.9,SUCCESS,4.0
simple,103,719.0,37.07,SUCCESS,2.0
simple,104,608.0,42.49,SUCCESS,1.0
simple,105,656.0,36.15,SUCCESS,2.0
simple,106,644.0,40.01,SUCCESS,3.0
simple,107,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,108,647.0,42.12,SUCCESS,4.0
simple,109,643.0,47.05,SUCCESS,4.0
simple,110,643.0,49.71,SUCCESS,5.0
simple,111,618.0,40.08,SUCCESS,5.0
simple,112,594.0,42.54,SUCCESS,1.0
simple,113,768.0,44.68,SUCCESS,5.0
simple,114,727.0,41.33,SUCCESS,4.0
simple,115,596.0,47.2,SUCCESS,4.0
simple,116,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf4. Simulation cannot proceed.,
simple,117,,,SIM_ERRORSimulation still running after step limit,
simple,118,707.0,47.69,SUCCESS,4.0
simple,119,651.0,42.99,SUCCESS,5.0
simple,120,637.0,44.82,SUCCESS,1.0
simple,121,633.0,40.52,SUCCESS,4.0
simple,122,,,SIM_ERRORSimulation still running after step limit,
simple,123,666.0,40.27,SUCCESS,5.0
simple,124,542.0,42.53,SUCCESS,4.0
simple,125,662.0,47.26,SUCCESS,4.0
simple,126,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,127,539.0,43.51,SUCCESS,4.0
simple,128,801.0,34.75,SUCCESS,4.0
simple,129,587.0,48.84,SUCCESS,5.0
simple,130,672.0,43.11,SUCCESS,3.0
simple,131,566.0,39.13,SUCCESS,3.0
simple,132,633.0,44.58,SUCCESS,4.0
simple,133,734.0,43.64,SUCCESS,4.0
simple,134,714.0,34.9,SUCCESS,5.0
simple,135,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf2. Simulation cannot proceed.,
simple,136,631.0,45.88,SUCCESS,5.0
simple,137,627.0,46.38,SUCCESS,3.0
simple,138,671.0,44.78,SUCCESS,4.0
simple,139,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,140,723.0,44.47,SUCCESS,4.0
simple,141,638.0,48.22,SUCCESS,5.0
simple,142,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,143,574.0,45.64,SUCCESS,4.0
simple,144,624.0,39.48,SUCCESS,3.0
simple,145,664.0,41.44,SUCCESS,2.0
simple,146,816.0,39.15,SUCCESS,4.0
simple,147,702.0,33.0,SUCCESS,3.0
simple,148,712.0,46.82,SUCCESS,3.0
simple,149,704.0,45.81,SUCCESS,2.0
simple,150,717.0,40.98,SUCCESS,2.0
simple,151,763.0,37.22,SUCCESS,4.0
simple,152,650.0,45.59,SUCCESS,2.0
simple,153,709.0,40.29,SUCCESS,5.0
simple,154,686.0,35.35,SUCCESS,3.0
simple,155,773.0,35.73,SUCCESS,4.0
simple,156,763.0,35.78,SUCCESS,4.0
simple,157,730.0,41.37,SUCCESS,4.0
simple,158,573.0,43.37,SUCCESS,2.0
simple,159,690.0,46.45,SUCCESS,4.0
simple,160,720.0,45.49,SUCCESS,5.0
simple,161,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,162,733.0,36.08,SUCCESS,5.0
simple,163,736.0,34.49,SUCCESS,5.0
simple,164,678.0,38.47,SUCCESS,1.0
simple,165,765.0,45.75,SUCCESS,5.0
simple,166,735.0,32.63,SUCCESS,3.0
simple,167,535.0,44.45,SUCCESS,2.0
simple,168,690.0,47.1,SUCCESS,3.0
simple,169,700.0,40.07,SUCCESS,4.0
simple,170,,,SIM_ERRORSimulation still running after step limit,
simple,171,896.0,22.43,SUCCESS,5.0
simple,172,738.0,32.57,SUCCESS,5.0
simple,173,,,SIM_ERRORSimulation still running after step limit,
simple,174,669.0,40.13,SUCCESS,5.0
simple,175,775.0,47.05,SUCCESS,3.0
simple,176,696.0,41.59,SUCCESS,4.0
simple,177,719.0,42.7,SUCCESS,4.0
simple,178,,,BLOCKED_BY_FAULTrobot4 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,179,587.0,43.67,SUCCESS,4.0
simple,180,631.0,41.23,SUCCESS,4.0
simple,181,697.0,45.1,SUCCESS,5.0
simple,182,620.0,47.12,SUCCESS,4.0
simple,183,632.0,35.47,SUCCESS,5.0
simple,184,647.0,44.8,SUCCESS,4.0
simple,185,702.0,41.74,SUCCESS,2.0
simple,186,686.0,35.03,SUCCESS,5.0
simple,187,741.0,39.14,SUCCESS,2.0
simple,188,674.0,43.57,SUCCESS,5.0
simple,189,620.0,39.14,SUCCESS,4.0
simple,190,717.0,44.93,SUCCESS,3.0
simple,191,764.0,45.55,SUCCESS,4.0
simple,192,570.0,44.68,SUCCESS,2.0
simple,193,748.0,43.63,SUCCESS,3.0
simple,194,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,195,684.0,47.25,SUCCESS,4.0
simple,196,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf2. Simulation cannot proceed.,
simple,197,564.0,44.59,SUCCESS,4.0
simple,198,556.0,45.17,SUCCESS,1.0
simple,199,681.0,45.47,SUCCESS,5.0
heft,100,607.0,44.37,SUCCESS,3.0
heft,101,704.0,39.13,SUCCESS,5.0
heft,102,732.0,38.14,SUCCESS,3.0
heft,103,731.0,41.63,SUCCESS,3.0
heft,104,631.0,42.23,SUCCESS,2.0
heft,105,668.0,40.02,SUCCESS,4.0
heft,106,685.0,33.48,SUCCESS,5.0
heft,107,795.0,41.03,SUCCESS,2.0
heft,108,622.0,42.18,SUCCESS,1.0
heft,109,665.0,45.36,SUCCESS,5.0
heft,110,560.0,48.99,SUCCESS,2.0
heft,111,607.0,46.73,SUCCESS,4.0
heft,112,610.0,42.24,SUCCESS,2.0
heft,113,766.0,42.1,SUCCESS,4.0
heft,114,655.0,40.03,SUCCESS,2.0
heft,115,699.0,39.96,SUCCESS,5.0
heft,116,618.0,44.04,SUCCESS,2.0
heft,117,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal1. Simulation cannot proceed.,
heft,118,685.0,45.96,SUCCESS,3.0
heft,119,587.0,39.86,SUCCESS,1.0
heft,120,689.0,36.74,SUCCESS,3.0
heft,121,625.0,42.88,SUCCESS,3.0
heft,122,716.0,41.62,SUCCESS,4.0
heft,123,649.0,43.55,SUCCESS,4.0
heft,124,567.0,43.97,SUCCESS,5.0
heft,125,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal0. Simulation cannot proceed.,
heft,126,753.0,44.98,SUCCESS,4.0
heft,127,547.0,44.42,SUCCESS,5.0
heft,128,733.0,39.54,SUCCESS,2.0
heft,129,565.0,48.5,SUCCESS,4.0
heft,130,712.0,40.47,SUCCESS,5.0
heft,131,578.0,42.5,SUCCESS,4.0
heft,132,592.0,43.69,SUCCESS,1.0
heft,133,731.0,43.23,SUCCESS,3.0
heft,134,668.0,40.44,SUCCESS,4.0
heft,135,647.0,42.32,SUCCESS,3.0
heft,136,620.0,43.76,SUCCESS,3.0
heft,137,627.0,46.09,SUCCESS,3.0
heft,138,692.0,46.84,SUCCESS,5.0
heft,139,630.0,45.69,SUCCESS,4.0
heft,140,735.0,38.93,SUCCESS,5.0
heft,141,606.0,41.91,SUCCESS,4.0
heft,142,759.0,41.79,SUCCESS,4.0
heft,143,636.0,37.08,SUCCESS,5.0
heft,144,642.0,43.61,SUCCESS,5.0
heft,145,663.0,31.5,SUCCESS,1.0
heft,146,786.0,40.95,SUCCESS,3.0
heft,147,695.0,38.92,SUCCESS,2.0
heft,148,705.0,41.58,SUCCESS,2.0
heft,149,803.0,38.88,SUCCESS,4.0
heft,150,764.0,44.79,SUCCESS,3.0
heft,151,775.0,28.04,SUCCESS,5.0
heft,152,640.0,45.99,SUCCESS,1.0
heft,153,672.0,40.8,SUCCESS,3.0
heft,154,685.0,43.72,SUCCESS,1.0
heft,155,788.0,35.89,SUCCESS,5.0
heft,156,705.0,41.94,SUCCESS,2.0
heft,157,727.0,29.96,SUCCESS,3.0
heft,158,573.0,41.13,SUCCESS,2.0
heft,159,735.0,36.35,SUCCESS,5.0
heft,160,651.0,44.24,SUCCESS,4.0
heft,161,629.0,41.73,SUCCESS,3.0
heft,162,726.0,47.22,SUCCESS,4.0
heft,163,692.0,39.84,SUCCESS,4.0
heft,164,713.0,33.54,SUCCESS,3.0
heft,165,725.0,51.01,SUCCESS,4.0
heft,166,782.0,35.04,SUCCESS,5.0
heft,167,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf2. Simulation cannot proceed.,
heft,168,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal0. Simulation cannot proceed.,
heft,169,753.0,42.39,SUCCESS,5.0
heft,170,,,SIM_ERRORSimulation still running after step limit,
heft,171,616.0,42.56,SUCCESS,4.0
heft,172,686.0,37.68,SUCCESS,3.0
heft,173,746.0,29.69,SUCCESS,3.0
heft,174,586.0,42.46,SUCCESS,3.0
heft,175,737.0,41.88,SUCCESS,2.0
heft,176,668.0,39.8,SUCCESS,3.0
heft,177,703.0,41.39,SUCCESS,2.0
heft,178,625.0,38.21,SUCCESS,4.0
heft,179,679.0,47.23,SUCCESS,5.0
heft,180,675.0,46.4,SUCCESS,5.0
heft,181,660.0,45.05,SUCCESS,2.0
heft,182,604.0,46.83,SUCCESS,3.0
heft,183,573.0,41.19,SUCCESS,3.0
heft,184,684.0,40.01,SUCCESS,5.0
heft,185,692.0,38.97,SUCCESS,1.0
heft,186,654.0,43.96,SUCCESS,4.0
heft,187,792.0,44.84,SUCCESS,5.0
heft,188,664.0,42.07,SUCCESS,4.0
heft,189,609.0,46.25,SUCCESS,2.0
heft,190,718.0,45.87,SUCCESS,4.0
heft,191,710.0,39.51,SUCCESS,3.0
heft,192,589.0,45.93,SUCCESS,4.0
heft,193,787.0,34.07,SUCCESS,4.0
heft,194,890.0,24.79,SUCCESS,4.0
heft,195,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf4. Simulation cannot proceed.,
heft,196,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
heft,197,547.0,42.38,SUCCESS,1.0
heft,198,589.0,45.19,SUCCESS,4.0
heft,199,667.0,46.38,SUCCESS,4.0
dls,100,594.0,42.96,SUCCESS,2.0
dls,101,622.0,42.31,SUCCESS,4.0
dls,102,661.0,43.24,SUCCESS,2.0
dls,103,706.0,40.75,SUCCESS,1.0
dls,104,643.0,43.03,SUCCESS,5.0
dls,105,659.0,40.62,SUCCESS,3.0
dls,106,635.0,40.84,SUCCESS,2.0
dls,107,751.0,36.97,SUCCESS,1.0
dls,108,633.0,42.34,SUCCESS,2.0
dls,109,641.0,49.14,SUCCESS,3.0
dls,110,551.0,49.12,SUCCESS,1.0
dls,111,582.0,45.68,SUCCESS,3.0
dls,112,630.0,44.84,SUCCESS,4.0
dls,113,712.0,38.76,SUCCESS,3.0
dls,114,754.0,46.42,SUCCESS,5.0
dls,115,584.0,48.43,SUCCESS,3.0
dls,116,595.0,42.58,SUCCESS,1.0
dls,117,737.0,42.85,SUCCESS,3.0
dls,118,677.0,47.07,SUCCESS,2.0
dls,119,618.0,39.78,SUCCESS,3.0
dls,120,684.0,45.88,SUCCESS,2.0
dls,121,670.0,32.14,SUCCESS,5.0
dls,122,700.0,41.14,SUCCESS,3.0
dls,123,623.0,42.13,SUCCESS,2.0
dls,124,516.0,43.83,SUCCESS,1.0
dls,125,613.0,42.17,SUCCESS,1.0
dls,126,703.0,44.59,SUCCESS,2.0
dls,127,514.0,44.29,SUCCESS,1.0
dls,128,813.0,31.67,SUCCESS,5.0
dls,129,547.0,47.62,SUCCESS,3.0
dls,130,663.0,39.09,SUCCESS,2.0
dls,131,563.0,41.42,SUCCESS,2.0
dls,132,622.0,44.35,SUCCESS,3.0
dls,133,702.0,42.0,SUCCESS,2.0
dls,134,637.0,41.44,SUCCESS,2.0
dls,135,658.0,42.05,SUCCESS,4.0
dls,136,618.0,44.85,SUCCESS,2.0
dls,137,625.0,45.6,SUCCESS,2.0
dls,138,627.0,43.3,SUCCESS,2.0
dls,139,606.0,44.69,SUCCESS,2.0
dls,140,658.0,45.97,SUCCESS,2.0
dls,141,596.0,48.38,SUCCESS,3.0
dls,142,732.0,40.32,SUCCESS,1.0
dls,143,540.0,48.15,SUCCESS,1.0
dls,144,626.0,45.1,SUCCESS,4.0
dls,145,680.0,35.44,SUCCESS,3.0
dls,146,698.0,39.8,SUCCESS,1.0
dls,147,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal0. Simulation cannot proceed.,
dls,148,686.0,42.25,SUCCESS,1.0
dls,149,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal0. Simulation cannot proceed.,
dls,150,715.0,43.19,SUCCESS,1.0
dls,151,735.0,37.01,SUCCESS,3.0
dls,152,746.0,37.73,SUCCESS,4.0
dls,153,690.0,42.37,SUCCESS,4.0
dls,154,,,SIM_ERRORSimulation still running after step limit,
dls,155,713.0,44.09,SUCCESS,3.0
dls,156,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
