scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,593,52.42,SUCCESS,2.0
simple,101,608,50.79,SUCCESS,4.0
simple,102,673,50.94,SUCCESS,5.0
simple,103,703,51.52,SUCCESS,5.0
simple,104,634,43.3,SUCCESS,4.0
simple,105,677,46.95,SUCCESS,3.0
simple,106,675,53.93,SUCCESS,5.0
simple,107,782,43.67,SUCCESS,4.0
simple,108,699,52.96,SUCCESS,5.0
simple,109,606,53.58,SUCCESS,3.0
simple,110,605,57.66,SUCCESS,5.0
simple,111,614,53.53,SUCCESS,5.0
simple,112,641,52.13,SUCCESS,5.0
simple,113,733,48.79,SUCCESS,4.0
simple,114,753,42.3,SUCCESS,5.0
simple,115,635,55.85,SUCCESS,4.0
simple,116,624,48.9,SUCCESS,5.0
simple,117,663,49.15,SUCCESS,1.0
simple,118,691,57.72,SUCCESS,4.0
simple,119,636,53.12,SUCCESS,4.0
simple,120,691,54.82,SUCCESS,5.0
simple,121,630,47.06,SUCCESS,2.0
simple,122,698,51.22,SUCCESS,5.0
simple,123,636,52.8,SUCCESS,3.0
simple,124,542,51.97,SUCCESS,4.0
simple,125,673,54.38,SUCCESS,4.0
simple,126,740,51.13,SUCCESS,5.0
simple,127,531,54.3,SUCCESS,4.0
simple,128,715,40.89,SUCCESS,4.0
simple,129,607,57.63,SUCCESS,5.0
simple,130,709,51.08,SUCCESS,5.0
simple,131,515,48.71,SUCCESS,1.0
simple,132,626,53.65,SUCCESS,3.0
simple,133,743,52.67,SUCCESS,5.0
simple,134,647,51.26,SUCCESS,4.0
simple,135,668,52.92,SUCCESS,5.0
simple,136,638,50.57,SUCCESS,3.0
simple,137,658,54.36,SUCCESS,4.0
simple,138,700,51.26,SUCCESS,5.0
simple,139,625,52.4,SUCCESS,5.0
simple,140,708,56.61,SUCCESS,4.0
simple,141,600,55.11,SUCCESS,4.0
simple,142,716,49.56,SUCCESS,4.0
simple,143,613,57.88,SUCCESS,4.0
simple,144,635,46.38,SUCCESS,5.0
simple,145,673,42.25,SUCCESS,4.0
simple,146,754,52.63,SUCCESS,5.0
simple,147,730,55.62,SUCCESS,5.0
simple,148,664,39.28,SUCCESS,4.0
simple,149,708,38.56,SUCCESS,4.0
simple,150,693,50.41,SUCCESS,4.0
simple,151,669,43.12,SUCCESS,5.0
simple,152,668,54.17,SUCCESS,2.0
simple,153,683,49.02,SUCCESS,5.0
simple,154,686,49.2,SUCCESS,4.0
simple,155,772,50.86,SUCCESS,4.0
simple,156,721,40.55,SUCCESS,5.0
simple,157,654,45.31,SUCCESS,4.0
simple,158,589,50.25,SUCCESS,3.0
simple,159,696,46.34,SUCCESS,5.0
simple,160,724,48.78,SUCCESS,5.0
simple,161,634,48.9,SUCCESS,4.0
simple,162,700,56.26,SUCCESS,4.0
simple,163,632,46.2,SUCCESS,4.0
simple,164,802,44.45,SUCCESS,5.0
simple,165,746,54.42,SUCCESS,4.0
simple,166,688,45.11,SUCCESS,5.0
simple,167,538,53.28,SUCCESS,3.0
simple,168,727,56.26,SUCCESS,4.0
simple,169,703,47.96,SUCCESS,4.0
simple,170,672,49.48,SUCCESS,5.0
simple,171,607,48.74,SUCCESS,5.0
simple,172,689,50.75,SUCCESS,4.0
simple,173,672,53.27,SUCCESS,4.0
simple,174,611,51.85,SUCCESS,5.0
simple,175,820,54.7,SUCCESS,5.0
simple,176,651,47.44,SUCCESS,4.0
simple,177,702,50.76,SUCCESS,2.0
simple,178,607,48.24,SUCCESS,5.0
simple,179,630,56.4,SUCCESS,5.0
simple,180,623,52.54,SUCCESS,4.0
simple,181,676,53.85,SUCCESS,4.0
simple,182,661,57.77,SUCCESS,5.0
simple,183,601,53.94,SUCCESS,5.0
simple,184,651,50.95,SUCCESS,5.0
simple,185,685,50.29,SUCCESS,4.0
simple,186,711,53.33,SUCCESS,5.0
simple,187,821,52.7,SUCCESS,5.0
simple,188,679,51.99,SUCCESS,5.0
simple,189,594,51.43,SUCCESS,5.0
simple,190,660,50.51,SUCCESS,3.0
simple,191,720,52.73,SUCCESS,4.0
simple,192,642,57.81,SUCCESS,4.0
simple,193,696,48.08,SUCCESS,4.0
simple,194,692,46.51,SUCCESS,2.0
simple,195,699,55.72,SUCCESS,5.0
simple,196,627,56.59,SUCCESS,5.0
simple,197,596,54.39,SUCCESS,5.0
simple,198,579,39.41,SUCCESS,5.0
simple,199,664,53.24,SUCCESS,4.0
heft,100,611,45.36,SUCCESS,5.0
heft,101,627,50.13,SUCCESS,5.0
heft,102,669,53.56,SUCCESS,4.0
heft,103,686,49.13,SUCCESS,2.0
heft,104,652,48.95,SUCCESS,5.0
heft,105,684,49.66,SUCCESS,4.0
heft,106,666,51.03,SUCCESS,2.0
heft,107,797,45.92,SUCCESS,5.0
heft,108,632,51.71,SUCCESS,1.0
heft,109,654,56.04,SUCCESS,5.0
heft,110,590,56.53,SUCCESS,4.0
heft,111,604,54.64,SUCCESS,4.0
heft,112,585,50.85,SUCCESS,3.0
heft,113,749,49.98,SUCCESS,5.0
heft,114,743,50.56,SUCCESS,4.0
heft,115,635,58.66,SUCCESS,4.0
heft,116,612,50.65,SUCCESS,3.0
heft,117,729,50.75,SUCCESS,5.0
heft,118,698,58.38,SUCCESS,5.0
heft,119,670,52.66,SUCCESS,5.0
heft,120,667,54.52,SUCCESS,4.0
heft,121,645,50.44,SUCCESS,5.0
heft,122,675,48.49,SUCCESS,4.0
heft,123,631,54.89,SUCCESS,2.0
