scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,1315,30.32,SUCCESS,5.0
simple,101,1156,37.56,SUCCESS,5.0
simple,102,1111,35.67,SUCCESS,2.0
simple,103,1195,37.53,SUCCESS,5.0
simple,104,1156,36.4,SUCCESS,3.0
simple,105,1215,39.2,SUCCESS,5.0
simple,106,1171,36.06,SUCCESS,5.0
simple,107,1114,34.96,SUCCESS,4.0
simple,108,1154,37.61,SUCCESS,5.0
simple,109,1105,35.72,SUCCESS,4.0
simple,110,1135,33.92,SUCCESS,5.0
simple,111,1134,34.41,SUCCESS,5.0
simple,112,1135,35.13,SUCCESS,4.0
simple,113,1111,35.62,SUCCESS,5.0
simple,114,1102,36.0,SUCCESS,4.0
simple,115,1119,35.41,SUCCESS,5.0
simple,116,1455,29.36,SUCCESS,5.0
simple,117,1095,34.82,SUCCESS,1.0
simple,118,1173,38.79,SUCCESS,5.0
simple,119,1133,33.85,SUCCESS,4.0
simple,120,1159,37.7,SUCCESS,4.0
simple,121,1446,28.61,SUCCESS,5.0
simple,122,1093,34.9,SUCCESS,4.0
simple,123,1122,36.07,SUCCESS,4.0
simple,124,1218,33.89,SUCCESS,5.0
simple,125,1112,35.77,SUCCESS,5.0
simple,126,1376,28.94,SUCCESS,5.0
simple,127,1156,36.98,SUCCESS,5.0
simple,128,1128,35.13,SUCCESS,3.0
simple,129,1381,29.82,SUCCESS,5.0
simple,130,1134,33.13,SUCCESS,2.0
simple,131,1161,36.95,SUCCESS,5.0
simple,132,1194,39.03,SUCCESS,3.0
simple,133,1129,36.05,SUCCESS,3.0
simple,134,1443,27.48,SUCCESS,5.0
simple,135,1209,39.04,SUCCESS,5.0
simple,136,1178,38.84,SUCCESS,5.0
simple,137,1154,37.69,SUCCESS,5.0
simple,138,1131,34.33,SUCCESS,3.0
simple,139,1175,38.47,SUCCESS,5.0
simple,140,1181,38.97,SUCCESS,5.0
simple,141,1097,35.1,SUCCESS,1.0
simple,142,1145,34.3,SUCCESS,5.0
simple,143,1143,35.17,SUCCESS,5.0
simple,144,1149,37.14,SUCCESS,5.0
simple,145,1149,39.01,SUCCESS,4.0
simple,146,1236,32.08,SUCCESS,5.0
simple,147,1153,35.82,SUCCESS,5.0
simple,148,1409,28.16,SUCCESS,4.0
simple,149,1132,36.4,SUCCESS,5.0
simple,150,1154,36.09,SUCCESS,5.0
simple,151,1198,36.6,SUCCESS,5.0
simple,152,1240,32.76,SUCCESS,5.0
simple,153,1111,35.1,SUCCESS,1.0
simple,154,1169,35.59,SUCCESS,5.0
simple,155,1102,33.44,SUCCESS,3.0
simple,156,1163,36.16,SUCCESS,5.0
simple,157,1137,35.42,SUCCESS,4.0
simple,158,1167,37.72,SUCCESS,5.0
simple,159,1156,37.05,SUCCESS,5.0
simple,160,1170,36.79,SUCCESS,4.0
simple,161,1225,32.0,SUCCESS,5.0
simple,162,1158,36.01,SUCCESS,4.0
simple,163,1183,38.0,SUCCESS,5.0
simple,164,1165,37.85,SUCCESS,5.0
simple,165,1167,36.74,SUCCESS,4.0
simple,166,1161,36.33,SUCCESS,5.0
simple,167,1148,37.89,SUCCESS,5.0
simple,168,1160,36.85,SUCCESS,5.0
simple,169,1124,34.99,SUCCESS,4.0
simple,170,1142,36.1,SUCCESS,5.0
simple,171,1147,34.09,SUCCESS,4.0
simple,172,1135,35.68,SUCCESS,5.0
simple,173,1125,35.22,SUCCESS,5.0
simple,174,1293,29.95,SUCCESS,5.0
simple,175,1134,34.17,SUCCESS,5.0
simple,176,1152,38.02,SUCCESS,4.0
simple,177,1088,35.06,SUCCESS,4.0
simple,178,1131,36.32,SUCCESS,5.0
simple,179,1133,35.15,SUCCESS,4.0
simple,180,1167,36.87,SUCCESS,5.0
simple,181,1135,38.52,SUCCESS,5.0
simple,182,1139,35.93,SUCCESS,3.0
simple,183,1124,35.28,SUCCESS,4.0
simple,184,1176,38.52,SUCCESS,4.0
simple,185,1110,35.23,SUCCESS,3.0
simple,186,1134,35.32,SUCCESS,4.0
simple,187,1167,35.54,SUCCESS,5.0
simple,188,1167,36.83,SUCCESS,4.0
simple,189,1196,37.1,SUCCESS,3.0
simple,190,1136,35.52,SUCCESS,4.0
simple,191,1191,38.06,SUCCESS,5.0
simple,192,1121,36.49,SUCCESS,5.0
simple,193,1103,34.04,SUCCESS,4.0
simple,194,1362,30.91,SUCCESS,5.0
simple,195,1135,34.6,SUCCESS,5.0
simple,196,1182,36.76,SUCCESS,5.0
simple,197,1181,37.83,SUCCESS,5.0
simple,198,1167,35.45,SUCCESS,4.0
simple,199,1283,30.16,SUCCESS,5.0
heft,100,1162,35.91,SUCCESS,3.0
heft,101,1082,31.7,SUCCESS,1.0
heft,102,1080,33.87,SUCCESS,1.0
heft,103,1104,34.17,SUCCESS,3.0
heft,104,1334,30.38,SUCCESS,5.0
heft,105,1130,34.87,SUCCESS,3.0
heft,106,1089,33.91,SUCCESS,1.0
heft,107,1090,34.33,SUCCESS,1.0
heft,108,1137,34.76,SUCCESS,3.0
heft,109,1088,33.82,SUCCESS,3.0
heft,110,1112,36.26,SUCCESS,1.0
heft,111,1113,35.35,SUCCESS,4.0
heft,112,1076,34.01,SUCCESS,1.0
heft,113,1110,34.75,SUCCESS,4.0
heft,114,1120,34.78,SUCCESS,5.0
heft,115,1115,33.83,SUCCESS,4.0
heft,116,1403,26.02,SUCCESS,4.0
heft,117,1118,35.44,SUCCESS,2.0
heft,118,1105,35.0,SUCCESS,1.0
heft,119,1166,31.97,SUCCESS,5.0
heft,120,1113,33.18,SUCCESS,3.0
heft,121,1418,27.34,SUCCESS,4.0
heft,122,1085,34.4,SUCCESS,3.0
heft,123,1133,34.93,SUCCESS,5.0
heft,124,1171,32.3,SUCCESS,4.0
heft,125,1109,35.84,SUCCESS,4.0
heft,126,1067,32.43,SUCCESS,1.0
heft,127,1124,33.47,SUCCESS,3.0
heft,128,1241,30.68,SUCCESS,4.0
heft,129,1111,35.31,SUCCESS,3.0
heft,130,1140,34.93,SUCCESS,3.0
heft,131,1097,32.73,SUCCESS,3.0
heft,132,1325,29.23,SUCCESS,4.0
heft,133,1130,34.89,SUCCESS,4.0
heft,134,1113,33.38,SUCCESS,4.0
heft,135,1101,34.36,SUCCESS,3.0
heft,136,1131,33.02,SUCCESS,3.0
heft,137,1099,33.76,SUCCESS,3.0
heft,138,1153,33.85,SUCCESS,4.0
heft,139,1096,31.43,SUCCESS,3.0
heft,140,1099,32.94,SUCCESS,3.0
heft,141,1149,33.72,SUCCESS,4.0
heft,142,1073,33.9,SUCCESS,1.0
heft,143,1114,34.0,SUCCESS,3.0
heft,144,1096,33.76,SUCCESS,1.0
heft,145,1319,30.36,SUCCESS,5.0
heft,146,1111,35.08,SUCCESS,1.0
heft,147,1103,32.96,SUCCESS,3.0
heft,148,1412,28.2,SUCCESS,5.0
heft,149,1092,33.97,SUCCESS,3.0
heft,150,1111,34.05,SUCCESS,3.0
heft,151,1113,32.95,SUCCESS,3.0
heft,152,1134,34.96,SUCCESS,1.0
heft,153,1149,32.55,SUCCESS,2.0
heft,154,1107,33.13,SUCCESS,3.0
heft,155,1104,33.15,SUCCESS,4.0
heft,156,1090,31.44,SUCCESS,1.0
heft,157,1101,33.54,SUCCESS,1.0
heft,158,1128,34.42,SUCCESS,3.0
heft,159,1072,33.72,SUCCESS,1.0
heft,160,1113,33.29,SUCCESS,3.0
heft,161,1083,33.03,SUCCESS,1.0
heft,162,1090,32.87,SUCCESS,1.0
heft,163,1092,33.31,SUCCESS,1.0
heft,164,1071,35.36,SUCCESS,1.0
heft,165,1146,32.81,SUCCESS,3.0
heft,166,1077,32.13,SUCCESS,3.0
heft,167,1095,34.73,SUCCESS,3.0
heft,168,1129,34.06,SUCCESS,3.0
heft,169,1126,35.1,SUCCESS,5.0
heft,170,1080,34.86,SUCCESS,1.0
heft,171,1157,35.22,SUCCESS,5.0
heft,172,1117,36.91,SUCCESS,4.0
heft,173,1085,34.49,SUCCESS,1.0
heft,174,1120,35.09,SUCCESS,1.0
heft,175,1095,33.45,SUCCESS,4.0
heft,176,1118,33.54,SUCCESS,1.0
heft,177,1115,34.51,SUCCESS,5.0
heft,178,1123,34.75,SUCCESS,4.0
heft,179,1125,34.76,SUCCESS,3.0
heft,180,1115,34.62,SUCCESS,3.0
heft,181,1089,34.46,SUCCESS,1.0
heft,182,1151,33.43,SUCCESS,4.0
heft,183,1135,33.06,SUCCESS,5.0
heft,184,1073,32.39,SUCCESS,1.0
heft,185,1162,34.14,SUCCESS,5.0
heft,186,1136,34.31,SUCCESS,5.0
heft,187,1096,34.92,SUCCESS,1.0
heft,188,1127,34.74,SUCCESS,3.0
heft,189,1122,34.14,SUCCESS,1.0
heft,190,1104,33.65,SUCCESS,1.0
heft,191,1125,32.53,SUCCESS,3.0
heft,192,1098,35.2,SUCCESS,3.0
heft,193,1093,33.94,SUCCESS,3.0
heft,194,1334,28.88,SUCCESS,4.0
heft,195,1057,34.11,SUCCESS,1.0
heft,196,1107,33.99,SUCCESS,3.0
heft,197,1110,34.89,SUCCESS,1.0
heft,198,1378,28.54,SUCCESS,5.0
heft,199,1158,34.0,SUCCESS,4.0
dls,100,1311,31.31,SUCCESS,4.0
dls,101,1152,38.76,SUCCESS,4.0
dls,102,1171,37.62,SUCCESS,5.0
dls,103,1167,36.65,SUCCESS,4.0
dls,104,1332,30.37,SUCCESS,4.0
dls,105,1137,38.63,SUCCESS,4.0
dls,106,1158,35.1,SUCCESS,4.0
dls,107,1124,33.07,SUCCESS,5.0
dls,108,1139,37.53,SUCCESS,4.0
dls,109,1149,34.57,SUCCESS,5.0
dls,110,1131,37.36,SUCCESS,4.0
dls,111,1112,35.03,SUCCESS,3.0
dls,112,1142,35.38,SUCCESS,5.0
dls,113,1104,34.81,SUCCESS,3.0
dls,114,1101,35.47,SUCCESS,3.0
dls,115,1106,35.8,SUCCESS,1.0
dls,116,1395,30.79,SUCCESS,3.0
dls,117,1126,36.01,SUCCESS,5.0
dls,118,1148,37.06,SUCCESS,4.0
dls,119,1130,34.09,SUCCESS,3.0
dls,120,1173,37.13,SUCCESS,5.0
dls,121,1152,33.83,SUCCESS,3.0
dls,122,1100,35.8,SUCCESS,5.0
dls,123,1102,34.12,SUCCESS,3.0
dls,124,1120,34.17,SUCCESS,3.0
dls,125,1079,34.57,SUCCESS,1.0
dls,126,1119,33.2,SUCCESS,2.0
dls,127,1152,36.81,SUCCESS,4.0
dls,128,1255,32.81,SUCCESS,5.0
dls,129,1327,30.67,SUCCESS,4.0
dls,130,1106,33.75,SUCCESS,1.0
dls,131,1119,34.7,SUCCESS,4.0
