scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,101,,,BLOCKED_BY_FAULTrobot4 has critically faulted and is blocking shelf2. Simulation cannot proceed.,
simple,102,1129.0,33.11,SUCCESS,3.0
simple,103,1272.0,28.76,SUCCESS,4.0
simple,104,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,105,1215.0,32.31,SUCCESS,4.0
simple,106,1151.0,35.24,SUCCESS,3.0
simple,107,,,BLOCKED_BY_FAULTrobot4 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,108,,,SIM_ERRORSimulation still running after step limit,
simple,109,1196.0,33.49,SUCCESS,4.0
simple,110,1558.0,24.96,SUCCESS,5.0
simple,111,1253.0,26.96,SUCCESS,4.0
simple,112,1285.0,28.92,SUCCESS,2.0
simple,113,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,114,,,BLOCKED_BY_FAULTrobot3 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,115,1315.0,26.84,SUCCESS,3.0
simple,116,1301.0,26.89,SUCCESS,2.0
simple,117,,,BLOCKED_BY_FAULTrobot3 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,118,1291.0,27.98,SUCCESS,4.0
simple,119,1137.0,31.33,SUCCESS,2.0
simple,120,1312.0,28.61,SUCCESS,5.0
simple,121,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,122,1126.0,33.43,SUCCESS,4.0
simple,123,1320.0,28.35,SUCCESS,3.0
simple,124,2813.0,27.53,SUCCESS,5.0
simple,125,1437.0,26.32,SUCCESS,5.0
simple,126,1557.0,23.49,SUCCESS,5.0
simple,127,1318.0,27.12,SUCCESS,3.0
simple,128,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking shelf4. Simulation cannot proceed.,
simple,129,1253.0,27.81,SUCCESS,1.0
