scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,390.0,35.32,SUCCESS,2.0
simple,101,375.0,31.53,SUCCESS,1.0
simple,102,447.0,45.64,SUCCESS,3.0
simple,103,470.0,33.03,SUCCESS,4.0
simple,104,389.0,40.1,SUCCESS,1.0
simple,105,489.0,36.25,SUCCESS,4.0
simple,106,601.0,25.79,SUCCESS,5.0
simple,107,578.0,27.55,SUCCESS,5.0
simple,108,382.0,32.2,SUCCESS,3.0
simple,109,392.0,44.32,SUCCESS,1.0
simple,110,339.0,37.68,SUCCESS,3.0
simple,111,399.0,34.27,SUCCESS,5.0
simple,112,452.0,31.25,SUCCESS,1.0
simple,113,463.0,33.59,SUCCESS,2.0
simple,114,468.0,36.91,SUCCESS,5.0
simple,115,362.0,34.32,SUCCESS,3.0
simple,116,466.0,36.16,SUCCESS,2.0
simple,117,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,118,422.0,36.73,SUCCESS,4.0
simple,119,428.0,33.12,SUCCESS,2.0
simple,120,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,121,781.0,20.23,SUCCESS,2.0
simple,122,465.0,31.77,SUCCESS,2.0
simple,123,360.0,36.46,SUCCESS,4.0
simple,124,376.0,33.98,SUCCESS,5.0
simple,125,480.0,36.2,SUCCESS,2.0
simple,126,544.0,28.35,SUCCESS,5.0
simple,127,241.0,39.21,SUCCESS,3.0
simple,128,525.0,29.33,SUCCESS,3.0
simple,129,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,130,408.0,31.31,SUCCESS,1.0
simple,131,452.0,26.33,SUCCESS,5.0
simple,132,385.0,35.71,SUCCESS,3.0
simple,133,461.0,34.22,SUCCESS,1.0
simple,134,533.0,40.95,SUCCESS,1.0
simple,135,460.0,35.16,SUCCESS,2.0
simple,136,443.0,34.26,SUCCESS,3.0
simple,137,405.0,34.26,SUCCESS,4.0
simple,138,407.0,33.29,SUCCESS,2.0
simple,139,440.0,38.01,SUCCESS,3.0
simple,140,413.0,38.08,SUCCESS,3.0
simple,141,415.0,33.67,SUCCESS,3.0
simple,142,521.0,32.73,SUCCESS,1.0
simple,143,365.0,30.41,SUCCESS,2.0
simple,144,344.0,37.86,SUCCESS,1.0
simple,145,583.0,28.56,SUCCESS,5.0
simple,146,510.0,29.95,SUCCESS,4.0
simple,147,458.0,37.83,SUCCESS,2.0
simple,148,419.0,35.8,SUCCESS,1.0
simple,149,374.0,31.08,SUCCESS,4.0
simple,150,489.0,35.33,SUCCESS,4.0
simple,151,472.0,40.04,SUCCESS,3.0
simple,152,659.0,24.47,SUCCESS,5.0
simple,153,371.0,41.51,SUCCESS,1.0
simple,154,400.0,33.25,SUCCESS,1.0
simple,155,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,156,406.0,32.7,SUCCESS,1.0
simple,157,565.0,30.27,SUCCESS,3.0
simple,158,317.0,31.47,SUCCESS,1.0
simple,159,407.0,40.48,SUCCESS,2.0
simple,160,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking shelf4. Simulation cannot proceed.,
simple,161,451.0,35.48,SUCCESS,2.0
simple,162,413.0,32.87,SUCCESS,4.0
simple,163,379.0,31.4,SUCCESS,1.0
simple,164,459.0,33.66,SUCCESS,4.0
simple,165,384.0,34.24,SUCCESS,3.0
simple,166,458.0,31.17,SUCCESS,1.0
simple,167,364.0,36.47,SUCCESS,4.0
simple,168,413.0,30.93,SUCCESS,2.0
simple,169,517.0,32.16,SUCCESS,5.0
simple,170,427.0,30.68,SUCCESS,3.0
simple,171,498.0,30.62,SUCCESS,4.0
simple,172,393.0,26.4,SUCCESS,1.0
simple,173,533.0,26.69,SUCCESS,5.0
simple,174,366.0,40.51,SUCCESS,5.0
simple,175,385.0,35.39,SUCCESS,1.0
simple,176,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,177,475.0,32.42,SUCCESS,3.0
simple,178,403.0,35.86,SUCCESS,4.0
simple,179,366.0,38.8,SUCCESS,5.0
simple,180,411.0,37.53,SUCCESS,4.0
simple,181,416.0,30.59,SUCCESS,4.0
simple,182,362.0,36.26,SUCCESS,1.0
simple,183,362.0,41.99,SUCCESS,2.0
simple,184,446.0,36.88,SUCCESS,4.0
simple,185,504.0,33.38,SUCCESS,4.0
simple,186,461.0,44.36,SUCCESS,5.0
simple,187,506.0,30.48,SUCCESS,4.0
simple,188,434.0,32.78,SUCCESS,4.0
simple,189,386.0,45.53,SUCCESS,4.0
simple,190,540.0,31.39,SUCCESS,5.0
simple,191,493.0,40.82,SUCCESS,4.0
simple,192,395.0,33.73,SUCCESS,1.0
simple,193,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,194,551.0,25.68,SUCCESS,5.0
simple,195,410.0,37.56,SUCCESS,2.0
simple,196,322.0,38.2,SUCCESS,2.0
simple,197,389.0,34.32,SUCCESS,4.0
simple,198,395.0,32.03,SUCCESS,2.0
simple,199,477.0,32.65,SUCCESS,4.0
heft,100,409.0,33.07,SUCCESS,5.0
heft,101,391.0,39.51,SUCCESS,5.0
heft,102,529.0,35.54,SUCCESS,5.0
heft,103,487.0,34.65,SUCCESS,5.0
heft,104,390.0,37.12,SUCCESS,2.0
heft,105,461.0,29.88,SUCCESS,1.0
heft,106,475.0,35.21,SUCCESS,4.0
heft,107,512.0,39.75,SUCCESS,4.0
heft,108,399.0,36.09,SUCCESS,4.0
heft,109,400.0,43.88,SUCCESS,2.0
heft,110,337.0,32.94,SUCCESS,2.0
heft,111,347.0,31.34,SUCCESS,1.0
heft,112,482.0,34.6,SUCCESS,3.0
heft,113,493.0,37.42,SUCCESS,5.0
heft,114,463.0,37.96,SUCCESS,4.0
heft,115,384.0,35.81,SUCCESS,5.0
heft,116,486.0,41.0,SUCCESS,3.0
heft,117,466.0,26.56,SUCCESS,2.0
heft,118,452.0,37.89,SUCCESS,5.0
heft,119,423.0,32.92,SUCCESS,1.0
heft,120,472.0,36.44,SUCCESS,1.0
heft,121,796.0,20.07,SUCCESS,3.0
heft,122,498.0,33.08,SUCCESS,3.0
heft,123,342.0,34.28,SUCCESS,1.0
heft,124,367.0,35.83,SUCCESS,4.0
heft,125,467.0,33.73,SUCCESS,1.0
heft,126,534.0,29.17,SUCCESS,4.0
heft,127,241.0,39.21,SUCCESS,3.0
heft,128,480.0,33.65,SUCCESS,2.0
heft,129,465.0,29.41,SUCCESS,2.0
heft,130,418.0,32.95,SUCCESS,2.0
heft,131,416.0,24.34,SUCCESS,4.0
heft,132,415.0,33.37,SUCCESS,4.0
heft,133,476.0,34.35,SUCCESS,3.0
heft,134,556.0,41.73,SUCCESS,2.0
heft,135,448.0,34.21,SUCCESS,1.0
heft,136,414.0,31.94,SUCCESS,1.0
heft,137,407.0,31.7,SUCCESS,5.0
heft,138,390.0,32.88,SUCCESS,1.0
heft,139,446.0,31.11,SUCCESS,4.0
heft,140,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.,
heft,141,438.0,28.65,SUCCESS,5.0
heft,142,614.0,29.4,SUCCESS,4.0
heft,143,368.0,34.24,SUCCESS,3.0
heft,144,388.0,39.24,SUCCESS,4.0
heft,145,465.0,38.01,SUCCESS,4.0
heft,146,493.0,36.71,SUCCESS,2.0
heft,147,433.0,35.57,SUCCESS,1.0
heft,148,493.0,31.14,SUCCESS,5.0
heft,149,351.0,32.76,SUCCESS,1.0
heft,150,476.0,33.3,SUCCESS,3.0
heft,151,449.0,39.31,SUCCESS,1.0
heft,152,429.0,39.86,SUCCESS,2.0
heft,153,372.0,41.33,SUCCESS,2.0
heft,154,434.0,38.82,SUCCESS,5.0
heft,155,508.0,29.43,SUCCESS,3.0
heft,156,461.0,34.87,SUCCESS,5.0
heft,157,497.0,37.07,SUCCESS,1.0
heft,158,324.0,41.82,SUCCESS,2.0
heft,159,401.0,37.72,SUCCESS,1.0
heft,160,398.0,33.23,SUCCESS,1.0
heft,161,462.0,39.56,SUCCESS,4.0
heft,162,459.0,35.02,SUCCESS,5.0
heft,163,401.0,34.16,SUCCESS,3.0
heft,164,485.0,35.93,SUCCESS,5.0
heft,165,364.0,33.52,SUCCESS,1.0
heft,166,466.0,35.14,SUCCESS,2.0
heft,167,339.0,31.19,SUCCESS,2.0
heft,168,406.0,35.96,SUCCESS,1.0
heft,169,465.0,29.89,SUCCESS,4.0
heft,170,440.0,37.56,SUCCESS,5.0
heft,171,532.0,29.23,SUCCESS,5.0
heft,172,414.0,31.7,SUCCESS,5.0
heft,173,488.0,35.86,SUCCESS,1.0
heft,174,318.0,35.38,SUCCESS,3.0
heft,175,386.0,33.29,SUCCESS,2.0
heft,176,426.0,37.21,SUCCESS,4.0
heft,177,533.0,28.28,SUCCESS,5.0
heft,178,402.0,37.69,SUCCESS,3.0
heft,179,359.0,37.53,SUCCESS,4.0
heft,180,396.0,40.4,SUCCESS,3.0
heft,181,360.0,35.69,SUCCESS,1.0
heft,182,485.0,33.2,SUCCESS,5.0
heft,183,368.0,38.18,SUCCESS,4.0
heft,184,429.0,40.03,SUCCESS,2.0
heft,185,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal1. Simulation cannot proceed.,
heft,186,412.0,40.59,SUCCESS,1.0
heft,187,526.0,35.84,SUCCESS,5.0
heft,188,415.0,34.34,SUCCESS,1.0
heft,189,349.0,41.83,SUCCESS,1.0
heft,190,496.0,37.3,SUCCESS,4.0
heft,191,423.0,39.54,SUCCESS,1.0
heft,192,500.0,30.1,SUCCESS,5.0
heft,193,472.0,31.25,SUCCESS,1.0
heft,194,489.0,35.58,SUCCESS,1.0
heft,195,441.0,35.15,SUCCESS,4.0
heft,196,353.0,34.56,SUCCESS,4.0
heft,197,375.0,35.73,SUCCESS,2.0
heft,198,416.0,36.42,SUCCESS,3.0
heft,199,446.0,35.99,SUCCESS,1.0
dls,100,394.0,32.93,SUCCESS,4.0
