scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,978.0,39.42,SUCCESS,4.0
simple,101,1041.0,35.71,SUCCESS,2.0
simple,102,1058.0,37.48,SUCCESS,3.0
simple,103,1105.0,33.33,SUCCESS,4.0
simple,104,1162.0,29.88,SUCCESS,4.0
simple,105,989.0,34.18,SUCCESS,1.0
simple,106,1063.0,36.15,SUCCESS,1.0
simple,107,1118.0,34.24,SUCCESS,5.0
simple,108,1104.0,34.06,SUCCESS,3.0
simple,109,992.0,36.74,SUCCESS,2.0
simple,110,958.0,39.61,SUCCESS,5.0
simple,111,1074.0,36.15,SUCCESS,4.0
simple,112,1009.0,37.93,SUCCESS,2.0
simple,113,1154.0,34.53,SUCCESS,2.0
simple,114,1110.0,39.44,SUCCESS,1.0
simple,115,892.0,39.13,SUCCESS,1.0
simple,116,931.0,37.11,SUCCESS,1.0
simple,117,1075.0,38.63,SUCCESS,5.0
simple,118,1082.0,40.32,SUCCESS,5.0
simple,119,1081.0,35.15,SUCCESS,5.0
simple,120,1040.0,36.08,SUCCESS,5.0
simple,121,1013.0,35.44,SUCCESS,3.0
simple,122,1131.0,36.76,SUCCESS,1.0
simple,123,1057.0,32.99,SUCCESS,4.0
simple,124,973.0,39.67,SUCCESS,5.0
simple,125,1027.0,38.49,SUCCESS,1.0
simple,126,1088.0,33.43,SUCCESS,1.0
simple,127,932.0,36.94,SUCCESS,5.0
simple,128,1512.0,27.08,SUCCESS,5.0
simple,129,936.0,36.0,SUCCESS,3.0
simple,130,953.0,32.84,SUCCESS,2.0
simple,131,1006.0,34.72,SUCCESS,3.0
simple,132,1002.0,36.3,SUCCESS,1.0
simple,133,1103.0,38.01,SUCCESS,5.0
simple,134,1033.0,37.88,SUCCESS,5.0
simple,135,1033.0,35.14,SUCCESS,2.0
simple,136,1220.0,25.98,SUCCESS,5.0
simple,137,1013.0,36.45,SUCCESS,3.0
simple,138,1038.0,35.72,SUCCESS,1.0
simple,139,1009.0,35.8,SUCCESS,1.0
simple,140,1037.0,38.45,SUCCESS,5.0
