scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,623,46.42,SUCCESS,5.0
simple,101,632,43.89,SUCCESS,5.0
simple,102,654,44.01,SUCCESS,4.0
simple,103,751,43.91,SUCCESS,5.0
simple,104,601,42.76,SUCCESS,3.0
simple,105,686,41.2,SUCCESS,5.0
simple,106,642,44.21,SUCCESS,5.0
simple,107,789,40.91,SUCCESS,5.0
simple,108,656,45.49,SUCCESS,2.0
simple,109,608,47.01,SUCCESS,3.0
simple,110,573,50.37,SUCCESS,1.0
simple,111,584,46.47,SUCCESS,4.0
simple,112,626,46.58,SUCCESS,5.0
simple,113,710,39.44,SUCCESS,3.0
simple,114,711,44.28,SUCCESS,5.0
simple,115,615,51.45,SUCCESS,4.0
simple,116,614,45.05,SUCCESS,5.0
simple,117,706,44.65,SUCCESS,5.0
simple,118,672,51.19,SUCCESS,5.0
simple,119,622,43.67,SUCCESS,5.0
simple,120,670,47.07,SUCCESS,5.0
simple,121,625,41.73,SUCCESS,5.0
simple,122,729,45.02,SUCCESS,5.0
simple,123,631,44.31,SUCCESS,4.0
simple,124,552,46.63,SUCCESS,4.0
simple,125,651,47.47,SUCCESS,5.0
simple,126,715,46.01,SUCCESS,4.0
simple,127,537,48.68,SUCCESS,2.0
simple,128,756,44.07,SUCCESS,5.0
simple,129,540,50.07,SUCCESS,2.0
simple,130,697,46.37,SUCCESS,4.0
simple,131,566,40.85,SUCCESS,3.0
simple,132,672,48.63,SUCCESS,5.0
simple,133,770,47.53,SUCCESS,5.0
simple,134,634,44.45,SUCCESS,4.0
simple,135,636,43.84,SUCCESS,3.0
simple,136,609,45.25,SUCCESS,1.0
simple,137,631,48.62,SUCCESS,3.0
simple,138,657,45.14,SUCCESS,4.0
simple,139,575,44.49,SUCCESS,1.0
simple,140,678,49.65,SUCCESS,5.0
simple,141,624,51.57,SUCCESS,5.0
simple,142,722,41.44,SUCCESS,5.0
simple,143,535,46.28,SUCCESS,1.0
simple,144,625,40.7,SUCCESS,5.0
simple,145,707,43.17,SUCCESS,5.0
simple,146,724,44.14,SUCCESS,3.0
simple,147,652,49.54,SUCCESS,5.0
simple,148,629,46.2,SUCCESS,1.0
simple,149,734,48.12,SUCCESS,5.0
simple,150,724,44.67,SUCCESS,5.0
simple,151,654,46.3,SUCCESS,4.0
simple,152,686,49.53,SUCCESS,5.0
simple,153,678,44.28,SUCCESS,4.0
simple,154,698,48.02,SUCCESS,5.0
simple,155,714,45.29,SUCCESS,5.0
simple,156,689,46.73,SUCCESS,5.0
simple,157,668,39.34,SUCCESS,5.0
simple,158,593,47.02,SUCCESS,5.0
simple,159,690,48.72,SUCCESS,5.0
simple,160,676,47.49,SUCCESS,5.0
simple,161,588,43.81,SUCCESS,1.0
simple,162,703,49.02,SUCCESS,5.0
simple,163,642,41.25,SUCCESS,3.0
simple,164,694,41.96,SUCCESS,4.0
simple,165,737,53.05,SUCCESS,5.0
simple,166,661,39.49,SUCCESS,4.0
simple,167,568,48.98,SUCCESS,5.0
simple,168,668,46.74,SUCCESS,4.0
simple,169,702,43.93,SUCCESS,5.0
simple,170,650,43.69,SUCCESS,4.0
simple,171,588,42.79,SUCCESS,5.0
simple,172,659,42.09,SUCCESS,2.0
simple,173,713,48.64,SUCCESS,5.0
simple,174,580,47.34,SUCCESS,3.0
simple,175,756,47.65,SUCCESS,4.0
simple,176,651,43.35,SUCCESS,4.0
simple,177,718,45.43,SUCCESS,4.0
simple,178,604,42.95,SUCCESS,4.0
simple,179,572,49.41,SUCCESS,5.0
simple,180,638,44.61,SUCCESS,5.0
simple,181,659,48.74,SUCCESS,4.0
simple,182,626,49.71,SUCCESS,4.0
simple,183,591,48.56,SUCCESS,4.0
simple,184,639,43.51,SUCCESS,3.0
simple,185,689,43.43,SUCCESS,5.0
simple,186,659,46.43,SUCCESS,4.0
simple,187,783,45.26,SUCCESS,5.0
simple,188,636,44.81,SUCCESS,1.0
simple,189,596,45.74,SUCCESS,5.0
simple,190,714,46.89,SUCCESS,4.0
simple,191,751,49.91,SUCCESS,5.0
simple,192,615,49.66,SUCCESS,5.0
simple,193,693,41.41,SUCCESS,5.0
simple,194,740,42.73,SUCCESS,5.0
simple,195,663,49.44,SUCCESS,5.0
simple,196,594,52.93,SUCCESS,5.0
simple,197,558,44.52,SUCCESS,4.0
simple,198,554,47.29,SUCCESS,2.0
simple,199,673,48.02,SUCCESS,5.0
heft,100,608,45.1,SUCCESS,4.0
heft,101,603,44.08,SUCCESS,2.0
heft,102,658,45.84,SUCCESS,5.0
heft,103,696,42.87,SUCCESS,3.0
heft,104,636,43.43,SUCCESS,5.0
heft,105,665,38.02,SUCCESS,3.0
heft,106,636,45.0,SUCCESS,4.0
heft,107,766,40.84,SUCCESS,4.0
heft,108,660,45.06,SUCCESS,3.0
heft,109,610,44.75,SUCCESS,5.0
heft,110,577,49.74,SUCCESS,2.0
heft,111,597,48.41,SUCCESS,5.0
heft,112,610,45.44,SUCCESS,2.0
heft,113,727,43.82,SUCCESS,5.0
heft,114,701,41.68,SUCCESS,3.0
heft,115,624,53.21,SUCCESS,5.0
heft,116,604,46.29,SUCCESS,4.0
heft,117,695,43.11,SUCCESS,1.0
heft,118,659,49.44,SUCCESS,4.0
heft,119,613,42.97,SUCCESS,1.0
heft,120,668,46.17,SUCCESS,4.0
heft,121,611,39.48,SUCCESS,3.0
heft,122,679,42.5,SUCCESS,1.0
heft,123,639,46.51,SUCCESS,5.0
heft,124,558,44.98,SUCCESS,5.0
heft,125,631,43.68,SUCCESS,2.0
heft,126,736,46.55,SUCCESS,5.0
heft,127,545,48.11,SUCCESS,5.0
heft,128,750,43.04,SUCCESS,4.0
heft,129,556,49.57,SUCCESS,5.0
heft,130,698,46.93,SUCCESS,5.0
heft,131,575,41.46,SUCCESS,5.0
heft,132,637,46.41,SUCCESS,3.0
heft,133,734,46.02,SUCCESS,4.0
heft,134,617,44.89,SUCCESS,1.0
heft,135,623,42.54,SUCCESS,2.0
heft,136,641,48.14,SUCCESS,5.0
heft,137,652,50.28,SUCCESS,4.0
heft,138,679,45.8,SUCCESS,5.0
heft,139,601,44.53,SUCCESS,5.0
heft,140,660,49.24,SUCCESS,4.0
heft,141,618,50.45,SUCCESS,4.0
heft,142,696,42.33,SUCCESS,2.0
heft,143,546,48.9,SUCCESS,2.0
heft,144,595,43.06,SUCCESS,1.0
heft,145,674,42.46,SUCCESS,3.0
heft,146,721,46.05,SUCCESS,2.0
heft,147,634,49.15,SUCCESS,1.0
heft,148,642,46.39,SUCCESS,2.0
heft,149,729,46.47,SUCCESS,4.0
heft,150,716,44.27,SUCCESS,4.0
heft,151,658,46.05,SUCCESS,5.0
heft,152,653,50.41,SUCCESS,3.0
heft,153,673,44.28,SUCCESS,3.0
heft,154,675,45.42,SUCCESS,3.0
heft,155,703,44.35,SUCCESS,4.0
heft,156,680,47.03,SUCCESS,4.0
heft,157,650,37.66,SUCCESS,3.0
heft,158,579,45.25,SUCCESS,4.0
heft,159,658,46.69,SUCCESS,1.0
heft,160,674,45.34,SUCCESS,4.0
heft,161,597,43.35,SUCCESS,2.0
heft,162,671,47.48,SUCCESS,4.0
heft,163,664,44.16,SUCCESS,5.0
heft,164,690,44.7,SUCCESS,3.0
heft,165,683,50.07,SUCCESS,1.0
heft,166,686,42.83,SUCCESS,5.0
heft,167,565,48.25,SUCCESS,4.0
heft,168,691,50.22,SUCCESS,5.0
heft,169,698,42.92,SUCCESS,4.0
heft,170,652,43.62,SUCCESS,5.0
heft,171,587,41.12,SUCCESS,4.0
heft,172,657,39.42,SUCCESS,1.0
heft,173,704,47.13,SUCCESS,4.0
heft,174,599,49.52,SUCCESS,4.0
heft,175,761,47.1,SUCCESS,5.0
heft,176,677,43.69,SUCCESS,5.0
heft,177,718,45.35,SUCCESS,4.0
heft,178,625,41.89,SUCCESS,5.0
heft,179,550,48.55,SUCCESS,4.0
heft,180,628,44.62,SUCCESS,4.0
heft,181,688,48.72,SUCCESS,5.0
heft,182,643,52.72,SUCCESS,5.0
heft,183,600,47.8,SUCCESS,5.0
heft,184,634,44.7,SUCCESS,2.0
heft,185,676,42.75,SUCCESS,3.0
heft,186,684,48.42,SUCCESS,5.0
heft,187,736,42.91,SUCCESS,2.0
heft,188,647,43.77,SUCCESS,3.0
heft,189,594,45.93,SUCCESS,4.0
heft,190,720,45.89,SUCCESS,5.0
heft,191,708,47.46,SUCCESS,4.0
heft,192,591,47.11,SUCCESS,2.0
heft,193,673,39.55,SUCCESS,3.0
heft,194,727,41.76,SUCCESS,4.0
heft,195,629,50.49,SUCCESS,3.0
heft,196,566,50.35,SUCCESS,3.0
heft,197,572,47.94,SUCCESS,5.0
heft,198,563,49.2,SUCCESS,3.0
heft,199,659,47.68,SUCCESS,4.0
dls,100,594,45.69,SUCCESS,3.0
dls,101,581,42.2,SUCCESS,1.0
dls,102,651,45.47,SUCCESS,1.0
dls,103,726,46.91,SUCCESS,4.0
dls,104,624,42.82,SUCCESS,4.0
dls,105,674,40.42,SUCCESS,4.0
dls,106,622,44.63,SUCCESS,1.0
dls,107,707,38.78,SUCCESS,1.0
dls,108,616,44.25,SUCCESS,1.0
dls,109,608,49.41,SUCCESS,3.0
dls,110,588,51.33,SUCCESS,3.0
dls,111,571,48.23,SUCCESS,1.0
dls,112,579,45.22,SUCCESS,1.0
dls,113,720,41.89,SUCCESS,4.0
dls,114,707,44.58,SUCCESS,4.0
dls,115,557,50.84,SUCCESS,1.0
dls,116,602,42.29,SUCCESS,3.0
dls,117,695,43.6,SUCCESS,1.0
dls,118,648,50.93,SUCCESS,3.0
dls,119,615,44.42,SUCCESS,2.0
dls,120,658,46.23,SUCCESS,1.0
dls,121,621,41.19,SUCCESS,4.0
dls,122,706,45.24,SUCCESS,4.0
dls,123,629,46.17,SUCCESS,3.0
dls,124,500,42.56,SUCCESS,1.0
dls,125,621,44.7,SUCCESS,1.0
dls,126,704,45.97,SUCCESS,1.0
dls,127,517,47.47,SUCCESS,1.0
dls,128,718,42.92,SUCCESS,3.0
dls,129,527,48.99,SUCCESS,1.0
dls,130,632,42.97,SUCCESS,1.0
dls,131,570,43.09,SUCCESS,4.0
dls,132,662,48.94,SUCCESS,4.0
dls,133,695,43.97,SUCCESS,1.0
dls,134,663,46.91,SUCCESS,5.0
dls,135,620,44.23,SUCCESS,1.0
dls,136,621,46.67,SUCCESS,4.0
dls,137,658,49.51,SUCCESS,5.0
dls,138,643,46.5,SUCCESS,3.0
dls,139,593,46.04,SUCCESS,4.0
dls,140,643,48.99,SUCCESS,3.0
dls,141,605,49.65,SUCCESS,1.0
dls,142,650,40.06,SUCCESS,1.0
dls,143,567,51.15,SUCCESS,5.0
dls,144,623,43.53,SUCCESS,4.0
dls,145,677,42.3,SUCCESS,4.0
dls,146,717,41.7,SUCCESS,1.0
dls,147,637,49.11,SUCCESS,4.0
dls,148,666,48.53,SUCCESS,5.0
dls,149,694,43.03,SUCCESS,3.0
dls,150,700,43.29,SUCCESS,3.0
dls,151,614,43.78,SUCCESS,1.0
dls,152,681,51.1,SUCCESS,4.0
dls,153,683,45.97,SUCCESS,5.0
dls,154,687,44.51,SUCCESS,4.0
dls,155,672,43.12,SUCCESS,1.0
dls,156,676,47.69,SUCCESS,3.0
dls,157,650,42.31,SUCCESS,3.0
dls,158,549,43.79,SUCCESS,1.0
dls,159,664,47.53,SUCCESS,2.0
dls,160,650,44.92,SUCCESS,3.0
dls,161,601,46.02,SUCCESS,3.0
dls,162,662,46.65,SUCCESS,1.0
dls,163,646,42.66,SUCCESS,4.0
dls,164,703,43.87,SUCCESS,5.0
dls,165,703,52.77,SUCCESS,4.0
dls,166,657,40.61,SUCCESS,1.0
dls,167,524,48.82,SUCCESS,1.0
dls,168,650,47.6,SUCCESS,1.0
dls,169,669,43.26,SUCCESS,1.0
dls,170,627,42.23,SUCCESS,1.0
dls,171,583,43.16,SUCCESS,3.0
dls,172,675,40.89,SUCCESS,5.0
dls,173,605,45.39,SUCCESS,1.0
dls,174,601,47.55,SUCCESS,5.0
dls,175,722,44.9,SUCCESS,1.0
dls,176,590,39.83,SUCCESS,1.0
dls,177,678,42.95,SUCCESS,1.0
dls,178,569,41.27,SUCCESS,3.0
dls,179,542,48.3,SUCCESS,3.0
dls,180,581,41.41,SUCCESS,1.0
dls,181,641,49.14,SUCCESS,1.0
dls,182,603,50.38,SUCCESS,3.0
dls,183,554,46.86,SUCCESS,3.0
dls,184,612,42.48,SUCCESS,1.0
dls,185,686,43.99,SUCCESS,4.0
dls,186,651,48.57,SUCCESS,3.0
dls,187,733,44.23,SUCCESS,1.0
dls,188,640,45.19,SUCCESS,2.0
dls,189,568,45.21,SUCCESS,1.0
dls,190,668,43.68,SUCCESS,3.0
dls,191,664,45.21,SUCCESS,1.0
dls,192,561,46.31,SUCCESS,1.0
dls,193,677,40.3,SUCCESS,4.0
dls,194,695,42.71,SUCCESS,1.0
dls,195,648,48.3,SUCCESS,4.0
dls,196,582,52.23,SUCCESS,4.0
dls,197,546,45.68,SUCCESS,1.0
dls,198,549,48.38,SUCCESS,1.0
dls,199,598,44.28,SUCCESS,1.0
heft-dls,100,558,44.23,SUCCESS,1.0
heft-dls,101,605,43.14,SUCCESS,3.0
heft-dls,102,651,46.42,SUCCESS,1.0
heft-dls,103,694,44.21,SUCCESS,1.0
heft-dls,104,587,41.33,SUCCESS,1.0
heft-dls,105,631,36.61,SUCCESS,1.0
heft-dls,106,626,46.26,SUCCESS,2.0
heft-dls,107,742,39.6,SUCCESS,2.0
heft-dls,108,660,47.76,SUCCESS,3.0
heft-dls,109,600,45.07,SUCCESS,1.0
heft-dls,110,601,50.55,SUCCESS,4.0
heft-dls,111,577,46.93,SUCCESS,2.0
heft-dls,112,617,45.45,SUCCESS,3.0
heft-dls,113,703,39.63,SUCCESS,1.0
heft-dls,114,681,42.67,SUCCESS,1.0
heft-dls,115,589,51.78,SUCCESS,2.0
heft-dls,116,597,41.88,SUCCESS,1.0
heft-dls,117,702,44.87,SUCCESS,3.0
heft-dls,118,645,48.81,SUCCESS,1.0
heft-dls,119,621,45.12,SUCCESS,3.0
heft-dls,120,661,45.6,SUCCESS,2.0
heft-dls,121,608,41.68,SUCCESS,1.0
heft-dls,122,681,42.61,SUCCESS,2.0
heft-dls,123,620,43.94,SUCCESS,1.0
heft-dls,124,540,44.37,SUCCESS,2.0
heft-dls,125,644,45.59,SUCCESS,3.0
heft-dls,126,704,46.11,SUCCESS,1.0
heft-dls,127,539,48.72,SUCCESS,3.0
heft-dls,128,693,41.04,SUCCESS,1.0
heft-dls,129,540,48.33,SUCCESS,2.0
heft-dls,130,657,45.11,SUCCESS,2.0
heft-dls,131,557,41.36,SUCCESS,1.0
heft-dls,132,614,44.56,SUCCESS,1.0
heft-dls,133,713,44.68,SUCCESS,2.0
heft-dls,134,617,44.83,SUCCESS,1.0
heft-dls,135,638,46.33,SUCCESS,4.0
heft-dls,136,615,45.37,SUCCESS,2.0
heft-dls,137,598,45.82,SUCCESS,1.0
heft-dls,138,597,41.64,SUCCESS,1.0
heft-dls,139,578,43.08,SUCCESS,2.0
heft-dls,140,635,47.84,SUCCESS,1.0
heft-dls,141,613,50.77,SUCCESS,2.0
heft-dls,142,701,42.11,SUCCESS,3.0
heft-dls,143,559,51.06,SUCCESS,3.0
heft-dls,144,609,43.51,SUCCESS,2.0
heft-dls,145,657,41.43,SUCCESS,1.0
heft-dls,146,740,45.0,SUCCESS,4.0
heft-dls,147,635,48.25,SUCCESS,2.0
heft-dls,148,644,44.81,SUCCESS,3.0
heft-dls,149,650,42.89,SUCCESS,1.0
heft-dls,150,692,43.53,SUCCESS,1.0
heft-dls,151,626,45.21,SUCCESS,2.0
heft-dls,152,631,47.32,SUCCESS,1.0
heft-dls,153,632,41.77,SUCCESS,1.0
heft-dls,154,653,44.56,SUCCESS,1.0
heft-dls,155,687,42.97,SUCCESS,2.0
heft-dls,156,673,47.58,SUCCESS,1.0
heft-dls,157,636,41.54,SUCCESS,1.0
heft-dls,158,575,46.37,SUCCESS,2.0
heft-dls,159,674,49.88,SUCCESS,3.0
heft-dls,160,620,42.74,SUCCESS,1.0
heft-dls,161,630,46.92,SUCCESS,4.0
heft-dls,162,662,47.61,SUCCESS,1.0
heft-dls,163,628,38.73,SUCCESS,1.0
heft-dls,164,688,44.48,SUCCESS,1.0
heft-dls,165,690,51.3,SUCCESS,2.0
heft-dls,166,657,42.59,SUCCESS,1.0
heft-dls,167,525,47.73,SUCCESS,2.0
heft-dls,168,653,46.92,SUCCESS,2.0
heft-dls,169,682,43.05,SUCCESS,2.0
heft-dls,170,648,42.96,SUCCESS,2.0
heft-dls,171,577,43.64,SUCCESS,1.0
heft-dls,172,669,41.76,SUCCESS,3.0
heft-dls,173,648,45.65,SUCCESS,2.0
heft-dls,174,560,49.11,SUCCESS,1.0
heft-dls,175,745,45.64,SUCCESS,2.0
heft-dls,176,648,42.75,SUCCESS,2.0
heft-dls,177,681,44.79,SUCCESS,2.0
heft-dls,178,567,40.32,SUCCESS,1.0
heft-dls,179,515,46.83,SUCCESS,1.0
heft-dls,180,595,44.27,SUCCESS,2.0
heft-dls,181,657,47.52,SUCCESS,2.0
heft-dls,182,601,51.88,SUCCESS,1.0
heft-dls,183,546,45.82,SUCCESS,1.0
heft-dls,184,643,44.32,SUCCESS,4.0
heft-dls,185,662,42.99,SUCCESS,1.0
heft-dls,186,645,47.88,SUCCESS,1.0
heft-dls,187,747,43.64,SUCCESS,3.0
heft-dls,188,666,47.09,SUCCESS,4.0
heft-dls,189,568,45.74,SUCCESS,1.0
heft-dls,190,635,41.01,SUCCESS,1.0
heft-dls,191,673,47.9,SUCCESS,2.0
heft-dls,192,602,49.24,SUCCESS,3.0
heft-dls,193,659,40.39,SUCCESS,1.0
heft-dls,194,711,40.23,SUCCESS,2.0
heft-dls,195,627,48.33,SUCCESS,1.0
heft-dls,196,549,51.29,SUCCESS,1.0
heft-dls,197,550,45.13,SUCCESS,2.0
heft-dls,198,578,49.69,SUCCESS,4.0
heft-dls,199,622,46.69,SUCCESS,2.0
heft-dls-dyn,100,558,44.23,SUCCESS,1.0
heft-dls-dyn,101,605,43.14,SUCCESS,3.0
heft-dls-dyn,102,651,46.42,SUCCESS,1.0
heft-dls-dyn,103,694,44.21,SUCCESS,1.0
heft-dls-dyn,104,587,41.33,SUCCESS,1.0
heft-dls-dyn,105,631,36.61,SUCCESS,1.0
heft-dls-dyn,106,626,46.26,SUCCESS,2.0
heft-dls-dyn,107,742,39.6,SUCCESS,2.0
heft-dls-dyn,108,660,47.76,SUCCESS,3.0
heft-dls-dyn,109,600,45.07,SUCCESS,1.0
heft-dls-dyn,110,601,50.55,SUCCESS,4.0
heft-dls-dyn,111,577,46.93,SUCCESS,2.0
heft-dls-dyn,112,617,45.45,SUCCESS,3.0
heft-dls-dyn,113,703,39.63,SUCCESS,1.0
heft-dls-dyn,114,681,42.67,SUCCESS,1.0
heft-dls-dyn,115,589,51.78,SUCCESS,2.0
heft-dls-dyn,116,597,41.88,SUCCESS,1.0
heft-dls-dyn,117,702,44.87,SUCCESS,3.0
heft-dls-dyn,118,645,48.81,SUCCESS,1.0
heft-dls-dyn,119,621,45.12,SUCCESS,3.0
heft-dls-dyn,120,661,45.6,SUCCESS,2.0
heft-dls-dyn,121,608,41.68,SUCCESS,1.0
heft-dls-dyn,122,681,42.61,SUCCESS,2.0
heft-dls-dyn,123,620,43.94,SUCCESS,1.0
