scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,909,37.82,SUCCESS,1.0
simple,101,1005,35.05,SUCCESS,1.0
simple,102,1008,38.19,SUCCESS,1.0
simple,103,1058,35.21,SUCCESS,2.0
simple,104,972,37.76,SUCCESS,1.0
simple,105,985,36.12,SUCCESS,1.0
simple,106,1062,38.28,SUCCESS,3.0
simple,107,1090,33.99,SUCCESS,3.0
simple,108,1037,34.14,SUCCESS,3.0
simple,109,964,39.83,SUCCESS,2.0
simple,110,925,41.11,SUCCESS,5.0
simple,111,1024,36.4,SUCCESS,4.0
simple,112,984,37.78,SUCCESS,2.0
simple,113,1138,35.39,SUCCESS,2.0
simple,114,1119,41.0,SUCCESS,5.0
simple,115,857,42.33,SUCCESS,5.0
simple,116,883,38.59,SUCCESS,1.0
simple,117,984,37.93,SUCCESS,3.0
simple,118,1012,37.87,SUCCESS,2.0
simple,119,1015,37.14,SUCCESS,2.0
simple,120,1044,38.34,SUCCESS,5.0
simple,121,942,37.87,SUCCESS,2.0
simple,122,1100,40.2,SUCCESS,2.0
simple,123,1015,36.75,SUCCESS,4.0
simple,124,896,40.74,SUCCESS,2.0
simple,125,996,37.42,SUCCESS,1.0
simple,126,1039,35.39,SUCCESS,1.0
simple,127,841,36.83,SUCCESS,1.0
simple,128,1159,37.01,SUCCESS,3.0
simple,129,879,37.51,SUCCESS,3.0
simple,130,953,37.54,SUCCESS,2.0
simple,131,942,35.67,SUCCESS,2.0
simple,132,972,38.66,SUCCESS,2.0
simple,133,1101,38.62,SUCCESS,5.0
simple,134,961,37.77,SUCCESS,4.0
simple,135,944,35.57,SUCCESS,1.0
simple,136,1028,41.1,SUCCESS,4.0
simple,137,993,39.12,SUCCESS,2.0
simple,138,994,37.45,SUCCESS,5.0
simple,139,942,35.62,SUCCESS,1.0
simple,140,969,39.65,SUCCESS,3.0
simple,141,928,41.19,SUCCESS,1.0
simple,142,1108,34.81,SUCCESS,3.0
simple,143,903,36.63,SUCCESS,1.0
simple,144,1013,38.4,SUCCESS,3.0
