scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,120,61.67,SUCCESS,2.0
simple,101,124,51.81,SUCCESS,5.0
simple,102,102,74.51,SUCCESS,1.0
simple,103,116,59.48,SUCCESS,2.0
simple,104,102,78.92,SUCCESS,1.0
simple,105,150,61.67,SUCCESS,3.0
simple,106,135,62.96,SUCCESS,4.0
simple,107,102,51.96,SUCCESS,1.0
simple,108,102,69.36,SUCCESS,1.0
simple,109,113,69.91,SUCCESS,3.0
simple,110,108,59.72,SUCCESS,2.0
simple,111,112,61.16,SUCCESS,5.0
simple,112,126,58.53,SUCCESS,5.0
simple,113,102,79.41,SUCCESS,1.0
simple,114,102,76.23,SUCCESS,1.0
simple,115,102,68.87,SUCCESS,1.0
simple,116,102,63.97,SUCCESS,1.0
simple,117,102,72.79,SUCCESS,1.0
simple,118,111,57.88,SUCCESS,4.0
simple,119,142,64.26,SUCCESS,5.0
simple,120,103,61.89,SUCCESS,4.0
simple,121,102,52.21,SUCCESS,1.0
simple,122,124,56.45,SUCCESS,5.0
simple,123,102,75.49,SUCCESS,1.0
simple,124,102,70.83,SUCCESS,1.0
simple,125,177,69.92,SUCCESS,4.0
simple,126,114,59.21,SUCCESS,4.0
simple,127,102,85.54,SUCCESS,1.0
simple,128,114,46.93,SUCCESS,3.0
simple,129,102,68.14,SUCCESS,1.0
simple,130,141,62.94,SUCCESS,5.0
simple,131,117,54.7,SUCCESS,3.0
simple,132,102,59.56,SUCCESS,1.0
simple,133,126,65.28,SUCCESS,1.0
simple,134,120,66.46,SUCCESS,4.0
simple,135,140,58.04,SUCCESS,4.0
simple,136,147,48.81,SUCCESS,4.0
simple,137,102,65.93,SUCCESS,1.0
simple,138,133,65.23,SUCCESS,4.0
simple,139,142,67.08,SUCCESS,5.0
simple,140,102,79.17,SUCCESS,1.0
simple,141,154,61.2,SUCCESS,5.0
simple,142,121,57.23,SUCCESS,4.0
simple,143,102,87.25,SUCCESS,1.0
simple,144,108,70.6,SUCCESS,5.0
simple,145,102,67.65,SUCCESS,1.0
simple,146,111,65.32,SUCCESS,5.0
simple,147,143,65.73,SUCCESS,4.0
simple,148,121,73.76,SUCCESS,4.0
simple,149,102,75.0,SUCCESS,1.0
simple,150,128,66.41,SUCCESS,4.0
simple,151,141,61.17,SUCCESS,4.0
simple,152,109,63.76,SUCCESS,5.0
simple,153,102,80.64,SUCCESS,1.0
simple,154,107,54.21,SUCCESS,4.0
simple,155,139,66.91,SUCCESS,4.0
simple,156,102,52.21,SUCCESS,1.0
simple,157,120,59.79,SUCCESS,5.0
simple,158,102,61.27,SUCCESS,1.0
simple,159,105,61.9,SUCCESS,4.0
simple,160,103,58.25,SUCCESS,4.0
simple,161,149,58.56,SUCCESS,4.0
simple,162,102,54.9,SUCCESS,1.0
simple,163,160,53.44,SUCCESS,5.0
simple,164,102,65.69,SUCCESS,1.0
simple,165,102,73.04,SUCCESS,1.0
simple,166,128,67.58,SUCCESS,4.0
simple,167,102,77.45,SUCCESS,1.0
simple,168,135,64.81,SUCCESS,5.0
simple,169,121,54.75,SUCCESS,4.0
simple,170,106,61.32,SUCCESS,4.0
simple,171,124,51.41,SUCCESS,4.0
simple,172,102,70.34,SUCCESS,1.0
simple,173,138,57.07,SUCCESS,3.0
simple,174,102,60.54,SUCCESS,1.0
simple,175,102,78.68,SUCCESS,1.0
simple,176,102,83.33,SUCCESS,1.0
simple,177,116,63.36,SUCCESS,4.0
simple,178,102,62.75,SUCCESS,1.0
simple,179,102,80.88,SUCCESS,1.0
simple,180,102,84.07,SUCCESS,1.0
simple,181,111,77.03,SUCCESS,4.0
simple,182,113,70.35,SUCCESS,4.0
simple,183,102,81.37,SUCCESS,1.0
simple,184,102,78.68,SUCCESS,1.0
simple,185,102,76.23,SUCCESS,1.0
simple,186,154,62.18,SUCCESS,5.0
simple,187,158,56.65,SUCCESS,5.0
simple,188,102,59.8,SUCCESS,1.0
simple,189,115,73.91,SUCCESS,1.0
simple,190,102,70.83,SUCCESS,1.0
simple,191,124,64.52,SUCCESS,4.0
simple,192,102,73.77,SUCCESS,1.0
simple,193,129,62.4,SUCCESS,4.0
simple,194,121,56.2,SUCCESS,4.0
simple,195,128,66.8,SUCCESS,5.0
simple,196,111,68.69,SUCCESS,5.0
simple,197,102,69.61,SUCCESS,1.0
simple,198,102,69.61,SUCCESS,1.0
simple,199,122,59.43,SUCCESS,5.0
heft,100,118,60.17,SUCCESS,1.0
heft,101,120,51.04,SUCCESS,4.0
heft,102,102,74.02,SUCCESS,1.0
heft,103,117,61.11,SUCCESS,3.0
heft,104,102,78.92,SUCCESS,1.0
heft,105,163,53.99,SUCCESS,5.0
heft,106,139,64.21,SUCCESS,5.0
heft,107,105,52.38,SUCCESS,3.0
heft,108,102,70.59,SUCCESS,1.0
heft,109,123,71.54,SUCCESS,4.0
heft,110,106,60.61,SUCCESS,1.0
heft,111,109,58.49,SUCCESS,4.0
heft,112,111,50.68,SUCCESS,3.0
heft,113,102,79.41,SUCCESS,1.0
heft,114,102,76.23,SUCCESS,1.0
heft,115,102,68.87,SUCCESS,1.0
heft,116,102,63.73,SUCCESS,1.0
heft,117,102,72.79,SUCCESS,1.0
heft,118,113,55.75,SUCCESS,5.0
heft,119,119,55.67,SUCCESS,3.0
heft,120,105,62.14,SUCCESS,5.0
heft,121,109,37.16,SUCCESS,5.0
heft,122,122,56.15,SUCCESS,4.0
heft,123,102,75.49,SUCCESS,1.0
heft,124,102,70.34,SUCCESS,1.0
heft,125,177,69.92,SUCCESS,4.0
heft,126,112,55.36,SUCCESS,3.0
heft,127,102,85.54,SUCCESS,1.0
heft,128,116,46.34,SUCCESS,4.0
heft,129,102,68.14,SUCCESS,1.0
heft,130,137,60.22,SUCCESS,4.0
heft,131,122,57.58,SUCCESS,5.0
heft,132,102,58.09,SUCCESS,1.0
heft,133,126,65.28,SUCCESS,1.0
heft,134,125,66.8,SUCCESS,5.0
heft,135,146,57.36,SUCCESS,5.0
heft,136,140,48.93,SUCCESS,1.0
heft,137,102,65.44,SUCCESS,1.0
heft,138,136,66.54,SUCCESS,5.0
heft,139,132,63.45,SUCCESS,4.0
heft,140,102,78.92,SUCCESS,1.0
heft,141,146,68.66,SUCCESS,4.0
heft,142,121,57.23,SUCCESS,4.0
heft,143,102,87.25,SUCCESS,1.0
heft,144,105,69.52,SUCCESS,4.0
heft,145,102,62.99,SUCCESS,1.0
heft,146,110,65.68,SUCCESS,4.0
heft,147,143,65.73,SUCCESS,4.0
heft,148,121,73.76,SUCCESS,4.0
heft,149,102,74.75,SUCCESS,1.0
heft,150,146,71.75,SUCCESS,5.0
heft,151,145,62.41,SUCCESS,5.0
heft,152,106,64.62,SUCCESS,4.0
heft,153,102,80.64,SUCCESS,1.0
heft,154,111,59.46,SUCCESS,5.0
heft,155,146,66.95,SUCCESS,5.0
heft,156,102,59.07,SUCCESS,1.0
heft,157,118,57.42,SUCCESS,4.0
heft,158,102,59.56,SUCCESS,1.0
heft,159,121,65.08,SUCCESS,5.0
heft,160,103,58.25,SUCCESS,4.0
heft,161,149,57.55,SUCCESS,4.0
heft,162,102,60.29,SUCCESS,1.0
heft,163,148,54.22,SUCCESS,4.0
heft,164,102,62.75,SUCCESS,1.0
heft,165,102,72.55,SUCCESS,1.0
heft,166,141,67.38,SUCCESS,5.0
heft,167,102,75.25,SUCCESS,1.0
heft,168,126,59.92,SUCCESS,4.0
heft,169,121,54.75,SUCCESS,4.0
heft,170,113,62.83,SUCCESS,5.0
heft,171,131,46.76,SUCCESS,5.0
heft,172,102,68.87,SUCCESS,1.0
heft,173,138,55.07,SUCCESS,3.0
heft,174,102,63.48,SUCCESS,1.0
heft,175,102,77.21,SUCCESS,1.0
heft,176,102,83.33,SUCCESS,1.0
heft,177,116,63.36,SUCCESS,4.0
heft,178,102,66.18,SUCCESS,1.0
heft,179,102,80.88,SUCCESS,1.0
heft,180,102,84.07,SUCCESS,1.0
heft,181,111,77.03,SUCCESS,4.0
heft,182,113,70.35,SUCCESS,4.0
heft,183,102,81.37,SUCCESS,1.0
heft,184,102,78.68,SUCCESS,1.0
heft,185,102,74.51,SUCCESS,1.0
heft,186,132,56.25,SUCCESS,4.0
heft,187,156,53.85,SUCCESS,4.0
heft,188,102,48.53,SUCCESS,1.0
heft,189,115,73.91,SUCCESS,1.0
heft,190,102,70.1,SUCCESS,1.0
heft,191,129,60.27,SUCCESS,5.0
heft,192,102,73.77,SUCCESS,1.0
heft,193,129,62.4,SUCCESS,4.0
heft,194,136,49.82,SUCCESS,5.0
heft,195,127,68.9,SUCCESS,4.0
heft,196,102,70.34,SUCCESS,1.0
heft,197,102,69.61,SUCCESS,1.0
heft,198,102,69.61,SUCCESS,1.0
heft,199,107,59.11,SUCCESS,2.0
dls,100,126,68.65,SUCCESS,3.0
dls,101,115,56.09,SUCCESS,3.0
dls,102,102,76.47,SUCCESS,1.0
dls,103,111,59.68,SUCCESS,1.0
dls,104,102,78.19,SUCCESS,1.0
dls,105,150,63.5,SUCCESS,3.0
