scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,328,38.8,SUCCESS,2.0
simple,101,338,39.5,SUCCESS,1.0
simple,102,374,44.25,SUCCESS,2.0
simple,103,379,35.75,SUCCESS,1.0
simple,104,360,42.78,SUCCESS,4.0
simple,105,425,41.53,SUCCESS,2.0
simple,106,369,36.86,SUCCESS,1.0
simple,107,409,38.51,SUCCESS,2.0
simple,108,311,36.41,SUCCESS,1.0
simple,109,356,48.67,SUCCESS,2.0
simple,110,308,44.97,SUCCESS,4.0
simple,111,329,41.26,SUCCESS,1.0
simple,112,384,36.65,SUCCESS,1.0
simple,113,420,42.2,SUCCESS,2.0
simple,114,416,45.91,SUCCESS,3.0
simple,115,293,41.3,SUCCESS,2.0
simple,116,383,40.93,SUCCESS,1.0
simple,117,380,42.04,SUCCESS,2.0
simple,118,380,46.51,SUCCESS,2.0
simple,119,361,41.97,SUCCESS,2.0
simple,120,429,44.06,SUCCESS,3.0
simple,121,401,40.02,SUCCESS,2.0
simple,122,394,49.18,SUCCESS,2.0
simple,123,312,43.83,SUCCESS,2.0
simple,124,316,42.41,SUCCESS,3.0
simple,125,386,38.47,SUCCESS,1.0
simple,126,414,41.18,SUCCESS,3.0
simple,127,247,50.91,SUCCESS,1.0
simple,128,405,37.65,SUCCESS,3.0
simple,129,340,43.31,SUCCESS,1.0
simple,130,365,41.37,SUCCESS,2.0
simple,131,330,42.27,SUCCESS,2.0
simple,132,354,48.94,SUCCESS,4.0
simple,133,428,46.55,SUCCESS,2.0
simple,134,430,42.21,SUCCESS,1.0
simple,135,407,41.65,SUCCESS,1.0
simple,136,364,40.25,SUCCESS,3.0
simple,137,358,43.44,SUCCESS,3.0
simple,138,346,42.63,SUCCESS,2.0
simple,139,363,46.69,SUCCESS,2.0
simple,140,359,43.11,SUCCESS,3.0
simple,141,330,42.8,SUCCESS,2.0
simple,142,438,38.47,SUCCESS,1.0
simple,143,319,43.5,SUCCESS,1.0
simple,144,328,43.52,SUCCESS,2.0
simple,145,391,38.81,SUCCESS,1.0
simple,146,422,38.98,SUCCESS,2.0
simple,147,376,44.61,SUCCESS,2.0
simple,148,365,42.95,SUCCESS,2.0
simple,149,354,44.56,SUCCESS,4.0
simple,150,423,42.67,SUCCESS,3.0
simple,151,376,41.62,SUCCESS,2.0
simple,152,364,43.61,SUCCESS,2.0
simple,153,310,41.29,SUCCESS,1.0
simple,154,348,42.96,SUCCESS,1.0
simple,155,364,36.61,SUCCESS,1.0
simple,156,350,36.5,SUCCESS,1.0
simple,157,430,42.15,SUCCESS,2.0
simple,158,260,46.83,SUCCESS,1.0
simple,159,355,39.72,SUCCESS,1.0
simple,160,336,41.15,SUCCESS,2.0
simple,161,389,43.77,SUCCESS,1.0
simple,162,340,38.24,SUCCESS,1.0
simple,163,346,38.29,SUCCESS,1.0
simple,164,363,39.46,SUCCESS,1.0
simple,165,336,42.78,SUCCESS,2.0
simple,166,398,36.49,SUCCESS,2.0
simple,167,278,38.58,SUCCESS,3.0
simple,168,360,40.97,SUCCESS,1.0
simple,169,396,40.4,SUCCESS,3.0
simple,170,370,41.76,SUCCESS,4.0
simple,171,413,39.95,SUCCESS,3.0
simple,172,332,36.37,SUCCESS,1.0
simple,173,418,44.02,SUCCESS,1.0
simple,174,257,41.05,SUCCESS,1.0
simple,175,374,44.59,SUCCESS,4.0
simple,176,368,43.82,SUCCESS,4.0
simple,177,386,37.37,SUCCESS,1.0
simple,178,336,40.85,SUCCESS,2.0
simple,179,311,47.83,SUCCESS,2.0
simple,180,341,41.72,SUCCESS,2.0
simple,181,334,44.91,SUCCESS,2.0
simple,182,362,46.96,SUCCESS,2.0
simple,183,338,48.89,SUCCESS,3.0
simple,184,379,43.14,SUCCESS,4.0
simple,185,406,43.97,SUCCESS,3.0
simple,186,378,49.87,SUCCESS,1.0
simple,187,422,36.91,SUCCESS,1.0
simple,188,348,36.93,SUCCESS,2.0
simple,189,342,51.02,SUCCESS,4.0
simple,190,415,40.6,SUCCESS,3.0
simple,191,368,41.98,SUCCESS,3.0
simple,192,356,41.43,SUCCESS,3.0
simple,193,385,37.14,SUCCESS,1.0
simple,194,422,41.77,SUCCESS,1.0
simple,195,355,44.01,SUCCESS,1.0
simple,196,296,51.1,SUCCESS,4.0
simple,197,304,35.61,SUCCESS,1.0
simple,198,367,42.1,SUCCESS,2.0
simple,199,400,43.12,SUCCESS,4.0
heft,100,316,37.1,SUCCESS,1.0
heft,101,343,41.4,SUCCESS,3.0
heft,102,412,48.36,SUCCESS,4.0
heft,103,399,41.6,SUCCESS,2.0
heft,104,336,41.59,SUCCESS,2.0
heft,105,403,34.24,SUCCESS,1.0
heft,106,380,38.09,SUCCESS,2.0
heft,107,415,42.17,SUCCESS,3.0
heft,108,360,43.75,SUCCESS,4.0
heft,109,358,46.37,SUCCESS,3.0
heft,110,304,43.5,SUCCESS,2.0
heft,111,350,45.79,SUCCESS,3.0
heft,112,411,38.2,SUCCESS,3.0
heft,113,421,42.4,SUCCESS,3.0
heft,114,411,42.88,SUCCESS,2.0
heft,115,311,40.76,SUCCESS,4.0
heft,116,400,45.0,SUCCESS,3.0
heft,117,416,43.87,SUCCESS,4.0
heft,118,380,45.66,SUCCESS,2.0
heft,119,358,40.78,SUCCESS,1.0
heft,120,406,44.46,SUCCESS,1.0
heft,121,394,36.99,SUCCESS,1.0
heft,122,403,46.71,SUCCESS,3.0
heft,123,327,44.27,SUCCESS,4.0
heft,124,318,45.05,SUCCESS,4.0
heft,125,408,40.75,SUCCESS,2.0
heft,126,392,41.01,SUCCESS,1.0
heft,127,247,50.91,SUCCESS,1.0
heft,128,428,39.49,SUCCESS,4.0
heft,129,356,44.1,SUCCESS,3.0
heft,130,332,36.9,SUCCESS,1.0
heft,131,307,39.5,SUCCESS,1.0
heft,132,324,47.69,SUCCESS,2.0
heft,133,432,44.62,SUCCESS,3.0
heft,134,444,42.85,SUCCESS,2.0
heft,135,411,41.06,SUCCESS,4.0
heft,136,346,36.63,SUCCESS,1.0
heft,137,352,44.82,SUCCESS,2.0
heft,138,327,38.38,SUCCESS,1.0
heft,139,352,44.46,SUCCESS,1.0
heft,140,351,40.95,SUCCESS,1.0
heft,141,325,39.46,SUCCESS,1.0
heft,142,461,45.34,SUCCESS,3.0
heft,143,322,42.78,SUCCESS,2.0
heft,144,312,40.62,SUCCESS,1.0
heft,145,397,40.87,SUCCESS,3.0
heft,146,409,37.84,SUCCESS,1.0
heft,147,353,37.54,SUCCESS,1.0
heft,148,378,45.7,SUCCESS,4.0
heft,149,320,40.08,SUCCESS,1.0
heft,150,423,43.91,SUCCESS,3.0
