scheduler,seed,total_steps,avg_wait_pct,status
simple,100,129,67.25,SUCCESS
simple,101,110,48.86,SUCCESS
simple,102,102,74.02,SUCCESS
simple,103,119,64.92,SUCCESS
simple,104,102,78.92,SUCCESS
simple,105,149,62.42,SUCCESS
simple,106,104,62.74,SUCCESS
simple,107,102,60.29,SUCCESS
simple,108,102,68.14,SUCCESS
simple,109,112,70.09,SUCCESS
simple,110,102,63.73,SUCCESS
simple,111,102,59.56,SUCCESS
simple,112,118,59.11,SUCCESS
simple,113,102,77.7,SUCCESS
simple,114,102,78.92,SUCCESS
simple,115,102,77.21,SUCCESS
simple,116,102,68.87,SUCCESS
simple,117,102,77.45,SUCCESS
simple,118,104,55.53,SUCCESS
simple,119,123,63.41,SUCCESS
simple,120,102,65.93,SUCCESS
simple,121,102,54.9,SUCCESS
simple,122,130,63.27,SUCCESS
simple,123,102,77.7,SUCCESS
simple,124,102,76.23,SUCCESS
simple,125,134,75.0,SUCCESS
simple,126,108,57.64,SUCCESS
simple,127,102,85.54,SUCCESS
simple,128,103,49.51,SUCCESS
simple,129,103,67.23,SUCCESS
heft,100,129,67.25,SUCCESS
heft,101,128,54.49,SUCCESS
heft,102,102,74.02,SUCCESS
heft,103,117,63.25,SUCCESS
heft,104,102,78.92,SUCCESS
heft,105,150,63.5,SUCCESS
heft,106,106,61.08,SUCCESS
heft,107,105,60.48,SUCCESS
heft,108,102,68.14,SUCCESS
heft,109,117,71.15,SUCCESS
heft,110,102,63.24,SUCCESS
heft,111,102,56.86,SUCCESS
heft,112,105,57.14,SUCCESS
heft,113,102,77.7,SUCCESS
heft,114,102,78.92,SUCCESS
heft,115,102,77.21,SUCCESS
heft,116,102,67.89,SUCCESS
heft,117,102,77.45,SUCCESS
heft,118,104,55.53,SUCCESS
heft,119,115,62.61,SUCCESS
heft,120,102,65.93,SUCCESS
heft,121,102,55.64,SUCCESS
heft,122,125,62.6,SUCCESS
heft,123,102,77.7,SUCCESS
heft,124,102,77.45,SUCCESS
heft,125,134,75.0,SUCCESS
heft,126,102,54.66,SUCCESS
heft,127,102,85.54,SUCCESS
heft,128,103,49.51,SUCCESS
heft,129,103,67.23,SUCCESS
dls,100,128,68.55,SUCCESS
dls,101,105,52.14,SUCCESS
dls,102,102,75.98,SUCCESS
dls,103,114,58.99,SUCCESS
dls,104,102,79.9,SUCCESS
dls,105,148,65.2,SUCCESS
dls,106,113,63.72,SUCCESS
dls,107,108,59.95,SUCCESS
dls,108,102,75.98,SUCCESS
dls,109,109,67.89,SUCCESS
dls,110,121,65.7,SUCCESS
dls,111,102,59.31,SUCCESS
dls,112,107,59.35,SUCCESS
dls,113,102,78.68,SUCCESS
dls,114,102,79.41,SUCCESS
dls,115,102,77.21,SUCCESS
dls,116,102,70.1,SUCCESS
dls,117,102,76.96,SUCCESS
dls,118,102,59.07,SUCCESS
dls,119,126,65.67,SUCCESS
dls,120,102,66.67,SUCCESS
dls,121,102,56.37,SUCCESS
dls,122,115,54.78,SUCCESS
dls,123,102,78.68,SUCCESS
dls,124,102,79.66,SUCCESS
dls,125,140,74.29,SUCCESS
dls,126,116,60.56,SUCCESS
dls,127,102,87.25,SUCCESS
dls,128,115,57.17,SUCCESS
dls,129,102,68.87,SUCCESS
heft-dls,100,128,68.55,SUCCESS
heft-dls,101,107,53.27,SUCCESS
heft-dls,102,102,75.98,SUCCESS
heft-dls,103,118,60.59,SUCCESS
heft-dls,104,102,79.9,SUCCESS
heft-dls,105,132,58.14,SUCCESS
heft-dls,106,102,63.73,SUCCESS
heft-dls,107,102,49.26,SUCCESS
heft-dls,108,102,75.98,SUCCESS
heft-dls,109,111,69.14,SUCCESS
heft-dls,110,113,61.95,SUCCESS
heft-dls,111,102,60.54,SUCCESS
heft-dls,112,102,52.21,SUCCESS
heft-dls,113,102,78.68,SUCCESS
heft-dls,114,102,79.41,SUCCESS
heft-dls,115,102,77.21,SUCCESS
heft-dls,116,102,69.12,SUCCESS
heft-dls,117,102,76.96,SUCCESS
heft-dls,118,102,59.07,SUCCESS
heft-dls,119,111,61.94,SUCCESS
heft-dls,120,102,66.67,SUCCESS
heft-dls,121,102,60.29,SUCCESS
heft-dls,122,122,56.97,SUCCESS
heft-dls,123,102,78.68,SUCCESS
heft-dls,124,102,79.66,SUCCESS
heft-dls,125,140,74.29,SUCCESS
heft-dls,126,116,60.56,SUCCESS
heft-dls,127,102,87.25,SUCCESS
heft-dls,128,115,57.17,SUCCESS
heft-dls,129,102,68.87,SUCCESS
