scheduler,seed,total_steps,avg_wait_pct,status
simple,100,383,48.04,SUCCESS
simple,101,330,44.32,SUCCESS
simple,102,363,45.8,SUCCESS
simple,103,396,40.85,SUCCESS
simple,104,315,43.65,SUCCESS
simple,105,385,43.57,SUCCESS
simple,106,389,43.57,SUCCESS
simple,107,414,45.35,SUCCESS
simple,108,348,49.93,SUCCESS
simple,109,341,50.66,SUCCESS
simple,110,313,50.48,SUCCESS
simple,111,304,41.53,SUCCESS
simple,112,384,39.32,SUCCESS
simple,113,388,43.17,SUCCESS
simple,114,387,46.32,SUCCESS
simple,115,294,44.3,SUCCESS
simple,116,415,46.57,SUCCESS
simple,117,397,48.43,SUCCESS
simple,118,369,46.27,SUCCESS
simple,119,336,43.23,SUCCESS
simple,120,437,50.4,SUCCESS
simple,121,371,38.01,SUCCESS
simple,122,386,51.55,SUCCESS
simple,123,330,48.64,SUCCESS
simple,124,322,45.34,SUCCESS
simple,125,382,43.13,SUCCESS
simple,126,385,42.01,SUCCESS
simple,127,251,55.78,SUCCESS
simple,128,395,39.81,SUCCESS
simple,129,333,44.82,SUCCESS
heft,100,360,44.51,SUCCESS
heft,101,348,47.7,SUCCESS
heft,102,368,43.14,SUCCESS
heft,103,394,41.69,SUCCESS
heft,104,330,45.08,SUCCESS
heft,105,441,49.77,SUCCESS
heft,106,370,39.32,SUCCESS
heft,107,408,41.79,SUCCESS
heft,108,325,44.85,SUCCESS
heft,109,362,53.04,SUCCESS
heft,110,339,51.7,SUCCESS
heft,111,323,42.03,SUCCESS
heft,112,408,40.38,SUCCESS
heft,113,390,39.74,SUCCESS
heft,114,392,46.24,SUCCESS
heft,115,319,49.92,SUCCESS
heft,116,417,47.48,SUCCESS
heft,117,373,43.5,SUCCESS
heft,118,369,45.87,SUCCESS
heft,119,377,49.73,SUCCESS
heft,120,391,44.82,SUCCESS
heft,121,387,40.89,SUCCESS
heft,122,410,51.34,SUCCESS
heft,123,341,50.22,SUCCESS
heft,124,313,44.73,SUCCESS
heft,125,369,40.99,SUCCESS
heft,126,410,43.05,SUCCESS
heft,127,251,55.78,SUCCESS
heft,128,391,39.32,SUCCESS
heft,129,346,44.36,SUCCESS
dls,100,357,48.32,SUCCESS
dls,101,330,42.35,SUCCESS
dls,102,368,47.08,SUCCESS
dls,103,376,41.95,SUCCESS
dls,104,325,45.77,SUCCESS
dls,105,382,43.0,SUCCESS
dls,106,354,38.14,SUCCESS
dls,107,384,41.02,SUCCESS
dls,108,334,43.79,SUCCESS
dls,109,328,46.88,SUCCESS
dls,110,288,48.87,SUCCESS
dls,111,342,46.71,SUCCESS
dls,112,420,43.39,SUCCESS
dls,113,389,43.12,SUCCESS
dls,114,410,49.09,SUCCESS
dls,115,283,49.56,SUCCESS
dls,116,377,44.03,SUCCESS
dls,117,385,42.66,SUCCESS
dls,118,360,47.99,SUCCESS
dls,119,360,43.26,SUCCESS
dls,120,374,40.51,SUCCESS
dls,121,426,46.54,SUCCESS
dls,122,357,47.69,SUCCESS
dls,123,310,42.66,SUCCESS
dls,124,312,47.36,SUCCESS
dls,125,403,46.09,SUCCESS
dls,126,367,40.26,SUCCESS
dls,127,235,54.15,SUCCESS
dls,128,370,36.22,SUCCESS
dls,129,374,48.93,SUCCESS
heft-dls,100,346,41.33,SUCCESS
heft-dls,101,340,46.18,SUCCESS
heft-dls,102,367,48.16,SUCCESS
heft-dls,103,386,42.03,SUCCESS
heft-dls,104,335,44.03,SUCCESS
heft-dls,105,420,42.86,SUCCESS
heft-dls,106,364,39.29,SUCCESS
heft-dls,107,381,39.17,SUCCESS
heft-dls,108,336,48.59,SUCCESS
heft-dls,109,346,50.07,SUCCESS
heft-dls,110,314,49.84,SUCCESS
heft-dls,111,342,44.3,SUCCESS
heft-dls,112,396,42.93,SUCCESS
heft-dls,113,385,41.17,SUCCESS
heft-dls,114,384,43.42,SUCCESS
heft-dls,115,316,50.79,SUCCESS
heft-dls,116,359,43.73,SUCCESS
heft-dls,117,363,37.47,SUCCESS
heft-dls,118,380,48.49,SUCCESS
heft-dls,119,348,44.47,SUCCESS
heft-dls,120,388,42.14,SUCCESS
heft-dls,121,394,45.88,SUCCESS
heft-dls,122,399,51.13,SUCCESS
heft-dls,123,313,46.33,SUCCESS
heft-dls,124,322,48.37,SUCCESS
heft-dls,125,384,39.39,SUCCESS
heft-dls,126,398,45.35,SUCCESS
heft-dls,127,229,53.06,SUCCESS
heft-dls,128,368,32.54,SUCCESS
heft-dls,129,333,43.47,SUCCESS
