scheduler,seed,total_steps,avg_wait_pct,status
simple,100,676,27.74,SUCCESS
simple,101,866,22.83,SUCCESS
simple,102,,,BLOCKED_BY_FAULT
simple,103,1333,17.39,SUCCESS
simple,104,942,19.72,SUCCESS
simple,105,1007,21.67,SUCCESS
simple,106,897,25.11,SUCCESS
simple,107,887,30.58,SUCCESS
simple,108,789,34.98,SUCCESS
simple,109,855,28.04,SUCCESS
simple,110,672,36.31,SUCCESS
simple,111,801,24.81,SUCCESS
simple,112,714,36.52,SUCCESS
simple,113,927,22.68,SUCCESS
simple,114,824,34.68,SUCCESS
simple,115,771,34.92,SUCCESS
simple,116,721,30.93,SUCCESS
simple,117,900,32.78,SUCCESS
simple,118,,,SIM_ERROR
simple,119,750,36.57,SUCCESS
simple,120,902,25.97,SUCCESS
simple,121,,,BLOCKED_BY_FAULT
simple,122,845,30.21,SUCCESS
simple,123,785,35.89,SUCCESS
simple,124,728,28.5,SUCCESS
simple,125,809,36.19,SUCCESS
simple,126,,,SIM_ERROR
simple,127,632,36.19,SUCCESS
simple,128,1123,23.13,SUCCESS
simple,129,675,37.52,SUCCESS
heft,100,908,24.45,SUCCESS
heft,101,876,24.23,SUCCESS
heft,102,,,SIM_ERROR
heft,103,1026,23.85,SUCCESS
heft,104,980,19.31,SUCCESS
heft,105,,,SIM_ERROR
heft,106,923,23.29,SUCCESS
heft,107,1093,24.09,SUCCESS
heft,108,,,SIM_ERROR
heft,109,,,SIM_ERROR
heft,110,657,37.56,SUCCESS
heft,111,821,23.39,SUCCESS
heft,112,,,SIM_ERROR
heft,113,,,SIM_ERROR
heft,114,,,SIM_ERROR
heft,115,716,37.85,SUCCESS
heft,116,743,35.53,SUCCESS
heft,117,,,SIM_ERROR
heft,118,869,42.03,SUCCESS
heft,119,733,34.41,SUCCESS
heft,120,,,BLOCKED_BY_FAULT
heft,121,,,SIM_ERROR
heft,122,859,36.58,SUCCESS
heft,123,791,35.24,SUCCESS
heft,124,780,30.48,SUCCESS
heft,125,741,33.6,SUCCESS
heft,126,865,27.98,SUCCESS
heft,127,630,36.15,SUCCESS
heft,128,1251,24.0,SUCCESS
heft,129,881,22.11,SUCCESS
dls,100,742,39.72,SUCCESS
dls,101,736,36.85,SUCCESS
dls,102,,,SIM_ERROR
dls,103,998,21.89,SUCCESS
dls,104,,,SIM_ERROR
dls,105,,,BLOCKED_BY_FAULT
dls,106,1108,22.9,SUCCESS
dls,107,968,28.33,SUCCESS
dls,108,863,27.11,SUCCESS
dls,109,,,SIM_ERROR
dls,110,756,31.94,SUCCESS
dls,111,811,26.11,SUCCESS
dls,112,,,SIM_ERROR
dls,113,974,24.23,SUCCESS
dls,114,,,SIM_ERROR
dls,115,659,38.58,SUCCESS
dls,116,,,BLOCKED_BY_FAULT
dls,117,960,25.0,SUCCESS
dls,118,814,29.3,SUCCESS
dls,119,,,SIM_ERROR
dls,120,767,32.37,SUCCESS
dls,121,,,SIM_ERROR
dls,122,754,28.25,SUCCESS
dls,123,,,SIM_ERROR
dls,124,,,SIM_ERROR
dls,125,759,33.37,SUCCESS
dls,126,,,SIM_ERROR
dls,127,625,35.48,SUCCESS
dls,128,1328,17.17,SUCCESS
dls,129,720,28.51,SUCCESS
heft-dls,100,677,31.65,SUCCESS
heft-dls,101,,,BLOCKED_BY_FAULT
heft-dls,102,,,SIM_ERROR
heft-dls,103,,,SIM_ERROR
heft-dls,104,686,33.38,SUCCESS
heft-dls,105,795,29.94,SUCCESS
heft-dls,106,1804,29.38,SUCCESS
heft-dls,107,1112,25.2,SUCCESS
heft-dls,108,847,28.84,SUCCESS
heft-dls,109,692,36.99,SUCCESS
heft-dls,110,690,37.36,SUCCESS
heft-dls,111,,,SIM_ERROR
heft-dls,112,749,30.74,SUCCESS
heft-dls,113,835,33.92,SUCCESS
heft-dls,114,854,35.71,SUCCESS
heft-dls,115,692,37.79,SUCCESS
heft-dls,116,721,33.25,SUCCESS
heft-dls,117,,,SIM_ERROR
heft-dls,118,838,42.57,SUCCESS
heft-dls,119,733,33.25,SUCCESS
heft-dls,120,824,26.37,SUCCESS
heft-dls,121,885,21.89,SUCCESS
heft-dls,122,783,31.8,SUCCESS
heft-dls,123,755,34.04,SUCCESS
heft-dls,124,636,31.88,SUCCESS
heft-dls,125,782,34.46,SUCCESS
heft-dls,126,,,SIM_ERROR
heft-dls,127,610,34.02,SUCCESS
heft-dls,128,865,36.42,SUCCESS
heft-dls,129,664,33.13,SUCCESS
