scheduler,seed,total_steps,avg_wait_pct,status
simple,100,745,32.82,SUCCESS
simple,101,778,34.99,SUCCESS
simple,102,871,34.33,SUCCESS
simple,103,933,32.21,SUCCESS
simple,104,775,30.97,SUCCESS
simple,105,896,32.14,SUCCESS
simple,106,843,36.33,SUCCESS
simple,107,982,28.44,SUCCESS
simple,108,823,35.78,SUCCESS
simple,109,802,34.85,SUCCESS
simple,110,693,34.05,SUCCESS
simple,111,711,30.45,SUCCESS
simple,112,800,34.31,SUCCESS
simple,113,917,30.26,SUCCESS
simple,114,942,34.42,SUCCESS
simple,115,742,35.95,SUCCESS
simple,116,968,25.57,SUCCESS
simple,117,948,30.06,SUCCESS
simple,118,810,32.69,SUCCESS
simple,119,858,30.48,SUCCESS
simple,120,810,31.36,SUCCESS
simple,121,829,32.87,SUCCESS
simple,122,897,32.58,SUCCESS
simple,123,815,31.69,SUCCESS
simple,124,737,30.87,SUCCESS
simple,125,836,35.56,SUCCESS
simple,126,926,33.37,SUCCESS
simple,127,676,34.5,SUCCESS
simple,128,1046,30.47,SUCCESS
simple,129,670,33.66,SUCCESS
heft,100,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal1. Simulation cannot proceed.
heft,101,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal0. Simulation cannot proceed.
heft,102,915,37.46,SUCCESS
heft,103,927,30.85,SUCCESS
heft,104,781,32.84,SUCCESS
heft,105,906,33.8,SUCCESS
heft,106,845,31.27,SUCCESS
heft,107,993,31.52,SUCCESS
heft,108,796,32.04,SUCCESS
heft,109,742,32.88,SUCCESS
heft,110,696,32.94,SUCCESS
heft,111,716,34.15,SUCCESS
heft,112,752,31.78,SUCCESS
heft,113,921,31.27,SUCCESS
heft,114,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal0. Simulation cannot proceed.
heft,115,690,35.54,SUCCESS
heft,116,783,29.79,SUCCESS
heft,117,904,31.58,SUCCESS
heft,118,824,36.59,SUCCESS
heft,119,774,32.53,SUCCESS
heft,120,977,27.0,SUCCESS
heft,121,832,33.92,SUCCESS
heft,122,1126,27.06,SUCCESS
heft,123,812,33.37,SUCCESS
heft,124,702,33.51,SUCCESS
heft,125,837,32.77,SUCCESS
heft,126,951,33.04,SUCCESS
heft,127,678,34.92,SUCCESS
heft,128,1037,28.18,SUCCESS
heft,129,693,33.95,SUCCESS
dls,100,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal1. Simulation cannot proceed.
dls,101,780,35.22,SUCCESS
dls,102,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.
dls,103,943,30.81,SUCCESS
dls,104,841,28.36,SUCCESS
dls,105,911,33.48,SUCCESS
dls,106,946,27.93,SUCCESS
dls,107,1025,29.73,SUCCESS
dls,108,850,32.53,SUCCESS
dls,109,787,38.09,SUCCESS
dls,110,681,35.06,SUCCESS
dls,111,724,38.33,SUCCESS
dls,112,785,34.39,SUCCESS
dls,113,902,30.52,SUCCESS
dls,114,934,32.39,SUCCESS
dls,115,693,32.65,SUCCESS
dls,116,767,31.39,SUCCESS
dls,117,1147,27.7,SUCCESS
dls,118,838,34.01,SUCCESS
dls,119,807,33.46,SUCCESS
dls,120,830,32.53,SUCCESS
dls,121,863,28.88,SUCCESS
dls,122,912,33.14,SUCCESS
dls,123,807,32.59,SUCCESS
dls,124,708,32.91,SUCCESS
dls,125,840,36.49,SUCCESS
dls,126,896,30.52,SUCCESS
dls,127,673,36.29,SUCCESS
dls,128,1063,29.4,SUCCESS
dls,129,657,34.51,SUCCESS
heft-dls,100,842,27.4,SUCCESS
heft-dls,101,797,36.1,SUCCESS
heft-dls,102,862,36.92,SUCCESS
heft-dls,103,911,29.56,SUCCESS
heft-dls,104,785,29.27,SUCCESS
heft-dls,105,880,30.23,SUCCESS
heft-dls,106,799,32.98,SUCCESS
heft-dls,107,981,31.29,SUCCESS
heft-dls,108,829,31.09,SUCCESS
heft-dls,109,751,37.68,SUCCESS
heft-dls,110,660,36.1,SUCCESS
heft-dls,111,765,31.76,SUCCESS
heft-dls,112,763,35.06,SUCCESS
heft-dls,113,931,32.52,SUCCESS
heft-dls,114,897,32.55,SUCCESS
heft-dls,115,723,36.45,SUCCESS
heft-dls,116,789,34.63,SUCCESS
heft-dls,117,927,33.25,SUCCESS
heft-dls,118,907,30.84,SUCCESS
heft-dls,119,777,32.5,SUCCESS
heft-dls,120,806,31.89,SUCCESS
heft-dls,121,829,29.01,SUCCESS
