scheduler,seed,total_steps,avg_wait_pct,status
simple,100,667,44.49,SUCCESS
simple,101,685,21.75,SUCCESS
simple,102,,,SIM_ERROR
simple,103,856,39.52,SUCCESS
simple,104,740,20.84,SUCCESS
simple,105,811,32.8,SUCCESS
simple,106,752,27.59,SUCCESS
simple,107,896,39.96,SUCCESS
simple,108,744,40.73,SUCCESS
simple,109,739,29.3,SUCCESS
simple,110,667,49.06,SUCCESS
simple,111,689,28.16,SUCCESS
simple,112,708,41.91,SUCCESS
simple,113,816,26.29,SUCCESS
simple,114,815,32.12,SUCCESS
simple,115,658,45.21,SUCCESS
simple,116,723,43.53,SUCCESS
simple,117,912,31.72,SUCCESS
simple,118,750,45.47,SUCCESS
simple,119,739,44.69,SUCCESS
simple,120,766,45.33,SUCCESS
simple,121,800,21.69,SUCCESS
simple,122,802,43.05,SUCCESS
simple,123,769,33.94,SUCCESS
simple,124,625,41.28,SUCCESS
simple,125,713,40.71,SUCCESS
simple,126,803,31.69,SUCCESS
simple,127,619,46.37,SUCCESS
simple,128,813,33.18,SUCCESS
simple,129,719,38.8,SUCCESS
heft,100,675,37.15,SUCCESS
heft,101,727,21.73,SUCCESS
heft,102,760,31.45,SUCCESS
heft,103,844,25.56,SUCCESS
heft,104,759,23.22,SUCCESS
heft,105,776,40.17,SUCCESS
heft,106,782,43.93,SUCCESS
heft,107,,,SIM_ERROR
heft,108,,,SIM_ERROR
heft,109,,,SIM_ERROR
heft,110,629,46.42,SUCCESS
heft,111,752,31.42,SUCCESS
heft,112,,,SIM_ERROR
heft,113,,,SIM_ERROR
heft,114,799,41.33,SUCCESS
heft,115,654,43.88,SUCCESS
heft,116,636,40.76,SUCCESS
heft,117,877,28.91,SUCCESS
heft,118,721,43.9,SUCCESS
heft,119,751,44.84,SUCCESS
heft,120,748,43.52,SUCCESS
heft,121,,,SIM_ERROR
heft,122,767,37.68,SUCCESS
heft,123,734,43.46,SUCCESS
heft,124,662,33.27,SUCCESS
heft,125,734,43.12,SUCCESS
heft,126,853,43.79,SUCCESS
heft,127,592,46.92,SUCCESS
heft,128,876,34.73,SUCCESS
heft,129,669,47.09,SUCCESS
dls,100,689,31.49,SUCCESS
dls,101,661,38.99,SUCCESS
dls,102,,,SIM_ERROR
dls,103,799,40.49,SUCCESS
dls,104,667,39.51,SUCCESS
dls,105,725,36.38,SUCCESS
dls,106,662,37.99,SUCCESS
dls,107,868,29.49,SUCCESS
dls,108,759,29.74,SUCCESS
dls,109,,,SIM_ERROR
dls,110,638,45.22,SUCCESS
dls,111,670,27.61,SUCCESS
dls,112,,,SIM_ERROR
dls,113,862,25.09,SUCCESS
dls,114,785,39.08,SUCCESS
dls,115,618,44.34,SUCCESS
dls,116,662,39.77,SUCCESS
dls,117,882,27.55,SUCCESS
dls,118,722,43.07,SUCCESS
dls,119,,,SIM_ERROR
dls,120,717,39.96,SUCCESS
dls,121,,,SIM_ERROR
dls,122,731,37.35,SUCCESS
dls,123,737,35.38,SUCCESS
dls,124,,,SIM_ERROR
dls,125,705,40.85,SUCCESS
dls,126,,,SIM_ERROR
dls,127,571,42.51,SUCCESS
dls,128,865,22.69,SUCCESS
dls,129,635,32.36,SUCCESS
heft-dls,100,650,31.42,SUCCESS
heft-dls,101,697,42.07,SUCCESS
heft-dls,102,927,23.73,SUCCESS
heft-dls,103,791,37.96,SUCCESS
heft-dls,104,660,39.77,SUCCESS
heft-dls,105,772,39.35,SUCCESS
heft-dls,106,725,25.76,SUCCESS
heft-dls,107,808,30.82,SUCCESS
heft-dls,108,724,32.84,SUCCESS
heft-dls,109,631,41.76,SUCCESS
heft-dls,110,604,44.25,SUCCESS
heft-dls,111,,,SIM_ERROR
heft-dls,112,665,37.89,SUCCESS
heft-dls,113,794,39.04,SUCCESS
heft-dls,114,,,SIM_ERROR
heft-dls,115,651,49.27,SUCCESS
heft-dls,116,705,28.4,SUCCESS
heft-dls,117,851,25.18,SUCCESS
heft-dls,118,726,44.25,SUCCESS
heft-dls,119,681,39.65,SUCCESS
heft-dls,120,737,32.46,SUCCESS
heft-dls,121,774,23.68,SUCCESS
heft-dls,122,739,37.08,SUCCESS
heft-dls,123,683,40.59,SUCCESS
heft-dls,124,584,39.43,SUCCESS
heft-dls,125,734,42.47,SUCCESS
heft-dls,126,789,35.99,SUCCESS
heft-dls,127,560,43.75,SUCCESS
heft-dls,128,,,SIM_ERROR
heft-dls,129,588,42.73,SUCCESS
