scheduler,seed,total_steps,avg_wait_pct,status
simple,100,627,42.98,SUCCESS
simple,101,655,42.48,SUCCESS
simple,102,700,43.46,SUCCESS
simple,103,787,42.5,SUCCESS
simple,104,644,43.05,SUCCESS
simple,105,744,42.27,SUCCESS
simple,106,694,44.02,SUCCESS
simple,107,819,39.16,SUCCESS
simple,108,684,44.01,SUCCESS
simple,109,674,48.37,SUCCESS
simple,110,663,49.81,SUCCESS
simple,111,599,41.28,SUCCESS
simple,112,659,41.84,SUCCESS
simple,113,755,39.07,SUCCESS
simple,114,771,43.94,SUCCESS
simple,115,662,50.57,SUCCESS
simple,116,637,39.36,SUCCESS
simple,117,750,41.3,SUCCESS
simple,118,726,47.25,SUCCESS
simple,119,677,42.91,SUCCESS
simple,120,743,45.19,SUCCESS
simple,121,658,43.09,SUCCESS
simple,122,746,42.79,SUCCESS
simple,123,714,44.43,SUCCESS
simple,124,597,43.38,SUCCESS
simple,125,693,44.3,SUCCESS
simple,126,767,42.54,SUCCESS
simple,127,564,43.26,SUCCESS
simple,128,803,44.18,SUCCESS
simple,129,628,49.2,SUCCESS
heft,100,651,44.62,SUCCESS
heft,101,648,41.44,SUCCESS
heft,102,729,45.82,SUCCESS
heft,103,779,42.78,SUCCESS
heft,104,628,37.42,SUCCESS
heft,105,767,43.25,SUCCESS
heft,106,670,42.05,SUCCESS
heft,107,857,41.04,SUCCESS
heft,108,720,44.69,SUCCESS
heft,109,659,47.04,SUCCESS
heft,110,599,45.91,SUCCESS
heft,111,624,41.47,SUCCESS
heft,112,645,44.65,SUCCESS
heft,113,814,44.26,SUCCESS
heft,114,711,38.85,SUCCESS
heft,115,619,44.31,SUCCESS
heft,116,634,41.09,SUCCESS
heft,117,747,40.23,SUCCESS
heft,118,666,42.38,SUCCESS
heft,119,657,43.68,SUCCESS
heft,120,713,43.27,SUCCESS
heft,121,675,40.89,SUCCESS
heft,122,754,41.38,SUCCESS
heft,123,671,40.28,SUCCESS
heft,124,558,38.84,SUCCESS
heft,125,676,43.68,SUCCESS
heft,126,719,40.26,SUCCESS
heft,127,562,44.66,SUCCESS
heft,128,798,42.45,SUCCESS
heft,129,613,47.63,SUCCESS
dls,100,580,39.53,SUCCESS
dls,101,644,42.04,SUCCESS
dls,102,682,39.52,SUCCESS
dls,103,699,37.16,SUCCESS
dls,104,612,36.23,SUCCESS
dls,105,731,41.38,SUCCESS
dls,106,646,41.95,SUCCESS
dls,107,800,37.5,SUCCESS
dls,108,684,42.95,SUCCESS
dls,109,681,45.96,SUCCESS
dls,110,587,43.53,SUCCESS
dls,111,587,40.93,SUCCESS
dls,112,640,41.52,SUCCESS
dls,113,777,39.7,SUCCESS
dls,114,738,40.41,SUCCESS
dls,115,569,44.07,SUCCESS
dls,116,603,39.34,SUCCESS
dls,117,734,38.62,SUCCESS
dls,118,657,42.28,SUCCESS
dls,119,653,41.5,SUCCESS
dls,120,668,38.44,SUCCESS
dls,121,668,41.5,SUCCESS
dls,122,714,38.2,SUCCESS
dls,123,628,40.05,SUCCESS
dls,124,576,40.97,SUCCESS
dls,125,663,41.4,SUCCESS
dls,126,765,44.28,SUCCESS
dls,127,534,42.84,SUCCESS
dls,128,786,40.9,SUCCESS
dls,129,560,43.75,SUCCESS
heft-dls,100,602,40.95,SUCCESS
heft-dls,101,647,41.23,SUCCESS
heft-dls,102,657,38.51,SUCCESS
heft-dls,103,772,41.45,SUCCESS
heft-dls,104,611,36.7,SUCCESS
heft-dls,105,692,36.31,SUCCESS
heft-dls,106,686,44.68,SUCCESS
heft-dls,107,803,36.83,SUCCESS
heft-dls,108,691,44.32,SUCCESS
heft-dls,109,614,44.79,SUCCESS
heft-dls,110,611,44.64,SUCCESS
heft-dls,111,592,40.62,SUCCESS
heft-dls,112,649,41.87,SUCCESS
heft-dls,113,734,39.0,SUCCESS
heft-dls,114,728,39.18,SUCCESS
heft-dls,115,609,47.91,SUCCESS
heft-dls,116,616,37.78,SUCCESS
heft-dls,117,715,36.15,SUCCESS
heft-dls,118,657,44.67,SUCCESS
heft-dls,119,668,41.69,SUCCESS
heft-dls,120,671,41.06,SUCCESS
heft-dls,121,662,39.31,SUCCESS
heft-dls,122,675,37.59,SUCCESS
heft-dls,123,628,36.98,SUCCESS
heft-dls,124,600,41.75,SUCCESS
heft-dls,125,659,38.01,SUCCESS
heft-dls,126,706,41.32,SUCCESS
heft-dls,127,539,44.57,SUCCESS
heft-dls,128,782,37.95,SUCCESS
heft-dls,129,543,43.69,SUCCESS
