scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,427,57.94,SUCCESS,4.0
simple,101,449,59.06,SUCCESS,5.0
simple,102,435,59.36,SUCCESS,5.0
simple,103,445,58.7,SUCCESS,5.0
simple,104,411,57.37,SUCCESS,4.0
simple,105,405,55.9,SUCCESS,4.0
simple,106,426,57.37,SUCCESS,4.0
simple,107,429,57.3,SUCCESS,4.0
simple,108,438,58.77,SUCCESS,4.0
simple,109,426,58.92,SUCCESS,5.0
simple,110,424,58.82,SUCCESS,4.0
simple,111,434,58.53,SUCCESS,5.0
simple,112,429,59.58,SUCCESS,4.0
simple,113,408,55.93,SUCCESS,5.0
simple,114,433,56.81,SUCCESS,5.0
simple,115,431,57.63,SUCCESS,5.0
simple,116,415,55.37,SUCCESS,4.0
simple,117,415,56.14,SUCCESS,4.0
simple,118,410,55.12,SUCCESS,5.0
simple,119,408,55.25,SUCCESS,5.0
simple,120,431,57.49,SUCCESS,4.0
simple,121,421,57.81,SUCCESS,5.0
simple,122,405,56.0,SUCCESS,4.0
simple,123,409,57.65,SUCCESS,4.0
simple,124,421,56.96,SUCCESS,4.0
simple,125,408,55.93,SUCCESS,4.0
simple,126,422,57.77,SUCCESS,4.0
simple,127,434,59.4,SUCCESS,5.0
simple,128,392,55.61,SUCCESS,2.0
simple,129,440,59.05,SUCCESS,4.0
simple,130,408,55.78,SUCCESS,4.0
simple,131,435,57.52,SUCCESS,5.0
simple,132,434,58.16,SUCCESS,5.0
simple,133,450,58.71,SUCCESS,5.0
simple,134,433,58.34,SUCCESS,5.0
simple,135,418,57.75,SUCCESS,4.0
simple,136,424,57.36,SUCCESS,5.0
simple,137,438,58.58,SUCCESS,5.0
simple,138,411,58.05,SUCCESS,4.0
simple,139,440,58.09,SUCCESS,4.0
simple,140,443,57.47,SUCCESS,5.0
simple,141,428,57.2,SUCCESS,4.0
simple,142,435,59.77,SUCCESS,5.0
simple,143,393,55.32,SUCCESS,3.0
