scheduler,seed,total_steps,avg_wait_pct,status,rank
simple,100,447.0,39.04,SUCCESS,1.0
simple,101,446.0,42.21,SUCCESS,3.0
simple,102,449.0,39.53,SUCCESS,1.0
simple,103,474.0,37.29,SUCCESS,3.0
simple,104,425.0,36.35,SUCCESS,1.0
simple,105,423.0,36.52,SUCCESS,2.0
simple,106,433.0,37.01,SUCCESS,2.0
simple,107,447.0,41.5,SUCCESS,2.0
simple,108,467.0,39.99,SUCCESS,3.0
simple,109,457.0,40.48,SUCCESS,3.0
simple,110,492.0,32.42,SUCCESS,4.0
simple,111,441.0,38.49,SUCCESS,3.0
simple,112,457.0,37.36,SUCCESS,1.0
simple,113,466.0,38.84,SUCCESS,5.0
simple,114,435.0,32.93,SUCCESS,3.0
simple,115,450.0,36.89,SUCCESS,4.0
simple,116,451.0,37.25,SUCCESS,2.0
simple,117,447.0,36.3,SUCCESS,2.0
simple,118,453.0,40.01,SUCCESS,4.0
simple,119,449.0,37.64,SUCCESS,3.0
simple,120,443.0,35.89,SUCCESS,2.0
simple,121,457.0,35.39,SUCCESS,3.0
simple,122,470.0,35.8,SUCCESS,4.0
simple,123,424.0,35.79,SUCCESS,1.0
simple,124,472.0,42.37,SUCCESS,3.0
simple,125,448.0,36.27,SUCCESS,3.0
simple,126,433.0,34.93,SUCCESS,2.0
simple,127,475.0,39.95,SUCCESS,5.0
simple,128,441.0,43.14,SUCCESS,2.0
simple,129,434.0,41.13,SUCCESS,1.0
simple,130,436.0,39.74,SUCCESS,1.0
simple,131,452.0,41.87,SUCCESS,1.0
simple,132,457.0,38.35,SUCCESS,4.0
simple,133,450.0,42.67,SUCCESS,2.0
simple,134,436.0,38.76,SUCCESS,1.0
simple,135,454.0,35.08,SUCCESS,1.0
simple,136,442.0,36.93,SUCCESS,3.0
simple,137,443.0,34.71,SUCCESS,2.0
simple,138,429.0,36.83,SUCCESS,1.0
simple,139,451.0,44.07,SUCCESS,1.0
simple,140,441.0,34.52,SUCCESS,1.0
simple,141,430.0,36.28,SUCCESS,3.0
simple,142,467.0,38.7,SUCCESS,4.0
simple,143,431.0,39.56,SUCCESS,2.0
simple,144,439.0,35.19,SUCCESS,2.0
simple,145,420.0,38.39,SUCCESS,1.0
simple,146,448.0,40.79,SUCCESS,2.0
simple,147,471.0,38.0,SUCCESS,2.0
simple,148,470.0,38.35,SUCCESS,3.0
simple,149,432.0,36.75,SUCCESS,1.0
simple,150,447.0,37.19,SUCCESS,1.0
simple,151,469.0,36.09,SUCCESS,4.0
simple,152,434.0,37.67,SUCCESS,1.0
simple,153,447.0,36.3,SUCCESS,3.0
simple,154,430.0,37.15,SUCCESS,2.0
simple,155,423.0,36.76,SUCCESS,1.0
simple,156,446.0,37.28,SUCCESS,1.0
simple,157,423.0,36.05,SUCCESS,1.0
simple,158,459.0,35.24,SUCCESS,4.0
simple,159,433.0,41.97,SUCCESS,1.0
simple,160,467.0,42.02,SUCCESS,1.0
simple,161,431.0,37.59,SUCCESS,2.0
simple,162,467.0,40.26,SUCCESS,3.0
simple,163,447.0,39.82,SUCCESS,1.0
simple,164,449.0,40.09,SUCCESS,3.0
simple,165,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal0. Simulation cannot proceed.,
simple,166,488.0,38.93,SUCCESS,5.0
simple,167,441.0,39.34,SUCCESS,2.0
simple,168,450.0,42.44,SUCCESS,4.0
simple,169,442.0,40.05,SUCCESS,2.0
simple,170,473.0,37.21,SUCCESS,5.0
simple,171,463.0,33.59,SUCCESS,5.0
simple,172,461.0,36.93,SUCCESS,3.0
simple,173,436.0,38.3,SUCCESS,2.0
simple,174,457.0,38.4,SUCCESS,3.0
simple,175,440.0,34.15,SUCCESS,4.0
simple,176,443.0,36.4,SUCCESS,4.0
simple,177,417.0,40.71,SUCCESS,1.0
simple,178,441.0,37.07,SUCCESS,1.0
simple,179,434.0,41.47,SUCCESS,1.0
simple,180,441.0,37.36,SUCCESS,5.0
simple,181,471.0,38.43,SUCCESS,3.0
simple,182,437.0,36.44,SUCCESS,2.0
simple,183,423.0,35.46,SUCCESS,1.0
simple,184,453.0,39.57,SUCCESS,2.0
simple,185,458.0,34.83,SUCCESS,5.0
simple,186,433.0,35.22,SUCCESS,1.0
simple,187,468.0,36.27,SUCCESS,5.0
simple,188,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal1. Simulation cannot proceed.,
simple,189,454.0,36.23,SUCCESS,2.0
simple,190,447.0,37.42,SUCCESS,3.0
simple,191,433.0,39.84,SUCCESS,1.0
simple,192,428.0,34.87,SUCCESS,2.0
simple,193,449.0,37.36,SUCCESS,2.0
simple,194,479.0,39.93,SUCCESS,5.0
simple,195,457.0,35.39,SUCCESS,4.0
simple,196,471.0,42.68,SUCCESS,5.0
simple,197,437.0,36.84,SUCCESS,3.0
simple,198,457.0,37.47,SUCCESS,5.0
simple,199,435.0,35.75,SUCCESS,1.0
heft,100,467.0,41.76,SUCCESS,3.0
heft,101,428.0,37.68,SUCCESS,1.0
heft,102,470.0,42.18,SUCCESS,5.0
heft,103,478.0,39.44,SUCCESS,4.0
heft,104,473.0,33.51,SUCCESS,3.0
heft,105,468.0,38.68,SUCCESS,5.0
heft,106,431.0,37.3,SUCCESS,1.0
heft,107,442.0,38.12,SUCCESS,1.0
heft,108,466.0,37.82,SUCCESS,2.0
heft,109,479.0,41.91,SUCCESS,5.0
heft,110,440.0,37.1,SUCCESS,1.0
heft,111,419.0,36.63,SUCCESS,1.0
heft,112,480.0,41.09,SUCCESS,5.0
heft,113,439.0,38.1,SUCCESS,4.0
heft,114,426.0,36.27,SUCCESS,1.0
heft,115,426.0,36.85,SUCCESS,1.0
heft,116,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf4. Simulation cannot proceed.,
heft,117,450.0,39.33,SUCCESS,3.0
heft,118,486.0,38.01,SUCCESS,5.0
heft,119,436.0,37.79,SUCCESS,1.0
heft,120,468.0,38.84,SUCCESS,4.0
heft,121,440.0,36.31,SUCCESS,2.0
heft,122,427.0,35.77,SUCCESS,1.0
heft,123,450.0,38.67,SUCCESS,3.0
heft,124,462.0,42.21,SUCCESS,1.0
heft,125,431.0,35.67,SUCCESS,1.0
heft,126,423.0,35.64,SUCCESS,1.0
heft,127,446.0,39.69,SUCCESS,1.0
heft,128,432.0,37.21,SUCCESS,1.0
heft,129,463.0,36.88,SUCCESS,4.0
heft,130,468.0,40.87,SUCCESS,4.0
heft,131,453.0,39.13,SUCCESS,3.0
heft,132,452.0,37.89,SUCCESS,3.0
heft,133,460.0,41.9,SUCCESS,4.0
heft,134,451.0,39.36,SUCCESS,3.0
heft,135,462.0,40.96,SUCCESS,2.0
heft,136,426.0,36.5,SUCCESS,1.0
heft,137,449.0,35.8,SUCCESS,3.0
heft,138,455.0,38.13,SUCCESS,4.0
heft,139,473.0,42.81,SUCCESS,3.0
heft,140,451.0,38.41,SUCCESS,2.0
heft,141,450.0,38.28,SUCCESS,4.0
heft,142,461.0,43.66,SUCCESS,2.0
heft,143,423.0,37.35,SUCCESS,1.0
heft,144,439.0,38.33,SUCCESS,2.0
heft,145,426.0,36.27,SUCCESS,3.0
heft,146,429.0,36.07,SUCCESS,1.0
heft,147,469.0,41.15,SUCCESS,1.0
heft,148,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal0. Simulation cannot proceed.,
heft,149,435.0,36.67,SUCCESS,2.0
heft,150,454.0,40.03,SUCCESS,2.0
heft,151,439.0,38.33,SUCCESS,1.0
heft,152,442.0,36.37,SUCCESS,2.0
heft,153,436.0,38.76,SUCCESS,2.0
heft,154,429.0,37.59,SUCCESS,1.0
heft,155,452.0,38.44,SUCCESS,3.0
heft,156,452.0,41.32,SUCCESS,2.0
heft,157,442.0,39.59,SUCCESS,2.0
heft,158,429.0,33.97,SUCCESS,1.0
heft,159,452.0,39.66,SUCCESS,4.0
heft,160,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf4. Simulation cannot proceed.,
heft,161,421.0,37.89,SUCCESS,1.0
heft,162,502.0,43.13,SUCCESS,5.0
heft,163,466.0,41.04,SUCCESS,2.0
heft,164,433.0,36.32,SUCCESS,1.0
heft,165,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal0. Simulation cannot proceed.,
heft,166,442.0,40.44,SUCCESS,1.0
heft,167,455.0,38.52,SUCCESS,5.0
heft,168,430.0,37.09,SUCCESS,1.0
heft,169,455.0,37.58,SUCCESS,4.0
heft,170,448.0,39.79,SUCCESS,1.0
heft,171,434.0,35.94,SUCCESS,2.0
heft,172,450.0,36.83,SUCCESS,1.0
heft,173,444.0,38.85,SUCCESS,3.0
heft,174,423.0,38.77,SUCCESS,1.0
heft,175,433.0,37.12,SUCCESS,3.0
heft,176,446.0,40.58,SUCCESS,5.0
heft,177,442.0,40.5,SUCCESS,2.0
heft,178,448.0,40.46,SUCCESS,3.0
heft,179,437.0,37.47,SUCCESS,2.0
heft,180,425.0,34.59,SUCCESS,2.0
heft,181,466.0,41.09,SUCCESS,1.0
heft,182,421.0,36.88,SUCCESS,1.0
heft,183,425.0,35.12,SUCCESS,3.0
heft,184,441.0,38.27,SUCCESS,1.0
heft,185,448.0,38.06,SUCCESS,4.0
heft,186,460.0,41.47,SUCCESS,5.0
heft,187,458.0,39.96,SUCCESS,3.0
heft,188,439.0,38.15,SUCCESS,3.0
heft,189,475.0,42.89,SUCCESS,4.0
heft,190,427.0,34.07,SUCCESS,1.0
heft,191,464.0,38.63,SUCCESS,5.0
heft,192,423.0,37.35,SUCCESS,1.0
heft,193,452.0,39.66,SUCCESS,3.0
heft,194,455.0,40.77,SUCCESS,4.0
heft,195,431.0,37.41,SUCCESS,1.0
heft,196,438.0,36.64,SUCCESS,2.0
heft,197,430.0,36.45,SUCCESS,1.0
heft,198,427.0,37.18,SUCCESS,1.0
heft,199,442.0,38.12,SUCCESS,3.0
dls,100,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf4. Simulation cannot proceed.,
dls,101,439.0,42.37,SUCCESS,2.0
dls,102,465.0,42.9,SUCCESS,3.0
dls,103,482.0,45.85,SUCCESS,5.0
dls,104,439.0,37.76,SUCCESS,2.0
dls,105,439.0,39.12,SUCCESS,3.0
dls,106,450.0,39.17,SUCCESS,3.0
dls,107,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking shelf4. Simulation cannot proceed.,
dls,108,476.0,45.8,SUCCESS,4.0
dls,109,471.0,45.38,SUCCESS,4.0
dls,110,496.0,37.25,SUCCESS,5.0
dls,111,438.0,38.93,SUCCESS,2.0
dls,112,475.0,43.21,SUCCESS,3.0
dls,113,434.0,37.21,SUCCESS,3.0
dls,114,434.0,38.59,SUCCESS,2.0
dls,115,474.0,34.6,SUCCESS,5.0
dls,116,438.0,40.3,SUCCESS,1.0
dls,117,457.0,42.18,SUCCESS,4.0
dls,118,441.0,39.17,SUCCESS,1.0
dls,119,453.0,41.11,SUCCESS,4.0
dls,120,480.0,35.05,SUCCESS,5.0
dls,121,462.0,43.13,SUCCESS,4.0
dls,122,438.0,40.58,SUCCESS,2.0
dls,123,455.0,37.91,SUCCESS,4.0
dls,124,467.0,42.51,SUCCESS,2.0
dls,125,479.0,37.27,SUCCESS,5.0
dls,126,444.0,36.2,SUCCESS,3.0
dls,127,470.0,43.88,SUCCESS,4.0
dls,128,455.0,42.03,SUCCESS,5.0
dls,129,466.0,42.06,SUCCESS,5.0
dls,130,491.0,35.03,SUCCESS,5.0
dls,131,452.0,43.47,SUCCESS,1.0
dls,132,450.0,37.56,SUCCESS,2.0
dls,133,453.0,40.67,SUCCESS,3.0
dls,134,498.0,36.35,SUCCESS,5.0
dls,135,468.0,44.71,SUCCESS,4.0
dls,136,448.0,38.06,SUCCESS,4.0
dls,137,455.0,40.88,SUCCESS,5.0
dls,138,471.0,44.85,SUCCESS,5.0
dls,139,466.0,38.57,SUCCESS,2.0
